NCTId,ConditionAncestorId,ConditionAncestorTerm,ConditionBrowseBranchAbbrev,ConditionBrowseBranchName,ConditionBrowseLeafAsFound,ConditionBrowseLeafId,ConditionBrowseLeafName,ConditionBrowseLeafRelevance,ConditionMeshId,ConditionMeshTerm
NCT04479358,0,0,"['BC08', 'All']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions']",0,M12487,Pneumonia,low,0,0
NCT04343755,0,0,"['BC02', 'All', 'BC01']","['Viral Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",Infection,"['M19074', 'M8866', 'M4951']","['Coronavirus Infections', 'Infection', 'Communicable Diseases']","['low', 'high', 'low']",D000007239,Infection
NCT04401423,0,0,"['BXS', 'All', 'BC23']","['Urinary Tract, Sexual Organs, and Pregnancy Conditions', 'All Conditions', 'Symptoms and General Pathology']",0,"['M27585', 'M10642']","['Acute Kidney Injury', 'Multiple Organ Failure']","['low', 'low']",0,0
NCT04432298,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",0,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['low', 'low']",0,0
NCT04555096,"['D000020969', 'D000010335']","['Disease Attributes', 'Pathologic Processes']","['BC01', 'All', 'BC23']","['Bacterial and Fungal Diseases', 'All Conditions', 'Symptoms and General Pathology']","['Infection', 'Critical Illness']","['M8866', 'M17593', 'M4951', 'M21284']","['Infection', 'Critical Illness', 'Communicable Diseases', 'Disease Attributes']","['high', 'high', 'low', 'low']","['D000007239', 'D000016638']","['Infection', 'Critical Illness']"
NCT04523181,0,0,"['BC08', 'All']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions']",0,M12487,Pneumonia,low,0,0
NCT04381052,0,0,"['BC02', 'All', 'BC01']","['Viral Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",Infection,"['M19074', 'M8866', 'M4951']","['Coronavirus Infections', 'Infection', 'Communicable Diseases']","['low', 'high', 'low']",D000007239,Infection
NCT04391712,D000012140,Respiratory Tract Diseases,"['BC08', 'All']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions']",Pulmonary Disease,"['M9751', 'M13560']","['Lung Diseases', 'Respiratory Tract Diseases']","['high', 'low']",D000008171,Lung Diseases
NCT04485130,0,0,0,0,0,0,0,0,0,0
NCT04604678,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04340232,0,0,"['BC23', 'All']","['Symptoms and General Pathology', 'All Conditions']",0,"['M14938', 'M8876']","['Syndrome', 'Inflammation']","['low', 'low']",0,0
NCT04595773,0,0,"['BC23', 'All']","['Symptoms and General Pathology', 'All Conditions']",0,M5096,Convalescence,low,0,0
NCT04570449,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",Infection,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['high', 'low']",D000007239,Infection
NCT04524507,0,0,"['BC02', 'All', 'BC01']","['Viral Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",0,"['M19074', 'M8866', 'M4951']","['Coronavirus Infections', 'Infection', 'Communicable Diseases']","['low', 'low', 'low']",0,0
NCT04343976,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04374279,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04365257,0,0,"['BC02', 'All', 'BC23', 'BC01', 'BC08', 'BC16', 'Rare']","['Viral Diseases', 'All Conditions', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Diseases and Abnormalities at or Before Birth', 'Rare Diseases']",Acute Respiratory Distress Syndrome,"['M19074', 'M14938', 'M8866', 'M13548', 'M4951', 'M13547', 'M26731', 'T4937', 'T192', 'T5499']","['Coronavirus Infections', 'Syndrome', 'Infection', 'Respiratory Distress Syndrome, Adult', 'Communicable Diseases', 'Respiratory Distress Syndrome, Newborn', 'Acute Lung Injury', 'Respiratory Distress Syndrome, Infant', 'Acute Respiratory Distress Syndrome', 'Storm Syndrome']","['low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high', 'low']",0,0
NCT04376593,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",Infection,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['high', 'low']",D000007239,Infection
NCT04476953,0,0,"['BC23', 'All']","['Symptoms and General Pathology', 'All Conditions']",0,M8876,Inflammation,low,0,0
NCT04347954,0,0,0,0,0,0,0,0,0,0
NCT04456153,0,0,0,0,0,0,0,0,0,0
NCT04363866,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04435184,D000002318,Cardiovascular Diseases,"['BC02', 'All', 'BC14']","['Viral Diseases', 'All Conditions', 'Heart and Blood Diseases']",Vasculopathy,"['M19074', 'M15983']","['Coronavirus Infections', 'Vascular Diseases']","['low', 'high']",D000014652,Vascular Diseases
NCT04400890,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04390503,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04446377,"['D000020969', 'D000010335']","['Disease Attributes', 'Pathologic Processes']","['BC02', 'All', 'BC23']","['Viral Diseases', 'All Conditions', 'Symptoms and General Pathology']",Progression,"['M19074', 'M19143', 'M21284']","['Coronavirus Infections', 'Disease Progression', 'Disease Attributes']","['low', 'high', 'low']",D000018450,Disease Progression
NCT04365699,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",0,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['low', 'low']",0,0
NCT03305341,0,0,0,0,0,0,0,0,0,0
NCT04539795,0,0,"['BC08', 'All']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions']",0,"['M13560', 'M13540']","['Respiratory Tract Diseases', 'Respiration Disorders']","['low', 'low']",0,0
NCT04353284,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",0,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['low', 'low']",0,0
NCT04389710,0,0,0,0,0,0,0,0,0,0
NCT04487444,0,0,"['BC01', 'All', 'BC15', 'BC20']","['Bacterial and Fungal Diseases', 'All Conditions', 'Blood and Lymph Conditions', 'Immune System Diseases']",Infection,"['M8866', 'M4951', 'M9807']","['Infection', 'Communicable Diseases', 'Lymphopenia']","['high', 'low', 'low']",D000007239,Infection
NCT04338828,0,0,"['BC01', 'All', 'BC08', 'BC23']","['Bacterial and Fungal Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology']",Infection,"['M8866', 'M25724', 'M6379', 'M4951', 'M13561']","['Infection', 'Respiratory Aspiration', 'Emergencies', 'Communicable Diseases', 'Respiratory Tract Infections']","['high', 'low', 'low', 'low', 'low']",D000007239,Infection
NCT04356690,0,0,"['BC01', 'All', 'BC15']","['Bacterial and Fungal Diseases', 'All Conditions', 'Blood and Lymph Conditions']",Infection,"['M8866', 'M4951', 'M25282']","['Infection', 'Communicable Diseases', 'Lymphohistiocytosis, Hemophagocytic']","['high', 'low', 'low']",D000007239,Infection
NCT04415151,0,0,0,0,0,0,0,0,0,0
NCT04575610,0,0,0,0,0,0,0,0,0,0
NCT04494724,0,0,"['BC02', 'All', 'BC08', 'BC23', 'BC01', 'BC16', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Diseases and Abnormalities at or Before Birth', 'Rare Diseases']","['Infection', 'Infection']","['M19074', 'M24032', 'M14938', 'M8866', 'M13548', 'M4951', 'M13547', 'M26731', 'T5197', 'T4937', 'T192']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Syndrome', 'Infection', 'Respiratory Distress Syndrome, Adult', 'Communicable Diseases', 'Respiratory Distress Syndrome, Newborn', 'Acute Lung Injury', 'Severe Acute Respiratory Syndrome', 'Respiratory Distress Syndrome, Infant', 'Acute Respiratory Distress Syndrome']","['low', 'low', 'low', 'high', 'low', 'high', 'low', 'low', 'low', 'low', 'low']","['D000007239', 'D000003141']","['Infection', 'Communicable Diseases']"
NCT04338074,0,0,"['BC02', 'All', 'BC23']","['Viral Diseases', 'All Conditions', 'Symptoms and General Pathology']",0,"['M19074', 'M19143', 'M16105']","['Coronavirus Infections', 'Disease Progression', 'Virus Diseases']","['low', 'low', 'low']",0,0
NCT04366050,0,0,"['BC23', 'All']","['Symptoms and General Pathology', 'All Conditions']",0,M5428,Death,low,0,0
NCT04338126,0,0,"['BC02', 'All', 'BC23']","['Viral Diseases', 'All Conditions', 'Symptoms and General Pathology']",0,"['M19074', 'M19143', 'M16105']","['Coronavirus Infections', 'Disease Progression', 'Virus Diseases']","['low', 'low', 'low']",0,0
NCT04329923,0,0,0,0,0,0,0,0,0,0
NCT04374461,0,0,"['BC01', 'All', 'BC23']","['Bacterial and Fungal Diseases', 'All Conditions', 'Symptoms and General Pathology']",Infection,"['M8866', 'M17593', 'M4951']","['Infection', 'Critical Illness', 'Communicable Diseases']","['high', 'low', 'low']",D000007239,Infection
NCT04570501,0,0,0,0,0,0,0,0,0,0
NCT04339426,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",Infection,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['high', 'low']",D000007239,Infection
NCT04438057,0,0,0,0,0,0,0,0,0,0
NCT04524663,0,0,0,0,0,0,0,0,0,0
NCT04393311,0,0,0,0,0,0,0,0,0,0
NCT04348500,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",0,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['low', 'low']",0,0
NCT04442191,0,0,"['BC02', 'All', 'BC08', 'BC23', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Rare Diseases']",0,"['M19074', 'M24032', 'M14938', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Syndrome', 'Severe Acute Respiratory Syndrome']","['low', 'low', 'low', 'low']",0,0
NCT04623671,0,0,0,0,0,0,0,0,0,0
NCT04331795,"['D000008171', 'D000012140', 'D000012141']","['Lung Diseases', 'Respiratory Tract Diseases', 'Respiratory Tract Infections']","['BC08', 'All', 'BC01']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",Pneumonitis,"['M12487', 'M9751', 'M13560', 'M8866', 'M4951', 'M13561']","['Pneumonia', 'Lung Diseases', 'Respiratory Tract Diseases', 'Infection', 'Communicable Diseases', 'Respiratory Tract Infections']","['high', 'low', 'low', 'low', 'low', 'low']",D000011014,Pneumonia
NCT04333225,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",Infection,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['high', 'low']",D000007239,Infection
NCT04377659,"['D000012120', 'D000012140']","['Respiration Disorders', 'Respiratory Tract Diseases']","['BC08', 'All', 'BC01', 'BC23', 'BC14']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Symptoms and General Pathology', 'Heart and Blood Diseases']","['Respiratory Failure', 'Infection']","['M13551', 'M8866', 'M4951', 'M13561', 'M5428', 'M13102', 'M13540', 'M13560']","['Respiratory Insufficiency', 'Infection', 'Communicable Diseases', 'Respiratory Tract Infections', 'Death', 'Pulmonary Valve Insufficiency', 'Respiration Disorders', 'Respiratory Tract Diseases']","['high', 'high', 'low', 'low', 'low', 'low', 'low', 'low']","['D000007239', 'D000012131']","['Infection', 'Respiratory Insufficiency']"
NCT04498377,0,0,0,0,0,0,0,0,0,0
NCT04363502,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",Infection,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['high', 'low']",D000007239,Infection
NCT04502472,"['D000003333', 'D000030341', 'D000012327', 'D000014777']","['Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases']","['BC02', 'All', 'BC01', 'BC08', 'Rare']","['Viral Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Rare Diseases']",Coronavirus,"['M19074', 'M8866', 'M4951', 'M24032', 'M5138', 'M22269', 'M16105', 'M13732', 'T5197']","['Coronavirus Infections', 'Infection', 'Communicable Diseases', 'Severe Acute Respiratory Syndrome', 'Coronaviridae Infections', 'Nidovirales Infections', 'Virus Diseases', 'RNA Virus Infections', 'Severe Acute Respiratory Syndrome']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",D000018352,Coronavirus Infections
NCT04427566,0,0,"['BC23', 'All']","['Symptoms and General Pathology', 'All Conditions']",0,M17593,Critical Illness,low,0,0
NCT04432766,0,0,0,0,0,0,0,0,0,0
NCT04344236,0,0,0,0,0,0,0,0,0,0
NCT04478019,0,0,0,0,0,0,0,0,0,0
NCT04331899,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04434131,0,0,0,0,0,0,0,0,0,0
NCT04386252,0,0,"['BC02', 'All', 'BC08', 'BC23', 'BC01', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Rare Diseases']",0,"['M19074', 'M24032', 'M14938', 'M8866', 'M4951', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Syndrome', 'Infection', 'Communicable Diseases', 'Severe Acute Respiratory Syndrome']","['low', 'low', 'low', 'low', 'low', 'low']",0,0
NCT04360551,0,0,0,0,0,0,0,0,0,0
NCT04343989,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",Infection,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['high', 'low']",D000007239,Infection
NCT04348435,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04482699,0,0,"['BC02', 'All', 'BC08', 'BC23', 'BC01', 'BC16', 'BC26', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Diseases and Abnormalities at or Before Birth', 'Wounds and Injuries', 'Rare Diseases']",0,"['M19074', 'M24032', 'M12487', 'M14938', 'M8866', 'M9751', 'M13548', 'M4951', 'M16105', 'M13547', 'M26731', 'M26730', 'T5197', 'T4937', 'T192']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Pneumonia', 'Syndrome', 'Infection', 'Lung Diseases', 'Respiratory Distress Syndrome, Adult', 'Communicable Diseases', 'Virus Diseases', 'Respiratory Distress Syndrome, Newborn', 'Acute Lung Injury', 'Lung Injury', 'Severe Acute Respiratory Syndrome', 'Respiratory Distress Syndrome, Infant', 'Acute Respiratory Distress Syndrome']","['low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",0,0
NCT04481685,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT03348670,0,0,0,0,0,0,0,0,0,0
NCT04349410,0,0,0,0,0,0,0,0,0,0
NCT04364802,0,0,0,0,0,0,0,0,0,0
NCT04329832,0,0,0,0,0,0,0,0,0,0
NCT04391309,0,0,0,0,0,0,0,0,0,0
NCT04354870,0,0,"['BC02', 'All', 'BC08', 'BC23', 'BC01', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Rare Diseases']",0,"['M19074', 'M24032', 'M14938', 'M8866', 'M4951', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Syndrome', 'Infection', 'Communicable Diseases', 'Severe Acute Respiratory Syndrome']","['low', 'low', 'low', 'low', 'low', 'low']",0,0
NCT04603924,0,0,"['BC02', 'All', 'BC23', 'BC01', 'BC08', 'BC16', 'Rare']","['Viral Diseases', 'All Conditions', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Diseases and Abnormalities at or Before Birth', 'Rare Diseases']",0,"['M19074', 'M14938', 'M8866', 'M13548', 'M4951', 'M16105', 'M13547', 'M26731', 'T4937', 'T192']","['Coronavirus Infections', 'Syndrome', 'Infection', 'Respiratory Distress Syndrome, Adult', 'Communicable Diseases', 'Virus Diseases', 'Respiratory Distress Syndrome, Newborn', 'Acute Lung Injury', 'Respiratory Distress Syndrome, Infant', 'Acute Respiratory Distress Syndrome']","['low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",0,0
NCT04353271,"['D000014777', 'D000003333', 'D000030341', 'D000012327', 'D000012141', 'D000012140']","['Virus Diseases', 'Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'All', 'BC08', 'BC01', 'BC23', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Bacterial and Fungal Diseases', 'Symptoms and General Pathology', 'Rare Diseases']","['Corona Virus Infection', 'Corona Virus Infection', 'Corona Virus Infection']","['M19074', 'M24032', 'M8866', 'M4951', 'M16105', 'M14938', 'M5138', 'M22269', 'M13732', 'M13561', 'M13560', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Infection', 'Communicable Diseases', 'Virus Diseases', 'Syndrome', 'Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases', 'Severe Acute Respiratory Syndrome']","['high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high']","['D000018352', 'D000045169']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome']"
NCT04346628,0,0,0,0,0,0,0,0,0,0
NCT04355897,0,0,0,0,0,0,0,0,0,0
NCT04353206,"['D000012120', 'D000012140']","['Respiration Disorders', 'Respiratory Tract Diseases']","['BC08', 'All', 'BC14']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Heart and Blood Diseases']",Respiratory Failure,"['M13551', 'M13102', 'M13540', 'M13560']","['Respiratory Insufficiency', 'Pulmonary Valve Insufficiency', 'Respiration Disorders', 'Respiratory Tract Diseases']","['high', 'low', 'low', 'low']",D000012131,Respiratory Insufficiency
NCT04540406,"['D000003920', 'D000044882', 'D000008659', 'D000004700']","['Diabetes Mellitus', 'Glucose Metabolism Disorders', 'Metabolic Diseases', 'Endocrine System Diseases']","['BC18', 'BC19', 'All', 'BC02']","['Nutritional and Metabolic Diseases', 'Gland and Hormone Related Diseases', 'All Conditions', 'Viral Diseases']",Prediabetes,"['M5698', 'M5702', 'M19074', 'M16105', 'M12700', 'M18878', 'M10222', 'M23990', 'M6445']","['Diabetes Mellitus', 'Diabetes Mellitus, Type 2', 'Coronavirus Infections', 'Virus Diseases', 'Prediabetic State', 'Glucose Intolerance', 'Metabolic Diseases', 'Glucose Metabolism Disorders', 'Endocrine System Diseases']","['low', 'low', 'low', 'low', 'high', 'low', 'low', 'low', 'low']",D000011236,Prediabetic State
NCT04435808,0,0,"['BC02', 'All', 'BC08', 'BC23', 'BC01', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Rare Diseases']",0,"['M19074', 'M24032', 'M14938', 'M8866', 'M4951', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Syndrome', 'Infection', 'Communicable Diseases', 'Severe Acute Respiratory Syndrome']","['low', 'low', 'low', 'low', 'low', 'low']",0,0
NCT04369742,0,0,0,0,0,0,0,0,0,0
NCT04477642,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04497389,0,0,"['BXS', 'All']","['Urinary Tract, Sexual Organs, and Pregnancy Conditions', 'All Conditions']",0,M8873,Infertility,low,0,0
NCT04495816,"['D000012678', 'D000009461', 'D000009422']","['Sensation Disorders', 'Neurologic Manifestations', 'Nervous System Diseases']","['BC02', 'All', 'BC10', 'BC23']","['Viral Diseases', 'All Conditions', 'Nervous System Diseases', 'Symptoms and General Pathology']",Anosmia,"['M19074', 'M2764', 'M14073', 'M10987']","['Coronavirus Infections', 'Olfaction Disorders', 'Sensation Disorders', 'Neurologic Manifestations']","['low', 'high', 'low', 'low']",D000000857,Olfaction Disorders
NCT04341675,"['D000008171', 'D000012140', 'D000012141']","['Lung Diseases', 'Respiratory Tract Diseases', 'Respiratory Tract Infections']","['BC08', 'All', 'BC01']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",Pneumonia,"['M12487', 'M9751', 'M13560', 'M8866', 'M4951', 'M13561']","['Pneumonia', 'Lung Diseases', 'Respiratory Tract Diseases', 'Infection', 'Communicable Diseases', 'Respiratory Tract Infections']","['high', 'low', 'low', 'low', 'low', 'low']",D000011014,Pneumonia
NCT04584710,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M16105,Virus Diseases,low,0,0
NCT04355143,0,0,0,0,0,0,0,0,0,0
NCT04362189,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04542993,"['D000003333', 'D000030341', 'D000012327', 'D000014777', 'D000012141', 'D000012140']","['Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'All', 'BC08', 'BC01', 'BC23', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Bacterial and Fungal Diseases', 'Symptoms and General Pathology', 'Rare Diseases']","['SARS-CoV Infection', 'SARS-CoV Infection', 'SARS-CoV Infection']","['M19074', 'M24032', 'M8866', 'M4951', 'M14938', 'M5138', 'M22269', 'M16105', 'M13732', 'M13561', 'M13560', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Infection', 'Communicable Diseases', 'Syndrome', 'Coronaviridae Infections', 'Nidovirales Infections', 'Virus Diseases', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases', 'Severe Acute Respiratory Syndrome']","['high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high']","['D000018352', 'D000045169']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome']"
NCT04440007,0,0,0,0,0,0,0,0,0,0
NCT04488575,0,0,"['BC02', 'All', 'BC01']","['Viral Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",Infection,"['M19074', 'M8866', 'M4951', 'M16105']","['Coronavirus Infections', 'Infection', 'Communicable Diseases', 'Virus Diseases']","['low', 'high', 'low', 'low']",D000007239,Infection
NCT04458363,0,0,0,0,0,0,0,0,0,0
