,NCTId,DesignAllocation,DesignMasking,DesignPrimaryPurpose,DesignTimePerspective,EnrollmentCount,HealthyVolunteers,IsFDARegulatedDevice,IsFDARegulatedDrug,LeadSponsorClass,PatientRegistry,SamplingMethod ,StudyType,Active Comparator,Experimental,No Intervention,Other_x,Placebo Comparator,Sham Comparator,Full Range,Inter-Quartile Range,Standard Deviation,Count of Participants,Count of Units,Geometric Mean,Least Squares Mean,Mean,Median,Number,AMBIG,FED_x,INDUSTRY_x,NETWORK_x,NIH_x,OTHER_x,OTHER_GOV_x,UNKNOWN,Behavioral,Biological,Combination Product,Device,Diagnostic Test,Dietary Supplement,Drug,Genetic,Other_y,Procedure,Radiation,FED_y,INDIV,INDUSTRY_y,NETWORK_y,NIH_y,OTHER_y,OTHER_GOV_y,Adult,Child,Older Adult
10,NCT00000418,Randomized,Single,Treatment,0,211,No,0,0,OTHER,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
11,NCT00000455,Randomized,0,Treatment,0,160,No,0,0,OTHER,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12,NCT00000641,0,None (Open Label),Treatment,0,90,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
13,NCT00000693,0,None (Open Label),Treatment,0,25,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
14,NCT00000700,0,0,Treatment,0,482,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
15,NCT00000720,0,Double,Treatment,0,250,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
16,NCT00000783,0,0,0,Prospective,0,Accepts Healthy Volunteers,0,0,NIH,0,Non-Probability Sample,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
17,NCT00000788,0,0,Treatment,0,24,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
18,NCT00000798,0,Double,Prevention,0,32,Accepts Healthy Volunteers,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19,NCT00000861,0,Double,Treatment,0,1900,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
20,NCT00000938,Randomized,Double,Treatment,0,66,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
21,NCT00000980,0,0,Treatment,0,25,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
22,NCT00001037,0,0,Prevention,0,22,Accepts Healthy Volunteers,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
23,NCT00001043,0,0,Prevention,0,20,Accepts Healthy Volunteers,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
24,NCT00001060,0,Double,Prevention,0,30,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
25,NCT00001101,Randomized,Double,Treatment,0,194,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
26,NCT00001162,0,0,0,Prospective,150,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
27,NCT00001163,0,0,0,Other,5201,No,No,No,NIH,0,Non-Probability Sample,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
28,NCT00001204,0,0,0,Prospective,73,No,0,0,NIH,0,Non-Probability Sample,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
29,NCT00001235,0,0,0,0,1500,Accepts Healthy Volunteers,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
30,NCT00001469,0,0,0,Other,7776,No,0,0,NIH,0,Non-Probability Sample,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
31,NCT00001479,0,0,0,0,60,Accepts Healthy Volunteers,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
32,NCT00001536,0,0,0,0,2000,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
33,NCT00001571,0,0,0,0,20,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
34,NCT00001659,0,0,0,0,210,Accepts Healthy Volunteers,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
35,NCT00001703,Randomized,None (Open Label),Treatment,0,6,No,0,0,NIH,0,0,Interventional,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
36,NCT00001723,Randomized,Quadruple,Treatment,0,200,No,0,0,NIH,0,0,Interventional,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,NCT00001729,0,0,Treatment,0,120,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
38,NCT00001781,0,0,Treatment,0,25,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
39,NCT00001853,0,0,0,Cross-Sectional,1132,Accepts Healthy Volunteers,0,0,NIH,0,Non-Probability Sample,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
40,NCT00001856,0,0,0,0,260,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
41,NCT00001887,0,0,0,0,60,Accepts Healthy Volunteers,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
42,NCT00001908,0,0,0,0,40,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
43,NCT00001909,0,0,Treatment,0,40,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
44,NCT00002009,0,0,Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
45,NCT00002074,0,0,Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
46,NCT00002090,0,0,Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
47,NCT00002102,0,None (Open Label),Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
48,NCT00002103,0,None (Open Label),Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
49,NCT00002120,0,Double,Treatment,0,20,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
50,NCT00002251,0,0,Treatment,0,20,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
51,NCT00002298,0,0,Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
52,NCT00002305,0,0,Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
53,NCT00002306,0,0,Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
54,NCT00002309,0,Double,Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
55,NCT00002317,0,None (Open Label),Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
56,NCT00002381,0,None (Open Label),Treatment,0,24,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
57,NCT00002402,0,0,Prevention,0,120,Accepts Healthy Volunteers,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
58,NCT00002434,0,None (Open Label),Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
59,NCT00002940,0,0,Treatment,0,0,No,0,0,OTHER,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
60,NCT00004025,0,0,Treatment,0,36,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
61,NCT00004045,0,0,Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
62,NCT00004048,0,0,Treatment,0,30,No,0,0,OTHER,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1
63,NCT00004084,N/A,None (Open Label),Treatment,0,21,No,0,0,OTHER,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
64,NCT00004263,Non-Randomized,None (Open Label),Treatment,0,16,No,0,0,OTHER,0,0,Interventional,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
65,NCT00004342,0,0,0,Cross-Sectional,1000,No,No,No,NIH,0,Non-Probability Sample,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
66,NCT00004375,0,0,Treatment,0,20,Accepts Healthy Volunteers,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
67,NCT00004409,Randomized,Double,Treatment,0,36,No,0,0,OTHER,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
68,NCT00004494,0,0,Treatment,0,18,No,0,0,OTHER,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
69,NCT00004727,Randomized,Double,Prevention,0,0,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
70,NCT00004930,0,0,Treatment,0,0,No,0,0,OTHER,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
71,NCT00004986,0,0,Treatment,0,30,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
72,NCT00004992,Randomized,Quadruple,Prevention,0,3234,Accepts Healthy Volunteers,No,Yes,NIH,0,0,Interventional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
73,NCT00005007,Randomized,Double,Treatment,0,181,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
74,NCT00005014,Randomized,Double,Treatment,0,101,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
75,NCT00005112,Randomized,0,Treatment,0,0,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
76,NCT00005131,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
77,NCT00005137,N/A,0,Basic Science,0,0,No,0,0,OTHER,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
78,NCT00005159,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
79,NCT00005171,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
80,NCT00005175,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
81,NCT00005245,0,0,0,0,0,No,0,0,OTHER,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
82,NCT00005271,0,0,0,Cross-Sectional,4680,No,0,0,OTHER,0,Probability Sample,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
83,NCT00005278,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
84,NCT00005311,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
85,NCT00005319,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
86,NCT00005444,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
87,NCT00005455,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
88,NCT00005463,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
89,NCT00005483,0,0,0,0,0,No,0,0,OTHER,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
90,NCT00005493,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
91,NCT00005525,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
92,NCT00005567,0,0,Educational/Counseling/Training,0,0,Accepts Healthy Volunteers,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
93,NCT00005575,Randomized,Single,Treatment,0,0,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
94,NCT00005667,0,0,0,Other,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
95,NCT00005722,0,0,0,0,0,No,0,0,NIH,0,0,Observational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
96,NCT00005766,Randomized,Double,Treatment,0,0,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
