NCTId,ConditionAncestorId,ConditionAncestorTerm,ConditionBrowseBranchAbbrev,ConditionBrowseBranchName,ConditionBrowseLeafAsFound,ConditionBrowseLeafId,ConditionBrowseLeafName,ConditionBrowseLeafRelevance,ConditionMeshId,ConditionMeshTerm
NCT02911155,"['D000004701', 'D000009371', 'D000009369', 'D000006258', 'D000004700', 'D000013959', 'D000016543', 'D000009423', 'D000001927', 'D000002493', 'D000009422', 'D000010335']","['Endocrine Gland Neoplasms', 'Neoplasms by Site', 'Neoplasms', 'Head and Neck Neoplasms', 'Endocrine System Diseases', 'Thyroid Diseases', 'Central Nervous System Neoplasms', 'Nervous System Neoplasms', 'Brain Diseases', 'Central Nervous System Diseases', 'Nervous System Diseases', 'Pathologic Processes']","['BC04', 'BC10', 'All', 'BC17', 'BC19']","['Cancers and Other Neoplasms', 'Nervous System Diseases', 'All Conditions', 'Skin and Connective Tissue Diseases', 'Gland and Hormone Related Diseases']","['Brain Cancer', 'Thyroid Cancer']","['M3791', 'M3802', 'M15306', 'M15301', 'M6446', 'M7931', 'M6445', 'M10950', 'M17520', 'M3786', 'M4325']","['Brain Neoplasms', 'Breast Neoplasms', 'Thyroid Neoplasms', 'Thyroid Diseases', 'Endocrine Gland Neoplasms', 'Head and Neck Neoplasms', 'Endocrine System Diseases', 'Nervous System Neoplasms', 'Central Nervous System Neoplasms', 'Brain Diseases', 'Central Nervous System Diseases']","['high', 'low', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']","['D000013964', 'D000001932', 'D000004194']","['Thyroid Neoplasms', 'Brain Neoplasms', 'Disease']"
NCT00724867,"['D000003240', 'D000001327', 'D000007154']","['Connective Tissue Diseases', 'Autoimmune Diseases', 'Immune System Diseases']","['BC17', 'BC20', 'All']","['Skin and Connective Tissue Diseases', 'Immune System Diseases', 'All Conditions']",Systemic Lupus Erythematosus,"['M9760', 'M3210', 'M5047', 'M8783']","['Lupus Erythematosus, Systemic', 'Autoimmune Diseases', 'Connective Tissue Diseases', 'Immune System Diseases']","['high', 'low', 'low', 'low']",D000008180,"Lupus Erythematosus, Systemic"
NCT03973905,"['D000012140', 'D000001885', 'D000016905', 'D000001424', 'D000012141', 'D000007239']","['Respiratory Tract Diseases', 'Bordetella Infections', 'Gram-Negative Bacterial Infections', 'Bacterial Infections', 'Respiratory Tract Infections', 'Infection']","['BC08', 'BC23', 'All', 'BC01', 'Rare']","['Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'All Conditions', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Whooping Cough', 'Whooping Cough']","['M5173', 'M16239', 'M13560', 'M8866', 'M4951', 'M3745', 'M3303', 'M17832', 'M13561', 'T5937']","['Cough', 'Whooping Cough', 'Respiratory Tract Diseases', 'Infection', 'Communicable Diseases', 'Bordetella Infections', 'Bacterial Infections', 'Gram-Negative Bacterial Infections', 'Respiratory Tract Infections', 'Whooping Cough']","['low', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high']",D000014917,Whooping Cough
NCT00340457,"['D000002277', 'D000009375', 'D000009370', 'D000009369', 'D000000230', 'D000014571', 'D000014565', 'D000009371', 'D000007674', 'D000014570']","['Carcinoma', 'Neoplasms, Glandular and Epithelial', 'Neoplasms by Histologic Type', 'Neoplasms', 'Adenocarcinoma', 'Urologic Neoplasms', 'Urogenital Neoplasms', 'Neoplasms by Site', 'Kidney Diseases', 'Urologic Diseases']","['BC04', 'All', 'BXS', 'Rare']","['Cancers and Other Neoplasms', 'All Conditions', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions', 'Rare Diseases']","['Renal Cell Carcinoma', 'Kidney Cancer', 'Renal Cell Carcinoma', 'Renal Cell Carcinoma']","['M4116', 'M4130', 'M9286', 'M10903', 'M10898', 'M2166', 'M15903', 'M15898', 'M9281', 'M15902', 'T4916', 'T1346']","['Carcinoma', 'Carcinoma, Renal Cell', 'Kidney Neoplasms', 'Neoplasms, Glandular and Epithelial', 'Neoplasms by Histologic Type', 'Adenocarcinoma', 'Urologic Neoplasms', 'Urogenital Neoplasms', 'Kidney Diseases', 'Urologic Diseases', 'Renal Cell Carcinoma', 'Clear Cell Renal Cell Carcinoma']","['low', 'high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high', 'high']","['D000002292', 'D000007680']","['Carcinoma, Renal Cell', 'Kidney Neoplasms']"
NCT02429284,"['D000014652', 'D000002318', 'D000008171', 'D000012140']","['Vascular Diseases', 'Cardiovascular Diseases', 'Lung Diseases', 'Respiratory Tract Diseases']","['BC14', 'All', 'BC08', 'Rare']","['Heart and Blood Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Rare Diseases']","['Hypertension', 'Pulmonary Hypertension', 'Chronic Thromboembolic Pulmonary Hypertension']","['M8607', 'M8610', 'M15983', 'M9751', 'M13560', 'T1321']","['Hypertension', 'Hypertension, Pulmonary', 'Vascular Diseases', 'Lung Diseases', 'Respiratory Tract Diseases', 'Chronic Thromboembolic Pulmonary Hypertension']","['high', 'high', 'low', 'low', 'low', 'high']","['D000006976', 'D000006973']","['Hypertension, Pulmonary', 'Hypertension']"
NCT02889263,0,0,0,0,0,0,0,0,0,0
NCT03995745,"['D000007153', 'D000007154', 'D000016180', 'D000012192', 'D000012327', 'D000014777', 'D000015229', 'D000012749', 'D000012897']","['Immunologic Deficiency Syndromes', 'Immune System Diseases', 'Lentivirus Infections', 'Retroviridae Infections', 'RNA Virus Infections', 'Virus Diseases', 'Sexually Transmitted Diseases, Viral', 'Sexually Transmitted Diseases', 'Slow Virus Diseases']","['BC02', 'BC20', 'All', 'BC23', 'BC01', 'BXS']","['Viral Diseases', 'Immune System Diseases', 'All Conditions', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions']","['Human Immunodeficiency Virus', 'Human Immunodeficiency Virus']","['M16833', 'M2103', 'M16105', 'M8782', 'M14938', 'M8866', 'M4951', 'M8783', 'M17223', 'M13609', 'M13732', 'M14141', 'M16516', 'M14283']","['HIV Infections', 'Acquired Immunodeficiency Syndrome', 'Virus Diseases', 'Immunologic Deficiency Syndromes', 'Syndrome', 'Infection', 'Communicable Diseases', 'Immune System Diseases', 'Lentivirus Infections', 'Retroviridae Infections', 'RNA Virus Infections', 'Sexually Transmitted Diseases', 'Sexually Transmitted Diseases, Viral', 'Slow Virus Diseases']","['high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']","['D000000163', 'D000015658']","['Acquired Immunodeficiency Syndrome', 'HIV Infections']"
NCT00928694,"['D000052439', 'D000008659']","['Lipid Metabolism Disorders', 'Metabolic Diseases']","['BC18', 'All']","['Nutritional and Metabolic Diseases', 'All Conditions']",Dyslipidemia,"['M24768', 'M25616', 'M10222']","['Dyslipidemias', 'Lipid Metabolism Disorders', 'Metabolic Diseases']","['high', 'low', 'low']",D000050171,Dyslipidemias
NCT02153996,"['D000011528', 'D000010272']","['Protozoan Infections', 'Parasitic Diseases']","['BC03', 'All', 'BC01', 'Rare']","['Parasitic Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Malaria', 'Malaria']","['M9863', 'M8866', 'M4951', 'M12971', 'M11768', 'T3576']","['Malaria', 'Infection', 'Communicable Diseases', 'Protozoan Infections', 'Parasitic Diseases', 'Malaria']","['high', 'low', 'low', 'low', 'low', 'high']",D000008288,Malaria
NCT00413673,"['D000012030', 'D000005128']","['Refractive Errors', 'Eye Diseases']","['BC11', 'All']","['Eye Diseases', 'All Conditions']",Myopia,"['M10751', 'M3139', 'M13455', 'M6854']","['Myopia', 'Astigmatism', 'Refractive Errors', 'Eye Diseases']","['high', 'low', 'low', 'low']",D000009216,Myopia
NCT03867409,"['D000015179', 'D000007414', 'D000005770', 'D000004067', 'D000009371', 'D000009369', 'D000004066', 'D000005767', 'D000007410', 'D000012002']","['Colorectal Neoplasms', 'Intestinal Neoplasms', 'Gastrointestinal Neoplasms', 'Digestive System Neoplasms', 'Neoplasms by Site', 'Neoplasms', 'Digestive System Diseases', 'Gastrointestinal Diseases', 'Intestinal Diseases', 'Rectal Diseases']","['BC04', 'BC06', 'All']","['Cancers and Other Neoplasms', 'Digestive System Diseases', 'All Conditions']",Rectal Cancer,"['M13429', 'M16473', 'M9031', 'M7469', 'M5839', 'M7466', 'M5838', 'M9027', 'M13427']","['Rectal Neoplasms', 'Colorectal Neoplasms', 'Intestinal Neoplasms', 'Gastrointestinal Neoplasms', 'Digestive System Neoplasms', 'Gastrointestinal Diseases', 'Digestive System Diseases', 'Intestinal Diseases', 'Rectal Diseases']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",D000012004,Rectal Neoplasms
NCT04004260,"['D000006311', 'D000004427', 'D000010038', 'D000012678', 'D000009461', 'D000009422']","['Hearing Disorders', 'Ear Diseases', 'Otorhinolaryngologic Diseases', 'Sensation Disorders', 'Neurologic Manifestations', 'Nervous System Diseases']","['BC09', 'BC10', 'BC23', 'All']","['Ear, Nose, and Throat Diseases', 'Nervous System Diseases', 'Symptoms and General Pathology', 'All Conditions']",Tinnitus,"['M15352', 'M7983', 'M6184', 'M11544', 'M14073', 'M10987']","['Tinnitus', 'Hearing Disorders', 'Ear Diseases', 'Otorhinolaryngologic Diseases', 'Sensation Disorders', 'Neurologic Manifestations']","['high', 'low', 'low', 'low', 'low', 'low']",D000014012,Tinnitus
NCT04205877,"['D000006330', 'D000018376', 'D000002318', 'D000006331', 'D000000013']","['Heart Defects, Congenital', 'Cardiovascular Abnormalities', 'Cardiovascular Diseases', 'Heart Diseases', 'Congenital Abnormalities']","['BC14', 'BC16', 'All', 'Rare']","['Heart and Blood Diseases', 'Diseases and Abnormalities at or Before Birth', 'All Conditions', 'Rare Diseases']","['Ductus Arteriosus, Patent', 'Ductus Arteriosus']","['M6131', 'M8001', 'M12', 'M19087', 'M8002', 'T4461']","['Ductus Arteriosus, Patent', 'Heart Defects, Congenital', 'Congenital Abnormalities', 'Cardiovascular Abnormalities', 'Heart Diseases', 'Patent Ductus Arteriosus']","['high', 'low', 'low', 'low', 'low', 'high']",D000004374,"Ductus Arteriosus, Patent"
NCT01262079,"['D000009976', 'D000012327', 'D000014777', 'D000012141', 'D000012140']","['Orthomyxoviridae Infections', 'RNA Virus Infections', 'Virus Diseases', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'BC08', 'All', 'BC01']","['Viral Diseases', 'Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",Influenza,"['M8878', 'M8866', 'M4951', 'M11485', 'M16105', 'M13732', 'M13561', 'M13560']","['Influenza, Human', 'Infection', 'Communicable Diseases', 'Orthomyxoviridae Infections', 'Virus Diseases', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",D000007251,"Influenza, Human"
NCT00646438,"['D000044882', 'D000008659', 'D000004700', 'D000003327', 'D000017202', 'D000006331', 'D000002318', 'D000001161', 'D000001157', 'D000014652']","['Glucose Metabolism Disorders', 'Metabolic Diseases', 'Endocrine System Diseases', 'Coronary Disease', 'Myocardial Ischemia', 'Heart Diseases', 'Cardiovascular Diseases', 'Arteriosclerosis', 'Arterial Occlusive Diseases', 'Vascular Diseases']","['BC14', 'All', 'BC18', 'BC19', 'BC23']","['Heart and Blood Diseases', 'All Conditions', 'Nutritional and Metabolic Diseases', 'Gland and Hormone Related Diseases', 'Symptoms and General Pathology']","['Coronary Artery Disease', 'Diabetes']","['M5129', 'M18089', 'M5132', 'M5698', 'M10222', 'M23990', 'M6445', 'M9126', 'M8002', 'M3050', 'M3046', 'M15983']","['Coronary Artery Disease', 'Myocardial Ischemia', 'Coronary Disease', 'Diabetes Mellitus', 'Metabolic Diseases', 'Glucose Metabolism Disorders', 'Endocrine System Diseases', 'Ischemia', 'Heart Diseases', 'Arteriosclerosis', 'Arterial Occlusive Diseases', 'Vascular Diseases']","['high', 'low', 'low', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']","['D000003324', 'D000003920']","['Coronary Artery Disease', 'Diabetes Mellitus']"
NCT00341588,"['D000009370', 'D000009369', 'D000004701', 'D000009371', 'D000005834', 'D000014565', 'D000004700', 'D000013733', 'D000006058']","['Neoplasms by Histologic Type', 'Neoplasms', 'Endocrine Gland Neoplasms', 'Neoplasms by Site', 'Genital Neoplasms, Male', 'Urogenital Neoplasms', 'Endocrine System Diseases', 'Testicular Diseases', 'Gonadal Disorders']","['BC04', 'BXS', 'BC19', 'All', 'Rare']","['Cancers and Other Neoplasms', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions', 'Gland and Hormone Related Diseases', 'All Conditions', 'Rare Diseases']","['Testicular Cancer', 'Germ cell tumor', 'Germ cell tumor', 'Testicular germ cell tumor']","['M15089', 'M10901', 'M10898', 'M6446', 'M7529', 'M15898', 'M6445', 'M15086', 'M7746', 'T2481', 'T5614']","['Testicular Neoplasms', 'Neoplasms, Germ Cell and Embryonal', 'Neoplasms by Histologic Type', 'Endocrine Gland Neoplasms', 'Genital Neoplasms, Male', 'Urogenital Neoplasms', 'Endocrine System Diseases', 'Testicular Diseases', 'Gonadal Disorders', 'Germ Cells Tumors', 'Testicular Germ Cell Tumor']","['high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high', 'high']","['D000009373', 'D000013736']","['Neoplasms, Germ Cell and Embryonal', 'Testicular Neoplasms']"
NCT04562636,D000002318,Cardiovascular Diseases,"['BC14', 'All', 'BC18', 'BC23']","['Heart and Blood Diseases', 'All Conditions', 'Nutritional and Metabolic Diseases', 'Symptoms and General Pathology']",Heart Disease,"['M8002', 'M11284']","['Heart Diseases', 'Obesity']","['high', 'low']",D000006331,Heart Diseases
NCT03924505,"['D000019966', 'D000064419']","['Substance-Related Disorders', 'Chemically-Induced Disorders']","['BC25', 'All', 'BXM']","['Substance Related Disorders', 'All Conditions', 'Behaviors and Mental Disorders']",Overdose,"['M28598', 'M20421', 'M28889']","['Drug Overdose', 'Substance-Related Disorders', 'Chemically-Induced Disorders']","['high', 'low', 'low']",D000062787,Drug Overdose
NCT02334462,"['D000011528', 'D000010272']","['Protozoan Infections', 'Parasitic Diseases']","['BC03', 'All', 'BC01', 'Rare']","['Parasitic Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Plasmodium Falciparum Malaria', 'Malaria', 'Malaria']","['M17716', 'M9863', 'M8866', 'M4951', 'M12971', 'M11768', 'T3576']","['Malaria, Falciparum', 'Malaria', 'Infection', 'Communicable Diseases', 'Protozoan Infections', 'Parasitic Diseases', 'Malaria']","['high', 'high', 'low', 'low', 'low', 'low', 'high']","['D000008288', 'D000016778']","['Malaria', 'Malaria, Falciparum']"
NCT03311295,"['D000006349', 'D000006331', 'D000002318']","['Heart Valve Diseases', 'Heart Diseases', 'Cardiovascular Diseases']","['BC14', 'All']","['Heart and Blood Diseases', 'All Conditions']",Mitral Valve Insufficiency,"['M10493', 'M8020', 'M8002']","['Mitral Valve Insufficiency', 'Heart Valve Diseases', 'Heart Diseases']","['high', 'low', 'low']",D000008944,Mitral Valve Insufficiency
NCT03242278,"['D000001145', 'D000006331', 'D000002318', 'D000010335']","['Arrhythmias, Cardiac', 'Heart Diseases', 'Cardiovascular Diseases', 'Pathologic Processes']","['BC14', 'BC23', 'All', 'BC10']","['Heart and Blood Diseases', 'Symptoms and General Pathology', 'All Conditions', 'Nervous System Diseases']",Atrial Fibrillation,"['M3167', 'M20890', 'M3034', 'M8002']","['Atrial Fibrillation', 'Stroke', 'Arrhythmias, Cardiac', 'Heart Diseases']","['high', 'low', 'low', 'low']",D000001281,Atrial Fibrillation
NCT03683134,0,0,"['BC18', 'BC23', 'All']","['Nutritional and Metabolic Diseases', 'Symptoms and General Pathology', 'All Conditions']",0,M11284,Obesity,low,D000002318,Cardiovascular Diseases
NCT04047316,"['D000009371', 'D000009369', 'D000012871']","['Neoplasms by Site', 'Neoplasms', 'Skin Diseases']","['BC04', 'BC17', 'All']","['Cancers and Other Neoplasms', 'Skin and Connective Tissue Diseases', 'All Conditions']",Skin Cancer,"['M14264', 'M14257']","['Skin Neoplasms', 'Skin Diseases']","['high', 'low']",D000012878,Skin Neoplasms
NCT03952364,"['D000005759', 'D000005767', 'D000004066', 'D000003108', 'D000010335']","['Gastroenteritis', 'Gastrointestinal Diseases', 'Digestive System Diseases', 'Colonic Diseases', 'Pathologic Processes']","['BC06', 'All', 'BC23']","['Digestive System Diseases', 'All Conditions', 'Symptoms and General Pathology']","['Colitis', 'Ulcerative Colitis', 'Ulcerative', ""Crohn's Disease"", 'Bowel Disease', 'Inflammatory Bowel Disease']","['M4903', 'M4904', 'M15789', 'M5221', 'M9027', 'M16500', 'M7458', 'M7466', 'M5838', 'M4919']","['Colitis', 'Colitis, Ulcerative', 'Ulcer', 'Crohn Disease', 'Intestinal Diseases', 'Inflammatory Bowel Diseases', 'Gastroenteritis', 'Gastrointestinal Diseases', 'Digestive System Diseases', 'Colonic Diseases']","['high', 'high', 'high', 'high', 'high', 'high', 'low', 'low', 'low', 'low']","['D000003424', 'D000003092', 'D000003093', 'D000007410', 'D000015212', 'D000014456']","['Crohn Disease', 'Colitis', 'Colitis, Ulcerative', 'Intestinal Diseases', 'Inflammatory Bowel Diseases', 'Ulcer']"
NCT04021030,"['D000010146', 'D000009461']","['Pain', 'Neurologic Manifestations']","['BC23', 'All', 'BC10']","['Symptoms and General Pathology', 'All Conditions', 'Nervous System Diseases']",Chronic Pain,"['M28029', 'M11649', 'M10987']","['Chronic Pain', 'Pain', 'Neurologic Manifestations']","['high', 'low', 'low']",D000059350,Chronic Pain
NCT02959827,"['D000013959', 'D000004700']","['Thyroid Diseases', 'Endocrine System Diseases']","['BC19', 'All']","['Gland and Hormone Related Diseases', 'All Conditions']",Hypothyroidism,"['M8670', 'M15301', 'M6445']","['Hypothyroidism', 'Thyroid Diseases', 'Endocrine System Diseases']","['high', 'low', 'low']",D000007037,Hypothyroidism
NCT02395536,"['D000006331', 'D000002318', 'D000010335']","['Heart Diseases', 'Cardiovascular Diseases', 'Pathologic Processes']","['BC14', 'BC23', 'All']","['Heart and Blood Diseases', 'Symptoms and General Pathology', 'All Conditions']",Arrhythmia,"['M3034', 'M8002']","['Arrhythmias, Cardiac', 'Heart Diseases']","['high', 'low']",D000001145,"Arrhythmias, Cardiac"
NCT03628235,"['D000001480', 'D000001927', 'D000002493', 'D000009422', 'D000003704', 'D000002819', 'D000020820', 'D000009069', 'D000020271', 'D000019636', 'D000030342', 'D000003072', 'D000019965', 'D000001523']","['Basal Ganglia Diseases', 'Brain Diseases', 'Central Nervous System Diseases', 'Nervous System Diseases', 'Dementia', 'Chorea', 'Dyskinesias', 'Movement Disorders', 'Heredodegenerative Disorders, Nervous System', 'Neurodegenerative Diseases', 'Genetic Diseases, Inborn', 'Cognition Disorders', 'Neurocognitive Disorders', 'Mental Disorders']","['BC10', 'BC16', 'BXM', 'All', 'BC04', 'BC17', 'BC23', 'Rare']","['Nervous System Diseases', 'Diseases and Abnormalities at or Before Birth', 'Behaviors and Mental Disorders', 'All Conditions', 'Cancers and Other Neoplasms', 'Skin and Connective Tissue Diseases', 'Symptoms and General Pathology', 'Rare Diseases']","[""Huntington's Disease"", ""Huntington's Disease""]","['M8458', 'M24190', 'M14941', 'M3355', 'M3786', 'M4325', 'M5487', 'M4642', 'M21158', 'M10612', 'M20676', 'M20142', 'M22270', 'M4884', 'M20420', 'M3396', 'M13056', 'T2858']","['Huntington Disease', 'Ganglion Cysts', 'Synovial Cyst', 'Basal Ganglia Diseases', 'Brain Diseases', 'Central Nervous System Diseases', 'Dementia', 'Chorea', 'Dyskinesias', 'Movement Disorders', 'Heredodegenerative Disorders, Nervous System', 'Neurodegenerative Diseases', 'Genetic Diseases, Inborn', 'Cognition Disorders', 'Neurocognitive Disorders', 'Mental Disorders', 'Psychotic Disorders', 'Huntington Disease']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high']",D000006816,Huntington Disease
