,NCTId,AgreementOtherDetails,AgreementPISponsorEmployee,AgreementRestrictionType,AgreementRestrictiveAgreement,ArmGroupDescription,ArmGroupInterventionName,ArmGroupLabel,ArmGroupType,AvailIPDComment,AvailIPDId,AvailIPDType,AvailIPDURL,BaselineCategoryTitle,BaselineClassDenomCountGroupId,BaselineClassDenomCountValue,BaselineClassDenomUnits,BaselineClassTitle,BaselineDenomCountGroupId,BaselineDenomCountValue
22,NCT00928694,"Merck agreements may vary with individual investigators, but will not prohibit any investigator from publishing. Merck supports the publication of results from all centers of a multi-center trial but requests that reports based on single-site data not precede the primary publication of the entire clinical trial.",No,OTHER,Yes,"['Fenofibrate U.S. Formulation', 'Fenofibrate UK Formulation']","['Drug: fenofibrate (U.S. formulation)', 'Drug: fenofibrate (UK formulation)']","['1', '2']","['Active Comparator', 'Active Comparator']",0,0,0,0,"['Female', 'Male']",0,0,0,0,BG000,14
23,NCT02153996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,NCT00413673,0,0,0,0,PRK,Procedure: PRK,1,Experimental,0,0,0,0,0,0,0,0,0,0,0
25,NCT03867409,0,0,0,0,"['Participant is exposed to a demographically concordant (i.e. gender and race matched with patient) colon cancer screening message delivered by virtual human technology.', 'Participant is exposed to a demographically dis-concordant (i.e. gender and race matched with patient) colon cancer screening message delivered by virtual human technology.', 'Participant is exposed to a demographically concordant (i.e. gender and race matched with patient) colon cancer screening message delivered in a text-based format.', 'Participant is exposed to a demographically dis-concordant (i.e. gender and race matched with patient) colon cancer screening message delivered in a text-based format.']","['Behavioral: message delivered via virtual technology', 'Behavioral: message delivered via virtual technology', 'Behavioral: message delivered via virtual technology', 'Behavioral: message delivered via virtual technology']","['Concordant virtual human', 'Dis-concordant virtual human', 'Concordant text', 'Dis-concordant text']","['Experimental', 'Experimental', 'Experimental', 'Experimental']",0,0,0,0,0,0,0,0,0,0,0
26,NCT04004260,0,0,0,0,"['The intervention offered is a guided Internet-based CBT intervention. The intervention is similar to a self-help program, providing an opportunity to learn about new ways of coping with tinnitus during everyday life. It is a 8-week long e-learning intervention, with new modules introduced weekly and assignments are given to practice the techniques learned.', 'The weekly check-in control group will be monitored weekly by means of the Tinnitus Handicap Inventory-Screening version (THI-S) and the Tinnitus Qualities Questionnaire (TQQ). Once the experimental group completes the ICBT intervention, the control group undertake the same ICBT intervention.']","['Behavioral: Internet-based Cognitive Behavior Therapy', 'Behavioral: Internet-based Cognitive Behavior Therapy']","['Experimental group', 'Weekly check-in control group']","['Experimental', 'Other']",0,0,0,0,0,0,0,0,0,0,0
27,NCT04205877,0,0,0,0,All participants will have the same data collected at the same time points.,Device: Transcatheter PDA Closure,Registry Group,0,0,0,0,0,0,0,0,0,0,0,0
28,NCT01262079,0,0,0,0,0,0,"['Group 1: 6-15 years old', 'Group 2: 16-25 years old', 'Group 3: 26-35 years old', 'Group 4: 36-45 years old', 'Group 5: 46-55 years old', 'Group 6: 56-65 years old', 'Group 7: 66-75 years old', 'Group 8: 76-85 years old', 'Group 9: > 85 years old']",0,0,0,0,0,0,0,0,0,0,0,0
29,NCT00646438,0,0,0,0,"['strict glucose control (study arm)', 'standard insulin treatment (control arm)']",Drug: Strict Glycemic Control for one year post-op CABG,"['1', '2']","['Active Comparator', 'No Intervention']",0,0,0,0,0,0,0,0,0,0,0
30,NCT00341588,0,0,0,0,"['Male U.S. serviceman, age 18-45 years old with TGCT', 'Male U.S. serviceman, age 18-45 years old without TGCT']",0,"['Cases', 'Controls']",0,0,0,0,0,0,0,0,0,0,0,0
31,NCT04562636,0,0,0,0,"['Four environmental messages from the Meatless Monday campaign.', 'Four health messages from the Meatless Monday campaign.', ""Four neutral messages about checking one's credit score.""]","['Other: Environmental message', 'Other: Health message', 'Other: Neutral Message']","['Environment-focused Meatless Monday messages', 'Health-focused Meatless Monday messages', 'Neutral Message']","['Experimental', 'Experimental', 'Other']",0,0,0,0,0,0,0,0,0,0,0
32,NCT03924505,0,0,0,0,"['This arm will receive the naloxone intervention implementation manual and the External Facilitation (EF) intervention. The manual provides details for developing, implementing, and managing a naloxone intervention program within different types of organizations that serve people who use opioids, including SSPs. The EF intervention is a collaborative, organization-centered form of guiding to navigate barriers and leverage facilitators to advance an evidence-based intervention along the EPIS continuum. Guidance will be conducted by an External Facilitator.', 'This arm will receive the naloxone intervention implementation manual. The manual provides details for developing, implementing, and managing a naloxone intervention program within different types of organizations that serve people who use opioids, including SSPs.']","['Behavioral: Implementation Manual with External Facilitation Intervention', 'Behavioral: Implementation Manual only']","['Implementation Manual and External Facilitation', 'Implementation Manual - only']","['Experimental', 'Active Comparator']",0,0,0,0,0,0,0,0,0,0,0
33,NCT02334462,0,0,0,0,"['Arm A1 (N=5) to receive 16 micrograms Pfs25M on D0, D28 Arm A2 (N=50) to receive 47 micrograms Pfs25M and Normal Saline on D0, D28, D168, D530', 'Arm 1a (N=5) to receive 16 micrograms Pfs25M on D0, D28. Arm 1b (N=5) to receive 47 micrograms Pfs25M on D0, D28.', 'Arm B1 (N=5) to receive 15 micrograms Pfs230D1M on D0, D28 Pfs230D1M-EPA/Alhydrogel Arm B2 (N=50) to receive 40 micrograms Pfs230D1M and Normal Saline on D0, D28, D168, D530', 'Arm 2a (N=5) to receive 5 micrograms Pfs230D1M on D0, D28.Arm 2b (N=5) to receive 15 micrograms Pgs230D1M on D0, D28. Arm 2c (N=5) to receive 40 micrograms Pfs230D1M on D0, D28.', 'Arm C1 (N=5) to receive 16 micrograms Pfs25M and 15 micrograms Pfs230D1M on D0, D28Arm C2 (N=50) to receive 47 micrograms Pfs25M and 40 microgramsPfs230D1M on D0, D28, D168, D530', 'Arm 3a (N=5) to receive 16 micrograms Pfs25M and 15 micrograms Pfs230D1M on D0, D28. Arm 3b (N=5) to receive 47 micrograms Pfs25M and 40 micrograms Pfs230D1M on D0, D28.', 'Arm D1 (N=5) to receive TWINRIX on D0, D28Arm D2 (N=5) to receive TWINRIX and NormalSaline on D0, D28Arm D3 (N=50) to receive TWINRIX and NormalSaline on D0, D28, D168; to receive Menactra andNormal Saline on D530']","['Biological: Pfs25M-EPA/Alhydrogel', 'Biological: Pfs25M-EPA/Alhydrogel', 'Biological: Pfs230D1M-EPA/Alhydrogel', 'Biological: Pfs230D1M-EPA/Alhydrogel', 'Biological: Pfs230D1M-EPA/Alhydrogel', 'Biological: Pfs25M-EPA/Alhydrogel', 'Biological: Pfs230D1M-EPA/Alhydrogel', 'Biological: Pfs25M-EPA/Alhydrogel', 'Drug: TWINRIX', 'Drug: Menactra']","['Group 1- Mali', 'Group 1-U.S', 'Group 2- Mali', 'Group 2-U.S', 'Group 3- Mali', 'Group 3- U.S.', 'Group 4- Mali']","['Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Active Comparator']",0,0,0,0,0,0,0,0,0,0,0
34,NCT03311295,0,0,0,0,0,Device: ARTO System,ARTO System,Experimental,0,0,0,0,0,0,0,0,0,0,0
35,NCT03242278,0,0,0,0,"['NVAF patients who receive a standard dose of rivaroxaban (20 mg daily)', 'NVAF patients who receive a reduced dose of rivaroxaban (15 mg daily)']","['Drug: Rivaroxaban (Xarelto, BAY59-7939)', 'Drug: Rivaroxaban (Xarelto, BAY59-7939)']","['NVAF patients receiving 20 mg rivaroxaban', 'NVAF patients receiving 15 mg rivaroxaban']",0,0,0,0,0,0,0,0,0,0,0,0
36,NCT03683134,0,0,0,0,"['Participants will receive both nutrition education on patterns of a Mediterranean style diet as well as olive oil and mixed nuts.', 'Participants will receive nutrition education on the dietary recommendations for heart health from the American Heart Association.']","['Behavioral: Mediterranean diet', 'Dietary Supplement: Olive oil and mixed nuts', 'Behavioral: American Heart Association']","['Mediterranean diet group', 'American Heart Association group']","['Experimental', 'Active Comparator']",0,0,0,0,0,0,0,0,0,0,0
37,NCT04047316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,NCT03952364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,NCT04021030,0,0,0,0,0,Behavioral: Cognitive Behavioral Therapy (CBT),Cognitive Behavioral Therapy (CBT),Experimental,0,0,0,0,0,0,0,0,0,0,0
40,NCT02959827,0,No,OTHER,Yes,"Children under age 4 in the Kaiser Permanente Northern California database, who had a diagnostic procedure with an iodinated contrast agent",Drug: Iodinated contrast agents,Iodinated contrast agents,0,0,0,0,0,"['<1 month', '1 to 3 months', '3 to 6 months', '6 months to 1 year', '1 to 4 years', 'Female', 'Male', 'White', 'African American', 'Hispanic', 'Asian/Pacific islander', 'Other or missing']",0,0,0,0,BG000,2320
41,NCT02395536,0,No,0,Yes,"['Reveal LINQ insertions will be performed in office setting. The in office setting was defined as a procedure or office room with controlled entry and hard floors outside the walls of the hospital and not an ambulatory surgery center.', 'Reveal LINQ insertions will be performed in a traditional setting. The traditional hospital setting includes an operating room or electrophysiology laboratory.']","['Other: office setting', 'Other: hosptial setting']","['In office Outside walls of hospital', 'Traditional Hospital Setting']","['Experimental', 'Other']",0,0,0,0,"['Female', 'Male']","['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']","['251', '231', '482', '251', '231', '482', '0', '0', '0', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482']","['Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants']",United States,"['BG000', 'BG001', 'BG002']","['251', '231', '482']"
42,NCT03628235,0,0,0,0,"['CAG length ≥ 40; DCL = 4, TFC ≥ 11', 'CAG length ≥ 40; DCL = 4, 7 ≤ TFC ≤ 10', 'CAG length ≥ 40; DCL = 4, 0 ≤ TFC ≤ 6']","['Behavioral: Online survey', 'Behavioral: Online survey', 'Behavioral: Online survey', 'Behavioral: Online survey', 'Behavioral: Online survey', 'Behavioral: Online survey']","['Early stage HDGECs', 'Middle stage HDGECs', 'Late stage HDGECs', 'Companions of early stage HDGECs', 'Companions of middle stage HDGECs', 'Companions of late stage HDGECs']",0,0,0,0,0,0,0,0,0,0,0,0
43,NCT02787538,0,0,0,0,"[""The intervention group will receive simple instructions to access the US-ANSWER-2 decision aid and complete the program on their own computers within two days. At the end of the session, US-ANSWER-2 will produce a one-page summary with the participant's questions, concerns, and preferred medication option."", 'The control group will receive the online medication guide, reflective of usual practice. The online medication guide contains standard information about biologics, including an introduction about biologic options, dosages, and effects.']","['Behavioral: US-ANSWER-2 decision aid', 'Behavioral: Control group (Online medication guide)']","['US-ANSWER-2 decision aid', 'Control group (Online medication guide)']","['Experimental', 'Active Comparator']",0,0,0,0,0,0,0,0,0,0,0
44,NCT01290393,0,0,0,0,"['Women with last menstrual period between 30 days before and 90 days after any CERVARIX dose. The target sample size of the Exposed vaccinated cohort is 150 subjects.', 'Women with last menstrual period between 120 days and 18 months after the last CERVARIX or GARDASIL dose. The target sample size of the Non-exposed vaccinated cohort is 300 subjects.']","['Other: Data collection', 'Other: Data collection']","['Exposed vaccinated cohort', 'Non-exposed vaccinated cohort']",0,0,0,0,0,0,0,0,0,0,0,0
45,NCT04263311,0,0,0,0,"['There will be 81 treatment participants who will receive the Community Health Workers (CHW) intervention. Once recruited and consented, surveys will be administered and collected at baseline and 6 months in person or by a study coordinator within two weeks of completion of the CHW coaching component of the intervention. Participants enrolled in the intervention will receive monthly text and phone call reminders. in addition, multiple sessions will be hosted at varying times/days of the week to accommodate schedules of both working individuals and at-home caretakers. Finally, small incentives will be provided at each session to encourage ongoing attendance, and a cash raffle prize will be distributed at program completion for individuals who attend all five sessions.', 'There will be 81 control participants who will be offered the health education sessions as a point of service and not for research purposes']",Behavioral: CHW,"['Community Health Workers (CHW) treatment group', 'Control group']","['Experimental', 'No Intervention']",0,0,0,0,0,0,0,0,0,0,0
46,NCT00875641,"GSK agreements may vary with individual investigators, but will not prohibit any investigator from publishing. GSK supports the publication of results from all centers of a multi-center trial but requests that reports based on single-site data not precede the primary publication of the entire clinical trial.",No,OTHER,Yes,"['HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.']","['Other: Health Insurance Database', 'Other: Health Insurance Database', 'Other: Health Insurance Database']","['HRV cohort', 'Concurrent Control cohort', 'Recent Historical Control cohort']",0,0,0,0,0,"['Female', 'Male', 'Northeast', 'South/Southeast', 'Midwest', 'West']",0,0,0,US Geographic Region,"['BG000', 'BG001', 'BG002', 'BG003']","['57931', '173384', '159344', '390659']"
47,NCT03199846,0,0,0,0,"['Part 1 will consist of a representative sample of advanced melanoma patients, irrespective of date of diagnosis of stage III unresectable and metastatic/stage IV, to address information objectives on treatment patterns, clinical outcomes, and resource use after the start of treatment post-launch of new drugs, ie, since 2011 for ipi and 2015 for ipi + nivo in advanced melanoma', 'Part 2: patients must have been prescribed Ipi monotherapy during the index period between 01-Jan-2015 and 31-May-2016.', 'Part 2: patients must have been prescribed Ipi + nivo combination therapy during the index period between 01-Jan-2015 and 31-May-2016.', 'Part 2: patients must have been prescribed Dabrafenib + trametinib combination therapy during the index period between 01-Jan-2015 and 31-May-2016.', 'Part 2: patients must have been prescribed Pembro monotherapy during the index period between 01-Jan-2015 and 31-May-2016', 'Part 2: patients must have been prescribed Nivo monotherapy during the index period between 01-Jan-2015 and 31-May-2016']","['Other: Non-Interventional', 'Other: Non-Interventional', 'Other: Non-Interventional', 'Other: Non-Interventional', 'Other: Non-Interventional', 'Other: Non-Interventional']","['advanced melanoma patients', 'Ipi monotherapy', 'Ipi + nivo combination therapy', 'Dabrafenib + trametinib combination therapy', 'Pembro monotherapy', 'Nivo monotherapy']",0,0,0,0,0,0,0,0,0,0,0,0
48,NCT04587245,0,0,0,0,Physician or healthcare Provider based anywhere in the United States who is eligible to submit claims to an insurance company on behalf of patients,Other: Online questionnaire and interviews,Physicians,0,0,0,0,0,0,0,0,0,0,0,0
49,NCT02773979,0,0,0,0,"['Chloroquine (CQ)/PfSPZ Challenge 51200 sporozoites or CQ/normal saline (NS). N=12, randomized 3:1', 'CQ/PfSPZ Challenge 102400 sporozoites or CQ/NS. N=4, randomized 3:1', 'CQ/PfSPZ Challenge 102400 sporozoites N=9']","['Drug: Chloroquine', 'Biological: PfSPZ (NF54) Challenge', 'Other: Placebo', 'Drug: Chloroquine', 'Biological: PfSPZ (NF54) Challenge', 'Other: Placebo', 'Drug: Chloroquine', 'Biological: PfSPZ (NF54) Challenge']","['Group 1: PfSPZ 51200 sporozoites/Placebo', 'Group 2: PfSPZ 102400 sporozoites/Placebo', 'Group 3: PfSPZ 102400 sporozoites']","['Active Comparator', 'Active Comparator', 'Active Comparator']",0,0,0,0,0,0,0,0,0,0,0
50,NCT03274726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,NCT01283828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,NCT04191824,0,0,0,0,"['Immediate return of results to inform participant of APOL1 status (either positive or negative).', 'Delayed return of results of APOL1 status (either positive or negative) after the completion of the 6 month final study visit.']","['Diagnostic Test: APOL1 status', 'Diagnostic Test: APOL1 status']","['Immediate Return of Results', 'Delayed Return of Results']","['Active Comparator', 'Active Comparator']",0,0,0,0,0,0,0,0,0,0,0
53,NCT03197688,0,0,0,0,Not applicable as non-interventional study,Other: Notapplicable,Notapplicable,0,0,0,0,0,0,0,0,0,0,0,0
54,NCT02813577,"Prior to PI publication of site results, sponsor requires publication of multi-centers results.",No,OTHER,Yes,This is a single-arm study. Female subjects will receive the Lutonix® 035 Drug Coated Balloon PTA Catheter.,Device: Lutonix® 035 Drug Coated Balloon PTA Catheter,Lutonix® 035 Drug Coated Balloon PTA Catheter,Other,0,0,0,0,"['Female', 'Male', 'American Indian or Alaska Native', 'Asian', 'Native Hawaiian or Other Pacific Islander', 'Black or African American', 'White', 'More than one race', 'Unknown or Not Reported']",0,0,0,"['≥18 years of age', 'United States']",BG000,4
55,NCT00666380,0,0,0,0,0,"['Biological: Plasmodium falciparum Malaria Protein 010 (FMP010)', 'Biological: Plasmodium falciparum Malaria Protein 010 (FMP010)']","['10 ug of FMP010 antigen in 0.5 mL AS01B adjuvant', '50 ug of FMP010 antigen in 0.5 mL AS01B adjuvant']","['Experimental', 'Experimental']",0,0,0,0,0,0,0,0,0,0,0
56,NCT01287247,0,0,0,0,"['The target populations for which the sample size calculations are based are adult subjects aged ≥ 18 years with clinical diagnoses of cervical dystonia.', 'The target populations for which the sample size calculations are based are adult subjects aged ≥ 18 years with clinical diagnoses of blepharospasm.']","['Biological: Xeomin®', 'Biological: Xeomin®']","['Cervical Dystonia', 'Blepharospasm']",0,0,0,0,0,0,0,0,0,0,0,0
57,NCT04163341,0,0,0,0,0,Behavioral: Adapted Common Elements Treatment Approach,"['CETA protocol', 'Enhanced Usual Care']","['Experimental', 'No Intervention']",0,0,0,0,0,0,0,0,0,0,0
