,Rank,NCTId,BaselineDenomUnits,BaselineGroupDescription,BaselineGroupId,BaselineGroupTitle,BaselineMeasureCalculatePct,BaselineMeasureDenomCountGroupId,BaselineMeasureDenomCountValue,BaselineMeasureDenomUnits,BaselineMeasureDenomUnitsSelected,BaselineMeasureDescription,BaselineMeasureDispersionType,BaselineMeasureParamType,BaselineMeasurePopulationDescription,BaselineMeasureTitle,BaselineMeasureUnitOfMeasure,BaselineMeasurementComment,BaselineMeasurementGroupId,BaselineMeasurementLowerLimit,BaselineMeasurementSpread
0,11,['NCT00026728'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,12,['NCT01211990'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,13,['NCT02663219'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,14,['NCT00121108'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,15,['NCT01861210'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,16,['NCT02911155'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,17,['NCT00724867'],['Participants'],"['Participants, who had received belimumab 1milligram per kilogram (mg/kg) or 10 mg/kg or placebo in study HGS1006-C1056 , received intravenous (IV) infusion of belimumab 10 mg/kg body weight over 1 hour every 28 days. The first dose of belimumab was given 4 weeks (2 to 8 weeks) after the last dose in the HGS1006-C1056 study. Treatment continued for five years from the time the last participant enrolled in the study or until there were 100 or fewer participants enrolled. All participants received standard of care (SoC) for systemic lupus erythematosus (SLE) during study participation.']",['BG000'],['Belimumab 10 mg/kg IV'],[],[],[],[],[],[],['Standard Deviation'],"['Mean', 'Count of Participants', 'Number']",[],"['Age, Continuous', 'Sex: Female, Male', 'Race/Ethnicity, Customized']","['Years', 'Participants', 'Participants']",[],"['BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000']",[],['11.33']
0,18,['NCT03973905'],['Participants'],"['Infant subjects of at least 2 days old and less than (<) 2 months old, who met the pertussis diagnosis definition (laboratory confirmed pertussis, epidemiological linkage to a laboratory-confirmed case, clinically compatible illness), and who met the case infants inclusion criteria (resided in the catchment area on their cough onset date, were born in a hospital in their state of residence, had at least 37 weeks gestational age at birth, were neither adopted, nor in foster care and did not live in a residential care facility) This post-hoc analysis was limited to cases and controls whose mothers were either vaccinated with Boostrix or did not receive any Tdap vaccine. Cases with no remaining matched control were also excluded from the analysis and vice versa.', 'Infant subjects of at least 2 days old and less than (<) 2 months old, who did not have a pertussis diagnosis prior to the cough onset date and who met the inclusion criteria for control infants (were born on a hospital in their state of residence, were at least 37 weeks gestational age at birth, were neither adopted, nor in foster care, did not live in a residential care facility, were born at the same hospital as the case infant) This post-hoc analysis was limited to cases and controls whose mothers were either vaccinated with Boostrix or did not receive any Tdap vaccine. Cases with no remaining matched control were also excluded from the analysis and vice versa.', 'Total of all reporting groups']","['BG000', 'BG001', 'BG002']","['Pertussis Case Group', 'Control Group', 'Total']",[],[],[],[],[],[],['Standard Deviation'],"['Mean', 'Count of Participants', 'Count of Participants']",[],"['Age, Continuous', 'Sex: Female, Male', 'Race/Ethnicity, Customized']","['Weeks', 'Participants', 'Participants']",[],"['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']",[],"['1.9', '2.0', '2.0']"
0,19,['NCT00340457'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,20,['NCT02429284'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,21,['NCT02889263'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,22,['NCT03995745'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,23,['NCT00928694'],['Participants'],[],['BG000'],['All Participants'],[],[],[],[],[],[],"['Full Range', 'Full Range', 'Full Range']","['Mean', 'Count of Participants', 'Mean', 'Mean']",[],"['Age, Continuous', 'Sex: Female, Male', 'Height', 'Weight']","['years', 'Participants', 'Centimeters', 'Kilograms']",[],"['BG000', 'BG000', 'BG000', 'BG000', 'BG000']","['23', '154.94', '51.71']",[]
0,24,['NCT02153996'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,25,['NCT00413673'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,26,['NCT03867409'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,27,['NCT04004260'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,28,['NCT04205877'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,29,['NCT01262079'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,30,['NCT00646438'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,31,['NCT00341588'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,32,['NCT04562636'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,33,['NCT03924505'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,34,['NCT02334462'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,35,['NCT03311295'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,36,['NCT03242278'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,37,['NCT03683134'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,38,['NCT04047316'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,39,['NCT03952364'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,40,['NCT04021030'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,41,['NCT02959827'],['Participants'],"['Children under age 4, from the US-based Kaiser Permanente Northern California database, who were exposed to iodinated contrast agent through having a diagnostic procedure.']",['BG000'],['Iodine Contrast Agent'],[],[],[],[],[],[],[],"['Count of Participants', 'Count of Participants', 'Count of Participants']",[],"['Age, Customized', 'Sex: Female, Male', 'Race/Ethnicity, Customized']","['Participants', 'Participants', 'Participants']",[],"['BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000']",[],[]
0,42,['NCT02395536'],['Participants'],"['Reveal LINQ insertions will be performed in office setting.\n\nInsertion of Reveal LINQ device in office or traditional hospital setting: The insterions will be performed in a Physician office setting or in Traditional Hospital Setting as per the arm the patient is randomized in.', 'Reveal LINQ insertions will be performed in IN-a traditional setting\n\nInsertion of Reveal LINQ device in office or traditional hospital setting: The insterions will be performed in a Physician office setting or in Traditional Hospital Setting as per the arm the patient is randomized in.', 'Total of all reporting groups']","['BG000', 'BG001', 'BG002']","['In Office Outside Walls of Hospital', 'Traditional Hospital Setting', 'Total']",[],[],[],[],[],[],"['Standard Deviation', 'Standard Deviation']","['Mean', 'Count of Participants', 'Count of Participants', 'Number', 'Mean', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Count of Participants']",['Race and Ethnicity were not collected from any participant.'],"['Age, Continuous', 'Sex: Female, Male', 'Race and Ethnicity Not Collected', 'Region of Enrollment', 'Body mass index (kg/m^2)', 'Cardiomyopathy', 'Congestive heart failure', 'Hypertension', 'Myocardial infarction', 'Prior stroke or transient ischemic attack', 'Unexplained syncope', 'Paroxysmal atrial fibrillation', 'Persistent/permanent atrial fibrillation', 'Diabetes', 'Renal dysfunction']","['years', 'Participants', 'Participants', 'participants', 'kg/m^2', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants']",[],"['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']",[],"['14.0', '14.9', '14.4', '7.5', '7.1', '7.3']"
0,43,['NCT03628235'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,44,['NCT02787538'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,45,['NCT01290393'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,46,['NCT04263311'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,47,['NCT00875641'],['Participants'],"['HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.', 'Total of all reporting groups']","['BG000', 'BG001', 'BG002', 'BG003']","['HRV Cohort', 'Concurrent Control Cohort', 'Recent Historical Control Cohort', 'Total']",[],[],[],[],[],[],['Standard Deviation'],"['Mean', 'Count of Participants', 'Count of Participants']",[],"['Age, Continuous', 'Sex: Female, Male', 'Race/Ethnicity, Customized']","['Months', 'Participants', 'Participants']",[],"['BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003']",[],"['0.7', '0.7', '0.7', '0.7']"
0,48,['NCT03199846'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,49,['NCT04587245'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,50,['NCT02773979'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,51,['NCT03274726'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,52,['NCT01283828'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,53,['NCT04191824'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,54,['NCT03197688'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,55,['NCT02813577'],['Participants'],['This is a single-arm study. Female subjects will receive the Lutonix® 035 Drug Coated Balloon PTA Catheter.\n\nLutonix® 035 Drug Coated Balloon PTA Catheter: Female subjects will receive the Lutonix® 035 Drug Coated Balloon PTA Catheter.'],['BG000'],['Lutonix® 035 Drug Coated Balloon PTA Catheter'],[],[],[],[],[],[],[],"['Count of Participants', 'Count of Participants', 'Count of Participants', 'Number']",[],"['Age, Customized', 'Sex: Female, Male', 'Race (NIH/OMB)', 'Region of Enrollment']","['Participants', 'Participants', 'Participants', 'Participants']",[],"['BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000']",[],[]
0,56,['NCT00666380'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,57,['NCT01287247'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,58,['NCT04163341'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,59,['NCT02987335'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,60,['NCT02867722'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,61,['NCT03276637'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,62,['NCT03192891'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,63,['NCT03373045'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,64,['NCT04229212'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,65,['NCT02848781'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,66,['NCT00385047'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,67,['NCT02993120'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,68,['NCT03045120'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,69,['NCT01154296'],['Participants'],"['Individuals who screen as eligible will complete written informed consent procedures, be enrolled, be tested for STIs, and be asked to complete a baseline assessment using audio computer-assisted self interview (ACASI). Then participants randomized to group 1 will receive rapid HIV testing and RESPECT-2 counseling.\n\nRESPECT-2 Counseling: Specifically designed for use with the rapid HIV test, involves a brief (approximately 20-40 minute) counseling session which includes an orientation to the rapid testing procedure, an explanation of the testing window period, routes of HIV transmission and the meaning of test results, a personalized exploration of risk, the creation of a risk-reduction plan, identification of sources for support and referrals, and HIV test results.', 'Individuals who screen as eligible will complete written informed consent procedures, be enrolled, be tested for STIs, and be asked to complete a baseline assessment using audio computer-assisted self interview (ACASI). Then participants randomized to group 2 will receive rapid HIV testing with information only.', 'Total of all reporting groups']","['BG000', 'BG001', 'BG002']","['Rapid HIV Testing w/ Counseling (Group 1)', 'Rapid HIV Testing & Information Only (Group 2)', 'Total']",[],[],[],[],[],"['Men were classified as MSM if, at study intake, they reported any previous anal or oral sex with males or if on the baseline sexual risk behavior questions they reported having anal or oral sexwith another male at any time during the study. All men who did not meet the definition of MSM were classified as men who have sex with women.', 'Note that standard errors (not standard deviations) are presented below with the least squares means.', 'Note that standard errors (not standard deviations) are presented below with the least squares means.', 'Note that standard errors (not standard deviations) are presented below with the least squares means.', 'Note that standard errors (not standard deviations) are presented below with the least squares means.']","['Standard Deviation', 'Standard Deviation', 'Standard Deviation', 'Standard Deviation']","['Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Least Squares Mean', 'Least Squares Mean', 'Least Squares Mean', 'Least Squares Mean']",[],"['Age, Customized', 'Sex/Gender, Customized', 'Race/Ethnicity, Customized', 'Region of Enrollment', 'Men who have sex with men (MSM), #', 'Any STI, #', 'Any STI excluding trichomoniasis, #', 'Gonorrhea, #', 'Chlamydia, #', 'Trichomoniasis, #', 'Syphilis, #', 'HSV-2, #', 'HIV, #', '# of sex acts', '# of unprotected sex acts', '# of partners', '# of unprotected partners']","['participants', 'participants', 'participants', 'participants', 'participants', 'participants', 'participants', 'participants', 'participants', 'participants', 'participants', 'participants', 'participants', 'sex acts', 'unprotected sex acts', 'partners', 'unprotected partners']",[],"['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']",[],"['1.0809', '1.0431', '0.751', '0.9578', '0.9068', '0.6594', '0.1141', '0.1135', '0.08047', '0.05812', '0.05696', '0.04069']"
0,70,['NCT02857764'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,71,['NCT00412568'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,72,['NCT03353480'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,73,['NCT00800267'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,74,['NCT00601835'],['Participants'],"['Participants received the Canadian manufactured Tetanus and Diphtheria Toxoids Adsorbed vaccine for Adult Use (TENIVAC™)', 'Participants received the US manufactured Tetanus and Diphtheria Toxoids Adsorbed vaccine for Adult Use (DECAVAC®)', 'Total of all reporting groups']","['BG000', 'BG001', 'BG002']","['Canadian Td Vaccine Group', 'United States Td Vaccine Group', 'Total']",[],[],[],[],[],[],['Standard Deviation'],"['Count of Participants', 'Mean', 'Count of Participants', 'Number']",[],"['Age, Categorical', 'Age, Continuous', 'Sex: Female, Male', 'Region of Enrollment']","['Participants', 'years', 'Participants', 'participants']",[],"['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']",[],"['23.49', '7.89', '25.60']"
0,75,['NCT01087905'],['Participants'],"['Participants in this randomization group received 2 weeks of nicotine patch only and standard quitline cessation counseling consisting of 4 proactive counseling calls (but no Cognitive Medication Adherence Counseling (CMAC).', 'Participants in this randomization group received 2 weeks of nicotine patch only and standard quitline cessation counseling consisting of 4 proactive counseling calls plus Cognitive Medication Adherence Counseling (CMAC).', 'Participants in this randomization group received 2 weeks of nicotine patch plus nicotine gum and standard quitline cessation counseling consisting of 4 proactive counseling calls (but no Cognitive Medication Adherence Counseling (CMAC).', 'Participants in this randomization group received 2 weeks of nicotine patch plus nicotine gum and standard quitline cessation counseling consisting of 4 proactive counseling calls plus Cognitive Medication Adherence Counseling (CMAC).', 'Participants in this randomization group received 6 weeks of nicotine patch only and standard quitline cessation counseling consisting of 4 proactive counseling calls (but no Cognitive Medication Adherence Counseling (CMAC).', 'Participants in this randomization group received 6 weeks of nicotine patch only and standard quitline cessation counseling consisting of 4 proactive counseling calls plus Cognitive Medication Adherence Counseling (CMAC).', 'Participants in this randomization group received 6 weeks of nicotine patch plus nicotine gum and standard quitline cessation counseling consisting of 4 proactive counseling calls (but no Cognitive Medication Adherence Counseling (CMAC).', 'Participants in this randomization group received 6 weeks of nicotine patch plus nicotine gum and standard quitline cessation counseling consisting of 4 proactive counseling calls plus Cognitive Medication Adherence Counseling (CMAC).', 'Total of all reporting groups']","['BG000', 'BG001', 'BG002', 'BG003', 'BG004', 'BG005', 'BG006', 'BG007', 'BG008']","['2 Weeks of Nicotine Patch Only, No CMAC', '2 Weeks of Nicotine Patch Only Plus CMAC', '2 Weeks of Nicotine Patch+Nicotine Gum , No CMAC', '2 Weeks of Nicotine Patch+Nicotine Gum and CMAC', '6 Weeks of Nicotine Patch Only, No CMAC', '6 Weeks of Nicotine Patch Only Plus CMAC', '6 Weeks of Nicotine Patch+Nicotine Gum , No CMAC', '6 Weeks of Nicotine Patch+Nicotine Gum and CMAC', 'Total']",[],[],[],[],[],[],['Standard Deviation'],"['Count of Participants', 'Mean', 'Count of Participants', 'Number']",[],"['Age, Categorical', 'Age, Continuous', 'Gender', 'Region of Enrollment']","['Participants', 'years', 'Participants', 'participants']",[],"['BG000', 'BG001', 'BG002', 'BG003', 'BG004', 'BG005', 'BG006', 'BG007', 'BG008', 'BG000', 'BG001', 'BG002', 'BG003', 'BG004', 'BG005', 'BG006', 'BG007', 'BG008', 'BG000', 'BG001', 'BG002', 'BG003', 'BG004', 'BG005', 'BG006', 'BG007', 'BG008', 'BG000', 'BG001', 'BG002', 'BG003', 'BG004', 'BG005', 'BG006', 'BG007', 'BG008', 'BG000', 'BG001', 'BG002', 'BG003', 'BG004', 'BG005', 'BG006', 'BG007', 'BG008', 'BG000', 'BG001', 'BG002', 'BG003', 'BG004', 'BG005', 'BG006', 'BG007', 'BG008', 'BG000', 'BG001', 'BG002', 'BG003', 'BG004', 'BG005', 'BG006', 'BG007', 'BG008']",[],"['12.99', '12.61', '11.24', '11.96', '14.19', '13.627', '13.51', '13.31', '12.96']"
0,76,['NCT02616198'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,77,['NCT00007540'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,78,['NCT02163525'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,79,['NCT03310112'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,80,['NCT02766634'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,81,['NCT02971709'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,82,['NCT03801928'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,83,['NCT01641029'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
