,Rank,NCTId,BaselineMeasurementUpperLimit,BaselineMeasurementValue,BaselinePopulationDescription,BaselineTypeUnitsAnalyzed,BioSpecDescription,BioSpecRetention,BriefSummary,BriefTitle,CentralContactEMail,CentralContactName,CentralContactPhone,CentralContactPhoneExt,CentralContactRole,CollaboratorClass,CollaboratorName,CompletionDate,CompletionDateType,Condition,ConditionAncestorId
0,18,['NCT03973905'],[],"['5.0', '4.8', '4.9', '49', '90', '139', '58', '93', '151', '88', '140', '228', '9', '13', '22', '10', '30', '40']",[],[],[],[],['The purpose of this study is to estimate the effectiveness of maternal immunization with Boostrix at preventing pertussis in infants in the United States.'],['Effectiveness of Maternal Immunization With Boostrix at Preventing Pertussis Among Infants <2 Months Old in the United States'],[],[],[],[],[],[],[],"['May 15, 2019']",['Actual'],['Whooping Cough'],"['D000012140', 'D000001885', 'D000016905', 'D000001424', 'D000012141', 'D000007239']"
0,19,['NCT00340457'],[],[],[],[],[],[],"['Incidence rates of renal cell cancer have increased rapidly in the U.S. and other countries. In particular, rates among African Americans have risen more sharply than any other cancer site. We propose to conduct a population-based case-control study of renal cell cancer in areas of the U.S. with a high proportion of African American residents. We will include two study centers and one data coordinating center and will recruit study participants over a period of four years. We plan to conduct in-person interviews with 2,100 cases (1,400 whites and 700 blacks) and 2,800 controls (1,400 each of whites and blacks) to elicit information on demographic background and history of exposures. A 40 ml blood sample will be collected from living cases and controls to measure certain environmental exposures and for genetic analyses. Two buccal cell samples will be collected from living cases and controls for genetic analyses. Tumor tissue blocks will be collected from as many cases as possible for assays of tumor mutations. Diagnostic slides will be collected for standardized reclassification of tumors into clear cell, papillary, and other histologic subtypes. Medical records for all cases will be reviewed for health insurance coverage, concomitant conditions, presenting symptoms, tumor stage, size and grade, and methods leading to diagnosis of renal cell cancer.']",['Case-Control Study of Renal Cell Cancer Among Caucasions and African Americans in the United States'],[],[],[],[],[],[],[],[],[],"['Kidney Cancer', 'Renal Cell Carcinoma']","['D000002277', 'D000009375', 'D000009370', 'D000009369', 'D000000230', 'D000014571', 'D000014565', 'D000009371', 'D000007674', 'D000014570']"
0,20,['NCT02429284'],[],[],[],[],[],[],"['The U.S. CTEPH Registry is a multicenter, observational, U.S.-based study of the clinical course and treatment of patients diagnosed with chronic thromboembolic pulmonary hypertension (CTEPH), WHO Group IV Classification for Pulmonary Hypertension. The mission of the Registry will be to promote a greater understanding of the prevalence, pathophysiology, evaluation, and treatment of patients with CTEPH through shared information, education, and collaborative investigation among pulmonary hypertension (PH) centers of excellence throughout the U.S.']",['U.S. CTEPH Registry'],[],[],[],[],[],['INDUSTRY'],"['E Squared Trials and Registries, Inc.']",['November 2019'],['Actual'],"['Chronic Thromboembolic Pulmonary Hypertension (CTEPH)', 'Pulmonary Hypertension']","['D000014652', 'D000002318', 'D000008171', 'D000012140']"
0,21,['NCT02889263'],[],[],[],[],[],[],"[""The problem of rehospitalizations in the US is well documented but poorly understood. Although Medicare compares the rates of rehospitalization across the country, we have found no comparison of different countries. This is a first attempt to compare rehospitalization in the US with France where national health insurance (NHI) provides easy access to primary care but, like the US, policymakers struggle to improve coordination between hospitals and community-based health care providers.Although France's NHI system with central state intervention differs from the United States' tradition of federalism, private health insurance and pluralism, policymakers seek to achieve cost savings and to reform the health care system. A recent literature review on avoidable rehospitalization of older persons in France cited studies on the topic and relied largely on ones from the US. Starting in 2013, the Center for Medicare and Medicaid Services' (CMS) 'Hospitals Readmissions Reductions Program' withheld up to 1% of regular reimbursements for hospitals with higher than expected (by CMS) rates of rehospitalization, within 30 days of discharge, due to heart attacks, heart failure and pneumonia. CMS increased this to 2% in 2014, will raise it to 3% in 2015 and may subsequently expand the list of conditions for which it will penalize early rehospitalizations. Policymakers in France have been reluctant to implement a hospital pay for performance system based on a rehospitalization indicator whose validity is a subject of considerable controversy. Despite the controversy and differences in approach, a comparison of rehospitalizations between the US and France provides a cross-national perspective on a timely policy issue facing both countries.""]",['Comparison of Rehospitalization Rates in France and the United States'],[],[],[],[],[],[],[],[],[],['Individuals Hospitalized for Any Disease'],[]
0,22,['NCT03995745'],[],[],[],[],[],[],"['With support from the NIH, this pilot study will assess the feasibility of using wireless devices and financial incentives to motivate medication adherence among HIV-positive adults in the U.S., focusing on those with non-suppressed viral loads.\n\nWhile daily lotteries using wireless devices may have great potential for improving adherence to ART regimens, substantial questions exist as to whether it is: 1) possible to achieve high rates of uptake for a pilot offering wireless devices to high-risk populations; 2) achieve high rates of sustained engagement.']",['Medication Adherence and Outcomes Among Patients in United States With HIV'],[],[],[],[],[],['OTHER'],['Drexel University'],"['October 13, 2020']",['Actual'],"['Human Immunodeficiency Virus', 'Medication Adherence']","['D000007153', 'D000007154', 'D000016180', 'D000012192', 'D000012327', 'D000014777', 'D000015229', 'D000012749', 'D000012897']"
0,23,['NCT00928694'],"['45', '187.96', '93.90']","['36.7', '5', '9', '169.64', '73.94']",[],[],[],[],['This study will determine definitive bioequivalence of the United States (U.S.) and United Kingdom (UK) formulations of fenofibrate following administration of single doses in healthy adult subjects.'],['Fenofibrate Bioequivalence Study (0767-031)'],[],[],[],[],[],[],[],['April 2004'],['Actual'],['Dyslipidemia'],"['D000052439', 'D000008659']"
0,24,['NCT02153996'],[],[],[],[],[],[],"['Plasmodium falciparum malaria is a major cause of morbidity and mortality in tropical and sub-tropical areas worldwide. Repeated P. falciparum infections in endemic areas induce protective immunity, thus providing optimism that an effective malaria vaccine can be developed. Key to the development of such a vaccine is an understanding of the immune mechanisms underlying protection and the longevity of these responses in the absence of continuous P. falciparum exposure. Anecdotal evidence suggests clinical immunity to malaria wanes within months to years after an immune individual leaves an endemic area. A detailed, systematic description of the quality and longevity of the P. falciparum-specific humoral and cellular immune responses in such individuals over time in the absence of ongoing exposure is lacking.\n\nThis protocol will attempt to fill this knowledge gap through comprehensive longitudinal immunological analyses of two populations of healthy adult volunteers: 1) naive travelers returning from malaria endemic areas recently treated (within 2 weeks) for acute P. falciparum malaria and referred from hospitals in the metropolitan Washington DC area; and 2) immigrants from malaria endemic areas living in the metropolitan Washington DC area with serologic evidence of past P. falciparum exposure. In both groups, venipuncture and possibly apheresis will be performed for the isolation of plasma, RNA and peripheral blood mononuclear cells (PBMCs) which will be analysed to understand the components of innate and adaptive immunity to malaria. Na(SqrRoot) ve travelers returning from malaria endemic areas recently treated for acute malaria will undergo venipuncture at enrollment, then once every 2 weeks for 2 months, then every 3 months for 1 year, and then every 6 months for up to 5 years. Immigrants will be seen every three months for one year and then every six months for up to 5 years. All subjects who return to the U.S. from a malaria endemic area will be evaluated within two weeks of return for repeat venipuncture and will restart the same sequence of blood draws as naive travelers. Optional apheresis will be performed on both na(SqrRoot) ve travelers and immigrants at enrollment, at 1, 6, and 12 months, then yearly therafter.\n\nThe primary objective is to estimate the quality and longevity of P. falciparum-specific humoral and cellular immune responses in the absence of ongoing P. falciparum exposure in both returned na(SqrRoot) ve travelers and immigrants. The secondary objective is to compare the P. falciparum-specific humoral and cellular immune response in na(SqrRoot) ve travelers and immigrants to individuals in malaria-endemic areas enrolled in ongoing LIG protocols in Mali.\n\n...']",['Longitudinal Analysis of Plasmodium Falciparum-Specific Immunity in Travelers and Immigrants From Malaria Endemic Areas to the United States'],[],[],[],[],[],[],[],"['March 15, 2016']",['Actual'],['Malaria'],"['D000011528', 'D000010272']"
0,25,['NCT00413673'],[],[],[],[],[],[],"['The objective of this study is to conduct a prospective clinical trial to evaluate the safety and efficacy fo the VISX Excimer Laser system for the treatment of naturally occurring low to moderate myopia, with or without low levels of astigmatism, in U.S. Army personnel.']",['Initial Evaluation of Photorefractive Keratectomy in U.S. Army Personnel'],[],[],[],[],[],[],[],['March 2008'],[],['Myopia'],"['D000012030', 'D000005128']"
0,26,['NCT03867409'],[],[],[],[],[],[],"['The purpose of this study is to pilot test the efficacy of a patient-centered, tailored message intervention delivered via virtual human technology for increasing colorectal cancer (CRC) screening within guidelines. Although participation is not limited to these groups, the study team is particularly interested in the feasibility of the intervention for reaching racial/ethnic minority and rural patients.']",['The United States Healthy Living Study'],[],[],[],[],[],['NIH'],['National Cancer Institute (NCI)'],"['March 14, 2019']",['Actual'],['Colo-rectal Cancer'],"['D000015179', 'D000007414', 'D000005770', 'D000004067', 'D000009371', 'D000009369', 'D000004066', 'D000005767', 'D000007410', 'D000012002']"
0,27,['NCT04004260'],[],[],[],[],[],[],"['Nearly 50 million people in the U.S. experience tinnitus, of which about 20 million people have burdensome chronic tinnitus. Tinnitus can be very debilitating as many aspects of daily life can be affected, such as sleep, mood, and concentration. Currently, there is no cure for tinnitus. Pharmacological or sound-therapy based interventions are sometimes provided, but may be of limited value to certain individuals. Research suggests that Cognitive Behavior Therapy (CBT) based approaches have the most evidence of effectiveness in the management of tinnitus. However, CBT is rarely offered in the U.S. (less than 1%), partly attributed to a lack of trained professionals who can deliver CBT. To improve access to CBT for tinnitus, and online CBT program has been developed. The purpose of this study is to determine the feasibility and efficacy of a CBT Internet-based intervention for adults with tinnitus in the United States.']",['CBT-based Internet Intervention for Adults With Tinnitus in the United States'],[],[],[],[],[],[],[],"['August 31, 2021']",['Anticipated'],['Tinnitus'],"['D000006311', 'D000004427', 'D000010038', 'D000012678', 'D000009461', 'D000009422']"
0,28,['NCT04205877'],[],[],[],[],[],[],['The objective of this study is to demonstrate the continued safety and efficacy in a real-world setting of transcatheter device closure of the PDA in premature infants less than 2kg in weight at the time of device implant using the Amplatzer Piccolo Occluder device and other devices performed in the USA.'],['The U.S. PDA Registry'],"['ssathan@uthsc.edu', 'jorden.cunningham@lebonheur.org']","['Shyam K Sathanandam, MD', 'Jorden Cunningham, BSN']","['901-287-6380', '901-287-7457']",[],"['Contact', 'Contact']",['INDUSTRY'],['Abbott'],"['December 1, 2031']",['Anticipated'],"['Ductus Arteriosus, Patent']","['D000006330', 'D000018376', 'D000002318', 'D000006331', 'D000000013']"
0,29,['NCT01262079'],[],[],[],[],['Serum Plasma PBMC Whole-blood'],['Samples With DNA'],"['This is a specimen collection protocol designed with the purpose of understanding the immune responses to influenza in children and adult subjects through collection of blood specimens and influenza medical history data. This protocol will allow the investigators to evaluate influenza-specific immune responses to a variety of influenza strains in a broad age range of the U.S. population early and late in the 2010-2011 influenza season. Immune responses will be evaluated using blood samples. The underlying hypothesis for this protocol is that the detailed characterization of immune responses to influenza in subjects from different age groups will further the understanding of immune responses cross-reactivity and advance development of influenza vaccines that are cross-reactive against old, new and re-emerging influenza strains.']",['Evaluation of Influenza-Specific Immune Responses in Children and Adults During the 2010-2011 Influenza Season in the U.S.'],[],[],[],[],[],['INDUSTRY'],"['The Emmes Company, LLC']",['August 2011'],['Actual'],['Influenza'],"['D000009976', 'D000012327', 'D000014777', 'D000012141', 'D000012140']"
0,30,['NCT00646438'],[],[],[],[],[],[],"['Standard care for patients with diabetes having CABG surgery at Providence St. Vincent Medical Center includes strict control of blood sugar (glucose) levels for 3 days after surgery. This is done through frequent monitoring of blood sugar levels and by giving insulin continuously through a needle into a vein (intravenously). This intensive glucose control has resulted in fewer complications such as serious infections and death, and has shortened the length of the hospital stay for patients.\n\nThis study treatment is different from standard treatment in that it extends the intensive glucose control beyond the third postoperative day to one full year. Once discharged from the hospital following the CABG procedure, the intense glucose control is done using subcutaneous insulin (a shot under the skin), oral medications, and by measuring blood sugar levels frequently.\n\nThe purpose of this study is to see how safe and effective strict glucose control is when extended beyond 3 days and hospital discharge for one year. Another purpose is to see how well patients can comply with the daily management of intensive glucose control for one-year as well as the study follow-up schedule.']",['United States Coronary Artery Bypass Surgery (CABG) Diabetes Project (USCDP) Pilot Study'],"['eric.johnson@providence.org', 'tfurnary@mac.com']","['Eric M. Johnson, BA/CCRC', 'Tony Furnary, MD']","['503-216-2075', '503-297-1419']",[],"['Contact', 'Contact']","['INDUSTRY', 'INDUSTRY']","['Sanofi', 'LifeScan']",['December 2012'],['Anticipated'],"['Diabetes', 'Coronary Artery Disease']","['D000044882', 'D000008659', 'D000004700', 'D000003327', 'D000017202', 'D000006331', 'D000002318', 'D000001161', 'D000001157', 'D000014652']"
