,Rank,NCTId,FlowReasonComment,FlowReasonGroupId,FlowReasonNumSubjects,FlowReasonNumUnits,FlowRecruitmentDetails,FlowTypeUnitsAnalyzed,Gender,GenderBased,GenderDescription,HasExpandedAccess,HealthyVolunteers,IPDSharing,IPDSharingAccessCriteria,IPDSharingDescription,IPDSharingInfoType,IPDSharingTimeFrame,IPDSharingURL,InterventionAncestorId,InterventionAncestorTerm
0,17,['NCT00724867'],[],"['FG000', 'FG000', 'FG000', 'FG000', 'FG000', 'FG000', 'FG000', 'FG000', 'FG000', 'FG000', 'FG000', 'FG000']","['25', '14', '12', '6', '17', '1', '31', '14', '1', '4', '1', '2']",[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],"['D000007166', 'D000007155', 'D000045505']","['Immunosuppressive Agents', 'Immunologic Factors', 'Physiological Effects of Drugs']"
0,18,['NCT03973905'],[],[],[],[],"['The present analysis has been performed on the data set of a case-control study conducted in 6 US Emerging Infection Program Network states, either statewide (4 states) or in select counties (2 states) by Skoff et al., 2017.']",[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['No'],[],[],[],[],[],[],[]
0,19,['NCT00340457'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,20,['NCT02429284'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,21,['NCT02889263'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,22,['NCT03995745'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,23,['NCT00928694'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],"['D000000960', 'D000000963', 'D000045504', 'D000057847']","['Hypolipidemic Agents', 'Antimetabolites', 'Molecular Mechanisms of Pharmacological Action', 'Lipid Regulating Agents']"
0,24,['NCT02153996'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,25,['NCT00413673'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,26,['NCT03867409'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['No'],[],[],[],[],[],[],[]
0,27,['NCT04004260'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['Yes'],['Data access requests will be reviewed by the research team. Requestors will be required to sign a Data Access Agreement.'],['The de-identified individual participant data for all primary and secondary outcome measures will be made available'],"['Study Protocol', 'Statistical Analysis Plan (SAP)']",['Data will be available within 1-year of the study completion.'],[],[],[]
0,28,['NCT04205877'],[],[],[],[],[],[],['All'],[],[],['No'],[],['Yes'],"['Investigators will submit proposal to request data to the Proposal Review Committee. If approved, de-identified data will be shared.']","['A Data Management Plan (DMP) will describe procedures used for data review, database cleaning, and issuing and resolving data queries. If appropriate, the DMP may be updated throughout the clinical investigation duration. All revisions will be tracked and document controlled. Subject data will be captured in a validated electronic data capture (EDC) system. Only authorized site personnel will be permitted to enter the CRF data through the EDC system. An electronic audit trail will be used to track any subsequent changes of the entered data.']","['Study Protocol', 'Clinical Study Report (CSR)']",['Data will become available when it is collected and added to the national database. It will be available for 12 years.'],[],[],[]
0,29,['NCT01262079'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,30,['NCT00646438'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,31,['NCT00341588'],[],[],[],[],[],[],['Male'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,32,['NCT04562636'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,33,['NCT03924505'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['No'],[],[],[],[],[],[],[]
0,34,['NCT02334462'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],"['D000000276', 'D000007155', 'D000045505', 'D000000863', 'D000045504', 'D000005765']","['Adjuvants, Immunologic', 'Immunologic Factors', 'Physiological Effects of Drugs', 'Antacids', 'Molecular Mechanisms of Pharmacological Action', 'Gastrointestinal Agents']"
0,35,['NCT03311295'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,36,['NCT03242278'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],"['D000065427', 'D000000991', 'D000015842', 'D000011480', 'D000004791', 'D000045504', 'D000000925']","['Factor Xa Inhibitors', 'Antithrombins', 'Serine Proteinase Inhibitors', 'Protease Inhibitors', 'Enzyme Inhibitors', 'Molecular Mechanisms of Pharmacological Action', 'Anticoagulants']"
0,37,['NCT03683134'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,38,['NCT04047316'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,39,['NCT03952364'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,40,['NCT04021030'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['Yes'],"['Data access requests should be directed to Mark Ilgen (PI) at marki@umich.edu up to 36 months following article publication. To gain access, requestors will be required to sign a Data Access Agreement.']","['Individual participant data that underlie the results reported in this article, after deidentiﬁcation (text, tables, ﬁgures, and appendices).']","['Study Protocol', 'Informed Consent Form (ICF)']",['Beginning 6 months and ending 36 months following article publication.'],[],[],[]
0,41,['NCT02959827'],[],[],[],[],"['This study was a retrospective cohort study, using the data from the years 2008 to June of 2016 in the database of Kaiser Permanente Northern California.']",[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,42,['NCT02395536'],[],"['FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001']","['4', '4', '2', '0', '4', '6', '9', '17', '1', '2', '0', '1']",[],['525 subjects were assessed for eligibility'],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,43,['NCT03628235'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['Undecided'],[],[],[],[],[],[],[]
0,44,['NCT02787538'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,45,['NCT01290393'],[],[],[],[],[],[],['Female'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,46,['NCT04263311'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['Yes'],"['The investigator who proposed to use the data. Researchers who provide a methodologically sound proposal. Upon reasonable request Requests should be directed to laura.wyatt@nyulangone.org. To gain access, data requestors will need to sign a data access agreement.']","['Individual participant data that underlie the results reported in this article, after deidentification (text, tables, figures, and appendices).']","['Study Protocol', 'Statistical Analysis Plan (SAP)']",['Beginning 9 months and ending 36 months following article publication or as required by a condition of awards and agreements supporting the research.'],[],[],[]
0,47,['NCT00875641'],[],[],[],[],"['Subjects were identified through the automated corresponding health insurance plan databases, OptumInsight Life Sciences Research Database (from United Healthcare) and the HealthCore Integrated Research Database (HIRDSM) (part of Anthem, formerly known as WellPoint).']",[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,48,['NCT03199846'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,49,['NCT04587245'],[],[],[],[],[],[],['All'],[],[],['No'],[],['No'],[],[],[],[],[],[],[]
0,50,['NCT02773979'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],"['D000000563', 'D000000981', 'D000000977', 'D000000890', 'D000000962', 'D000018501']","['Amebicides', 'Antiprotozoal Agents', 'Antiparasitic Agents', 'Anti-Infective Agents', 'Antimalarials', 'Antirheumatic Agents']"
0,51,['NCT03274726'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,52,['NCT01283828'],[],[],[],[],[],[],['Female'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,53,['NCT04191824'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,54,['NCT03197688'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,55,['NCT02813577'],[],['FG000'],['4'],[],[],[],['Female'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,56,['NCT00666380'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,57,['NCT01287247'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],"['D000065087', 'D000049990', 'D000045504', 'D000018678', 'D000018377', 'D000045505', 'D000009465', 'D000018373']","['Acetylcholine Release Inhibitors', 'Membrane Transport Modulators', 'Molecular Mechanisms of Pharmacological Action', 'Cholinergic Agents', 'Neurotransmitter Agents', 'Physiological Effects of Drugs', 'Neuromuscular Agents', 'Peripheral Nervous System Agents']"
0,58,['NCT04163341'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,59,['NCT02987335'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,60,['NCT02867722'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['No'],[],['Data will be aggregated and analyzed'],[],[],[],"['D000017319', 'D000003879']","['Photosensitizing Agents', 'Dermatologic Agents']"
0,61,['NCT03276637'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['Undecided'],[],[],[],[],[],[],[]
0,62,['NCT03192891'],[],[],[],[],[],[],['All'],[],[],['No'],[],['Undecided'],[],[],[],[],[],[],[]
0,63,['NCT03373045'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,64,['NCT04229212'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['Undecided'],[],[],[],[],[],"['D000000897', 'D000005765', 'D000006635', 'D000006633', 'D000018494', 'D000018377', 'D000045504', 'D000045505', 'D000065609', 'D000065607', 'D000004791']","['Anti-Ulcer Agents', 'Gastrointestinal Agents', 'Histamine H2 Antagonists', 'Histamine Antagonists', 'Histamine Agents', 'Neurotransmitter Agents', 'Molecular Mechanisms of Pharmacological Action', 'Physiological Effects of Drugs', 'Cytochrome P-450 CYP1A2 Inhibitors', 'Cytochrome P-450 Enzyme Inhibitors', 'Enzyme Inhibitors']"
0,65,['NCT02848781'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,66,['NCT00385047'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,67,['NCT02993120'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['Yes'],"['Qualified researchers may submit a request containing the research objectives, the Amgen product(s) and Amgen study/studies in scope, endpoints/outcomes of interest, statistical analysis plan, data requirements, publication plan, and qualifications of the researcher(s). In general, Amgen does not grant external requests for individual patient data for the purpose of re-evaluating safety and efficacy issues already addressed in the product labelling. Requests are reviewed by a committee of internal advisors, and if not approved, may be further arbitrated by a Data Sharing Independent Review Panel. Upon approval, information necessary to address the research question will be provided under the terms of a data sharing agreement. This may include anonymized individual patient data and/or available supporting documents, containing fragments of analysis code where provided in analysis specifications. Further details are available at the link below.']",['De-identified individual patient data for variables necessary to address the specific research question in an approved data sharing request'],"['Study Protocol', 'Statistical Analysis Plan (SAP)', 'Informed Consent Form (ICF)', 'Clinical Study Report (CSR)']",['Data sharing requests relating to this study will be considered beginning 18 months after the study has ended and either 1) the product and indication (or other new use) have been granted marketing authorization in both the US and Europe or 2) clinical development for the product and/or indication discontinues and the data will not be submitted to regulatory authorities. There is no end date for eligibility to submit a data sharing request for this study.'],['https://www.amgen.com/datasharing'],[],[]
0,68,['NCT03045120'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,69,['NCT01154296'],[],"['FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001']","['1', '1', '1', '0', '1', '0', '0', '1', '2', '0', '269', '275', '37', '32', '14', '15', '3', '2', '5', '4']",[],"['Individuals seeking services at 9 sexually transmitted disease (STD) clinics across the U.S. were recruited, screened and randomized between April 2010 - December 2010.']",[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,70,['NCT02857764'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,71,['NCT00412568'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,72,['NCT03353480'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['No'],[],"[""Pfizer will provide access to individual de-identified participant data and related study documents (e.g. protocol, Statistical Analysis Plan (SAP), Clinical Study Report (CSR)) upon request from qualified researchers, and subject to certain criteria, conditions, and exceptions. Further details on Pfizer's data sharing criteria and process for requesting access can be found at: https://www.pfizer.com/science/clinical_trials/trial_data_and_results/data_requests.""]",[],[],[],"['D000000900', 'D000000890']","['Anti-Bacterial Agents', 'Anti-Infective Agents']"
0,73,['NCT00800267'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],"['D000000319', 'D000018674', 'D000018663', 'D000018377', 'D000045504', 'D000045505', 'D000000889', 'D000000959']","['Adrenergic beta-Antagonists', 'Adrenergic Antagonists', 'Adrenergic Agents', 'Neurotransmitter Agents', 'Molecular Mechanisms of Pharmacological Action', 'Physiological Effects of Drugs', 'Anti-Arrhythmia Agents', 'Antihypertensive Agents']"
0,74,['NCT00601835'],[],"['FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001', 'FG000', 'FG001']","['9', '6', '1', '0', '37', '5', '1', '1', '12', '2']",[],"['Participants were enrolled in the study from 06 May 2004 through 13 December 2004, in 2 medical sites (4 investigators) in the US.']",[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],"['D000007155', 'D000045505']","['Immunologic Factors', 'Physiological Effects of Drugs']"
0,75,['NCT01087905'],[],"['FG000', 'FG001', 'FG002', 'FG003', 'FG004', 'FG005', 'FG006', 'FG007', 'FG000', 'FG001', 'FG002', 'FG003', 'FG004', 'FG005', 'FG006', 'FG007']","['24', '28', '18', '31', '27', '25', '20', '24', '5', '4', '4', '5', '4', '3', '3', '5']",[],"['Adult smokers who called the Wisconsin Tobacco Quit Line (WTQL) from April 1, 2010 to June 15, 2010 were invited to participate in the study; no advertising or targeted recruitment was utilized.']",[],['All'],[],[],['No'],['No'],['Yes'],[],"['Upon request, clinical trial data will be shared with other investigators in the form of de-identified datasets. Requests can be sent to Stevens S. Smith, Ph.D., at sss@ctri.wisc.edu']",[],[],[],"['D000005731', 'D000001337', 'D000018373', 'D000045505', 'D000018722', 'D000018679', 'D000018678', 'D000018377', 'D000045504']","['Ganglionic Stimulants', 'Autonomic Agents', 'Peripheral Nervous System Agents', 'Physiological Effects of Drugs', 'Nicotinic Agonists', 'Cholinergic Agonists', 'Cholinergic Agents', 'Neurotransmitter Agents', 'Molecular Mechanisms of Pharmacological Action']"
0,76,['NCT02616198'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,77,['NCT00007540'],[],[],[],[],[],[],['Male'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,78,['NCT02163525'],[],[],[],[],[],[],['Female'],[],[],['No'],['No'],['Yes'],[],[],[],[],[],[],[]
0,79,['NCT03310112'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['No'],[],[],[],[],[],[],[]
0,80,['NCT02766634'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],"['D000000276', 'D000007155', 'D000045505']","['Adjuvants, Immunologic', 'Immunologic Factors', 'Physiological Effects of Drugs']"
0,81,['NCT02971709'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,82,['NCT03801928'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],"[""Pfizer will provide access to individual de-identified participant data and related study documents (e.g. protocol, Statistical Analysis Plan (SAP), Clinical Study Report (CSR)) upon request from qualified researchers, and subject to certain criteria, conditions, and exceptions. Further details on Pfizer's data sharing criteria and process for requesting access can be found at: https://www.pfizer.com/science/clinical_trials/trial_data_and_results/data_requests.""]",[],[],[],"['D000003879', 'D000005765', 'D000018501']","['Dermatologic Agents', 'Gastrointestinal Agents', 'Antirheumatic Agents']"
0,83,['NCT01641029'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,84,['NCT02128542'],[],"['FG000', 'FG001', 'FG000', 'FG001']","['3', '0', '1', '0']",[],['Participants were enrolled at a total of 15 study sites in the United States The first participant was screened on 04 June 2014. The last study visit occurred on 22 June 2015.'],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],"['D000000998', 'D000000890']","['Antiviral Agents', 'Anti-Infective Agents']"
0,85,['NCT00573976'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,86,['NCT00306007'],[],[],[],[],[],[],['Female'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,87,['NCT02766647'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],"['D000000276', 'D000007155', 'D000045505']","['Adjuvants, Immunologic', 'Immunologic Factors', 'Physiological Effects of Drugs']"
0,88,['NCT04460898'],[],[],[],[],[],[],['Female'],[],[],['No'],['No'],['No'],[],"[""Pfizer will provide access to individual de-identified participant data and related study documents (e.g. protocol, Statistical Analysis Plan (SAP), Clinical Study Report (CSR)) upon request from qualified researchers, and subject to certain criteria, conditions, and exceptions. Further details on Pfizer's data sharing criteria and process for requesting access can be found at: https://www.pfizer.com/science/clinical_trials/trial_data_and_results/data_requests.""]",[],[],[],[],[]
0,89,['NCT00413517'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,90,['NCT02882100'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],"['D000007155', 'D000045505']","['Immunologic Factors', 'Physiological Effects of Drugs']"
0,91,['NCT00533975'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,92,['NCT02109757'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,93,['NCT00959933'],[],[],[],[],[],[],['Female'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],"['D000000963', 'D000045504', 'D000000998', 'D000000890']","['Antimetabolites', 'Molecular Mechanisms of Pharmacological Action', 'Antiviral Agents', 'Anti-Infective Agents']"
0,94,['NCT00960479'],[],[],[],[],[],[],['Female'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],"['D000000963', 'D000045504', 'D000000998', 'D000000890']","['Antimetabolites', 'Molecular Mechanisms of Pharmacological Action', 'Antiviral Agents', 'Anti-Infective Agents']"
0,95,['NCT03266497'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['No'],[],[],[],[],[],[],[]
0,96,['NCT02207569'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['Undecided'],[],[],[],[],[],[],[]
0,97,['NCT02569632'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,98,['NCT02069925'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,99,['NCT03433131'],[],[],[],[],[],[],['All'],[],[],[],[],[],[],[],[],[],[],[],[]
0,100,['NCT02746809'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['Undecided'],[],[],[],[],[],[],[]
0,101,['NCT00328380'],[],[],[],[],[],[],['All'],[],[],[],['Accepts Healthy Volunteers'],[],[],[],[],[],[],"['D000000900', 'D000000890', 'D000005765']","['Anti-Bacterial Agents', 'Anti-Infective Agents', 'Gastrointestinal Agents']"
0,102,['NCT04552535'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['Yes'],"[""For study documents - upon signing of a 'Document Sharing Agreement'.For study data - 1. after the submission and approval of the research proposal (checks will be performed by both the independent review panel and the sponsor, including checking that the planned analysis does not compete with sponsor's publication plan); 2. and upon signing of a 'Data Sharing Agreement'.""]","['After the study is completed and the primary manuscript is accepted for publishing, researchers can use this following link https://trials.boehringer-ingelheim.com/trial_results/clinical_submission_documents.html to request access to the clinical study documents regarding this study, and upon a signed ""Document Sharing Agreement"".Also, Researchers can use the following link http://trials.boehringer-ingelheim.com/ to find information in order to request access to the clinical study data, for this and other listed studies, after the submission of a research proposal and according to the terms outlined in the website.The data shared are the raw clinical study data sets.']","['Study Protocol', 'Statistical Analysis Plan (SAP)', 'Clinical Study Report (CSR)']","['After all regulatory activities are completed in the US and EU for the product and indication, and after the primary manuscript has been accepted for publication.']",['https://trials.boehringer-ingelheim.com'],"['D000000970', 'D000047428', 'D000004791', 'D000045504']","['Antineoplastic Agents', 'Protein Kinase Inhibitors', 'Enzyme Inhibitors', 'Molecular Mechanisms of Pharmacological Action']"
0,103,['NCT03293875'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,104,['NCT01235260'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],"['D000000925', 'D000043925', 'D000043924', 'D000006133', 'D000045505']","['Anticoagulants', 'Angiogenesis Inducing Agents', 'Angiogenesis Modulating Agents', 'Growth Substances', 'Physiological Effects of Drugs']"
0,105,['NCT03390660'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,106,['NCT00837499'],[],[],[],[],[],[],['Female'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,107,['NCT01629537'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,108,['NCT00351741'],[],[],[],[],"['After 3 yrs of enrollment, interim analysis revealed a significant number of subjects in the LTV arm required rescue, which served as the trigger to close the study to further enrollment. Between April 2006 and May 2009, 387 patients were screened for eligibility. 155 patients met criteria of which 62 were randomized, 31 in each arm.']",[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,109,['NCT01965561'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['No'],[],[],[],[],[],[],[]
0,110,['NCT01927835'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],"['D000007155', 'D000045505']","['Immunologic Factors', 'Physiological Effects of Drugs']"
0,111,['NCT01704235'],[],[],[],[],[],[],['Female'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
