,Rank,NCTId,OutcomeDenomUnits,OutcomeGroupDescription,OutcomeMeasurementUpperLimit,OutcomeGroupTitle,OutcomeMeasureAnticipatedPostingDate,OutcomeMeasureCalculatePct,OutcomeMeasureDenomUnitsSelected,OutcomeMeasureDescription,OutcomeMeasureDispersionType,OutcomeMeasureParamType,OutcomeMeasurePopulationDescription,OutcomeMeasureReportingStatus,OutcomeMeasureTimeFrame,OutcomeMeasureTitle,OutcomeMeasureType,OutcomeMeasureTypeUnitsAnalyzed,OutcomeMeasureUnitOfMeasure,OutcomeMeasurementComment,OutcomeMeasurementGroupId
0,19,['NCT00340457'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,20,['NCT02429284'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,21,['NCT02889263'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,22,['NCT03995745'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,23,['NCT00928694'],"['Participants', 'Participants']","['U.S. Formulation: single oral 160 mg dose of the U.S. formulation of fenofibrate with food.', 'UK Formulation: single oral 160 mg dose of the UK formulation of fenofibrate with food.', 'U.S. Formulation: single oral 160 mg dose of the U.S. formulation of fenofibrate with food.', 'UK Formulation: single oral 160 mg dose of the UK formulation of fenofibrate with food.']",[],"['U.S. Formulation (TRICOR™)', 'UK Formulation (SUPRALIP™)', 'U.S. Formulation (TRICOR™)', 'UK Formulation (SUPRALIP™)']",[],[],[],[],"['Standard Deviation', 'Standard Deviation']","['Least Squares Mean', 'Least Squares Mean']","['Healthy Male and Female subjects Aged 18 to 45', 'Healthy Male and Female subjects Aged 18 to 45']","['Posted', 'Posted']","['Predose and up to 168 hours postdose', 'Predose and up to 168 hours postdose']","['Area Under the Curve (AUC(0 to Infinity)) of Fenofibric Acid', 'Maximum Plasma Concentration (Cmax) of Fenofibric Acid']","['Primary', 'Primary']",[],"['μg·hr/mL', 'μg/mL']",[],"['OG000', 'OG001', 'OG000', 'OG001']"
0,24,['NCT02153996'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,25,['NCT00413673'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,26,['NCT03867409'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,27,['NCT04004260'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,28,['NCT04205877'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,29,['NCT01262079'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,30,['NCT00646438'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,31,['NCT00341588'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,32,['NCT04562636'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,33,['NCT03924505'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,34,['NCT02334462'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,35,['NCT03311295'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,36,['NCT03242278'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,37,['NCT03683134'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,38,['NCT04047316'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,39,['NCT03952364'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,40,['NCT04021030'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,41,['NCT02959827'],"['Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Iodine contrast exposure', 'Participants', 'Participants', 'Participants', 'Participants']","['Children under age 4, from the US-based Kaiser Permanente Northern California database, who were exposed to iodinated contrast agent through having a diagnostic procedure.', 'Participants who met the criteria to be a case of hypothyroidism were identified.', 'Participants who did not meet the criteria to be a case of hypothyroidism were identified.', 'Participants who met the criteria to be a case of hypothyroidism were identified.', 'Participants who did not meet the criteria to be a case of hypothyroidism were identified.', 'Participants who met the criteria to be a case of hypothyroidism were identified.', 'Participants who did not meet the criteria to be a case of hypothyroidism were identified.', 'Participants who met the criteria to be a case of hypothyroidism were identified.', 'Participants who did not meet the criteria to be a case of hypothyroidism were identified.', 'Participants who met the criteria to be a case of hypothyroidism were identified.', 'Participants who did not meet the criteria to be a case of hypothyroidism were identified.', 'Participants who had CT scan and met the criteria to be a case of hypothyroidism were identified.', 'Participants who had cardiac catheterization and met the criteria to be a case of hypothyroidism were identified.', 'Participants who had CT scan and met the criteria to be a case of hypothyroidism were identified.', 'Participants who had cardiac catheterization and met the criteria to be a case of hypothyroidism were identified.', 'Participants who met the criteria to be a case of hypothyroidism were identified.']",['22.0'],"['Iodine Contrast Agent', 'Hypothyroidism Cases', 'Non-hypothyroidism Cases', 'Hypothyroidism Cases', 'Non-hypothyroidism Cases', 'Hypothyroidism Cases', 'Non-hypothyroidism Cases', 'Hypothyroidism Cases', 'Non-hypothyroidism Cases', 'Hypothyroidism Cases', 'Non-hypothyroidism Cases', 'Hypothyroidism Cases With CT Scan', 'Hypothyroidism Cases With Cardiac Catheterization', 'Hypothyroidism Cases With CT Scan', 'Hypothyroidism Cases With Cardiac Catheterization', 'Hypothyroidism Cases']",[],[],['Iodine contrast exposure'],['Incidence density rates (IDR) were calculated as the number of cases over the person time at risk where the numerator was the number of cases and the denominator was the person years at risk.'],['95% Confidence Interval'],"['Mean', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Count of Units', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Count of Participants']",[],"['Posted', 'Posted', 'Posted', 'Posted', 'Posted', 'Posted', 'Posted', 'Posted', 'Posted']","['In the 365 days post exposure to an iodinated contrast agent', 'Up to 365 days after a diagnostic scan with iodinated contrast agent', 'Up to 365 days after a diagnostic scan with iodinated contrast agent', 'Up to 365 days after a diagnostic scan with iodinated contrast agent', 'Up to 365 days after a diagnostic scan with iodinated contrast agent', 'Up to 365 days after a diagnostic scan with iodinated contrast agent', 'Up to 365 days after a diagnostic scan with iodinated contrast agent', 'Up to 365 days after a diagnostic scan with iodinated contrast agent', 'Up to 365 days after a diagnostic scan with iodinated contrast agent']","['Incidence Rate of Hypothyroidism Detected in Routine Clinical Practice', 'Baseline Characteristics (Age) of the Cases With Hypothyroidism and of the Rest of the Cohort', 'Baseline Characteristics (Sex) of the Cases With Hypothyroidism and of the Rest of the Cohort', 'Baseline Characteristics (Year of Hypothyroidism Diagnosis) of the Cases With Hypothyroidism and of the Rest of the Cohort', 'Baseline Characteristics (Type of Iodine Contrast Exposure) of the Cases With Hypothyroidism and of the Rest of the Cohort', 'Baseline Characteristics (Race/Ethnicity) of the Cases With Hypothyroidism and of the Rest of the Cohort', 'Time From First Iodinated Contrast to First Hypothyroidism Event', 'Classification of Subclinical/Manifest Hypothyroidism by Type of Exposure', 'Classification of Hypothyroidism by Etiology']","['Primary', 'Secondary', 'Secondary', 'Secondary', 'Secondary', 'Secondary', 'Secondary', 'Secondary', 'Secondary']",['Iodine contrast exposure'],"['events per 1,000 person years', 'Participants', 'Participants', 'Participants', 'Iodine contrast exposure', 'Participants', 'Participants', 'Participants', 'Participants']",[],"['OG000', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG000']"
0,42,['NCT02395536'],['Participants'],"['Reveal LINQ insertions will be performed in office setting.\n\nInsertion of Reveal LINQ device in office or traditional hospital setting: The insterions will be performed in a Physician office setting or in Traditional Hospital Setting as per the arm the patient is randomized in.', 'Reveal LINQ insertions will be performed in IN-a traditional setting\n\nInsertion of Reveal LINQ device in office or traditional hospital setting: The insterions will be performed in a Physician office setting or in Traditional Hospital Setting as per the arm the patient is randomized in.']",[],"['In Office Outside Walls of Hospital', 'Traditional Hospital Setting']",[],[],[],"['Demonstrate that the untoward event rate associated with Reveal LINQ™ insertions performed in-office or in the traditional hospital setting (operating room, cardiac catheterization or EP laboratory) are comparable.\n\nUntoward events are a composite of unsuccessful Reveal LINQ™ or complications related to the Reveal LINQ™ insertion procedure or system.']",[],['Count of Participants'],['Subjects exiting prematurely (prior to 3-month visit) without an untoward event were excluded from primary analysis. There were 7 excluded from the In office arm (2 deaths unrelated to the REVEAL LINQ and 5 premature exits) and 4 excluded from the traditional hospital setting arm (all 4 due to premature exit)'],['Posted'],['3 Months post insertion'],['Untoward Event Rate Associated With LINQ™ Insertions Performed'],['Primary'],[],['Participants'],[],"['OG000', 'OG001']"
0,43,['NCT03628235'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,44,['NCT02787538'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,45,['NCT01290393'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,46,['NCT04263311'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,47,['NCT00875641'],"['Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants']","['HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.', 'HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.', 'HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.', 'HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.', 'HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.', 'HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.', 'HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.', 'HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.', 'HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.']","['0.055', '0.037', '0.037', '0.082', '0.032', '0.040', '0.070', '0.061', '0.054', '0.161', '0.075', '0.056', '0.278', '0.093', '0.101', '0.383', '0.162', '0.124', '0.058', '0.050', '0.047', '0.066', '0.033', '0.057', '0.137', '0.099', '0.070', '0.020', '0.019', '0.022', '0.034', '0.023', '0.035', '0.046', '0.031', '0.023', '0.310', '0.175', '0.183', '0.366', '0.166', '0.171', '0.326', '0.220', '0.235', '1.705', '1.415', '1.782', '1.962', '1.671', '2.177', '1.551', '1.208', '1.410', '1.972', '1.180', '1.722', '2.871', '1.575', '2.427', '1.354', '0.970', '1.162', '1.865', '1.519', '1.952', '2.252', '1.721', '2.412', '1.619', '1.414', '1.544', '0.091', '0.065', '0.087', '0.109', '0.092', '0.114', '0.128', '0.057', '0.081']","['HRV Cohort', 'Concurrent Control Cohort', 'Recent Historical Control Cohort', 'HRV Cohort', 'Concurrent Control Cohort', 'Recent Historical Control Cohort', 'HRV Cohort', 'Concurrent Control Cohort', 'Recent Historical Control Cohort', 'HRV Cohort', 'Concurrent Control Cohort', 'Recent Historical Control Cohort', 'HRV Cohort', 'Concurrent Control Cohort', 'Recent Historical Control Cohort', 'HRV Cohort', 'Concurrent Control Cohort', 'Recent Historical Control Cohort', 'HRV Cohort', 'Concurrent Control Cohort', 'Recent Historical Control Cohort', 'HRV Cohort', 'Concurrent Control Cohort', 'Recent Historical Control Cohort', 'HRV Cohort', 'Concurrent Control Cohort', 'Recent Historical Control Cohort']",[],[],[],"['Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).', 'Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).', 'Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).', 'Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).', 'Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).', 'Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).', 'Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).', 'Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).', 'Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).']","['95% Confidence Interval', '95% Confidence Interval', '95% Confidence Interval', '95% Confidence Interval', '95% Confidence Interval', '95% Confidence Interval', '95% Confidence Interval', '95% Confidence Interval', '95% Confidence Interval']","['Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number']","['Analysis was performed on study population comprising of birth cohorts affiliated with 2 participating health insurance plans, United Healthcare & WellPoint, which were eligible for rotavirus vaccination according to routine recommendations. Within this population of infants, HRV, Concurrent Control & Recent Historical Control cohorts were defined.', 'Analysis was performed on study population comprising of birth cohorts affiliated with 2 participating health insurance plans, United Healthcare & WellPoint, which were eligible for rotavirus vaccination according to routine recommendations. Within this population of infants, HRV, Concurrent Control & Recent Historical Control cohorts were defined.', 'Analysis was performed on study population comprising of birth cohorts affiliated with 2 participating health insurance plans, United Healthcare & WellPoint, which were eligible for rotavirus vaccination according to routine recommendations. Within this population of infants, HRV, Concurrent Control & Recent Historical Control cohorts were defined.', 'Analysis was performed on study population comprising of birth cohorts affiliated with 2 participating health insurance plans, United Healthcare & WellPoint, which were eligible for rotavirus vaccination according to routine recommendations. Within this population of infants, HRV, Concurrent Control & Recent Historical Control cohorts were defined.', 'Analysis was performed on study population comprising of birth cohorts affiliated with 2 participating health insurance plans, United Healthcare & WellPoint, which were eligible for rotavirus vaccination according to routine recommendations. Within this population of infants, HRV, Concurrent Control & Recent Historical Control cohorts were defined.', 'Analysis was performed on study population comprising of birth cohorts affiliated with 2 participating health insurance plans, United Healthcare & WellPoint, which were eligible for rotavirus vaccination according to routine recommendations. Within this population of infants, HRV, Concurrent Control & Recent Historical Control cohorts were defined.', 'Analysis was performed on study population comprising of birth cohorts affiliated with 2 participating health insurance plans, United Healthcare & WellPoint, which were eligible for rotavirus vaccination according to routine recommendations. Within this population of infants, HRV, Concurrent Control & Recent Historical Control cohorts were defined.', 'Analysis was performed on study population comprising of birth cohorts affiliated with 2 participating health insurance plans, United Healthcare & WellPoint, which were eligible for rotavirus vaccination according to routine recommendations. Within this population of infants, HRV, Concurrent Control & Recent Historical Control cohorts were defined.', 'Analysis was performed on study population comprising of birth cohorts affiliated with 2 participating health insurance plans, United Healthcare & WellPoint, which were eligible for rotavirus vaccination according to routine recommendations. Within this population of infants, HRV, Concurrent Control & Recent Historical Control cohorts were defined.']","['Posted', 'Posted', 'Posted', 'Posted', 'Posted', 'Posted', 'Posted', 'Posted', 'Posted']","['60 days following each vaccination', '7 days following each vaccination', '30 days following each vaccination', '60 days following each vaccination', '60 days following each vaccination', '60 days following each vaccination', '7 days following each vaccination', '30 days following each vaccination', '60 days following each vaccination']","['Incidence Rates of Intussusceptions (IS) Among the HRV Cohort and Comparator Cohorts', 'Incidence Rates of IS Among the HRV Cohort and Comparator Cohorts', 'Incidence Rates of IS Among the HRV Cohort and Comparator Cohorts', 'Incidence Rates of Kawasaki Disease Among the HRV Cohort and Comparator Cohorts', 'Incidence Rates of Convulsions Among the HRV Cohort and Comparator Cohorts', 'Incidence Rates of Acute Lower Respiratory Tract Infection (LRTI) Hospitalisation Among the HRV Cohort and Comparator Cohorts', 'Incidence Rates of Acute LTRI Hospitalisation Among the HRV Cohort and Comparator Cohorts', 'Incidence Rates of Acute LTRI Hospitalisation Among the HRV Cohort and Comparator Cohorts', 'Incidence Rates of All-cause Mortality Among the HRV Cohort and Comparator Cohorts']","['Primary', 'Primary', 'Primary', 'Secondary', 'Secondary', 'Secondary', 'Secondary', 'Secondary', 'Secondary']",[],"['Incidences/Person-Month', 'Incidences/Person-Month', 'Incidences/Person-Month', 'Incidences/Person-Month', 'Incidences/Person-Month', 'Incidences/Person-Month', 'Incidences/Person-Month', 'Incidences/Person-Month', 'Incidences/Person-Month']",[],"['OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002']"
0,48,['NCT03199846'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,49,['NCT04587245'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,50,['NCT02773979'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,51,['NCT03274726'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,52,['NCT01283828'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,53,['NCT04191824'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,54,['NCT03197688'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
