,Rank,NCTId,OutcomeMeasurementLowerLimit,OutcomeMeasurementSpread,PrimaryOutcomeTimeFrame,OutcomeMeasurementValue,OverallOfficialAffiliation,OverallOfficialName,OverallOfficialRole,OverallStatus,OversightHasDMC,PatientRegistry,Phase,PointOfContactEMail,PointOfContactOrganization,PointOfContactPhone,PointOfContactPhoneExt,PointOfContactTitle,PrimaryCompletionDate,PrimaryCompletionDateType,PrimaryOutcomeDescription
0,27,['NCT04004260'],[],[],['8 weeks [Baseline; 2 month (last treatment session)]'],[],['Lamar University'],"['Vinaya Manchaiah, PhD']",['Principal Investigator'],"['Active, not recruiting']",['Yes'],[],['Not Applicable'],[],[],[],[],[],"['August 31, 2021']",['Anticipated'],"['The TFI is a 25-item questionnaire that evaluates treatment responsiveness (i.e., changes in functional effects of tinnitus over time). Total possible score ranges from 0-to-100 (scores >25 indicate tinnitus is a significant problem).']"
0,28,['NCT04205877'],[],[],"['6 months', '6 months', '6 months', '6 months', '6 months']",[],['National Principal Investigator'],"['Shyam Sathanandam, MD']",['Principal Investigator'],['Not yet recruiting'],['No'],['No'],[],[],[],[],[],[],"['January 1, 2030']",['Anticipated'],"['Access vessel complications include femoral arterial or femoral/jugular venous complications noted during the procedure, immediately after the procedure or delayed (>24 hours). They range from bleeding from access sites, arterial or venous thrombosis with or without the need for treatment to loss of limb secondary to arterial occlusion.', 'Valvular injury includes damage to the tricuspid valve or other cardiac valve resulting in immediate post-procedural valvular dysfunction.', 'Device embolization includes malposition of the device either during or after the procedure or delayed (>24 hours). The outcome of device embolization ranges from observation, transcatheter retrieval at time of procedure or at a separate time, surgical retrieval, other end organ damage, to mortality.', 'Adjacent vessel stenosis includes a narrowing of the aorta or the left pulmonary artery directly as a consequence of device implantation for PDA closure. Vessel stenosis could happen either during or after the procedure or delayed (>24 hours). The outcome of vessel stenosis ranges from no intervention needed to repeated transcatheter and surgical therapies.', 'The effectiveness endpoint is the rate of effective closure of the PDA using a transcatheter device within six months post procedure. If more than one attempt is required, or multiple devices are required during the same procedure, it is still considered effective if there is Grade 0 or Grade 1 shunt, as defined below, at follow-up by transthoracic echocardiography or if a second procedure is not required following the initial attempt. If there is device embolization, adjacent vessel stenosis that required retrieval of the device and replacement during the same procedure with less than Grade 1 shunt during follow-up, it is still considered effective. Conversely, if an AE is noted after the procedure that requires a second procedure for treatment that results in greater than Grade 1 shunt, then the procedure is considered not effective, even if the initial attempt was effective. See protocol for PDA shunt definitions.']"
0,29,['NCT01262079'],[],[],['2010-2011 influenza season'],[],['Chief: Clinical Trials Core'],"['Barney S. Graham, M.D., Ph.D.']",['Study Director'],['Completed'],['No'],[],[],[],[],[],[],[],['July 2011'],['Actual'],['To evaluate antibody responses to a panel of influenza strains across a broad age range of the U.S. population early as compared to late in the 2010-2011 influenza season.']
0,30,['NCT00646438'],[],[],['3 years'],[],['Providence Heart & Vascular Institute'],"['Anthony Furnary, MD']",['Principal Investigator'],['Unknown status'],['No'],[],['Not Applicable'],[],[],[],[],[],['February 2012'],['Anticipated'],[]
0,31,['NCT00341588'],[],[],['16 years'],[],['National Cancer Institute (NCI)'],"['Katherine A McGlynn, Ph.D.']",['Principal Investigator'],['Completed'],[],[],[],[],[],[],[],[],"['October 1, 2008']",['Actual'],[]
0,32,['NCT04562636'],[],[],['~10 minute computer survey immediately after seeing messages'],[],"['University of North Carolina, Chapel Hill', 'University of North Carolina, Chapel Hill']","['Hannah Rayala', 'Lindsey Smith Taillie, PhD']","['Principal Investigator', 'Study Chair']",['Completed'],['No'],[],['Not Applicable'],[],[],[],[],[],"['October 1, 2020']",['Actual'],"['Perceived effectiveness of the messages will be measured during the message using 4 items adapted from Baig et al. (2018): concern, unpleasantness, and discouragement. The averaged responses on the 4 items will be used to create a PME score. All 4 items are measured using a a 1 to 5 likert scale, with higher scores representing a higher amount of the construct.\n\nQuestions: How much do these messages...\n\nmake you concerned about the health effects of eating red meat?\nmake you concerned about the environmental effects of eating red meat?\ndiscourage you from wanting to eat red meat?\n\nmake eating red meat seem unpleasant to you?\n\nNot at all, 2=Very little, 3=Somewhat, 4=Quite a bit, 5=A great deal).']"
0,33,['NCT03924505'],[],[],"['Baseline', '12 months', 'Baseline', '12 months', 'Baseline', '12 months']",[],['RTI International'],"['Barrot Lambdin, PhD, MPH']",['Principal Investigator'],['Recruiting'],['No'],[],['Not Applicable'],[],[],[],[],[],['September 2021'],['Anticipated'],"['Number of Best Practices adopted by the SSP', 'Number of Best Practices adopted by the SSP', 'Number of SSP participants receiving a dose of naloxone', 'Number of SSP participants receiving a dose of naloxone', 'Naloxone Dispensed', 'Naloxone Dispensed']"
0,34,['NCT02334462'],[],[],"['U.S. Study: Days 1,3,7,14,28,29,31,35,42,56,84,112,140,168 and 196. Same as U.S. plus Days 169,171,175,182,189,196,203,210,217,240,2 70,300,330,360,390,420,450,480,510,540,541,543,547,554,561,568,575,582,589,610,640,670,700,730']",[],['National Institute of Allergy and Infectious Diseases (NIAID)'],"['Patrick E Duffy, M.D.']",['Principal Investigator'],['Completed'],[],[],['Phase 1'],[],[],[],[],[],"['March 31, 2016']",['Actual'],[]
0,35,['NCT03311295'],[],[],"['30 days post procedure', 'Baseline to 1 year']",[],['University California Davis'],"['Reginald Low, MD']",['Principal Investigator'],['Recruiting'],['Yes'],[],['Not Applicable'],[],[],[],[],[],"['April 3, 2021']",['Anticipated'],"['Major Adverse Events (MAEs) will be categorized and defined in accordance with the relation to the procedure and device.', 'Mitral regurgitation grade by ASE criteria and change from baseline to 1 year evaluated by 2-D transthoracic echocardiogram']"
0,36,['NCT03242278'],[],[],"['At baseline', 'At baseline']",[],['Bayer'],['Bayer Study Director'],['Study Director'],['Completed'],['No'],['No'],[],[],[],[],[],[],"['March 1, 2016']",['Actual'],[]
0,37,['NCT03683134'],[],[],"['Change from at baseline blood pressure to 6-weeks', 'Change from at baseline blood pressure to 12-weeks']",[],"['Auburn University', 'Auburn University']","['Michael W Greene, PhD', 'Amy W Willis, MS, RD']","['Study Chair', 'Principal Investigator']",['Completed'],['No'],[],['Not Applicable'],[],[],[],[],[],"['September 7, 2017']",['Actual'],"['Measured in mmHg', 'Measured in mmHg']"
0,38,['NCT04047316'],[],[],"['6 months', '1 month', '1 year']",[],[],[],[],['Completed'],[],['No'],[],[],[],[],[],[],"['April 15, 2020']",['Actual'],"['The outcome will be measured by a questionnaire with performance-related questions for clinicians to answer about a set of images from the collected database. A Likert-based scale will be used for the answers: from highly agree to highly disagree.', 'The outcome will be measured by a questionnaire with usability-related questions for clinicians.', 'The number of adverse events will be reported to assess safety of the device.']"
0,39,['NCT03952364'],[],[],['12 month follow up'],[],['PredictImmune Ltd'],"['James Lee, MD']",['Principal Investigator'],['Recruiting'],['Yes'],['No'],[],[],[],[],[],[],['June 2021'],['Anticipated'],['Stratifying patients into high or low risk of following an aggressive disease course requiring frequent treatment escalations.']
0,40,['NCT04021030'],[],[],['3 months post-intervention'],[],['University of Michigan'],"['Mark Ilgen, Ph.D.']",['Principal Investigator'],"['Active, not recruiting']",[],[],['Not Applicable'],[],[],[],[],[],"['December 31, 2020']",['Anticipated'],"['Pain level will be assessed using the Numeric Rating Scale (NRS). The NRS is a 0-10 scale, with higher scores indicating greater intensity of pain.']"
0,41,['NCT02959827'],['11.2'],[],['In the 365 days post exposure to an iodinated contrast agent'],"['15.9', '4', '193', '6', '168', '6', '168', '4', '253', '14', '1504', '24', '1264', '10', '1022', '4', '300', '3', '320', '9', '297', '2', '260', '2', '266', '4', '263', '4', '234', '6', '241', '0', '105', '18', '1762', '16', '528', '13', '787', '4', '170', '6', '720', '9', '416', '2', '193', '4', '3', '4', '3', '10', '10', '15', '9', '2', '1', '1', '6', '23', '11']",[],[],[],['Completed'],['No'],['No'],[],['clinical-trials-contact@bayer.com'],['Bayer'],['(+) 1-888-8422937'],[],['Therapeutic Area Head'],"['June 15, 2017']",['Actual'],['Incidence density rates (IDR) were calculated as the number of cases over the person time at risk where the numerator was the number of cases and the denominator was the person years at risk.']
0,42,['NCT02395536'],[],[],['3 Months post insertion'],"['2', '2']",[],[],[],['Completed'],['No'],[],['Not Applicable'],['lindsay.k.werder@medtronic.com'],"['Medtronic, PLC']",['7635268168'],[],"['Lindsay Werder, Senior Clinical Research Specialist']","['May 31, 2016']",['Actual'],"['Demonstrate that the untoward event rate associated with Reveal LINQ™ insertions performed in-office or in the traditional hospital setting (operating room, cardiac catheterization or EP laboratory) are comparable.\n\nUntoward events are a composite of unsuccessful Reveal LINQ™ or complications related to the Reveal LINQ™ insertion procedure or system.']"
0,43,['NCT03628235'],[],[],"['12 months', '12 months', '12 months', '12 months']",[],[],[],[],['Recruiting'],['No'],['No'],[],[],[],[],[],[],"['December 31, 2021']",['Anticipated'],"[""Productivity loss is measured by annual lost wages and it is collected in the survey's employment questionnaires and WPAI"", 'The indirect costs associated with the total annual out-of-pocket expenses.', 'The total informal care time received during a typical week', 'The indirect costs associated with the annual opportunity costs of companion']"
0,44,['NCT02787538'],[],[],['Change measure (baseline score compared to after using the US-ANSWER-2 intervention at Month 1)'],[],['Massachusetts General Hospital'],"['Hyon K Choi, MD, DrPH']",['Principal Investigator'],['Unknown status'],['No'],[],['Not Applicable'],[],[],[],[],[],['December 2017'],['Anticipated'],"['The Decisional Conflict Scale (short version) measures personal perceptions of uncertainty in choosing options, factors contributing to uncertainty, and effective decision-making. It is one-dimensional and has 10 questions and three response categories (yes/no/unsure) used to compute one score.']"
0,45,['NCT01290393'],[],[],['This outcome measure will be recorded between zero and six weeks after end of pregnancy'],[],['GlaxoSmithKline'],['GSK Clinical Trials'],['Study Director'],['Terminated'],[],[],[],[],[],[],[],[],"['December 20, 2012']",['Actual'],[]
0,46,['NCT04263311'],[],[],"['Baseline Visit, 6 months visits']",[],['NYU Langone'],['Nadia Islam'],['Principal Investigator'],['Recruiting'],['No'],[],['Not Applicable'],[],[],[],[],[],['June 2021'],['Anticipated'],['The primary outcome will be the proportion of eligible patients at a practice site to achieve BP control (130/80 mmHg) six months following the index office visit. Individuals receiving care during the implementation of the intervention will be more likely achieve BP control six months following the index office visit than individuals receiving care as usual. The primary outcome of interest is the proportion of patients who achieve BP control. this will be measured by the treatment participants and providers surveys.']
0,47,['NCT00875641'],"['0.006', '0.012', '0.010', '0.006', '0.003', '0.006', '0.000', '0.015', '0.009', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.001', '0.000', '0.000', '0.011', '0.008', '0.000', '0.000', '0.004', '0.001', '0.019', '0.005', '0.000', '0.003', '0.003', '0.000', '0.001', '0.004', '0.000', '0.002', '0.000', '0.166', '0.113', '0.116', '0.166', '0.086', '0.087', '0.115', '0.121', '0.125', '1.346', '1.230', '1.561', '1.459', '1.397', '1.848', '1.042', '0.961', '1.123', '0.955', '0.725', '1.135', '1.280', '0.870', '1.497', '0.228', '0.401', '0.491', '1.351', '1.255', '1.634', '1.518', '1.341', '1.939', '0.911', '1.048', '1.132', '0.022', '0.030', '0.043', '0.015', '0.036', '0.047', '0.014', '0.012', '0.023']",[],"['60 days following each vaccination', '7 days following each vaccination', '30 days following each vaccination']","['0.021', '0.022', '0.021', '0.028', '0.012', '0.017', '0.013', '0.032', '0.025', '0.000', '0.014', '0.000', '0.000', '0.000', '0.000', '0.000', '0.029', '0.000', '0.010', '0.026', '0.022', '0.000', '0.006', '0.020', '0.025', '0.048', '0.024', '0.000', '0.008', '0.009', '0.000', '0.006', '0.014', '0.000', '0.011', '0.004', '0.230', '0.142', '0.146', '0.252', '0.121', '0.124', '0.200', '0.165', '0.174', '1.518', '1.320', '1.669', '1.696', '1.529', '2.008', '1.278', '1.079', '1.260', '1.397', '0.932', '1.406', '1.960', '1.184', '1.921', '0.622', '0.641', '0.774', '1.593', '1.383', '1.788', '1.858', '1.523', '2.166', '1.228', '1.221', '1.327', '0.048', '0.045', '0.062', '0.047', '0.059', '0.075', '0.050', '0.029', '0.045']",['GlaxoSmithKline'],['GSK Clinical Trials'],['Study Director'],['Completed'],[],[],[],[],['GlaxoSmithKline'],['866-435-7343'],[],['GSK Response Center'],"['November 4, 2016']",['Actual'],"['Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).', 'Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).', 'Incidence rates were calculated following the first 2 doses of study vaccine as the number of events divided by the sum of the person-time in that risk period. Person-time was defined as the number of days at risk for the study outcomes. Person-time was calculated in months by dividing the number of person-days by (365.25/12).']"
0,48,['NCT03199846'],[],[],['Aproximately 6 months'],[],['Bristol-Myers Squibb'],['Bristol-Myers Squibb'],['Study Director'],['Completed'],['No'],['No'],[],[],[],[],[],[],"['October 30, 2017']",['Actual'],"['Distribution of treatment patterns for advanced melanoma patients including, treatment regimen selection and rationale, as well as time to initiation of therapy and type of therapy']"
0,49,['NCT04587245'],[],[],['12 months'],[],['University of California Irvine Beall Applied Innovation'],"['Henry Broeska, PhD']",['Principal Investigator'],['Recruiting'],['No'],['No'],[],[],[],[],[],[],"['October 15, 2021']",['Anticipated'],"['Change in monthly income of healthcare Providers from baseline to 6, 9 and 12 months after the beginning of the COVID-related events']"
0,50,['NCT02773979'],[],[],"['Days 1-203', 'Days 1-93', 'Day 1-116', 'Days 1-130', 'Day 1-93', 'Day 1-116', 'Days 1-130']",[],[],[],[],['Completed'],[],[],['Phase 1'],[],[],[],[],[],"['January 22, 2018']",['Actual'],[]
0,51,['NCT03274726'],[],[],['1999-2010'],[],[],[],[],['Completed'],[],['No'],[],[],[],[],[],[],"['December 1, 2010']",['Actual'],['Total Body Iron <0 mg/kg']
0,52,['NCT01283828'],[],[],['2 years'],[],['Gynuity Health Projects'],"['Beverly Winikoff, M.D., M.P.H.']",['Principal Investigator'],['Completed'],['Yes'],[],[],[],[],[],[],[],['April 2013'],['Actual'],[]
0,53,['NCT04191824'],[],[],['Baseline to 3 month study visit'],[],['Duke University'],['Hrishikesh Chakraborty'],['Principal Investigator'],['Recruiting'],['Yes'],[],['Not Applicable'],[],[],[],[],[],"['April 15, 2022']",['Anticipated'],['Change in systolic blood pressure']
0,54,['NCT03197688'],[],[],"['Observation period from 19 Oct 2013 to 31 March 2017, Data collection from 1 Apr 2017 to 30 Jun 2018']",[],[],[],[],['Completed'],['No'],['No'],[],[],[],[],[],[],"['September 6, 2018']",['Actual'],"['Incidence rates of liver test abnormalities, Occurrence of Hepatic Adverse Events (HAEs), Occurrence of any other Adverse Event (AE), Occurrence and reason for discontinuation of Opsumit treatment, hospitalization and death']"
0,55,['NCT02813577'],[],[],"['12 months post index procedure', '12 months post index procedure']","['0', '0']",['Wellmont CVA Heart Institute'],"['Christopher Metzger, MD']",['Principal Investigator'],['Terminated'],['No'],[],['Not Applicable'],['anna.lovas@bd.com'],['Becton Dickinson'],['763-445-2385'],[],['Anna Lovas'],"['February 18, 2019']",['Actual'],"['Index limb amputation includes above or below the ankle amputations.', 'Primary patency is defined as freedom from target lesion restenosis (TLR) and from binary restenosis. Binary restenosis is adjudicated by the independent Core Laboratory based on Peak Systolic Velocity Ratio (PSVR) ≥ 2.5 and / or abnormal waveforms, or based on angiographic ≥ 50% diameter stenosis.']"
0,56,['NCT00666380'],[],[],"['7 days', '30 days', '1 year']",[],"['Walter Reed Army Institute of Research (WRAIR)', 'Kenya Medical Research Institute']","['Michele D Spring, MD, M.S.P.H.', 'Nekoye N. Otsyula, M.B. Ch. B.']","['Principal Investigator', 'Principal Investigator']",['Completed'],['Yes'],[],['Phase 1'],[],[],[],[],[],['December 2008'],['Actual'],"['Occurrence and intensity of solicited symptoms on day of vaccination and Days 1-7 after each vaccination', 'Occurrence and intensity of unsolicited symptoms over a 30-day follow-up period (day of vaccination and 29 subsequent days) after each vaccination']"
0,57,['NCT01287247'],[],[],['Two treatment cycles (approximately 6 months/subject)'],[],['Center for Neurological Restoration'],"['Hubert H. Fernandez, MD, FAAN']",['Principal Investigator'],['Completed'],['No'],[],[],[],[],[],[],[],['April 2013'],['Actual'],"['To collect, evaluate and report observational data about the clinical use of Xeomin® in a ""real world"" setting to determine injection patterns and use of guidance techniques.']"
0,58,['NCT04163341'],[],[],"['Duration of recruitment phase (9 months)', 'At treatment exit (approximately 3 months post-baseline)', ""At each CETA treatment session, over the approximately 3 months of each client's CETA treatment""]",[],"['UNC-Chapel Hill', 'UNC-Chapel Hill', 'University of Washington']","['Brian Pence, PhD', 'Bradley Gaynes, MD', 'Doyane Darnell, PhD']","['Principal Investigator', 'Principal Investigator', 'Principal Investigator']",['Not yet recruiting'],['No'],[],['Not Applicable'],[],[],[],[],[],['November 2021'],['Anticipated'],"['Number of patients approached in order to accrue the final sample', 'Client Satisfaction Questionnaire-8', 'Counselor adherence to CETA content and skill in delivery will be rated by supervisor based on review of audiorecordings of a subset of sessions']"
0,59,['NCT02987335'],[],[],"['0 min to 360 min', '0 min to 360 min', '0 min to 360 min', '0 min to 360 min']",[],['Albert Einstein College of Medicine'],['Meredith Hawkins'],['Principal Investigator'],['Not yet recruiting'],['Yes'],['No'],[],[],[],[],[],[],['December 2022'],['Anticipated'],"['Measurements of plasma insulin, C-peptide, glucagon, and GH are taken throughout the study in order to evaluate the adequacy of the pancreatic clamp technique, i.e. the inhibitory effects of somatostatin on hormone secretion and the uniformity of hormone replacement.', 'Measurements of plasma insulin, C-peptide, glucagon, and GH are taken throughout the study in order to evaluate the adequacy of the pancreatic clamp technique, i.e. the inhibitory effects of somatostatin on hormone secretion and the uniformity of hormone replacement.', 'Measurements of plasma insulin, C-peptide, glucagon, and GH are taken throughout the study in order to evaluate the adequacy of the pancreatic clamp technique, i.e. the inhibitory effects of somatostatin on hormone secretion and the uniformity of hormone replacement.', 'Measurements of plasma insulin, C-peptide, glucagon, and GH are taken throughout the study in order to evaluate the adequacy of the pancreatic clamp technique, i.e. the inhibitory effects of somatostatin on hormone secretion and the uniformity of hormone replacement.']"
0,60,['NCT02867722'],[],[],['1 year and 5 years'],[],"[""Brigham and Women's Hospital""]","['Emily Stamell Ruiz, MD']",['Principal Investigator'],['Not yet recruiting'],['Yes'],[],['Not Applicable'],[],[],[],[],[],['December 2021'],['Anticipated'],[]
0,61,['NCT03276637'],[],[],"['Baseline, after education (within 1 month of baseline), 6 months prior to study completion', 'Baseline, 6 weeks after results disclosure', 'Results disclosure (within 1 month of sequencing completion)', 'Within 2 weeks after results disclosure for military healthcare provider-participants, 6 weeks after results disclosure for active-duty patient-participants, 1 year after results disclosure']",[],[],[],[],"['Active, not recruiting']",['Yes'],[],['Not Applicable'],[],[],[],[],[],"['December 31, 2019']",['Anticipated'],"[""Novel and adapted (Kaphingst, K.A., et al. 2012; Bowling, B.V., et al. 2008) survey measures will assess military healthcare providers' genomic knowledge before and after receiving a genomic education primer, and after disclosing one or more whole exome sequencing result(s)"", ""Novel survey measures will assess active-duty patient-participants' perceptions of military health system integration of genomic data on career status"", 'Whole exome sequencing results will identify the counts and proportions of genomic findings in the active-duty patient-participant population', 'Novel survey measures and military medical record review by trained genetic professional(s) will assess the percentage of active-duty patient-participants who receive follow-up recommendations and healthcare interventions, as well as their appropriateness']"
0,62,['NCT03192891'],[],[],"['from time of study to the date 4 years following', 'from time of study to the date 4 years following', 'from time of study to the date 4 years following']",[],[],[],[],"['Active, not recruiting']",['No'],['No'],[],[],[],[],[],[],"['March 31, 2018']",['Actual'],"['all-cause mortality', 'Acute Myocardial Infarction', 'PCI or CABG beyond 60 days after CMR']"
0,63,['NCT03373045'],[],[],"['At baseline, every 6 months, through study completion, assessed up to 7 years.', 'At baseline, every 6 months, through study completion, assessed up to 7 years.', 'At baseline, every 1 month, through study completion, assessed up to 7 years.', 'Change from baseline, every 1 month, through study completion, assessed up to 7 years.', 'Change from baseline, every 1 month, through study completion, assessed up to 7 years.', 'At baseline, every 3 months, through study completion, assessed up to 7 years.', 'At baseline, every 6 months, through study completion, assessed up to 7 years.', 'At baseline, every 6 months, through study completion, assessed maximum up to 7 years.', 'At baseline, every 6 months, through study completion, assessed up to 7 years.', 'At baseline, every 6 months, through study completion,assessed up to 7 years.', 'At baseline, every 6 months, through study completion, assessed up to 7 years.', 'At baseline, every 6 months, through study completion, assessed up to 7 years.', 'At baseline, every 6 months, through study completion, assessed up to 7 years.', 'Change from baseline, every 6 months, through study completion, assessed up to 7 years.', 'Change from baseline, every 6 months, through study completion, assessed up to 7 years.', 'Change from baseline, every 6 months, through study completion, assessed up to 7 years.', 'Change from baseline, every 6 months, through study completion, assessed up to 7 years.', 'Change from baseline, every 6 months, through study completion, assessed up to 7 years.', 'Change from baseline, every 6 months, through study completion, assessed up to 7 years.']",[],[],[],[],['Recruiting'],['No'],['Yes'],[],[],[],[],[],[],"['January 31, 2026']",['Anticipated'],"[""Longitudinal changes of Healthcare utilization will be measured using directly collected information from medical, hospital, and pharmacy records to provide a supplementary comprehensive assessment of each patient's healthcare utilization during the study period."", 'Asthma medications with dose and start/stop dates including all FDA-approved and standard of care treatments for asthma will be assessed. Longitudinal changes in asthma treatment will also be assessed.', ""Extraction of electronic medical, hospital, and pharmacy records will take place at study close and potentially at interim time points to provide a supplementary assessment of each patient's healthcare resource utilization. Longitudinal changes in patient reported treatment adherence will also be assessed."", 'Patient-reported asthma symptoms and control will be collected via the ACT questionnaire; a 5 item, self-administered survey that is designed to help the patient describe their asthma and how it affects their daily activities. ACT questionnaire is a 5-point scale (for symptoms and activities: 1=all the time to 5= not at all; for asthma control rating: 1=not controlled at all to 5=completely controlled).', 'Asthma exacerbations, the primary analytical definition will be worsening of asthma that leads to any of the following: Use of systemic corticosteroids (or a temporary increase in a stable corticosteroid background dose) for at least 3 days; a single depo-injectable dose of corticosteroids will be considered equivalent to a 3-day course of systemic corticosteroids. An emergency department or urgent care visit (defined as evaluation and treatment for <24 hours in an emergency department or urgent care center) due to asthma that required systemic corticosteroids. An inpatient hospitalization (defined as admission to an inpatient facility and/or evaluation and treatment in a healthcare facility for ≥24 hours) due to asthma.', ""Patient-reported productivity impairment assessment including work productivity, activity impairment, and disability will be collected via the WPAI-Asthma. Information will only be collected from procedures that are part of the patient's routine clinical care. WPAI Asthma questionnaire is calculated from 0 to 10 score (0 indicates-Asthma had no effect on my work/ daily activities and 10 indicates Asthma completely prevented me from working score/ doing my daily activities)."", 'Patient-reported assessment of asthma quality of life will be collected via the SGRQ. SGRQ, a disease specific health-related quality of life measure developed for both asthma and chronic obstructive pulmonary disease (COPD) patients. The SGRQ has 50 items and scores are calculated for 3 domains (symptoms, activity, and impact [psychosocial]) as well as total score.\n\nSymptoms - this component is concerned with the effect of respiratory symptoms, their frequency and severity.\n\nImpacts (psychosocial) - covers a range of aspects concerned with social functioning and psychological disturbances resulting from respiratory disease Activity - concerned with activities that cause or are limited by breathlessness. Total score summaries the impact of the disease on overall health status.\n\nThe score is expressed as a percentage of overall impairment, where 100 represents worst possible health status and 0 indicates best possible health status.', 'Patient evaluation of asthma treatment effectiveness will be measured using GETE; a simple measure of perceived treatment effectiveness. The patient will grade the overall treatment effectiveness using the following criteria: excellent (complete control of asthma); good (marked improvement of asthma); moderate (discernible, but limited improvement in asthma); poor (no appreciable change in asthma); or worsening (of asthma).', ""Frequency of relevant medical events such as weight gain (change in BMI), hypertension, dyslipidemia, pneumonia, bone densitometry results, osteoporosis / osteopenia, hip and spinal fractures, avascular necrosis, cataract, glaucoma, diabetes mellitus, cardiovascular disease, Cushing's syndrome, adrenal insufficiency, peptic ulcer disease, myopathy, pseudotumor cerebri, mood disturbance, and insomnia or sleep disturbance."", 'Frequency of relevant respiratory medical events such as pneumonia, pleural effusion, chronic bronchitis, allergic rhinitis.', 'Prevalence of respiratory comorbidities such as chronic obstructive pulmonary disease (COPD), bronchiectasis, alpha-1 anti-trypsin deficiency, Churg- Strauss syndrome (eosinophilic granulomatosis with polyangiitis [EGPA]), airway stenosis, cystic fibrosis, allergic bronchopulmonary aspergillosis,chronic eosinophilic pneumonia, bronchiolitis obliterans, immunodeficiency, primary ciliary dyskinesia, atelectasis, arterial hypertension, pulmonary hypertension, neuromuscular disease, allergic rhinitis, chronic rhinosinusitis, and pulmonary embolism.', 'Prevalence of non-respiratory comorbidities such as diabetes, thyroid disease, cardiac disease, etc.', 'Frequency of special interest events including new onset malignancy, severe infection, anaphylaxis, or mortality.', 'To assess complete blood count with differential including blood eosinophil count as a variable for asthma evaluation.', 'To assess total IgE as a variable for asthma evaluation.', 'Radiographic changes in asthma evaluation included chest X-rays (dates, views, description of major chest findings), Chest computed tomography scan (dates, high resolution (yes/no), intravenous contrast (yes/no), description of major findings). Radiographic asthma evaluation conducted as part of routine care.', 'FEV1 (liters and % predicted) will be assessed as a variable for asthma evaluation.', 'FEV1 (liters and % predicted) will be assessed as a variable for asthma evaluation.', 'To assess FENO as a variable for asthma evaluation.']"
0,64,['NCT04229212'],[],[],"['preoperation', 'postoperative days 1', 'postoperative days 2', 'postoperative days 4', 'postoperative days 10', 'Pre-operation', 'postoperative days 1', 'postoperative days 2', 'postoperative days 4', 'postoperative days 10']",[],[],[],[],['Completed'],['No'],[],['Not Applicable'],[],[],[],[],[],"['December 31, 2019']",['Actual'],"['mL', 'mL', 'mL', 'mL', 'mL', ""Mercuriali's formula: TBL = blood volume (BV) × (Hct [preop] - Hct [POD 4] + transfused RBC [mL])"", ""Mercuriali's formula: TBL = blood volume (BV) × (Hct [preop] - Hct [POD 4] + transfused RBC [mL])"", ""Mercuriali's formula: TBL = blood volume (BV) × (Hct [preop] - Hct [POD 4] + transfused RBC [mL])"", ""Mercuriali's formula: TBL = blood volume (BV) × (Hct [preop] - Hct [POD 4] + transfused RBC [mL])"", ""Mercuriali's formula: TBL = blood volume (BV) × (Hct [preop] - Hct [POD 4] + transfused RBC [mL])""]"
0,65,['NCT02848781'],[],[],['2 years'],[],['University of Chicago'],"['Roderick Tung, MD']",['Study Director'],['Recruiting'],['No'],[],['Not Applicable'],[],[],[],[],[],['February 2021'],['Anticipated'],['The primary endpoint is a composite.']
0,66,['NCT00385047'],[],[],['Up to 1 year'],[],['Walter Reed Army Institute of Research (WRAIR)'],"['Michele D. Spring, MD, M.S.P.H.']",['Principal Investigator'],['Completed'],['No'],[],"['Phase 1', 'Phase 2']",[],[],[],[],[],['April 2007'],['Actual'],[]
0,67,['NCT02993120'],[],[],"['Through study completion, an average of 3 years']",[],['Amgen'],['MD'],['Study Director'],"['Active, not recruiting']",['No'],['No'],[],[],[],[],[],[],"['July 6, 2021']",['Anticipated'],['Describe low-density lipoprotein (LDL) treatment patterns over time in subjects with clinical ASCVD']
0,68,['NCT03045120'],[],[],"['up to 24 months', 'up to 24 months']",[],['Bristol-Myers Squibb'],['Bristol-Myers Squibb'],['Study Director'],['Recruiting'],['No'],['No'],[],[],[],[],[],[],"['January 31, 2021']",['Anticipated'],[]
