,Rank,NCTId,LocationContactRole,LocationCountry,LocationFacility,LocationState,LocationStatus,LocationZip,MaximumAge,MinimumAge,NCTIdAlias,OfficialTitle,OrgClass,OrgFullName,OrgStudyId,OrgStudyIdDomain,OrgStudyIdLink,OrgStudyIdType,OtherEventAssessmentType,OtherEventNotes,OtherEventOrganSystem
0,11,['NCT00026728'],[],['United States'],['National Cancer Institute (NCI)'],['Maryland'],[],['20892'],[],[],[],"[""The Seroprevalence of Kaposi's Sarcoma Herpesvirus in the United States""]",['NIH'],['National Institutes of Health Clinical Center (CC)'],['010073'],[],[],[],[],[],[]
0,12,['NCT01211990'],[],['United States'],"['National Institutes of Health Clinical Center, 9000 Rockville Pike']",['Maryland'],[],['20892'],['100 Years'],['18 Years'],[],['An Exploratory Study of the Characteristics of and Challenges for International Families Seeking Medical Care in the United States'],['NIH'],['National Institutes of Health Clinical Center (CC)'],['100192'],[],[],[],[],[],[]
0,13,['NCT02663219'],[],"['United States', 'United States', 'United States', 'United States']","['Alabama CRS', 'Ponce de Leon CRS', 'Johns Hopkins Baltimore CRS', 'Fenway Health CRS']","['Alabama', 'Georgia', 'Maryland', 'Massachusetts']",[],"['35294', '30308-2012', '21287', '02215-4302']",[],['16 Years'],[],"['Enhancing Recruitment, Linkage to Care and Treatment for HIV-Infected Men Who Have Sex With Men (MSM) in the United States']",['NETWORK'],['HIV Prevention Trials Network'],['HPTN 078'],[],[],[],[],[],[]
0,14,['NCT00121108'],[],['United States'],['Johns Hopkins University Bloomberg School of Public Health'],['Maryland'],[],['21205'],['6 Months'],['1 Month'],[],['A Phase 3 Study of MEDI-524 (Motavizumab) for the Prevention of RSV Disease Among Native American Infants in the Southwestern United States'],['INDUSTRY'],['MedImmune LLC'],['MI-CP117'],[],[],[],[],[],[]
0,15,['NCT01861210'],[],['United States'],['AID Atlanta'],['Georgia'],[],['30309'],['39 Years'],['18 Years'],[],['Couples HIV Counseling and Testing for Male Couples in the United States'],['OTHER'],['Emory University'],['IRB00043714'],[],[],[],[],[],[]
0,16,['NCT02911155'],[],['United States'],"['University of Minnesota, School of Public Health Environmental Health Sciences']",['Minnesota'],[],['55455'],['100 Years'],['18 Years'],[],['Cancer and Other Disease Risks in U.S. Nuclear Medicine Technologists'],['NIH'],['National Institutes of Health Clinical Center (CC)'],['999916141'],[],[],[],[],[],[]
0,17,['NCT00724867'],[],"['United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States']","['GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site', 'GSK Investigational Site']","['Alabama', 'Arizona', 'Arizona', 'California', 'California', 'California', 'California', 'District of Columbia', 'Florida', 'Florida', 'Florida', 'Georgia', 'Illinois', 'Illinois', 'Indiana', 'Kansas', 'Kentucky', 'Louisiana', 'Maryland', 'Maryland', 'Maryland', 'Michigan', 'Michigan', 'New York', 'New York', 'New York', 'New York', 'New York', 'New York', 'New York', 'North Carolina', 'North Carolina', 'North Carolina', 'Ohio', 'Ohio', 'Oklahoma', 'Oklahoma', 'Pennsylvania', 'Pennsylvania', 'South Carolina', 'South Carolina', 'South Carolina', 'Texas', 'Texas', 'Texas', 'Texas', 'Texas', 'Texas', 'Virginia', 'Washington', 'Wisconsin']",[],"['35249', '85032', '85724', '90806', '90033', '90048', '91786', '20010', '33180', '32806', '33614', '30303', '60612', '60637', '46321', '66160', '40202', '70809', '21205', '21502', '21740', '48109-5542', '48910', '10461', '11203', '11021', '11030', '10016', '14618', '11787', '27599', '27834', '27157', '43203', '45417', '74104', '74104', '18015', '15217', '29406', '29425', '29601', '78705', '77004', '77034', '77074', '78232', '77479', '22205-3606', '98133', '54650']",[],['18 Years'],[],"['A Multi-Center, Continuation Trial of Belimumab (HGS1006, LymphoStat-B™), a Fully Human Monoclonal Anti-BLyS Antibody, in Subjects With Systemic Lupus Erythematosus (SLE) Who Completed the Phase 3 Protocol HGS1006-C1056 in the United States']",['INDUSTRY'],['GlaxoSmithKline'],['112233'],[],[],[],"['Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment']",[],"['Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Infections and infestations', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Gastrointestinal disorders', 'Gastrointestinal disorders', 'Gastrointestinal disorders', 'Gastrointestinal disorders', 'Gastrointestinal disorders', 'Gastrointestinal disorders', 'Gastrointestinal disorders', 'Gastrointestinal disorders', 'Gastrointestinal disorders', 'Gastrointestinal disorders', 'Skin and subcutaneous tissue disorders', 'Skin and subcutaneous tissue disorders', 'Skin and subcutaneous tissue disorders', 'Skin and subcutaneous tissue disorders', 'Skin and subcutaneous tissue disorders', 'Skin and subcutaneous tissue disorders', 'Skin and subcutaneous tissue disorders', 'Skin and subcutaneous tissue disorders', 'Nervous system disorders', 'Nervous system disorders', 'Nervous system disorders', 'Nervous system disorders', 'Nervous system disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications', 'Injury, poisoning and procedural complications', 'Injury, poisoning and procedural complications', 'Injury, poisoning and procedural complications', 'Injury, poisoning and procedural complications', 'Injury, poisoning and procedural complications', 'Injury, poisoning and procedural complications', 'Injury, poisoning and procedural complications', 'Respiratory, thoracic and mediastinal disorders', 'Respiratory, thoracic and mediastinal disorders', 'Respiratory, thoracic and mediastinal disorders', 'Respiratory, thoracic and mediastinal disorders', 'Respiratory, thoracic and mediastinal disorders', 'Respiratory, thoracic and mediastinal disorders', 'Respiratory, thoracic and mediastinal disorders', 'Respiratory, thoracic and mediastinal disorders', 'General disorders', 'General disorders', 'General disorders', 'General disorders', 'General disorders', 'General disorders', 'General disorders', 'Psychiatric disorders', 'Psychiatric disorders', 'Psychiatric disorders', 'Psychiatric disorders', 'Metabolism and nutrition disorders', 'Metabolism and nutrition disorders', 'Metabolism and nutrition disorders', 'Investigations', 'Investigations', 'Vascular disorders', 'Vascular disorders', 'Eye disorders', 'Eye disorders', 'Cardiac disorders', 'Cardiac disorders', 'Immune system disorders', 'Immune system disorders', 'Immune system disorders', 'Ear and labyrinth disorders', 'Ear and labyrinth disorders', 'Infections and infestations']"
0,18,['NCT03973905'],[],['Belgium'],['GSK Investigational Site'],[],[],['1300'],['2 Months'],[],[],['Effectiveness of Maternal Immunization With Boostrix at Preventing Pertussis Among Infants <2 Months Old in the United States: Analysis of a Dataset From a Case-control Study'],['INDUSTRY'],['GlaxoSmithKline'],['210031'],[],[],[],[],[],[]
0,19,['NCT00340457'],[],"['United States', 'United States']","['University of Illinois at Chicago', 'Wayne State University']","['Illinois', 'Michigan']",[],"['60612', '48201']",['79 Years'],['20 Years'],"['NCT00546338', 'NCT01338220']",['Case-Control Study of Renal Cell Cancer Among Caucasians and African Americans in the United States'],['NIH'],['National Institutes of Health Clinical Center (CC)'],['999902051'],[],[],[],[],[],[]
0,20,['NCT02429284'],[],['United States'],['UCSD Health System'],['California'],[],['92037'],[],[],[],['United States CTEPH Registry'],['OTHER'],"['University of California, San Diego']",['PH-2013-008'],[],[],[],[],[],[]
0,21,['NCT02889263'],[],[],[],[],[],[],[],['65 Years'],[],['Comparison of Rehospitalization Rates in France and the United States'],['OTHER'],['Centre Hospitalier Universitaire Dijon'],['QUANTIN DGOS 2015'],[],[],[],[],[],[]
0,22,['NCT03995745'],[],['United States'],['Drexel University'],['Pennsylvania'],[],['19104'],[],['18 Years'],[],['Behavioral Economic Incentives to Improve Medication Adherence and Outcomes Among Patients in United States With HIV: A Feasibility Study'],['OTHER'],['University of Pennsylvania'],['831689'],[],[],[],[],[],[]
0,23,['NCT00928694'],[],[],[],[],[],[],['45 Years'],['18 Years'],[],"['An Open-Label, Randomized, 2-Period, Crossover Study to Determine Definitive Bioequivalence After Administration of Single 160 mg Doses of the U.S. and UK Formulations of Fenofibrate in Healthy Adult Subjects']",['INDUSTRY'],['Merck Sharp & Dohme Corp.'],['0767-031'],[],[],[],['Non-systematic Assessment'],[],['Gastrointestinal disorders']
0,24,['NCT02153996'],[],['United States'],"['National Institutes of Health Clinical Center, 9000 Rockville Pike']",['Maryland'],[],['20892'],['65 Years'],['18 Years'],[],['Longitudinal Analysis of Plasmodium Falciparum-Specific Immunity in Travelers and Immigrants From Malaria Endemic Areas to the United States'],['NIH'],['National Institutes of Health Clinical Center (CC)'],['140121'],[],[],[],[],[],[]
0,25,['NCT00413673'],[],['United States'],"['Walter Reed Army Medical Center, Center For Refractive Surgery']",['District of Columbia'],[],['20307'],[],['21 Years'],[],['Initial Evaluation of Photorefractive Keratectomy in U.S. Army Personnel'],['FED'],['Walter Reed Army Medical Center'],['WRAMC WU # 2335-99'],[],[],[],[],[],[]
0,26,['NCT03867409'],[],['United States'],['University of Florida'],['Florida'],[],['32611'],['73 Years'],['50 Years'],[],['The United States Healthy Living Study'],['OTHER'],['University of Florida'],['IRB201801473 -N'],[],[],[],[],[],[]
0,27,['NCT04004260'],[],['United States'],['Lamar University'],['Texas'],[],['77705'],[],['18 Years'],[],['Cognitive Behavior Therapy Based Self-help Delivered Via the Internet for Tinnitus Sufferers: Efficacy Trial in the U.S. Population'],['OTHER'],['Lamar University'],['R21DC017214'],[],['https://projectreporter.nih.gov/reporterapi.cfm?PROJECTNUM=R21DC017214&Fy=all'],['U.S. NIH Grant/Contract'],[],[],[]
0,28,['NCT04205877'],"['Contact', 'Contact']",['United States'],"[""LeBonheur Children's Hospital""]",['Tennessee'],[],['38103'],['1 Year'],[],[],['The United States Patent Ductus Arteriosus Registry'],['OTHER'],"[""Le Bonheur Children's Hospital""]",['The U.S. PDA Registry'],[],[],[],[],[],[]
0,29,['NCT01262079'],[],"['United States', 'United States', 'United States', 'United States']","['Hope Clinic of the Emory Vaccine Center', 'St. Louis University - Doisy Research Center', ""Cincinatti Children's Hospital Medical Center"", 'Baylor College of Medicine']","['Georgia', 'Missouri', 'Ohio', 'Texas']",[],"['30030', '63104', '45229', '77030']",[],['6 Years'],[],['Evaluation of Influenza-Specific Immune Responses in Children and Adults During the 2010-2011 Influenza Season in the U.S.'],['NIH'],['National Institute of Allergy and Infectious Diseases (NIAID)'],['VRC 700'],[],[],[],[],[],[]
0,30,['NCT00646438'],"['Contact', 'Contact', 'Principal Investigator']",['United States'],['Providence St. Vincent Medical Center'],['Oregon'],[],['97225'],['80 Years'],['18 Years'],[],['United States CABG Diabetes Project (USCDP) Pilot Study'],['OTHER'],['Providence Heart & Vascular Institute'],['USCDP'],[],[],[],[],[],[]
0,31,['NCT00341588'],[],['United States'],"['National Cancer Institute (NCI), 9000 Rockville Pike']",['Maryland'],[],['20892'],['120 Years'],['18 Years'],[],['A Case-Control Study of Testicular Germ Cell Tumors Among U.S. Military Servicemen'],['NIH'],['National Institutes of Health Clinical Center (CC)'],['999902113'],[],[],[],[],[],[]
0,32,['NCT04562636'],[],['United States'],['Carolina Population Center'],['North Carolina'],[],['27599'],[],['18 Years'],[],['Evaluating a Messaging Campaign in the United States'],['OTHER'],"['University of North Carolina, Chapel Hill']",['20-2552'],[],[],[],[],[],[]
0,33,['NCT03924505'],"['Contact', 'Contact']",['United States'],['RTI International'],['California'],['Recruiting'],['94704'],[],['18 Years'],[],['Preventing Opioid Overdose Mortality in the United States'],['OTHER'],['RTI International'],['INOD'],[],[],[],[],[],[]
0,34,['NCT02334462'],[],"['United States', 'Mali']","['National Institutes of Health Clinical Center, 9000 Rockville Pike', 'Malaria Research and Training Center']",['Maryland'],[],['20892'],['50 Years'],['18 Years'],[],"['Phase 1 Study of the Safety and Immunogenicity of Pfs230D1M-EPA/Alhydrogel and Pfs25M-EPA/Alhydrogel, a Transmission Blocking Vaccine Against Plasmodium Falciparum Malaria in Adults in the US and Mali']",['NIH'],['National Institutes of Health Clinical Center (CC)'],['150044'],[],[],[],[],[],[]
0,35,['NCT03311295'],"['Contact', 'Contact']","['United States', 'United States']","['UC Davis Medical Center', 'Columbia University Medical Center/NewYork Presbyterian Hospital']","['California', 'New York']","['Recruiting', 'Not yet recruiting']","['95817', '10032']",['85 Years'],['21 Years'],[],['MitrAl ValvE RepaIr Clinical Trial (MAVERIC Trial) - United States'],['INDUSTRY'],"['Mvrx, Inc.']",['US042616'],[],[],[],[],[],[]
0,36,['NCT03242278'],[],['United States'],[],['New York'],[],[],[],['18 Years'],[],['Real-world Dosing Patterns of Rivaroxaban in the United States (RIVA-D)'],['INDUSTRY'],['Bayer'],['18733'],[],[],[],[],[],[]
0,37,['NCT03683134'],[],['United States'],['Auburn University Pharmaceutical Care Center'],['Alabama'],[],['36849'],[],['19 Years'],[],"['A Pilot, Theory-Based, Nutrition Intervention Promoting a Mediterranean Diet for the Reduction of Cardiovascular Disease Risk Factors in a High-Risk Population of the Southeastern United States: The Healthy Hearts Program (HHP)']",['OTHER'],['Auburn University'],['The Healthy Hearts Program'],[],[],[],[],[],[]
0,38,['NCT04047316'],[],"['United States', 'United States']","['Dermatologic Surgery Center of Washington LLC', 'Silver Falls Dermatology']","['Maryland', 'Oregon']",[],"['20815', '97302']",[],[],[],['Development and Validation of a New Digital Dermatoscope in the United States'],['INDUSTRY'],['Barco NV'],['CI-PROT-0029'],[],[],[],[],[],[]
0,39,['NCT03952364'],"['Contact', 'Principal Investigator']",['United States'],['NYU Langone Health/Bellevue'],['New York'],['Recruiting'],['10016'],['80 Years'],['16 Years'],[],"[""The PRECIOUS Study: Predicting Crohn's & ColitIs Outcomes in the United States""]",['INDUSTRY'],['PredictImmune Ltd'],['The Precious Study'],[],[],[],[],[],[]
0,40,['NCT04021030'],[],['United States'],['Meridian Health Services'],['Michigan'],[],['48327'],[],['18 Years'],[],['Building Collaborations to Address Drug Problems in the United States and China'],['OTHER'],['University of Michigan'],['HUM00122412'],[],[],[],[],[],[]
0,41,['NCT02959827'],[],['United States'],['Oakland'],['California'],[],['94612'],['3 Years'],[],[],['Iodinated Contrast Agents and Risk of Hypothyroidism in Young Children in the United States'],['INDUSTRY'],['Bayer'],['19185'],[],[],[],[],[],[]
