,Rank,NCTId,StartDateType,StatusVerifiedDate,StudyFirstPostDate,StudyFirstPostDateType,StudyFirstSubmitDate,StudyFirstSubmitQCDate,StudyPopulation,StudyType,TargetDuration,UnpostedEventDate,UnpostedEventType,UnpostedResponsibleParty,VersionHolder,WhyStopped
0,21,['NCT02889263'],[],['August 2016'],"['September 5, 2016']",['Estimate'],"['August 31, 2016']","['September 2, 2016']",['Hospitalized patients aged over 65 years in France in 2010'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,22,['NCT03995745'],['Actual'],['October 2020'],"['June 24, 2019']",['Actual'],"['May 23, 2019']","['June 20, 2019']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,23,['NCT00928694'],[],['August 2015'],"['June 26, 2009']",['Estimate'],"['June 25, 2009']","['June 25, 2009']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,24,['NCT02153996'],[],"['March 15, 2016']","['June 3, 2014']",['Estimate'],"['May 31, 2014']","['May 31, 2014']",[],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,25,['NCT00413673'],[],['November 2007'],"['December 20, 2006']",['Estimate'],"['December 19, 2006']","['December 19, 2006']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,26,['NCT03867409'],['Actual'],['March 2020'],"['March 8, 2019']",['Actual'],"['March 1, 2019']","['March 5, 2019']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,27,['NCT04004260'],['Actual'],['April 2020'],"['July 2, 2019']",['Actual'],"['June 26, 2019']","['June 27, 2019']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,28,['NCT04205877'],['Anticipated'],['December 2019'],"['December 20, 2019']",['Actual'],"['December 16, 2019']","['December 17, 2019']","['The study population is patients with diagnosis of PDA with clinical indication for transcatheter PDA closure, and weigh less than 2 kg at the time of device implant.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,29,['NCT01262079'],[],['August 2011'],"['December 17, 2010']",['Estimate'],"['December 15, 2010']","['December 15, 2010']",['Healthy participants ages 6 years and older who are available for 3 clinic study visits over approximately eight months. Participants must be willing and able to donate blood for storage and research. Females must not be or become pregnant during the study. Multiple subjects from the same household may not be enrolled into the same age group.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,30,['NCT00646438'],[],['March 2008'],"['March 28, 2008']",['Estimate'],"['March 25, 2008']","['March 27, 2008']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,31,['NCT00341588'],['Actual'],['August 2020'],"['June 21, 2006']",['Estimate'],"['June 19, 2006']","['June 19, 2006']","['Male U.S. servicemen, age 18-45 years old, with atleast one serum sample stored in the DoD Serum Repository.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,32,['NCT04562636'],['Actual'],['September 2020'],"['September 24, 2020']",['Actual'],"['September 14, 2020']","['September 18, 2020']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,33,['NCT03924505'],['Actual'],['September 2020'],"['April 23, 2019']",['Actual'],"['April 19, 2019']","['April 22, 2019']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,34,['NCT02334462'],[],"['October 22, 2018']","['January 8, 2015']",['Estimate'],"['January 7, 2015']","['January 7, 2015']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,35,['NCT03311295'],['Actual'],['August 2020'],"['October 17, 2017']",['Actual'],"['October 11, 2017']","['October 11, 2017']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,36,['NCT03242278'],['Actual'],['August 2017'],"['August 8, 2017']",['Actual'],"['July 26, 2017']","['August 3, 2017']",['Patients with non-valvular atrial fibrillation (NVAF)'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,37,['NCT03683134'],['Actual'],['September 2018'],"['September 25, 2018']",['Actual'],"['September 20, 2018']","['September 21, 2018']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,38,['NCT04047316'],['Actual'],['June 2020'],"['August 6, 2019']",['Actual'],"['August 2, 2019']","['August 5, 2019']",['Patients will be considered for enrollment in the study when they have a lesion that is accessible to the new digital dermatoscope and are able to give informed consent (guardian in case of patients under 18 years).'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,39,['NCT03952364'],['Actual'],['September 2020'],"['May 16, 2019']",['Actual'],"['May 14, 2019']","['May 14, 2019']","['The target patient populations are newly diagnosed, active CD or UC in patients who are immunomodulator and anti-TNFα treatment naïve.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,40,['NCT04021030'],['Actual'],['October 2020'],"['July 16, 2019']",['Actual'],"['July 12, 2019']","['July 12, 2019']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,41,['NCT02959827'],['Actual'],['January 2019'],"['November 9, 2016']",['Estimate'],"['October 11, 2016']","['November 7, 2016']","['Children under age 4 in the Kaiser Permanente Northern California database, who had a diagnostic procedure with an iodinated contrast agent']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,42,['NCT02395536'],['Actual'],['May 2017'],"['March 23, 2015']",['Estimate'],"['March 17, 2015']","['March 20, 2015']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,43,['NCT03628235'],['Actual'],['September 2020'],"['August 14, 2018']",['Actual'],"['May 29, 2018']","['August 9, 2018']","[""HDGECs: Participant in Enroll-HD with clinically diagnosed HD and a cytosine, adenine, guanine (CAG) length ≥ 40, who meets the protocol inclusion criteria and none of the exclusion criteria.\n\nCompanions: Primary provider (unpaid) of supportive care for an HDGEC (this HDGEC must be an active participant of Enroll-HD Study, have a CAG ≥ 40, have an adult onset of disease (disease symptoms manifested at age 20 years or older), and a DCL=4)), who meets the protocol's companion inclusion criteria and none of the exclusion criteria.""]",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,44,['NCT02787538'],[],['May 2016'],"['June 1, 2016']",['Estimate'],"['May 26, 2016']","['May 31, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,45,['NCT01290393'],['Actual'],['July 2018'],"['February 7, 2011']",['Estimate'],"['February 3, 2011']","['February 3, 2011']",['Women aged 15 to 25 years and residing in the United States or in Canada'],['Observational'],[],[],[],[],"['October 30, 2020']",['Low accrual of subjects primarily attributable to the low uptake of Cervarix in the US and Canada in women aged 15 to 25 years of age.']
0,46,['NCT04263311'],['Actual'],['August 2020'],"['February 10, 2020']",['Actual'],"['January 31, 2020']","['February 7, 2020']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,47,['NCT00875641'],['Actual'],['June 2018'],"['April 3, 2009']",['Estimate'],"['April 2, 2009']","['April 2, 2009']",['Children affiliated to two participating health insurance plans.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,48,['NCT03199846'],['Actual'],['February 2018'],"['June 27, 2017']",['Actual'],"['June 23, 2017']","['June 23, 2017']",['Patients initiating a new line of therapy for unresectable stage III and/or metastatic (stage IV) melanoma during the index period between 01-Jan-2015 and 31-May-2016.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,49,['NCT04587245'],['Actual'],['October 2020'],"['October 14, 2020']",['Actual'],"['October 7, 2020']","['October 7, 2020']",['Healthcare Provider based anywhere in the United States who is eligible to submit claims to an insurance company on behalf of patients.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,50,['NCT02773979'],['Actual'],"['April 5, 2017']","['May 16, 2016']",['Estimate'],"['May 12, 2016']","['May 12, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,51,['NCT03274726'],['Actual'],['September 2017'],"['September 7, 2017']",['Actual'],"['September 5, 2017']","['September 5, 2017']","['NHANES is a nationally-representative, cross-sectional study of nutrition and health for individuals residing in the U.S.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,52,['NCT01283828'],[],['October 2013'],"['January 26, 2011']",['Estimate'],"['January 25, 2011']","['January 25, 2011']","['Approximately 5,000 women aged 18 to 45 years in the United States will be enrolled in the study. Women will be recruited from approximately 25 clinics and solo or group practices providing maternity care (pre- and post-natal), abortion, STI prevention & treatment, family planning, and student health services. All women will be recruited, excluding women seeking emergency or oncological care.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,53,['NCT04191824'],['Actual'],['March 2020'],"['December 10, 2019']",['Actual'],"['December 5, 2019']","['December 5, 2019']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,54,['NCT03197688'],['Actual'],['September 2018'],"['June 23, 2017']",['Actual'],"['May 12, 2017']","['June 21, 2017']","['Patients who initiated Opsumit for the first time between 19 October 2013 and 31 December 2016 (inclusive) are eligible for OrPHeUS (i.e., eligibility period).']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,55,['NCT02813577'],['Actual'],['April 2020'],"['June 27, 2016']",['Estimate'],"['June 16, 2016']","['June 24, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",['FDA allowed other data to be leveraged to meet the study requirements']
0,56,['NCT00666380'],[],['May 2015'],"['April 24, 2008']",['Estimate'],"['April 22, 2008']","['April 23, 2008']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,57,['NCT01287247'],[],['April 2015'],"['February 1, 2011']",['Estimate'],"['January 28, 2011']","['January 31, 2011']",['Subjects 18 years of age or older. The physician must have chosen to treat the patient with Xeomin® (incobotulinumtoxinA) prior to and independent of enrollment in this study.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,58,['NCT04163341'],['Anticipated'],['November 2019'],"['November 14, 2019']",['Actual'],"['November 12, 2019']","['November 12, 2019']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,59,['NCT02987335'],['Anticipated'],['May 2020'],"['December 8, 2016']",['Estimate'],"['December 2, 2016']","['December 6, 2016']","['Subjects with diabetes will be recruited from the community and outpatient diabetes practices at CMC India, Jacobi Medical Center, and North Central Bronx hospital. These subjects will meet the following criteria: Age 19-45 years, diabetes duration at least one year, negative GAD antibodies, >1.0 pmol/l C-peptide response to Sustacal challenge, stable and moderate-to-poor glycemic control (HbA1c between 8-11%), no pancreatic calcification on imaging, and not suffering from significant complications. Diabetic subjects will be otherwise in good health.\n\nSubjects without diabetes: BMI 16-22.5 kg/m2, Age 19-45 years and in general good health, taking no medications, normal glucose tolerance, and no family history of diabetes. Subjects will be similar in age, ethnicity, and BMI with the lean DM group, and will be recruited through various means of community outreach, including notices in shops and newspapers.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,60,['NCT02867722'],[],['August 2016'],"['August 16, 2016']",['Estimate'],"['July 18, 2016']","['August 12, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,61,['NCT03276637'],['Actual'],['May 2019'],"['September 8, 2017']",['Actual'],"['August 31, 2017']","['September 6, 2017']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,62,['NCT03192891'],['Actual'],['September 2019'],"['June 20, 2017']",['Actual'],"['June 16, 2017']","['June 16, 2017']",['Consecutive patients who underwent stress CMR perfusion imaging for evaluation of myocardial ischemia between 2008-2013.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,63,['NCT03373045'],['Actual'],['October 2020'],"['December 14, 2017']",['Actual'],"['November 20, 2017']","['December 8, 2017']","['It is estimated that at least 1500 patients in the US with a confirmed diagnosis of severe asthma will be enrolled by a diverse set of asthma specialists (eg, allergists and pulmonologists who treat asthma) from academic and community-based centers.']",['Observational'],['5 Years'],[],[],[],"['October 30, 2020']",[]
0,64,['NCT04229212'],['Actual'],['January 2020'],"['January 18, 2020']",['Actual'],"['January 8, 2020']","['January 14, 2020']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,65,['NCT02848781'],['Actual'],['June 2019'],"['July 28, 2016']",['Estimate'],"['July 26, 2016']","['July 27, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,66,['NCT00385047'],[],['June 2015'],"['October 6, 2006']",['Estimate'],"['October 4, 2006']","['October 4, 2006']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,67,['NCT02993120'],['Actual'],['August 2020'],"['December 15, 2016']",['Estimate'],"['December 2, 2016']","['December 12, 2016']",['Adults (18-44 years)\nAdults (45-64 years)\nAdults (65-74 years)\nAdults (75 years and older)\nSex: Male and Female'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,68,['NCT03045120'],['Actual'],['April 2020'],"['February 7, 2017']",['Estimate'],"['January 31, 2017']","['February 3, 2017']","['Newly-diagnosed, treatment-naïve CP-CML patients who are ≥ 18 years at the time of CP-CML diagnosis who are scheduled to initiate treatment with dasatinib, imatinib, nilotinib or Bosutinib are eligible for enrollment. Enrolled patients (n=200) will be distributed across the 3 patient treatment groups of newly diagnosed CP-CML patients who will initiate their first- line TKI treatment.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,69,['NCT01154296'],[],['September 2014'],"['June 30, 2010']",['Estimate'],"['June 29, 2010']","['June 29, 2010']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,70,['NCT02857764'],['Actual'],['August 2017'],"['August 5, 2016']",['Estimate'],"['August 3, 2016']","['August 3, 2016']","[""Participants who are new users (with at least 365 day of prior observation) to a drug exposure of interest between April 1, 2013 and January 31, 2015 and at least 1 condition occurrence of 'Type II diabetes' any time before or on index and no condition occurrences of 'Type I diabetes' or 'Secondary diabetes' any time before or on index date. January 31, 2015 reflects the data cutoff date for the initial analysis.""]",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,71,['NCT00412568'],[],['November 2007'],"['December 18, 2006']",['Estimate'],"['December 15, 2006']","['December 15, 2006']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,72,['NCT03353480'],['Actual'],['February 2019'],"['November 27, 2017']",['Actual'],"['November 21, 2017']","['November 21, 2017']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,73,['NCT00800267'],[],['March 2009'],"['December 2, 2008']",['Estimate'],"['November 3, 2008']","['December 1, 2008']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,74,['NCT00601835'],[],['April 2016'],"['January 28, 2008']",['Estimate'],"['January 15, 2008']","['January 25, 2008']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,75,['NCT01087905'],[],['October 2016'],"['March 16, 2010']",['Estimate'],"['March 15, 2010']","['March 15, 2010']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,76,['NCT02616198'],[],['November 2015'],"['November 26, 2015']",['Estimate'],"['November 20, 2015']","['November 24, 2015']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,77,['NCT00007540'],[],['February 2003'],"['January 1, 2001']",['Estimate'],"['December 29, 2000']","['December 30, 2000']",[],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,78,['NCT02163525'],[],['January 2020'],"['June 13, 2014']",['Estimate'],"['June 11, 2014']","['June 11, 2014']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,79,['NCT03310112'],['Actual'],['September 2018'],"['October 16, 2017']",['Actual'],"['October 3, 2017']","['October 12, 2017']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,80,['NCT02766634'],[],['July 2016'],"['May 10, 2016']",['Estimate'],"['May 6, 2016']","['May 6, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,81,['NCT02971709'],[],['July 2017'],"['November 23, 2016']",['Estimate'],"['November 21, 2016']","['November 21, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,82,['NCT03801928'],['Actual'],['June 2020'],"['January 14, 2019']",['Actual'],"['December 11, 2018']","['January 9, 2019']","['A total of 300 patients are planned to be enrolled from approximately 30 40 physician clinics. Enrollment is planned to be competitive, but an upper limit of 20 patients per site per cohort will be applied to maintain the generalizability of the study. This is an observational study; therefore the decision to treat a patient with INFLECTRA must be made prior to a decision to enroll them in this study. Patients are eligible to participate if they have:\n\nInitiated therapy with INFLECTRA as their first biologic;\nSwitched to INFLECTRA while in remission on a stable dose of REMICADE; or,\nSwitched to INFLECTRA from another biologic, due to non responsiveness, intolerance, or other reasons.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,83,['NCT01641029'],[],['April 2015'],"['July 16, 2012']",['Estimate'],"['July 12, 2012']","['July 13, 2012']","['Patients will be recruited from ten U.S. university-affiliated medical center emergency departments participating in a CDC-collaborative emerging infections sentinel network, EMERGEncy ID NET. Patients presenting with symptoms of acute uncomplicated pyelonephritis will be enrolled by treating physicians or study coordinators.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,84,['NCT02128542'],[],['June 2016'],"['May 1, 2014']",['Estimate'],"['April 29, 2014']","['April 29, 2014']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,85,['NCT00573976'],[],['November 2010'],"['December 14, 2007']",['Estimate'],"['December 12, 2007']","['December 13, 2007']",['The characteristics of the proposed subject population include:\n\nMales and females 18 years of age or older\nAdults who are competent to give informed consent\nSubjects who are able to read or speak English'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,86,['NCT00306007'],[],['June 2013'],"['March 22, 2006']",['Estimate'],"['March 17, 2006']","['March 21, 2006']","[""target population for this study is pregnant women who present to san Francisco General Hospital (SFGH) Women's Options Center (WOC) for abortion and to the Women's Health Center for prenatal care. The population is racially and ethnically diverse, and the majority are financially challenged and have no insurance or Medicaid.""]",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,87,['NCT02766647'],[],['May 2016'],"['May 10, 2016']",['Estimate'],"['May 6, 2016']","['May 6, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,88,['NCT04460898'],['Actual'],['July 2020'],"['July 8, 2020']",['Actual'],"['July 6, 2020']","['July 6, 2020']","['The study will include adult patients aged 18 years and older, diagnosed with HR+/HER2- mBC and received treatment with Palbociclib in combination with letrozole as initial endocrine-therapy for advanced/metastatic breast cancer.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,89,['NCT00413517'],[],['July 2010'],"['December 19, 2006']",['Estimate'],"['December 18, 2006']","['December 18, 2006']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,90,['NCT02882100'],['Actual'],['June 2020'],"['August 29, 2016']",['Estimate'],"['August 24, 2016']","['August 24, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,91,['NCT00533975'],[],['June 2007'],"['September 24, 2007']",['Estimate'],"['September 20, 2007']","['September 20, 2007']",[],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,92,['NCT02109757'],[],['April 2014'],"['April 10, 2014']",['Estimate'],"['January 9, 2014']","['April 7, 2014']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,93,['NCT00959933'],[],['August 2009'],"['August 17, 2009']",['Estimate'],"['August 13, 2009']","['August 14, 2009']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,94,['NCT00960479'],[],['August 2009'],"['August 17, 2009']",['Estimate'],"['August 13, 2009']","['August 14, 2009']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,95,['NCT03266497'],['Actual'],['August 2017'],"['August 30, 2017']",['Actual'],"['August 28, 2017']","['August 28, 2017']","['The study population comprised 4,243 non-Hispanic Blacks, including 3,837 U.S.-born (90.4%) and 406 foreign-born (9.6%). Compared to U.S.-born Blacks, a higher proportion of foreign-born Blacks were male, had attained a higher level of education, were classified as normal or overweight, had never been a smoker, engaged in physical activity, and had lower energy intake. In comparison to those who were in the U.S. for <10 years, more foreign-born Blacks who were in the U.S. for ≥30 years were current smokers (14.8% vs. 5.0%, respectively), had higher income (IPR of ≥4.00: 43.5% vs 7.9%, respectively), and a higher percent with a college degree or higher (39.4% vs. 18.3%, respectively). Foreign-born Blacks residing in the U.S. for ≥30 years reported higher BMI in comparison to those residing in the U.S. for <10 years (28.8 vs. 26.7 kg/m2).']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,96,['NCT02207569'],[],['October 2020'],"['August 4, 2014']",['Estimate'],"['July 24, 2014']","['July 31, 2014']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,97,['NCT02569632'],[],['October 2015'],"['October 7, 2015']",['Estimate'],"['September 30, 2015']","['October 6, 2015']",[],['Interventional'],[],"['May 10, 2017', 'June 9, 2017', 'September 25, 2020', 'September 25, 2020']","['Release', 'Reset', 'Release', 'Unrelease']","[""UCSF Benioff Children's Hospital Oakland""]","['October 30, 2020']",[]
0,98,['NCT02069925'],[],['May 2020'],"['February 24, 2014']",['Estimate'],"['February 20, 2014']","['February 21, 2014']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,99,['NCT03433131'],[],['August 2019'],"['February 14, 2018']",['Actual'],"['February 7, 2018']","['February 7, 2018']",[],['Expanded Access'],[],[],[],[],"['October 30, 2020']",[]
0,100,['NCT02746809'],[],['October 2020'],"['April 21, 2016']",['Estimate'],"['April 18, 2016']","['April 18, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,101,['NCT00328380'],[],['November 2019'],"['May 19, 2006']",['Estimate'],"['May 17, 2006']","['May 17, 2006']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,102,['NCT04552535'],['Actual'],['September 2020'],"['September 17, 2020']",['Actual'],"['September 10, 2020']","['September 13, 2020']",['Patients with metastatic Squamous cell carcinoma (SqCC) of the lung treated with pembrolizumab in combination with platinum doublet chemotherapy as first line (1L) treatment followed by either afatinib as second line (2L) treatment or chemotherapy as 2L treatment.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,103,['NCT03293875'],[],['September 2017'],"['September 26, 2017']",['Actual'],"['December 7, 2016']","['September 25, 2017']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,104,['NCT01235260'],[],['July 2016'],"['November 5, 2010']",['Estimate'],"['November 4, 2010']","['November 4, 2010']",['Patients with diabetic foot ulcers who are members of the U.S. Department of Veterans Affairs Health Care System (VA)'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,105,['NCT03390660'],['Actual'],['December 2017'],"['January 4, 2018']",['Actual'],"['December 28, 2017']","['December 28, 2017']",['A nationally representative sample surveyed in NHANES 1999-2014'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
