,Rank,NCTId,PrimaryOutcomeMeasure,SecondaryIdDomain,ReferenceCitation,ReferencePMID,ReferenceType,RemovedCountry,ResponsiblePartyInvestigatorAffiliation,ResponsiblePartyInvestigatorFullName,ResponsiblePartyInvestigatorTitle,ResponsiblePartyOldNameTitle,ResponsiblePartyOldOrganization,ResponsiblePartyType,ResultsFirstPostDate,ResultsFirstPostDateType,ResultsFirstSubmitDate,ResultsFirstSubmitQCDate,RetractionPMID,RetractionSource,SamplingMethod
0,21,['NCT02889263'],"['The total number of rehospitalizations within 30 days of discharge, as a percent of total hospital discharges for all acute-care hospitals']",[],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Non-Probability Sample']
0,22,['NCT03995745'],['Number of patients with viral suppression'],[],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],[]
0,23,['NCT00928694'],"['Area Under the Curve (AUC(0 to Infinity)) of Fenofibric Acid', 'Maximum Plasma Concentration (Cmax) of Fenofibric Acid']",[],[],[],[],[],[],[],[],[],[],['Sponsor'],"['December 11, 2009']",['Estimate'],"['November 10, 2009']","['November 10, 2009']",[],[],[]
0,24,['NCT02153996'],['Estimate the quality and longevity of P. falciparum-specific humoral and cellular immune responses in the absence of ongoing P. falciparum exposure.'],[],"['Trape JF, Rogier C, Konate L, Diagne N, Bouganali H, Canque B, Legros F, Badji A, Ndiaye G, Ndiaye P, et al. The Dielmo project: a longitudinal study of natural malaria infection and the mechanisms of protective immunity in a community living in a holoendemic area of Senegal. Am J Trop Med Hyg. 1994 Aug;51(2):123-37.', 'Pérignon JL, Druilhe P. Immune mechanisms underlying the premunition against Plasmodium falciparum malaria. Mem Inst Oswaldo Cruz. 1994;89 Suppl 2:51-3. Review.', 'Deloron P, Chougnet C. Is immunity to malaria really short-lived? Parasitol Today. 1992 Nov;8(11):375-8.']","['8074247', '7565132', '15463545']","['background', 'background', 'background']",[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],[]
0,25,['NCT00413673'],['safety and efficacy of PRK'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,26,['NCT03867409'],"['Perceived susceptibility', 'Perceived severity', 'Perceived benefits', 'Perceived barriers', 'Attitudes towards Fecal immunochemical test (FIT)', 'Attitudes towards colonoscopy', 'Self-efficacy', 'Response efficacy', 'Comparative risk feedback', 'Cancer Information Overload', 'Cancer fatalism', 'Perceived Message Relevance Scale', 'Argument strength', 'Source credibility', 'Trust in Physician Scale', 'Patient-provider communication scale', 'Patient general health (SF-36)', 'eHeals Health Literacy', 'Transportation', 'Usability of App', 'Homophily', 'Interpersonal Distance']",['UF OnCore'],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],[]
0,27,['NCT04004260'],['Change in Tinnitus Functional Index (TFI)'],[],"['Beukes EW, Baguley DM, Allen PM, Manchaiah V, Andersson G. Audiologist-Guided Internet-Based Cognitive Behavior Therapy for Adults With Tinnitus in the United Kingdom: A Randomized Controlled Trial. Ear Hear. 2018 May/Jun;39(3):423-433. doi: 10.1097/AUD.0000000000000505.', 'Beukes EW, Andersson G, Allen PM, Manchaiah V, Baguley DM. Effectiveness of Guided Internet-Based Cognitive Behavioral Therapy vs Face-to-Face Clinical Care for Treatment of Tinnitus: A Randomized Clinical Trial. JAMA Otolaryngol Head Neck Surg. 2018 Dec 1;144(12):1126-1133. doi: 10.1001/jamaoto.2018.2238.', 'Beukes EW, Allen PM, Baguley DM, Manchaiah V, Andersson G. Long-Term Efficacy of Audiologist-Guided Internet-Based Cognitive Behavior Therapy for Tinnitus. Am J Audiol. 2018 Nov 19;27(3S):431-447. doi: 10.1044/2018_AJA-IMIA3-18-0004.', 'Beukes EW, Manchaiah V, Allen PM, Baguley DM, Andersson G. Internet-Based Interventions for Adults With Hearing Loss, Tinnitus, and Vestibular Disorders: A Systematic Review and Meta-Analysis. Trends Hear. 2019 Jan-Dec;23:2331216519851749. doi: 10.1177/2331216519851749.', 'Beukes EW, Fagelson M, Aronson EP, Munoz MF, Andersson G, Manchaiah V. Readability Following Cultural and Linguistic Adaptations of an Internet-Based Intervention for Tinnitus for Use in the United States. Am J Audiol. 2020 Jun 8;29(2):97-109. doi: 10.1044/2019_AJA-19-00014. Epub 2020 Feb 26.']","['29095725', '30286238', '30452747', '31328660', '32105512']","['background', 'background', 'background', 'background', 'background']",[],['Lamar University'],['Vinaya Manchaiah'],['Jo Mayo Endowed Professor'],[],[],['Principal Investigator'],[],[],[],[],[],[],[]
0,28,['NCT04205877'],"['Vascular Access Complications (Safety)', 'Valvular Injury (Safety)', 'Device Embolization (Safety)', 'Pulmonary or Aortic Vessel Stenosis (Safety)', 'Rate of Effective PDA Closure (Effectiveness)']",[],"['Tashiro J, Perez EA, Sola JE. Reduced Hospital Mortality With Surgical Ligation of Patent Ductus Arteriosus in Premature, Extremely Low Birth Weight Infants: A Propensity Score-matched Outcome Study. Ann Surg. 2016 Mar;263(3):608-14. doi: 10.1097/SLA.0000000000001228.', 'Schneider DJ. The patent ductus arteriosus in term infants, children, and adults. Semin Perinatol. 2012 Apr;36(2):146-53. doi: 10.1053/j.semperi.2011.09.025. Review.', 'Mahoney LT, Coryell KG, Lauer RM. The newborn transitional circulation: a two-dimensional Doppler echocardiographic study. J Am Coll Cardiol. 1985 Sep;6(3):623-9.', 'Philip R, Waller BR 3rd, Agrawal V, Wright D, Arevalo A, Zurakowski D, Sathanandam S. Morphologic characterization of the patent ductus arteriosus in the premature infant and the choice of transcatheter occlusion device. Catheter Cardiovasc Interv. 2016 Feb 1;87(2):310-7. doi: 10.1002/ccd.26287. Epub 2015 Nov 3.', 'Krichenko A, Benson LN, Burrows P, Möes CA, McLaughlin P, Freedom RM. Angiographic classification of the isolated, persistently patent ductus arteriosus and implications for percutaneous catheter occlusion. Am J Cardiol. 1989 Apr 1;63(12):877-80.', 'Pass RH. Amplatzer Duct Occluder device: a new technology for the closure of the moderate-to-large-sized patent ductus arteriosus. Expert Rev Med Devices. 2006 May;3(3):291-6.', 'Moore JW, Levi DS, Moore SD, Schneider DJ, Berdjis F. Interventional treatment of patent ductus arteriosus in 2004. Catheter Cardiovasc Interv. 2005 Jan;64(1):91-101. Review.', 'Perlo f, Joseph K.The Clinical Recognition of Congenital Heart Disease. Philadelphia: Saunders. Print.', 'Gross RE, Hubbard JP. Landmark article Feb 25, 1939: Surgical ligation of a patent ductus arteriosus. Report of first successful case. By Robert E. Gross and John P. Hubbard. JAMA. 1984 Mar 2;251(9):1201-2.', 'Kabra NS, Schmidt B, Roberts RS, Doyle LW, Papile L, Fanaroff A; Trial of Indomethacin Prophylaxis in Preterms Investigators. Neurosensory impairment after surgical closure of patent ductus arteriosus in extremely low birth weight infants: results from the Trial of Indomethacin Prophylaxis in Preterms. J Pediatr. 2007 Mar;150(3):229-34, 234.e1.', 'Chorne N, Leonard C, Piecuch R, Clyman RI. Patent ductus arteriosus and its treatment as risk factors for neonatal and neurodevelopmental morbidity. Pediatrics. 2007 Jun;119(6):1165-74.', 'Teixeira LS, Shivananda SP, Stephens D, Van Arsdell G, McNamara PJ. Postoperative cardiorespiratory instability following ligation of the preterm ductus arteriosus is related to early need for intervention. J Perinatol. 2008 Dec;28(12):803-10. doi: 10.1038/jp.2008.101. Epub 2008 Jul 10.', 'Porstmann W, Wierny L, Warnke H, Gerstberger G, Romaniuk PA. Catheter closure of patent ductus arteriosus. 62 cases treated without thoracotomy. Radiol Clin North Am. 1971 Aug;9(2):203-18.', 'Weisz DE, McNamara PJ. Patent ductus arteriosus ligation and adverse outcomes: causality or bias? J Clin Neonatol. 2014 Apr;3(2):67-75. doi: 10.4103/2249-4847.134670. Review.', 'Gruenstein DH, Ebeid M, Radtke W, Moore P, Holzer R, Justino H. Transcatheter closure of patent ductus arteriosus using the AMPLATZER™ duct occluder II (ADO II). Catheter Cardiovasc Interv. 2017 May;89(6):1118-1128. doi: 10.1002/ccd.26968. Epub 2017 Mar 4.', 'Kenny D, Morgan GJ, Bentham JR, Wilson N, Martin R, Tometzki A, Oslizlok P, Walsh KP. Early clinical experience with a modified Amplatzer ductal occluder for transcatheter arterial duct occlusion in infants and small children. Catheter Cardiovasc Interv. 2013 Oct 1;82(4):534-40. doi: 10.1002/ccd.24522. Epub 2013 Jun 29.', 'Sungur M, Karakurt C, Ozbarlas N, Baspinar O. Closure of patent ductus arteriosus in children, small infants, and premature babies with Amplatzer duct occluder II additional sizes: multicenter study. Catheter Cardiovasc Interv. 2013 Aug 1;82(2):245-52. doi: 10.1002/ccd.24905. Epub 2013 Apr 8.', 'Bruckheimer E, Godfrey M, Dagan T, Levinzon M, Amir G, Birk E. The Amplatzer Duct Occluder II Additional Sizes device for transcatheter PDA closure: initial experience. Catheter Cardiovasc Interv. 2014 Jun 1;83(7):1097-101. doi: 10.1002/ccd.25445. Epub 2014 Mar 4.', 'Baspinar O, Sahin DA, Sulu A, Irdem A, Gokaslan G, Sivasli E, Kilinc M. Transcatheter closure of patent ductus arteriosus in under 6 kg and premature infants. J Interv Cardiol. 2015 Apr;28(2):180-9. doi: 10.1111/joic.12196. Epub 2015 Apr 2.']","['25822689', '22414886', '4031274', '26525611', '2929450', '16681450', '15619281', '6363741', '17307535', '17545385', '18615091', '4938290', '25024972', '28258658', '22718329', '23460349', '24532416', '25832591']","['result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result']",[],"[""Le Bonheur Children's Hospital""]","['Shyam K. Sathanandam, MD']","[""Associate Professor of Pediatrics, University of Tennessee. Director of Cath Lab, Le Bonheur Children's Hospital.""]",[],[],['Principal Investigator'],[],[],[],[],[],[],['Non-Probability Sample']
0,29,['NCT01262079'],['Influenza-specific antibody responses'],['Department of Health and Human Services'],"['Subbarao K, Murphy BR, Fauci AS. Development of effective vaccines against pandemic influenza. Immunity. 2006 Jan;24(1):5-9.', 'Wei CJ, Boyington JC, McTamney PM, Kong WP, Pearce MB, Xu L, Andersen H, Rao S, Tumpey TM, Yang ZY, Nabel GJ. Induction of broadly neutralizing H1N1 influenza antibodies by vaccination. Science. 2010 Aug 27;329(5995):1060-4. doi: 10.1126/science.1192517. Epub 2010 Jul 15.', 'Centers for Disease Control and Prevention (CDC). Serum cross-reactive antibody response to a novel influenza A (H1N1) virus after vaccination with seasonal influenza vaccine. MMWR Morb Mortal Wkly Rep. 2009 May 22;58(19):521-4.']","['16413916', '20647428', '19478718']","['background', 'background', 'background']",[],[],[],[],"['Vaccine Research Center, NIAID, NIH contact: Chief, Clinical Trials Core']","['Vaccine Research Center, NIAID, NIH']",[],[],[],[],[],[],[],['Probability Sample']
0,30,['NCT00646438'],['The purpose of this study is to see how safe and effective strict glucose control is when extended beyond 3 days and hospital discharge for one year.'],[],[],[],[],[],[],[],[],"['Anthony Furnary, MD / Principal Investigator']",['Providence Heart & Vascular Institute'],[],[],[],[],[],[],[],[]
0,31,['NCT00341588'],['environmental and genetic determinants of TGCT risk'],[],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Non-Probability Sample']
0,32,['NCT04562636'],['Perceived Message Effectiveness (PME)'],['Wellcome Trust'],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],[]
0,33,['NCT03924505'],"['Adoption of Best Practices', 'Adoption of Best Practices', 'Naloxone Coverage', 'Naloxone Coverage', 'Number of Naloxone Doses Distributed to SSP participants', 'Number of Naloxone Doses Distributed to SSP participants']",[],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],[]
0,34,['NCT02334462'],['Incidence of local and systemic adverse events and serious advents in U.S. adults and in exposed Malian adults.'],[],"['Farrance CE, Rhee A, Jones RM, Musiychuk K, Shamloul M, Sharma S, Mett V, Chichester JA, Streatfield SJ, Roeffen W, van de Vegte-Bolmer M, Sauerwein RW, Tsuboi T, Muratova OV, Wu Y, Yusibov V. A plant-produced Pfs230 vaccine candidate blocks transmission of Plasmodium falciparum. Clin Vaccine Immunol. 2011 Aug;18(8):1351-7. doi: 10.1128/CVI.05105-11. Epub 2011 Jun 29.', 'Kaslow DC, Quakyi IA, Syin C, Raum MG, Keister DB, Coligan JE, McCutchan TF, Miller LH. A vaccine candidate from the sexual stage of human malaria that contains EGF-like domains. Nature. 1988 May 5;333(6168):74-6.', 'Shimp RL Jr, Rowe C, Reiter K, Chen B, Nguyen V, Aebig J, Rausch KM, Kumar K, Wu Y, Jin AJ, Jones DS, Narum DL. Development of a Pfs25-EPA malaria transmission blocking vaccine as a chemically conjugated nanoparticle. Vaccine. 2013 Jun 19;31(28):2954-62. doi: 10.1016/j.vaccine.2013.04.034. Epub 2013 Apr 24.', 'Guindo A, Sagara I, Ouedraogo B, Sallah K, Assadou MH, Healy S, Duffy P, Doumbo OK, Dicko A, Giorgi R, Gaudart J. ""Spatial heterogeneity of environmental risk in randomized prevention trials: consequences and modeling"". BMC Med Res Methodol. 2019 Jul 15;19(1):149. doi: 10.1186/s12874-019-0759-z.']","['21715576', '3283563', '23623858', '31307393']","['background', 'background', 'background', 'derived']",[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],[]
0,35,['NCT03311295'],"['Safety: Major Adverse Event Rate to 30 Days post-procedure', 'Efficacy: Mitral regurgitation grade by ASE criteria and change from baseline to 1 year']",[],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],[]
0,36,['NCT03242278'],"['Number of NVAF patients receiving 20 mg Rivaroxaban', 'Number of NVAF patients receiving 15 mg Rivaroxaban']",['Company internal'],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Non-Probability Sample']
0,37,['NCT03683134'],"['Systolic Blood Pressure Measurement', 'Systolic Blood Pressure Measurement']",[],[],[],[],[],['Auburn University'],['Michael W. Greene'],"['Director, Auburn University Metabolic Phenotyping Laboratory']",[],[],['Principal Investigator'],[],[],[],[],[],[],[]
0,38,['NCT04047316'],"['Performance of the new device in its normal conditions of use', 'Usability of the new device', 'Safety of the new device in its normal conditions of use']",[],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Non-Probability Sample']
0,39,['NCT03952364'],['To stratify patients at diagnosis into high and low- risk cohorts'],[],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Probability Sample']
0,40,['NCT04021030'],['Proportion of participants with decrease in pain level ≥ 18 % (or two points) on the Numeric Rating Scale (NRS)'],[],[],[],[],[],['University of Michigan'],['Mark A. Ilgen'],['Professor of Psychiatry'],[],[],['Principal Investigator'],[],[],[],[],[],[],[]
