,Rank,NCTId,LargeDocDate,LargeDocFilename,LargeDocHasICF,LargeDocHasProtocol,LargeDocHasSAP,LargeDocLabel,LargeDocTypeAbbrev,LargeDocUploadDate,LastKnownStatus,LastUpdatePostDate,LastUpdatePostDateType,LastUpdateSubmitDate,LeadSponsorClass,LeadSponsorName,LocationCity,LocationContactEMail,LocationContactName,LocationContactPhone,LocationContactPhoneExt
0,11,['NCT00026728'],[],[],[],[],[],[],[],[],[],"['March 4, 2008']",['Estimate'],"['March 3, 2008']",['NIH'],['National Cancer Institute (NCI)'],['Bethesda'],[],[],[],[]
0,12,['NCT01211990'],[],[],[],[],[],[],[],[],[],"['October 6, 2017']",['Actual'],"['October 5, 2017']",['NIH'],['National Institute of Mental Health (NIMH)'],['Bethesda'],[],[],[],[]
0,13,['NCT02663219'],[],[],[],[],[],[],[],[],"['Active, not recruiting']","['January 10, 2018']",['Actual'],"['January 8, 2018']",['NETWORK'],['HIV Prevention Trials Network'],"['Birmingham', 'Atlanta', 'Baltimore', 'Boston']",[],[],[],[]
0,14,['NCT00121108'],[],[],[],[],[],[],[],[],[],"['July 2, 2012']",['Estimate'],"['June 27, 2012']",['INDUSTRY'],['MedImmune LLC'],['Baltimore'],[],[],[],[]
0,15,['NCT01861210'],[],[],[],[],[],[],[],[],[],"['May 22, 2015']",['Estimate'],"['May 20, 2015']",['OTHER'],['Emory University'],['Atlanta'],[],[],[],[]
0,16,['NCT02911155'],[],[],[],[],[],[],[],[],[],"['May 5, 2020']",['Actual'],"['May 1, 2020']",['NIH'],['National Cancer Institute (NCI)'],['Minneapolis'],[],[],[],[]
0,17,['NCT00724867'],[],[],[],[],[],[],[],[],[],"['March 28, 2016']",['Estimate'],"['March 10, 2016']",['INDUSTRY'],"['Human Genome Sciences Inc., a GSK Company']","['Birmingham', 'Phoenix', 'Tucson', 'Long Beach', 'Los Angeles', 'Los Angeles', 'Upland', 'Washington', 'Aventura', 'Orlando', 'Tampa', 'Atlanta', 'Chicago', 'Chicago', 'Munster', 'Kansas City', 'Louisville', 'Baton Rouge', 'Baltimore', 'Cumberland', 'Hagerstown', 'Ann Arbor', 'Lansing', 'Bronx', 'Brooklyn', 'Great Neck', 'Manhasset', 'New York', 'Rochester', 'Smithtown', 'Chapel Hill', 'Greenville', 'Winston-Salem', 'Columbus', 'Dayton', 'Oklahoma City', 'Tulsa', 'Bethlehem', 'Pittsburgh', 'Charleston', 'Charleston', 'Greenville', 'Austin', 'Houston', 'Houston', 'Houston', 'San Antonio', 'Sugar Land', 'Arlington', 'Seattle', 'Onalaska']",[],[],[],[]
0,18,['NCT03973905'],"['March 8, 2019', 'June 24, 2020']","['SAP_000.pdf', 'Prot_001.pdf']","['No', 'No']","['No', 'Yes']","['Yes', 'No']","['Statistical Analysis Plan', 'Study Protocol']","['SAP', 'Prot']","['07/03/2020 10:24', '07/03/2020 10:24']",[],"['July 7, 2020']",['Actual'],"['July 3, 2020']",['INDUSTRY'],['GlaxoSmithKline'],['Wavre'],[],[],[],[]
0,19,['NCT00340457'],[],[],[],[],[],[],[],[],[],"['October 5, 2020']",['Actual'],"['October 2, 2020']",['NIH'],['National Cancer Institute (NCI)'],"['Chicago', 'Detroit']",[],[],[],[]
0,20,['NCT02429284'],[],[],[],[],[],[],[],[],[],"['March 24, 2020']",['Actual'],"['March 23, 2020']",['OTHER'],"['University of California, San Diego']",['La Jolla'],[],[],[],[]
0,21,['NCT02889263'],[],[],[],[],[],[],[],[],[],"['September 5, 2016']",['Estimate'],"['September 2, 2016']",['OTHER'],['Centre Hospitalier Universitaire Dijon'],[],[],[],[],[]
0,22,['NCT03995745'],[],[],[],[],[],[],[],[],[],"['October 19, 2020']",['Actual'],"['October 14, 2020']",['OTHER'],['University of Pennsylvania'],['Philadelphia'],[],[],[],[]
0,23,['NCT00928694'],[],[],[],[],[],[],[],[],[],"['August 19, 2015']",['Estimate'],"['August 18, 2015']",['INDUSTRY'],['Merck Sharp & Dohme Corp.'],[],[],[],[],[]
0,24,['NCT02153996'],[],[],[],[],[],[],[],[],[],"['December 17, 2019']",['Actual'],"['December 14, 2019']",['NIH'],['National Institute of Allergy and Infectious Diseases (NIAID)'],['Bethesda'],[],[],[],[]
0,25,['NCT00413673'],[],[],[],[],[],[],[],[],[],"['April 1, 2008']",['Estimate'],"['March 31, 2008']",['FED'],['Walter Reed Army Medical Center'],['Washington'],[],[],[],[]
0,26,['NCT03867409'],[],[],[],[],[],[],[],[],[],"['March 26, 2020']",['Actual'],"['March 25, 2020']",['OTHER'],['University of Florida'],['Gainesville'],[],[],[],[]
0,27,['NCT04004260'],[],[],[],[],[],[],[],[],[],"['September 1, 2020']",['Actual'],"['August 31, 2020']",['OTHER'],['Lamar University'],['Beaumont'],[],[],[],[]
0,28,['NCT04205877'],"['October 18, 2018']",['Prot_000.pdf'],['No'],['Yes'],['No'],['Study Protocol'],['Prot'],['12/12/2019 17:14'],[],"['December 20, 2019']",['Actual'],"['December 17, 2019']",['OTHER'],"[""Le Bonheur Children's Hospital""]",['Memphis'],"['ssathan@uthsc.edu', 'jorden.cunningham@lebonheur.org']","['Shyam K Sathanandam, MD', 'Jorden Cunningham, BSN']","['901-287-6380', '901-287-7457']",[]
0,29,['NCT01262079'],[],[],[],[],[],[],[],[],[],"['August 15, 2011']",['Estimate'],"['August 11, 2011']",['NIH'],['National Institute of Allergy and Infectious Diseases (NIAID)'],"['Decatur', 'St. Louis', 'Cincinatti', 'Houston']",[],[],[],[]
0,30,['NCT00646438'],[],[],[],[],[],[],[],[],['Not yet recruiting'],"['February 4, 2009']",['Estimate'],"['February 3, 2009']",['OTHER'],['Providence Heart & Vascular Institute'],['Portland'],"['eric.johnson@providence.org', 'tfurnary@mac.com']","['Eric M. Johnson, BA/CCRC', 'Tony Furnary, MD', 'Anthony Furnary, MD']","['503-216-2075', '503-297-1419']",[]
0,31,['NCT00341588'],[],[],[],[],[],[],[],[],[],"['August 21, 2020']",['Actual'],"['August 19, 2020']",['NIH'],['National Cancer Institute (NCI)'],['Bethesda'],[],[],[],[]
0,32,['NCT04562636'],"['September 25, 2020']",['SAP_000.pdf'],['No'],['No'],['Yes'],['Statistical Analysis Plan'],['SAP'],['09/25/2020 13:28'],[],"['October 5, 2020']",['Actual'],"['October 2, 2020']",['OTHER'],"['University of North Carolina, Chapel Hill']",['Chapel Hill'],[],[],[],[]
0,33,['NCT03924505'],[],[],[],[],[],[],[],[],[],"['September 17, 2020']",['Actual'],"['September 15, 2020']",['OTHER'],['RTI International'],['Berkeley'],"['blambdin@rti.org', 'lynndee@rti.org']","['Barrot Lambdin, PhD, MPH', 'Lynn D Wenger, MSW, MPH']","['510-665-8254', '510-665-8219']",[]
0,34,['NCT02334462'],[],[],[],[],[],[],[],[],[],"['April 11, 2019']",['Actual'],"['April 10, 2019']",['NIH'],['National Institute of Allergy and Infectious Diseases (NIAID)'],"['Bethesda', 'Bamako']",[],[],[],[]
0,35,['NCT03311295'],[],[],[],[],[],[],[],[],[],"['August 11, 2020']",['Actual'],"['August 7, 2020']",['INDUSTRY'],"['Mvrx, Inc.']","['Sacramento', 'New York']",[],"['Kimberly Book, BS, RN, CCRP', 'Tamir Nazif, MD']",[],[]
0,36,['NCT03242278'],[],[],[],[],[],[],[],[],[],"['August 8, 2017']",['Actual'],"['August 3, 2017']",['INDUSTRY'],['Bayer'],['New York'],[],[],[],[]
0,37,['NCT03683134'],"['June 9, 2017', 'June 9, 2017']","['Prot_SAP_000.pdf', 'ICF_001.pdf']","['No', 'Yes']","['Yes', 'No']","['Yes', 'No']","['Study Protocol and Statistical Analysis Plan', 'Informed Consent Form']","['Prot_SAP', 'ICF']","['09/21/2018 13:56', '09/21/2018 14:05']",[],"['September 27, 2018']",['Actual'],"['September 26, 2018']",['OTHER'],['Auburn University'],['Auburn'],[],[],[],[]
0,38,['NCT04047316'],[],[],[],[],[],[],[],[],[],"['June 18, 2020']",['Actual'],"['June 18, 2020']",['INDUSTRY'],['Barco NV'],"['Chevy Chase', 'Salem']",[],[],[],[]
0,39,['NCT03952364'],[],[],[],[],[],[],[],[],[],"['September 17, 2020']",['Actual'],"['September 15, 2020']",['INDUSTRY'],['PredictImmune Ltd'],['New York'],['lily.deng@nyulangone.org'],"['Lily Deng', 'Lea Ann Chen, MD']",['212-263-4163'],[]
0,40,['NCT04021030'],[],[],[],[],[],[],[],[],[],"['October 19, 2020']",['Actual'],"['October 15, 2020']",['OTHER'],['University of Michigan'],['Waterford'],[],[],[],[]
0,41,['NCT02959827'],"['October 11, 2016']",['Prot_SAP_000.pdf'],['No'],['Yes'],['Yes'],['Study Protocol and Statistical Analysis Plan'],['Prot_SAP'],['05/23/2018 22:29'],[],"['January 30, 2019']",['Actual'],"['January 29, 2019']",['INDUSTRY'],['Bayer'],['Oakland'],[],[],[],[]
0,42,['NCT02395536'],[],[],[],[],[],[],[],[],[],"['October 4, 2017']",['Actual'],"['May 9, 2017']",['INDUSTRY'],['Medtronic Cardiac Rhythm and Heart Failure'],"['La Jolla', 'Mission Viejo', 'Sacramento', 'Lakewood', 'Boca Raton', 'Clearwater', 'Fort Lauderdale', 'Tallahassee', 'Macon', 'Edgewood', 'Salisbury', 'Lansing', 'Tupelo', 'Kansas City', 'Springfield', 'Newark', 'Voorhees', 'Great Neck', 'New York', 'Greensboro', 'Raleigh', 'Tulsa', 'Chattanooga', 'Amarillo', 'Austin', 'Dallas', 'Norfolk']",[],[],[],[]
0,43,['NCT03628235'],[],[],[],[],[],[],[],[],[],"['October 5, 2020']",['Actual'],"['September 30, 2020']",['OTHER'],"['CHDI Foundation, Inc.']","['Englewood', 'Wichita', 'New York', 'Seattle']","['rajeev_kumar@msn.com', 'hndcentre@aol.com', 'pl2032@cumc.columbia.edu', 'e713@uw.edu', 'debradel@uw.edu']","['Rajeev Kumar, MD', 'Rajeev Kumar, MD', 'Greg M Suter', 'William Mallonee', 'Paula Wasserman, MA', 'Hiral Shah, MD', 'Karen Marder, MD', 'Ethan Hendrix', 'Debra Del Castillo', 'Ali Samii, MD', 'Anny Lin, MD']","['303-357-5455', '316-609-3020', '212-305-4597', '206-685-6602', '206-543-3647']",[]
0,44,['NCT02787538'],[],[],[],[],[],[],[],[],['Recruiting'],"['June 1, 2016']",['Estimate'],"['May 31, 2016']",['OTHER'],['Massachusetts General Hospital'],['Boston'],['srai1@mgh.harvard.edu'],"['Sharan Rai, BSc', 'Hyon K Choi, MD, DrPH']",[],[]
0,45,['NCT01290393'],[],[],[],[],[],[],[],[],[],"['July 26, 2018']",['Actual'],"['July 25, 2018']",['INDUSTRY'],['GlaxoSmithKline'],['San Diego'],[],[],[],[]
0,46,['NCT04263311'],[],[],[],[],[],[],[],[],[],"['August 24, 2020']",['Actual'],"['August 21, 2020']",['OTHER'],['NYU Langone Health'],['New York'],['jennifer.zanowiak@nyulangone.org'],"['Jennifer Zanowiak', 'Nadia Islam']",['646-501-3502'],[]
0,47,['NCT00875641'],[],[],[],[],[],[],[],[],[],"['January 25, 2019']",['Actual'],"['August 2, 2018']",['INDUSTRY'],['GlaxoSmithKline'],['Waltham'],[],[],[],[]
0,48,['NCT03199846'],[],[],[],[],[],[],[],[],[],"['February 6, 2018']",['Actual'],"['February 5, 2018']",['INDUSTRY'],['Bristol-Myers Squibb'],['Morristown'],[],[],[],[]
0,49,['NCT04587245'],[],[],[],[],[],[],[],[],[],"['October 19, 2020']",['Actual'],"['October 14, 2020']",['INDUSTRY'],"['ND Sciences, LLC']",['Irvine'],"['hbroeska0@saddleback.edu', 'chasbronson@gmail.com']","['Henry Broeska', 'Charles Bronson', 'Sheridan Merrick, BA']","['949-332-9638', '415-530-8742']",[]
0,50,['NCT02773979'],[],[],[],[],[],[],[],[],[],"['December 27, 2019']",['Actual'],"['December 24, 2019']",['NIH'],['National Institute of Allergy and Infectious Diseases (NIAID)'],['Seattle'],[],[],[],[]
0,51,['NCT03274726'],[],[],[],[],[],[],[],[],[],"['September 11, 2017']",['Actual'],"['September 6, 2017']",['FED'],['Centers for Disease Control and Prevention'],[],[],[],[],[]
0,52,['NCT01283828'],[],[],[],[],[],[],[],[],[],"['October 7, 2013']",['Estimate'],"['October 4, 2013']",['OTHER'],['Gynuity Health Projects'],"['Montgomery', 'Tucson', 'Boulder', 'Denver', 'Atlanta', 'Chicago', 'Boston', 'Plainsboro', 'New York', 'Fargo', 'Cincinnati', 'Portland', 'Portland', 'Philadelphia', 'Fort Worth', 'Houston', 'Houston', 'Seattle']",[],[],[],[]
0,53,['NCT04191824'],[],[],[],[],[],[],[],[],[],"['August 5, 2020']",['Actual'],"['August 4, 2020']",['OTHER'],['Duke University'],"['Gainesville', 'Indianapolis', 'New Orleans', 'New York', 'New York', 'Lumberton', 'Nashville', 'Nashville', 'Dallas']","['erica.elwood@cop.ufl.edu', 'slynch@iu.edu', 'Brianne.Voros@lcmchealth.org', 'michelle.ramos@mountsinai.org', 'Nshroff@institute.org', 'dove01@srmc.org', 'henry.h.ong@vumc.org', 'henry.h.ong@vumc.org', 'Aisha.Montgomery@BSWHealth.org']","['Erica Elwood', 'Rhonda Cooper-DeHoff, MD', 'Sheryl Lynch', 'Michael Eadon, MD', 'Brianne Voros', 'Jyotsna Fuloria, MD', 'Michelle Ramos', 'Carol Horowitz, MD', 'Nandini Shroff', 'Neil Calman, MD', 'Lori Dove', 'Joseph Roberts, MD', 'Rajbir Singh', 'Rajbir Singh, MD', 'Henry Ong', 'Kerri Cavanaugh, MD', 'Aisha Montgomery', 'Heather Kitzman, MD']","['352-273-6007', '317-274-2765', '504-702-3143', '212-659-9571', '212-633-0800', '910-674-9526', '615-327-6204', '615-322-5000', '214-865-3071']",['1363']
0,54,['NCT03197688'],[],[],[],[],[],[],[],[],[],"['September 26, 2018']",['Actual'],"['September 25, 2018']",['INDUSTRY'],['Actelion'],"['Phoenix', 'Phoenix', 'Phoenix', 'La Jolla', 'Loma Linda', 'Los Angeles', 'Los Angeles', 'San Francisco', 'San Juan Capistrano', 'Santa Barbara', 'Aurora', 'Denver', 'New Haven', 'Newark', 'Washington', 'Brandon', 'Celebration', 'Fort Lauderdale', 'Gainesville', 'Hudson', 'Jacksonville', 'Leesburg', 'Melbourne', 'Miami Beach', 'Miami', 'Orlando', 'Saint Petersburg', 'Sebring', 'South Miami', 'Tampa', 'Weston', 'Zephyrhills', 'Austell', 'Columbus', 'Marietta', 'Shelley', 'Chicago', 'Carmel', 'Fort Wayne', 'Greenwood', 'Indianapolis', 'Clive', 'Iowa City', 'Kansas City', 'Erlanger', 'Louisville', 'New Orleans', 'New Orleans', 'Shreveport', 'Boston', 'Boston', 'Boston', 'Ann Arbor', 'Detroit', 'Lansing', 'Troy', 'Minneapolis', 'Jackson', 'Saint Louis', 'Saint Louis', 'Saint Louis', 'Lincoln', 'Omaha', 'Newark', 'Union', 'Albuquerque', 'Albany', 'Bronx', 'Fayetteville', 'Hauppauge', 'Middletown', 'Mineola', 'New York', 'Chapel Hill', 'Durham', 'Cincinnati', 'Columbus', 'Columbus', 'Dayton', 'Middleburg Heights', 'Toledo', 'Oklahoma City', 'Portland', 'Portland', 'Portland', 'Doylestown', 'Philadelphia', 'Philadelphia', 'Pittsburgh', 'Wynnewood', 'Anderson', 'Rock Hill', 'Sioux Falls', 'Chattanooga', 'Memphis', 'Dallas', 'Denison', 'Houston', 'Houston', 'Plano', 'Temple', 'Seattle', 'Spokane', 'Tacoma', 'Milwaukee', 'Guaynabo']",[],[],[],[]
0,55,['NCT02813577'],"['December 1, 2017']",['Prot_SAP_000.pdf'],['No'],['Yes'],['Yes'],['Study Protocol and Statistical Analysis Plan'],['Prot_SAP'],['04/10/2020 11:12'],[],"['April 24, 2020']",['Actual'],"['April 10, 2020']",['INDUSTRY'],['C. R. Bard'],"['Indianapolis', 'Davenport', 'Orangeburg', 'Kingsport']",[],[],[],[]
0,56,['NCT00666380'],[],[],[],[],[],[],[],[],[],"['May 29, 2015']",['Estimate'],"['May 27, 2015']",['FED'],['U.S. Army Medical Research and Development Command'],"['Silver Spring', 'Kombewa, Kisumu']",[],[],[],[]
0,57,['NCT01287247'],[],[],[],[],[],[],[],[],[],"['April 10, 2015']",['Estimate'],"['April 9, 2015']",['INDUSTRY'],"['Merz North America, Inc.']","['Cullman', 'Scottsdale', 'Tucson', 'Encinitas', 'Fountain Valley', 'La Jolla', 'Los Angeles', 'Los Gatos', 'Newport Beach', 'Sacramento', 'New Haven', 'Washington', 'Boca Raton', 'North Palm Beach', 'Saint Petersburg', 'Sarasota', 'Chicago', 'Glenview', 'Lake Bluff', 'Winfield', 'Munster', 'Overland Park', 'Baton Rouge', 'Baltimore', 'Boston', 'Roseville', 'Warren', 'Bloomington', 'Eagan', 'Minneapolis', 'Des Peres', 'St. Louis', 'Las Vegas', 'Reno', 'Toms River', 'Kingston', 'New York', 'New York', 'New York', 'North Syracuse', 'Syracuse', 'Durham', 'Bellevue', 'Cleveland', 'Columbus', 'Tulsa', 'Bend', 'Medford', 'Collegeville', 'Philadelphia', 'Wynnewood', 'Spartanburg', 'Chattanooga', 'Columbia', 'Memphis', 'Nashville', 'Bedford', 'Bedford', 'Bedford', 'Dallas', 'Dallas', 'Houston', 'Houston', 'Houston', 'Tyler', 'Alexandria', 'Fishersville', 'Virginia Beach', 'Kirkland', 'Spokane']",[],[],[],[]
0,58,['NCT04163341'],[],[],[],[],[],[],[],[],[],"['November 18, 2019']",['Actual'],"['November 14, 2019']",['OTHER'],"['Michael J Mugavero, MD']",[],[],[],[],[]
0,59,['NCT02987335'],[],[],[],[],[],[],[],[],[],"['May 12, 2020']",['Actual'],"['May 11, 2020']",['OTHER'],['Albert Einstein College of Medicine'],[],[],[],[],[]
0,60,['NCT02867722'],[],[],[],[],[],[],[],[],[],"['August 16, 2016']",['Estimate'],"['August 12, 2016']",['OTHER'],"[""Brigham and Women's Hospital""]",[],[],[],[],[]
0,61,['NCT03276637'],[],[],[],[],[],[],[],[],[],"['May 17, 2019']",['Actual'],"['May 15, 2019']",['OTHER'],"[""Brigham and Women's Hospital""]","['Boston', 'Biloxi', 'Houston', 'San Antonio']",[],[],[],[]
0,62,['NCT03192891'],[],[],[],[],[],[],[],[],[],"['September 12, 2019']",['Actual'],"['September 10, 2019']",['OTHER'],['Society for Cardiovascular Magnetic Resonance'],"['Chicago', 'Chicago', 'Lexington', 'Bethesda', 'Boston', 'Minneapolis', 'Brooklyn', 'Columbus', 'Hermitage', 'Houston', 'San Antonio', 'Provo']",[],[],[],[]
0,63,['NCT03373045'],[],[],[],[],[],[],[],[],[],"['October 8, 2020']",['Actual'],"['October 7, 2020']",['INDUSTRY'],['AstraZeneca'],"['Birmingham', 'Birmingham', 'Hoover', 'Gilbert', 'Little Rock', 'Bakersfield', 'Los Angeles', 'Redondo Beach', 'Riverside', 'Roseville', 'Sacramento', 'Studio City', 'Ventura', 'Westminster', 'Aurora', 'Danbury', 'New Haven', 'Waterbury', 'Newark', 'Clearwater', 'Coral Gables', 'Gainesville', 'Jacksonville', 'Kissimmee', 'Lake Mary', 'Miami Beach', 'Miami', 'Miami', 'Plantation', 'Saint Petersburg', 'Tallahassee', 'Tampa', 'Albany', 'Decatur', 'Gainesville', 'Boise', 'Chicago', 'Chicago', 'Iowa City', 'West Des Moines', 'Overland Park', 'Georgetown', 'Lexington', 'Lexington', 'Louisville', 'New Orleans', 'New Orleans', 'Shreveport', 'Bangor', 'Upper Marlboro', 'Wheaton', 'Burlington', 'Ann Arbor', 'Ann Arbor', 'Clinton Township', 'Hamtramck', 'Wyoming', 'Maplewood', 'Lincoln', 'Omaha', 'Omaha', 'Las Vegas', 'Brick', 'Marlton', 'New Brunswick', 'North Bergen', 'Northfield', 'Toms River', 'Verona', 'Albuquerque', 'Bayside', 'Bronx', 'Bronx', 'Bronx', 'Bronx', 'Brooklyn', 'Brooklyn', 'Corning', 'Great Neck', 'Mineola', 'New Hyde Park', 'New Paltz', 'New York', 'Rochester', 'Rockville Centre', 'Staten Island', 'Valhalla', 'Asheville', 'Charlotte', 'Durham', 'Fayetteville', 'Greenville', 'Winston-Salem', 'Fargo', 'Toledo', 'Oklahoma City', 'Corvallis', 'Portland', 'Portland', 'Altoona', 'DuBois', 'Harrisburg', 'Philadelphia', 'Pittsburgh', 'Sayre', 'Yardley', 'Warwick', 'Clinton', 'Greenville', 'Mount Pleasant', 'Rock Hill', 'Hendersonville', 'Aransas Pass', 'Beaumont', 'Dallas', 'Denison', 'Duncanville', 'Fort Worth', 'Houston', 'Houston', 'Houston', 'Katy', 'Live Oak', 'McKinney', 'San Antonio', 'Sugar Land', 'Murray', 'Lynchburg', 'Norfolk', 'Richmond', 'Richmond', 'Williamsburg', 'Tacoma', 'Vancouver', 'Greenfield', 'Onalaska', 'Wausau', 'Guaynabo']",[],[],[],[]
0,64,['NCT04229212'],[],[],[],[],[],[],[],[],[],"['January 18, 2020']",['Actual'],"['January 14, 2020']",['OTHER'],['National Cheng-Kung University Hospital'],['Tainan'],[],[],[],[]
0,65,['NCT02848781'],[],[],[],[],[],[],[],[],[],"['June 13, 2019']",['Actual'],"['June 11, 2019']",['OTHER'],['University of Chicago'],"['Beijing', 'Chengdu', 'Guangzhou', 'Hangzhou', 'Nanjing', 'Shenyang', 'Saitama', 'Tokyo', 'Tsukuba', 'Seoul', 'Taipei']",[],"['Yao Yan, MD', 'Jiang Jian, MD', 'Shulin Wu, MD', 'Chenyang Jiang, MD', 'Minglong Chen, MD', 'Zulu Wang, MD, PhD', 'Shiro Nakahara, MD, PhD', 'Akiko Ueda, MD, PhD', 'Kyoko Soejima, MD', 'Akihiko Nogami, MD, PhD', 'Young Hoon Kim, MD, PhD', 'Shih-Ann Chen, MD']",[],[]
0,66,['NCT00385047'],[],[],[],[],[],[],[],[],[],"['June 8, 2015']",['Estimate'],"['June 4, 2015']",['FED'],['U.S. Army Medical Research and Development Command'],['Silver Spring'],[],[],[],[]
0,67,['NCT02993120'],[],[],[],[],[],[],[],[],[],"['August 25, 2020']",['Actual'],"['August 21, 2020']",['INDUSTRY'],['Amgen'],"['Chandler', 'Glendale', 'Tucson', 'Tucson', 'Tucson', 'Canoga Park', 'Cerritos', 'Los Angeles', 'Oxnard', 'Rancho Mirage', 'Sacramento', 'Wildomar', 'Colorado Springs', 'Colorado Springs', 'Lafayette', 'Bloomfield', 'Bridgeport', 'Hartford', 'Stamford', 'Boca Raton', 'Brandon', 'Brooksville', 'Daytona Beach', 'Hollywood', 'Homestead', 'Jacksonville Beach', 'Jacksonville', 'Jacksonville', 'Miami Beach', 'Miami', 'Miami', 'Miami', 'Miami', 'Miami', 'Miami', 'Naples', 'Pembroke Pines', 'Pensacola', 'Rockledge', 'Winter Park', 'Cumming', 'Smyrna', 'Boise', ""Coeur d'Alene"", 'Meridian', 'Nampa', 'Arlington Heights', 'Chicago', 'Chicago', 'Evanston', 'Morton', 'Evansville', 'Michigan City', 'Davenport', 'Des Moines', 'Covington', 'Alexandria', 'Eunice', 'Monroe', 'Portland', 'Baltimore', 'Elkridge', 'Great Barrington', 'Natick', 'Worcester', 'Alpena', 'Detroit', 'Flint', 'Grand Rapids', 'Lansing', 'Coon Rapids', 'Minneapolis', 'Port Gibson', 'Columbia', 'Saint Louis', 'Lincoln', 'Lincoln', 'Omaha', 'Las Vegas', 'Cedar Knolls', 'Albany', 'Buffalo', 'Kingston', 'Rochester', 'Greensboro', 'Wilmington', 'Winston-Salem', 'Fargo', 'Columbus', 'Columbus', 'Columbus', 'Dayton', 'Downingtown', 'Doylestown', 'Jersey Shore', 'Levittown', 'Wynnewood', 'Providence', 'Providence', 'Charleston', 'Greer', 'Murrells Inlet', 'Summerville', 'Oak Ridge', 'Dallas', 'Houston', 'Humble', 'Kingwood', 'Lufkin', 'McKinney', 'Mesquite', 'Missouri City', 'Sugar Land', 'Tomball', 'Hopewell', 'Norfolk', 'Winchester', 'Bellevue']",[],[],[],[]
