,Rank,NCTId,ConditionAncestorTerm,ConditionBrowseBranchAbbrev,ConditionBrowseBranchName,ConditionBrowseLeafAsFound,ConditionBrowseLeafId,ConditionBrowseLeafName,ConditionBrowseLeafRelevance,ConditionMeshId,ConditionMeshTerm,DelayedPosting,DesignAllocation,DesignInterventionModel,DesignInterventionModelDescription,DesignMasking,DesignMaskingDescription,DesignObservationalModel,DesignPrimaryPurpose,DesignTimePerspective,DesignWhoMasked
0,11,['NCT00026728'],"['Neoplasms, Connective and Soft Tissue', 'Neoplasms by Histologic Type', 'Neoplasms', 'DNA Virus Infections', 'Virus Diseases', 'Neoplasms, Vascular Tissue']","['BC01', 'All', 'BC04', 'BC02', 'Rare']","['Bacterial and Fungal Diseases', 'All Conditions', 'Cancers and Other Neoplasms', 'Viral Diseases', 'Rare Diseases']","['Sarcoma', 'Herpesviridae Infections', ""Kaposi's Sarcoma"", 'Sarcoma', ""Kaposi's Sarcoma""]","['M8866', 'M4951', 'M13910', 'M16105', 'M8226', 'M13915', 'M18933', 'M10898', 'M6025', 'T5296', 'T3204']","['Infection', 'Communicable Diseases', 'Sarcoma', 'Virus Diseases', 'Herpesviridae Infections', 'Sarcoma, Kaposi', 'Neoplasms, Connective and Soft Tissue', 'Neoplasms by Histologic Type', 'DNA Virus Infections', 'Soft Tissue Sarcoma', 'Kaposi Sarcoma']","['low', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']","['D000012514', 'D000006566', 'D000012509']","['Sarcoma, Kaposi', 'Herpesviridae Infections', 'Sarcoma']",[],[],[],[],[],[],[],[],[],[]
0,12,['NCT01211990'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Prospective'],[]
0,13,['NCT02663219'],[],"['BC02', 'BC20', 'All']","['Viral Diseases', 'Immune System Diseases', 'All Conditions']",[],"['M16833', 'M2103']","['HIV Infections', 'Acquired Immunodeficiency Syndrome']","['low', 'low']",[],[],[],['Randomized'],['Parallel Assignment'],[],['None (Open Label)'],[],[],['Prevention'],[],[]
0,14,['NCT00121108'],[],"['BC02', 'All']","['Viral Diseases', 'All Conditions']",[],['M16105'],['Virus Diseases'],['low'],[],[],[],['Randomized'],['Single Group Assignment'],[],['Double'],[],[],['Treatment'],[],"['Participant', 'Investigator']"
0,15,['NCT01861210'],[],"['BC02', 'BC20', 'All']","['Viral Diseases', 'Immune System Diseases', 'All Conditions']",[],"['M16833', 'M2103']","['HIV Infections', 'Acquired Immunodeficiency Syndrome']","['low', 'low']",[],[],[],['Randomized'],['Single Group Assignment'],[],['None (Open Label)'],[],[],['Prevention'],[],[]
0,16,['NCT02911155'],"['Endocrine Gland Neoplasms', 'Neoplasms by Site', 'Neoplasms', 'Head and Neck Neoplasms', 'Endocrine System Diseases', 'Thyroid Diseases', 'Central Nervous System Neoplasms', 'Nervous System Neoplasms', 'Brain Diseases', 'Central Nervous System Diseases', 'Nervous System Diseases', 'Pathologic Processes']","['BC04', 'BC10', 'All', 'BC17', 'BC19']","['Cancers and Other Neoplasms', 'Nervous System Diseases', 'All Conditions', 'Skin and Connective Tissue Diseases', 'Gland and Hormone Related Diseases']","['Brain Cancer', 'Thyroid Cancer']","['M3791', 'M3802', 'M15306', 'M15301', 'M6446', 'M7931', 'M6445', 'M10950', 'M17520', 'M3786', 'M4325']","['Brain Neoplasms', 'Breast Neoplasms', 'Thyroid Neoplasms', 'Thyroid Diseases', 'Endocrine Gland Neoplasms', 'Head and Neck Neoplasms', 'Endocrine System Diseases', 'Nervous System Neoplasms', 'Central Nervous System Neoplasms', 'Brain Diseases', 'Central Nervous System Diseases']","['high', 'low', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']","['D000013964', 'D000001932', 'D000004194']","['Thyroid Neoplasms', 'Brain Neoplasms', 'Disease']",[],[],[],[],[],[],['Cohort'],[],['Prospective'],[]
0,17,['NCT00724867'],"['Connective Tissue Diseases', 'Autoimmune Diseases', 'Immune System Diseases']","['BC17', 'BC20', 'All']","['Skin and Connective Tissue Diseases', 'Immune System Diseases', 'All Conditions']",['Systemic Lupus Erythematosus'],"['M9760', 'M3210', 'M5047', 'M8783']","['Lupus Erythematosus, Systemic', 'Autoimmune Diseases', 'Connective Tissue Diseases', 'Immune System Diseases']","['high', 'low', 'low', 'low']",['D000008180'],"['Lupus Erythematosus, Systemic']",[],['Non-Randomized'],['Parallel Assignment'],[],['None (Open Label)'],[],[],['Treatment'],[],[]
0,18,['NCT03973905'],"['Respiratory Tract Diseases', 'Bordetella Infections', 'Gram-Negative Bacterial Infections', 'Bacterial Infections', 'Respiratory Tract Infections', 'Infection']","['BC08', 'BC23', 'All', 'BC01', 'Rare']","['Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'All Conditions', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Whooping Cough', 'Whooping Cough']","['M5173', 'M16239', 'M13560', 'M8866', 'M4951', 'M3745', 'M3303', 'M17832', 'M13561', 'T5937']","['Cough', 'Whooping Cough', 'Respiratory Tract Diseases', 'Infection', 'Communicable Diseases', 'Bordetella Infections', 'Bacterial Infections', 'Gram-Negative Bacterial Infections', 'Respiratory Tract Infections', 'Whooping Cough']","['low', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high']",['D000014917'],['Whooping Cough'],[],[],[],[],[],[],['Case-Control'],[],['Retrospective'],[]
0,19,['NCT00340457'],"['Carcinoma', 'Neoplasms, Glandular and Epithelial', 'Neoplasms by Histologic Type', 'Neoplasms', 'Adenocarcinoma', 'Urologic Neoplasms', 'Urogenital Neoplasms', 'Neoplasms by Site', 'Kidney Diseases', 'Urologic Diseases']","['BC04', 'All', 'BXS', 'Rare']","['Cancers and Other Neoplasms', 'All Conditions', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions', 'Rare Diseases']","['Renal Cell Carcinoma', 'Kidney Cancer', 'Renal Cell Carcinoma', 'Renal Cell Carcinoma']","['M4116', 'M4130', 'M9286', 'M10903', 'M10898', 'M2166', 'M15903', 'M15898', 'M9281', 'M15902', 'T4916', 'T1346']","['Carcinoma', 'Carcinoma, Renal Cell', 'Kidney Neoplasms', 'Neoplasms, Glandular and Epithelial', 'Neoplasms by Histologic Type', 'Adenocarcinoma', 'Urologic Neoplasms', 'Urogenital Neoplasms', 'Kidney Diseases', 'Urologic Diseases', 'Renal Cell Carcinoma', 'Clear Cell Renal Cell Carcinoma']","['low', 'high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high', 'high']","['D000002292', 'D000007680']","['Carcinoma, Renal Cell', 'Kidney Neoplasms']",[],[],[],[],[],[],['Case-Control'],[],['Retrospective'],[]
0,20,['NCT02429284'],"['Vascular Diseases', 'Cardiovascular Diseases', 'Lung Diseases', 'Respiratory Tract Diseases']","['BC14', 'All', 'BC08', 'Rare']","['Heart and Blood Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Rare Diseases']","['Hypertension', 'Pulmonary Hypertension', 'Chronic Thromboembolic Pulmonary Hypertension']","['M8607', 'M8610', 'M15983', 'M9751', 'M13560', 'T1321']","['Hypertension', 'Hypertension, Pulmonary', 'Vascular Diseases', 'Lung Diseases', 'Respiratory Tract Diseases', 'Chronic Thromboembolic Pulmonary Hypertension']","['high', 'high', 'low', 'low', 'low', 'high']","['D000006976', 'D000006973']","['Hypertension, Pulmonary', 'Hypertension']",[],[],[],[],[],[],['Cohort'],[],['Prospective'],[]
0,21,['NCT02889263'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Cohort'],[],['Retrospective'],[]
0,22,['NCT03995745'],"['Immunologic Deficiency Syndromes', 'Immune System Diseases', 'Lentivirus Infections', 'Retroviridae Infections', 'RNA Virus Infections', 'Virus Diseases', 'Sexually Transmitted Diseases, Viral', 'Sexually Transmitted Diseases', 'Slow Virus Diseases']","['BC02', 'BC20', 'All', 'BC23', 'BC01', 'BXS']","['Viral Diseases', 'Immune System Diseases', 'All Conditions', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions']","['Human Immunodeficiency Virus', 'Human Immunodeficiency Virus']","['M16833', 'M2103', 'M16105', 'M8782', 'M14938', 'M8866', 'M4951', 'M8783', 'M17223', 'M13609', 'M13732', 'M14141', 'M16516', 'M14283']","['HIV Infections', 'Acquired Immunodeficiency Syndrome', 'Virus Diseases', 'Immunologic Deficiency Syndromes', 'Syndrome', 'Infection', 'Communicable Diseases', 'Immune System Diseases', 'Lentivirus Infections', 'Retroviridae Infections', 'RNA Virus Infections', 'Sexually Transmitted Diseases', 'Sexually Transmitted Diseases, Viral', 'Slow Virus Diseases']","['high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']","['D000000163', 'D000015658']","['Acquired Immunodeficiency Syndrome', 'HIV Infections']",[],['Randomized'],['Parallel Assignment'],"['HIV-positive patients in Philadelphia with non-suppressed viral loads will be randomly assigned to receive the intervention (electronic-pill bottle with adherence based daily financial incentives, and incentive for reaching viral suppression) or control. About 40 patients will be enrolled in the study, 20 in each arm.']",['None (Open Label)'],[],[],['Treatment'],[],[]
0,23,['NCT00928694'],"['Lipid Metabolism Disorders', 'Metabolic Diseases']","['BC18', 'All']","['Nutritional and Metabolic Diseases', 'All Conditions']",['Dyslipidemia'],"['M24768', 'M25616', 'M10222']","['Dyslipidemias', 'Lipid Metabolism Disorders', 'Metabolic Diseases']","['high', 'low', 'low']",['D000050171'],['Dyslipidemias'],[],['Randomized'],['Crossover Assignment'],[],['None (Open Label)'],[],[],['Treatment'],[],[]
0,24,['NCT02153996'],"['Protozoan Infections', 'Parasitic Diseases']","['BC03', 'All', 'BC01', 'Rare']","['Parasitic Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Malaria', 'Malaria']","['M9863', 'M8866', 'M4951', 'M12971', 'M11768', 'T3576']","['Malaria', 'Infection', 'Communicable Diseases', 'Protozoan Infections', 'Parasitic Diseases', 'Malaria']","['high', 'low', 'low', 'low', 'low', 'high']",['D000008288'],['Malaria'],[],[],[],[],[],[],['Cohort'],[],['Prospective'],[]
0,25,['NCT00413673'],"['Refractive Errors', 'Eye Diseases']","['BC11', 'All']","['Eye Diseases', 'All Conditions']",['Myopia'],"['M10751', 'M3139', 'M13455', 'M6854']","['Myopia', 'Astigmatism', 'Refractive Errors', 'Eye Diseases']","['high', 'low', 'low', 'low']",['D000009216'],['Myopia'],[],['Non-Randomized'],['Single Group Assignment'],[],['None (Open Label)'],[],[],['Treatment'],[],[]
0,26,['NCT03867409'],"['Colorectal Neoplasms', 'Intestinal Neoplasms', 'Gastrointestinal Neoplasms', 'Digestive System Neoplasms', 'Neoplasms by Site', 'Neoplasms', 'Digestive System Diseases', 'Gastrointestinal Diseases', 'Intestinal Diseases', 'Rectal Diseases']","['BC04', 'BC06', 'All']","['Cancers and Other Neoplasms', 'Digestive System Diseases', 'All Conditions']",['Rectal Cancer'],"['M13429', 'M16473', 'M9031', 'M7469', 'M5839', 'M7466', 'M5838', 'M9027', 'M13427']","['Rectal Neoplasms', 'Colorectal Neoplasms', 'Intestinal Neoplasms', 'Gastrointestinal Neoplasms', 'Digestive System Neoplasms', 'Gastrointestinal Diseases', 'Digestive System Diseases', 'Intestinal Diseases', 'Rectal Diseases']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",['D000012004'],['Rectal Neoplasms'],[],['Randomized'],['Factorial Assignment'],[],['Single'],"['The study design will be a fractional factorial design for delivering a CRC intervention. Patients will either see a racially concordant virtual human message, a racially discordant virtual human message, a racially concordant text-based message, a racially discordant text-based message, or an attention control message.']",[],['Screening'],[],['Participant']
0,27,['NCT04004260'],"['Hearing Disorders', 'Ear Diseases', 'Otorhinolaryngologic Diseases', 'Sensation Disorders', 'Neurologic Manifestations', 'Nervous System Diseases']","['BC09', 'BC10', 'BC23', 'All']","['Ear, Nose, and Throat Diseases', 'Nervous System Diseases', 'Symptoms and General Pathology', 'All Conditions']",['Tinnitus'],"['M15352', 'M7983', 'M6184', 'M11544', 'M14073', 'M10987']","['Tinnitus', 'Hearing Disorders', 'Ear Diseases', 'Otorhinolaryngologic Diseases', 'Sensation Disorders', 'Neurologic Manifestations']","['high', 'low', 'low', 'low', 'low', 'low']",['D000014012'],['Tinnitus'],[],['Randomized'],['Parallel Assignment'],"['The experimental group will initially undergo the ICBT intervention while the control group are monitored weekly. Once the experimental group has completed the intervention, the control group will undertake the ICBT intervention.']",['None (Open Label)'],[],[],['Treatment'],[],[]
0,28,['NCT04205877'],"['Heart Defects, Congenital', 'Cardiovascular Abnormalities', 'Cardiovascular Diseases', 'Heart Diseases', 'Congenital Abnormalities']","['BC14', 'BC16', 'All', 'Rare']","['Heart and Blood Diseases', 'Diseases and Abnormalities at or Before Birth', 'All Conditions', 'Rare Diseases']","['Ductus Arteriosus, Patent', 'Ductus Arteriosus']","['M6131', 'M8001', 'M12', 'M19087', 'M8002', 'T4461']","['Ductus Arteriosus, Patent', 'Heart Defects, Congenital', 'Congenital Abnormalities', 'Cardiovascular Abnormalities', 'Heart Diseases', 'Patent Ductus Arteriosus']","['high', 'low', 'low', 'low', 'low', 'high']",['D000004374'],"['Ductus Arteriosus, Patent']",[],[],[],[],[],[],['Case-Only'],[],['Other'],[]
0,29,['NCT01262079'],"['Orthomyxoviridae Infections', 'RNA Virus Infections', 'Virus Diseases', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'BC08', 'All', 'BC01']","['Viral Diseases', 'Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",['Influenza'],"['M8878', 'M8866', 'M4951', 'M11485', 'M16105', 'M13732', 'M13561', 'M13560']","['Influenza, Human', 'Infection', 'Communicable Diseases', 'Orthomyxoviridae Infections', 'Virus Diseases', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",['D000007251'],"['Influenza, Human']",[],[],[],[],[],[],['Cohort'],[],['Prospective'],[]
0,30,['NCT00646438'],"['Glucose Metabolism Disorders', 'Metabolic Diseases', 'Endocrine System Diseases', 'Coronary Disease', 'Myocardial Ischemia', 'Heart Diseases', 'Cardiovascular Diseases', 'Arteriosclerosis', 'Arterial Occlusive Diseases', 'Vascular Diseases']","['BC14', 'All', 'BC18', 'BC19', 'BC23']","['Heart and Blood Diseases', 'All Conditions', 'Nutritional and Metabolic Diseases', 'Gland and Hormone Related Diseases', 'Symptoms and General Pathology']","['Coronary Artery Disease', 'Diabetes']","['M5129', 'M18089', 'M5132', 'M5698', 'M10222', 'M23990', 'M6445', 'M9126', 'M8002', 'M3050', 'M3046', 'M15983']","['Coronary Artery Disease', 'Myocardial Ischemia', 'Coronary Disease', 'Diabetes Mellitus', 'Metabolic Diseases', 'Glucose Metabolism Disorders', 'Endocrine System Diseases', 'Ischemia', 'Heart Diseases', 'Arteriosclerosis', 'Arterial Occlusive Diseases', 'Vascular Diseases']","['high', 'low', 'low', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']","['D000003324', 'D000003920']","['Coronary Artery Disease', 'Diabetes Mellitus']",[],['Randomized'],['Parallel Assignment'],[],['None (Open Label)'],[],[],['Treatment'],[],[]
0,31,['NCT00341588'],"['Neoplasms by Histologic Type', 'Neoplasms', 'Endocrine Gland Neoplasms', 'Neoplasms by Site', 'Genital Neoplasms, Male', 'Urogenital Neoplasms', 'Endocrine System Diseases', 'Testicular Diseases', 'Gonadal Disorders']","['BC04', 'BXS', 'BC19', 'All', 'Rare']","['Cancers and Other Neoplasms', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions', 'Gland and Hormone Related Diseases', 'All Conditions', 'Rare Diseases']","['Testicular Cancer', 'Germ cell tumor', 'Germ cell tumor', 'Testicular germ cell tumor']","['M15089', 'M10901', 'M10898', 'M6446', 'M7529', 'M15898', 'M6445', 'M15086', 'M7746', 'T2481', 'T5614']","['Testicular Neoplasms', 'Neoplasms, Germ Cell and Embryonal', 'Neoplasms by Histologic Type', 'Endocrine Gland Neoplasms', 'Genital Neoplasms, Male', 'Urogenital Neoplasms', 'Endocrine System Diseases', 'Testicular Diseases', 'Gonadal Disorders', 'Germ Cells Tumors', 'Testicular Germ Cell Tumor']","['high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high', 'high']","['D000009373', 'D000013736']","['Neoplasms, Germ Cell and Embryonal', 'Testicular Neoplasms']",[],[],[],[],[],[],['Case-Control'],[],['Retrospective'],[]
0,32,['NCT04562636'],['Cardiovascular Diseases'],"['BC14', 'All', 'BC18', 'BC23']","['Heart and Blood Diseases', 'All Conditions', 'Nutritional and Metabolic Diseases', 'Symptoms and General Pathology']",['Heart Disease'],"['M8002', 'M11284']","['Heart Diseases', 'Obesity']","['high', 'low']",['D000006331'],['Heart Diseases'],[],['Randomized'],['Parallel Assignment'],[],['None (Open Label)'],[],[],['Prevention'],[],[]
0,33,['NCT03924505'],"['Substance-Related Disorders', 'Chemically-Induced Disorders']","['BC25', 'All', 'BXM']","['Substance Related Disorders', 'All Conditions', 'Behaviors and Mental Disorders']",['Overdose'],"['M28598', 'M20421', 'M28889']","['Drug Overdose', 'Substance-Related Disorders', 'Chemically-Induced Disorders']","['high', 'low', 'low']",['D000062787'],['Drug Overdose'],[],['Randomized'],['Parallel Assignment'],[],['None (Open Label)'],[],[],['Prevention'],[],[]
0,34,['NCT02334462'],"['Protozoan Infections', 'Parasitic Diseases']","['BC03', 'All', 'BC01', 'Rare']","['Parasitic Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Plasmodium Falciparum Malaria', 'Malaria', 'Malaria']","['M17716', 'M9863', 'M8866', 'M4951', 'M12971', 'M11768', 'T3576']","['Malaria, Falciparum', 'Malaria', 'Infection', 'Communicable Diseases', 'Protozoan Infections', 'Parasitic Diseases', 'Malaria']","['high', 'high', 'low', 'low', 'low', 'low', 'high']","['D000008288', 'D000016778']","['Malaria', 'Malaria, Falciparum']",[],['Randomized'],['Parallel Assignment'],[],['Double'],[],[],['Prevention'],[],"['Participant', 'Investigator']"
0,35,['NCT03311295'],"['Heart Valve Diseases', 'Heart Diseases', 'Cardiovascular Diseases']","['BC14', 'All']","['Heart and Blood Diseases', 'All Conditions']",['Mitral Valve Insufficiency'],"['M10493', 'M8020', 'M8002']","['Mitral Valve Insufficiency', 'Heart Valve Diseases', 'Heart Diseases']","['high', 'low', 'low']",['D000008944'],['Mitral Valve Insufficiency'],[],['N/A'],['Single Group Assignment'],[],['None (Open Label)'],[],[],['Treatment'],[],[]
0,36,['NCT03242278'],"['Arrhythmias, Cardiac', 'Heart Diseases', 'Cardiovascular Diseases', 'Pathologic Processes']","['BC14', 'BC23', 'All', 'BC10']","['Heart and Blood Diseases', 'Symptoms and General Pathology', 'All Conditions', 'Nervous System Diseases']",['Atrial Fibrillation'],"['M3167', 'M20890', 'M3034', 'M8002']","['Atrial Fibrillation', 'Stroke', 'Arrhythmias, Cardiac', 'Heart Diseases']","['high', 'low', 'low', 'low']",['D000001281'],['Atrial Fibrillation'],[],[],[],[],[],[],['Cohort'],[],['Retrospective'],[]
0,37,['NCT03683134'],[],"['BC18', 'BC23', 'All']","['Nutritional and Metabolic Diseases', 'Symptoms and General Pathology', 'All Conditions']",[],['M11284'],['Obesity'],['low'],['D000002318'],['Cardiovascular Diseases'],[],['Randomized'],['Parallel Assignment'],[],['Double'],[],[],['Treatment'],[],"['Care Provider', 'Investigator']"
0,38,['NCT04047316'],"['Neoplasms by Site', 'Neoplasms', 'Skin Diseases']","['BC04', 'BC17', 'All']","['Cancers and Other Neoplasms', 'Skin and Connective Tissue Diseases', 'All Conditions']",['Skin Cancer'],"['M14264', 'M14257']","['Skin Neoplasms', 'Skin Diseases']","['high', 'low']",['D000012878'],['Skin Neoplasms'],[],[],[],[],[],[],['Other'],[],['Prospective'],[]
0,39,['NCT03952364'],"['Gastroenteritis', 'Gastrointestinal Diseases', 'Digestive System Diseases', 'Colonic Diseases', 'Pathologic Processes']","['BC06', 'All', 'BC23']","['Digestive System Diseases', 'All Conditions', 'Symptoms and General Pathology']","['Colitis', 'Ulcerative Colitis', 'Ulcerative', ""Crohn's Disease"", 'Bowel Disease', 'Inflammatory Bowel Disease']","['M4903', 'M4904', 'M15789', 'M5221', 'M9027', 'M16500', 'M7458', 'M7466', 'M5838', 'M4919']","['Colitis', 'Colitis, Ulcerative', 'Ulcer', 'Crohn Disease', 'Intestinal Diseases', 'Inflammatory Bowel Diseases', 'Gastroenteritis', 'Gastrointestinal Diseases', 'Digestive System Diseases', 'Colonic Diseases']","['high', 'high', 'high', 'high', 'high', 'high', 'low', 'low', 'low', 'low']","['D000003424', 'D000003092', 'D000003093', 'D000007410', 'D000015212', 'D000014456']","['Crohn Disease', 'Colitis', 'Colitis, Ulcerative', 'Intestinal Diseases', 'Inflammatory Bowel Diseases', 'Ulcer']",[],[],[],[],[],[],['Ecologic or Community'],[],['Prospective'],[]
0,40,['NCT04021030'],"['Pain', 'Neurologic Manifestations']","['BC23', 'All', 'BC10']","['Symptoms and General Pathology', 'All Conditions', 'Nervous System Diseases']",['Chronic Pain'],"['M28029', 'M11649', 'M10987']","['Chronic Pain', 'Pain', 'Neurologic Manifestations']","['high', 'low', 'low']",['D000059350'],['Chronic Pain'],[],['N/A'],['Single Group Assignment'],[],['None (Open Label)'],[],[],['Treatment'],[],[]
0,41,['NCT02959827'],"['Thyroid Diseases', 'Endocrine System Diseases']","['BC19', 'All']","['Gland and Hormone Related Diseases', 'All Conditions']",['Hypothyroidism'],"['M8670', 'M15301', 'M6445']","['Hypothyroidism', 'Thyroid Diseases', 'Endocrine System Diseases']","['high', 'low', 'low']",['D000007037'],['Hypothyroidism'],[],[],[],[],[],[],['Cohort'],[],['Retrospective'],[]
