,Rank,NCTId,OtherEventSourceVocabulary,OtherEventStatsGroupId,OtherEventStatsNumAffected,OtherEventStatsNumAtRisk,OtherEventStatsNumEvents,OtherEventTerm,OtherOutcomeDescription,OtherOutcomeMeasure,OtherOutcomeTimeFrame,OutcomeAnalysisCILowerLimit,OutcomeAnalysisCILowerLimitComment,OutcomeAnalysisCINumSides,OutcomeAnalysisCIPctValue,OutcomeAnalysisCIUpperLimit,OutcomeAnalysisCIUpperLimitComment,OutcomeAnalysisDispersionType,OutcomeAnalysisDispersionValue,OutcomeAnalysisEstimateComment,OutcomeAnalysisGroupId
0,11,['NCT00026728'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,12,['NCT01211990'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,13,['NCT02663219'],[],[],[],[],[],[],"['computer assisted self interview', 'computer assisted self interview', 'open ended qualitative data compiled and coded', 'relationship between HIV strains in different men']","['Health care utilization at baseline and 24 months', 'Stigma at baseline and 24 months', 'Number of contacts (text message, email, phone, in person) for each participant randomized to the CM intervention arm over follow-up', 'Satisfaction with the CM intervention components, as measured on a Likert scale during a standardized exit interview', 'Usefulness of the CM intervention components, as measured on a Likert scale during a standardized exit interview', 'Open-ended questions regarding linkage to HIV care', 'The phylogenetic relationship between HIV sequences', 'HIV viral load at baseline', 'Syphilis positive or negative at baseline', 'HIV viral suppression']","['Up to 24 months', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months']",[],[],[],[],[],[],[],[],[],[]
0,14,['NCT00121108'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,15,['NCT01861210'],[],[],[],[],[],[],['Seven items asked on a 5-point Likert scale:\n\nQuality of the session\nRelevance of the session\nAppropriateness of the format\nDegree to which the session met personal needs\nUsefulness of the session\nSatisfaction with the session\nLikelihood of recommending the service to a friend'],['Satisfaction with counseling service'],['Within 30 minutes after the service'],[],[],[],[],[],[],[],[],[],[]
0,16,['NCT02911155'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,17,['NCT00724867'],"['MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'Medra']","['EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000', 'EG000']","['243', '77', '76', '69', '62', '59', '56', '52', '42', '38', '36', '36', '35', '24', '21', '20', '19', '17', '15', '217', '106', '63', '55', '43', '41', '36', '35', '31', '27', '26', '25', '24', '22', '14', '191', '86', '58', '45', '39', '34', '25', '21', '21', '20', '18', '163', '39', '23', '22', '20', '16', '16', '15', '162', '84', '29', '25', '18', '16', '155', '44', '27', '25', '24', '19', '14', '14', '154', '51', '31', '28', '17', '17', '16', '16', '151', '60', '31', '31', '30', '30', '18', '107', '57', '42', '30', '89', '34', '17', '86', '25', '85', '44', '79', '18', '56', '20', '53', '29', '17', '37', '16', '56']","['268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268', '268']",[],"['Any event', 'Upper respiratory tract infection bacterial', 'Viral upper respiratory tract infection', 'Urinary tract infection bacterial', 'Sinusitis', 'Upper respiratory tract infection', 'Gastroenteritis viral', 'Urinary tract infection', 'Nasopharyngitis', 'Influenza', 'Bronchitis bacterial', 'Vulvovaginal mycotic infection', 'Bronchitis', 'Herpes zoster', 'Cellulitis', 'Gastroenteritis', 'Oral herpes', 'Oral candidiasis', 'Tooth abscess', 'Any event', 'Arthralgia', 'Back pain', 'Pain in extremity', 'SLE arthritis', 'Musculoskeletal pain', 'Bursitis', 'Myalgia', 'Joint swelling', 'Tendonitis', 'Muscle spasms', 'Neck pain', 'Osteoarthritis', 'Musculoskeletal chest pain', 'Fibromyalgia', 'Any event', 'Nausea', 'Diarrhoea', 'Vomiting', 'Gastrooesophageal reflux disease', 'Abdominal pain', 'Constipation', 'Dental caries', 'Mouth ulceration', 'Abdominal pain upper', 'Dyspepsia', 'Any event', 'Rash', 'Alopecia', 'Systemic lupus erythematosus rash', 'Pruritus', 'Dermatitis contact', 'Eczema', 'Rash pruritic', 'Any event', 'Headache', 'Dizziness', 'Migraine', 'Hypoaesthesia', 'Paraesthesia', 'Any event', 'Fall', 'Ligament sprain', 'Contusion', 'Procedural pain', 'Muscle strain', 'Laceration', 'Road traffic accident', 'Any event', 'Cough', 'Dyspnoea', 'Sinus congestion', 'Oropharyngeal pain', 'Rhinitis allergic', 'Nasal congestion', 'Pleuritic pain', 'Any event', 'Fatigue', 'Non-cardiac chest pain', 'Peripheral swelling', 'Oedema peripheral', 'Pyrexia', 'Pain', 'Any event', 'Insomnia', 'Anxiety', 'Depression', 'Any event', 'Vitamin D deficiency', 'Hypokalaemia', 'Any event', 'Weight increased', 'Any event', 'Hypertension', 'Any event', 'Cataract', 'Any event', 'Palpitations', 'Any event', 'Seasonal allergy', 'Drug hypersensitivity', 'Any event', 'Vertigo', 'Sinusitis bacterial']",[],[],[],[],[],[],[],[],[],[],[],[],[]
0,18,['NCT03973905'],[],[],[],[],[],[],[],[],[],"['-64.93', '-1071.80', '-439.75', '-166.37', '-57.51', '-12529.0', '-13.91', '-87.40']",[],"['2-Sided', '2-Sided', '2-Sided', '2-Sided', '2-Sided', '2-Sided', '2-Sided', '2-Sided']","['95', '95', '95', '95', '95', '95', '95', '95']","['92.68', '97.13', '97.35', '52.16', '92.13', '99.46', '98.03', '79.25']",[],[],[],"['Vaccine Effectiveness (VE) was estimated as (1-odds ratio) × 100%. The Confidence Interval was calculated based on the conditional binomial distribution of cases in the exposed group and the total number of cases.', 'VE was estimated as (1-odds ratio) × 100%. The Confidence Interval was calculated based on the conditional binomial distribution of cases in the exposed group and the total number of cases.', 'VE was estimated as (1-odds ratio) × 100%. The Confidence Interval was calculated based on the conditional binomial distribution of cases in the exposed group and the total number of cases.', 'VE was estimated as (1-odds ratio) × 100%. The Confidence Interval was calculated based on the conditional binomial distribution of cases in the exposed group and the total number of cases.', 'VE was estimated as (1-odds ratio) × 100%. The Confidence Interval was calculated based on the conditional binomial distribution of cases in the exposed group and the total number of cases.', 'VE was estimated as (1-odds ratio) × 100%. The Confidence Interval was calculated based on the conditional binomial distribution of cases in the exposed group and the total number of cases.', 'VE was estimated as (1-odds ratio) × 100%. The Confidence Interval was calculated based on the conditional binomial distribution of cases in the exposed group and the total number of cases.', 'VE was estimated as (1-odds ratio) × 100%. The Confidence Interval was calculated based on the conditional binomial distribution of cases in the exposed group and the total number of cases.']","['OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001']"
0,19,['NCT00340457'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,20,['NCT02429284'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,21,['NCT02889263'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,22,['NCT03995745'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,23,['NCT00928694'],['MedDRA 12.0'],"['EG000', 'EG001']","['1', '0']","['14', '14']",[],['Loose Stools'],[],[],[],"['0.90', '0.90']",[],[],"['90', '90']","['1.02', '1.06']",[],[],[],[],"['OG000', 'OG001', 'OG000', 'OG001']"
0,24,['NCT02153996'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,25,['NCT00413673'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,26,['NCT03867409'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,27,['NCT04004260'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,28,['NCT04205877'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,29,['NCT01262079'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,30,['NCT00646438'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,31,['NCT00341588'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,32,['NCT04562636'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,33,['NCT03924505'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,34,['NCT02334462'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,35,['NCT03311295'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,36,['NCT03242278'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,37,['NCT03683134'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,38,['NCT04047316'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,39,['NCT03952364'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,40,['NCT04021030'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,41,['NCT02959827'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,42,['NCT02395536'],"['MedDRA 18.1', 'MedDRA 18.1', 'MedDRA 18.1', 'MedDRA 18.1', 'MedDRA 18.1', 'MedDRA 18.1', 'MedDRA 18.1', 'MedDRA 18.1', 'MedDRA 18.1', 'MedDRA 18.1', 'MedDRA 18.1', 'MedDRA 18.1', 'MedDRA 18.1']","['EG000', 'EG001', 'EG000', 'EG001', 'EG000', 'EG001', 'EG000', 'EG001', 'EG000', 'EG001', 'EG000', 'EG001', 'EG000', 'EG001', 'EG000', 'EG001', 'EG000', 'EG001', 'EG000', 'EG001', 'EG000', 'EG001', 'EG000', 'EG001', 'EG000', 'EG001']","['1', '0', '0', '1', '1', '1', '0', '1', '0', '1', '0', '1', '1', '0', '2', '3', '2', '0', '0', '1', '1', '0', '0', '1', '0', '1']","['251', '231', '251', '231', '251', '231', '251', '231', '251', '231', '251', '231', '251', '231', '251', '231', '251', '231', '251', '231', '251', '231', '251', '231', '251', '231']","['1', '0', '0', '1', '1', '1', '0', '1', '0', '1', '0', '1', '1', '0', '2', '3', '2', '0', '0', '1', '1', '0', '0', '1', '0', '1']","['Atrioventricular block complete', 'Supraventricular tachycardia', 'Device dislocation', 'Device extrusion', 'Implant site bruising', 'Implant site rash', 'Incision site complication', 'Incision site haemorrhage', 'Procedural dizziness', 'Wound dehiscence', 'Cerebral haemorrhage', 'Presyncope', 'Rash']",[],[],[],['-0.030'],[],['2-Sided'],['95'],['0.029'],[],[],[],['The estimated value and its associated confidence interval are for the in-office minus traditional hospital setting difference in the untoward event rates. The point estimate is negative since the in-office rate was lower than the hospital rate.'],"['OG000', 'OG001']"
0,43,['NCT03628235'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,44,['NCT02787538'],[],[],[],[],[],[],"['Patients will be asked whether they started or switched a biologic, and the name, since using the US-ANSWER-2.']",['Use of biologics'],['6 months from baseline'],[],[],[],[],[],[],[],[],[],[]
0,45,['NCT01290393'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,46,['NCT04263311'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,47,['NCT00875641'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,48,['NCT03199846'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,49,['NCT04587245'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,50,['NCT02773979'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,51,['NCT03274726'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,52,['NCT01283828'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,53,['NCT04191824'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,54,['NCT03197688'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,55,['NCT02813577'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,56,['NCT00666380'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,57,['NCT01287247'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,58,['NCT04163341'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,59,['NCT02987335'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,60,['NCT02867722'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,61,['NCT03276637'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,62,['NCT03192891'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,63,['NCT03373045'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,64,['NCT04229212'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,65,['NCT02848781'],[],[],[],[],[],[],[],['Comparison of outcomes in ablation only registry with randomized patients'],['2 years'],[],[],[],[],[],[],[],[],[],[]
