,Rank,NCTId,InterventionArmGroupLabel,InterventionBrowseBranchAbbrev,InterventionBrowseBranchName,InterventionBrowseLeafAsFound,InterventionBrowseLeafId,InterventionBrowseLeafName,InterventionBrowseLeafRelevance,InterventionDescription,InterventionMeshId,InterventionMeshTerm,InterventionName,InterventionOtherName,InterventionType,IsFDARegulatedDevice,IsFDARegulatedDrug,IsPPSD,IsUSExport,IsUnapprovedDevice,Keyword
0,18,['NCT03973905'],"['Control Group', 'Pertussis Case Group']",['All'],['All Drugs and Chemicals'],[],['M15943'],['Vaccines'],['low'],['Not applicable / dataset analysis'],[],[],['Not applicable / dataset analysis'],[],['Other'],[],[],[],[],[],"['Whooping Cough', 'Boostrix', 'Tdap', 'effectiveness', 'pregnancy', 'infants']"
0,19,['NCT00340457'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Case-Control Study', 'Renal Cell Carcinoma', 'Kidney Cancer', 'Diet', 'Occupation']"
0,20,['NCT02429284'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Chronic Thromboembolic Pulmonary Hypertension (CTEPH)', 'Pulmonary Endarterectomy (PEA)', 'Pulmonary Thromboendarterectomy (PTE)', 'Pulmonary Hypertension', 'Balloon Pulmonary Angioplasty (BPA)']"
0,21,['NCT02889263'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,22,['NCT03995745'],['adherence based financial incentives'],[],[],[],[],[],[],['Provision of wireless devices and financial incentives to motivate medication adherence among HIV-positive adults who have not reached viral suppression.'],[],[],['Medication adherence and financial incentives'],[],['Behavioral'],['No'],['No'],[],[],[],[]
0,23,['NCT00928694'],"['1', '2']","['Lipd', 'All']","['Lipid Regulating Agents', 'All Drugs and Chemicals']",['Participating'],"['M12801', 'M2859', 'M2862', 'M27470']","['Fenofibrate', 'Hypolipidemic Agents', 'Antimetabolites', 'Lipid Regulating Agents']","['high', 'low', 'low', 'low']","['Single dose of 160 mg fenofibrate U.S. formulation (Tricor®) in one of two treatment periods.', 'Single dose of 160 mg fenofibrate UK formulation (Supralip®) in one of two treatment periods.']",['D000011345'],['Fenofibrate'],"['fenofibrate (U.S. formulation)', 'fenofibrate (UK formulation)']","['Tricor®', 'Supralip®']","['Drug', 'Drug']",[],[],[],[],[],[]
0,24,['NCT02153996'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Malaria Immunity Longevity']
0,25,['NCT00413673'],['1'],[],[],[],[],[],[],['PRK'],[],[],['PRK'],[],['Procedure'],[],[],[],[],[],"['Naturally occurring low to moderate myopia, with or without low levels of astigmatism in U.S. Army personnel']"
0,26,['NCT03867409'],"['Concordant text', 'Concordant virtual human', 'Dis-concordant text', 'Dis-concordant virtual human']","['HB', 'All']","['Herbal and Botanical', 'All Drugs and Chemicals']",[],['T120'],['Cola'],['low'],"['The intervention is precision messaging tailored to target audiences through development and evaluation of culturally sensitive, interactive messages about CRC screening delivered using VHT. The study will investigate whether interactive, tailored messages contribute to an overall enhancement of knowledge of CRC and screening options by eliciting positive attitudes and behaviors toward FIT screening.']",[],[],['message delivered via virtual technology'],[],['Behavioral'],['No'],['No'],[],[],[],[]
0,27,['NCT04004260'],"['Experimental group', 'Weekly check-in control group']",[],[],[],[],[],[],"['The intervention offered is a CTB-based internet intervention, providing an opportunity to learn about new ways of coping with tinnitus during everyday life. It is 8-week long e-learning intervention, with new modules introduced weekly and assignments are given to practice techniques learned.']",[],[],['Internet-based Cognitive Behavior Therapy'],['ICBT'],['Behavioral'],['No'],['No'],[],[],[],[]
0,28,['NCT04205877'],['Registry Group'],[],[],[],[],[],[],"['Device utilized for closure of PDA, study is to help assure continued safety and effectiveness of FDA approved Amplatzer Piccolo Occluder device as well as other devices used off label for PDA closure in premature infants less than 2 kg at the time of device implant.']",[],[],['Transcatheter PDA Closure'],[],['Device'],['Yes'],['No'],[],['No'],[],[]
0,29,['NCT01262079'],[],['All'],['All Drugs and Chemicals'],[],"['M8767', 'M2806']","['Immunoglobulins', 'Antibodies']","['low', 'low']",[],[],[],[],[],[],[],[],[],[],[],"['influenza', 'healthy volunteer', 'immunity', 'antibody', 'blood sample']"
0,30,['NCT00646438'],['1'],"['Hypo', 'All']","['Hypoglycemic Agents', 'All Drugs and Chemicals']",[],"['M8948', 'M178017']","['Insulin', 'Insulin, Globin Zinc']","['low', 'low']","['The CDE and Study Coordinator will also meet with the patient in the hospital to show how the Lifescan One-Touch Ultra II glucometer works and review the study follow-up schedule. Patients will be sent home with the Lifescan One-Touch Ultra II glucometer and a supply of strips.\n\nPost-Discharge Period Patients will meet alternatively with the CDE and study doctor on a specific schedule including every week for the first month, every 2 weeks in the second month, and every month thereafter till the 12th month. During these sessions the BG records will be downloaded from the Lifescan One-Touch Ultra II glucometer and reviewed to see patterns and any areas that could be improved or changed.\n\nFor all patients in the study arm, the medications that are being taken and the results of glucose monitoring charts will be reviewed weekly with endocrinologists so that any additional recommendations may be made to improve glucose control.']",[],[],['Strict Glycemic Control for one year post-op CABG'],"['USCDP', 'Portlan Protocol']",['Drug'],[],[],[],[],[],"['Diabetes', 'CABG']"
0,31,['NCT00341588'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Testicular Cancer', 'Epidemiology', 'Testicular Germ Cell Cancer', 'TGCT', 'Healthy Volunteer']"
0,32,['NCT04562636'],"['Environment-focused Meatless Monday messages', 'Health-focused Meatless Monday messages', 'Neutral Message']",[],[],[],[],[],[],"['Participants will be randomized to view a set of four messages about the environmental harms of meat production from the Meatless Monday campaign.', 'Participants will be randomized to view a set of four messages about the health harms of meat consumption from the Meatless Monday campaign.', 'Participants will be randomized to view a set of four messages about checking their credit score.']",[],[],"['Environmental message', 'Health message', 'Neutral Message']",[],"['Other', 'Other', 'Other']",['No'],['No'],[],[],[],"['Red meat', 'Processed meat', 'Sustainability', 'Meat reduction']"
0,33,['NCT03924505'],"['Implementation Manual and External Facilitation', 'Implementation Manual - only']","['Analg', 'CNSDep', 'All', 'NarcAntag']","['Analgesics', 'Central Nervous System Depressants', 'All Drugs and Chemicals', 'Narcotic Antagonists']",[],"['M2614', 'M10804']","['Analgesics, Opioid', 'Naloxone']","['low', 'low']","['Participating organizations will receive the implementation manual and the external facilitation (EF) intervention. The manual provides instructions for organizations wanting to implement a high quality naloxone program. The EF will assist syringe service programs to integrate naloxone delivery within their organization. As part of these efforts, we will use a measurement framework to understand naloxone delivery within SSPs along the four phases of the implementation process-exploration, preparation, implementation and sustainment (EPIS).', 'Participating organizations will receive the implementation manual.The manual provides instructions for organizations wanting to implement a high quality naloxone program.']",[],[],"['Implementation Manual with External Facilitation Intervention', 'Implementation Manual only']",[],"['Behavioral', 'Behavioral']",['No'],['No'],[],[],[],"['Opioid Overdose Prevention', 'Naloxone Implementation', 'Implementation Science']"
0,34,['NCT02334462'],"['Group 2- Mali', 'Group 2-U.S', 'Group 3- Mali', 'Group 3- U.S.', 'Group 1- Mali', 'Group 1-U.S', 'Group 3- Mali', 'Group 3- U.S.', 'Group 4- Mali', 'Group 4- Mali']","['All', 'Gast']","['All Drugs and Chemicals', 'Gastrointestinal Agents']",['Asian'],"['M8767', 'M2806', 'M15943', 'M2458', 'M2209', 'M8784', 'M2769', 'M2800', 'M7464']","['Immunoglobulins', 'Antibodies', 'Vaccines', 'Aluminum Hydroxide', 'Adjuvants, Immunologic', 'Immunologic Factors', 'Antacids', 'Anti-Ulcer Agents', 'Gastrointestinal Agents']","['low', 'low', 'low', 'high', 'low', 'low', 'low', 'low', 'low']",[],['D000000536'],['Aluminum Hydroxide'],"['Pfs230D1M-EPA/Alhydrogel', 'Pfs25M-EPA/Alhydrogel', 'TWINRIX', 'Menactra']",[],"['Biological', 'Biological', 'Drug', 'Drug']",[],['Yes'],[],[],[],"['Assays', 'Antibody', 'Reactogenicity', 'Mosquito', 'Responses']"
0,35,['NCT03311295'],['ARTO System'],[],[],[],[],[],[],['The ARTO System directly reshapes the mitral annulus promoting leaflet coaptation and amelioration of regurgitation.'],[],[],['ARTO System'],[],['Device'],['Yes'],['No'],[],[],['Yes'],[]
0,36,['NCT03242278'],"['NVAF patients receiving 15 mg rivaroxaban', 'NVAF patients receiving 20 mg rivaroxaban']","['AnCoag', 'All', 'Infe', 'AA']","['Anticoagulants', 'All Drugs and Chemicals', 'Anti-Infective Agents', 'Amino Acids']",['Carbohydrate'],"['M463', 'M29100', 'M2888', 'M2887', 'M12926', 'M16974', 'M18192', 'M2825', 'T18']","['Rivaroxaban', 'Factor Xa Inhibitors', 'Antithrombins', 'Antithrombin III', 'Protease Inhibitors', 'Serine Proteinase Inhibitors', 'HIV Protease Inhibitors', 'Anticoagulants', 'Serine']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",['As prescribed by treating physicians'],['D000069552'],['Rivaroxaban'],"['Rivaroxaban (Xarelto, BAY59-7939)']",[],['Drug'],['No'],['No'],[],[],[],"['Non-valvular atrial fibrillation (NVAF)', 'Prevention', 'Stroke']"
0,37,['NCT03683134'],"['Mediterranean diet group', 'Mediterranean diet group', 'American Heart Association group']","['HB', 'All']","['Herbal and Botanical', 'All Drugs and Chemicals']",['Glass'],"['T242', 'T143']","['Olive', 'English Walnut']","['high', 'low']","['Participants will receive nutrition education and educational materials from a registered dietitian on patients on the patterns of a Mediterranean style diet. Seven education sessions will be delivered through an online platform. Participants will be asked to complete one education session per week for the first six weeks and the final session at week 9.', 'Participants in the Mediterranean diet group will receive 3 liters of extra-virgin olive oil and 3 pounds of mixed nuts (1.5 pounds raw almonds and 1.5 pounds raw walnuts) at baseline and at 6 weeks. Participants will be educated by oral and written means, on consumption goals of the nuts and olive oil.', 'Participants will receive nutrition education and educational materials from a registered dietitian on patients on the dietary recommendations from the American Heart Association for heart health. Seven education sessions will be delivered through an online platform. Participants will be asked to complete one education session per week for the first six weeks and the final session at week 9.']",[],[],"['Mediterranean diet', 'Olive oil and mixed nuts', 'American Heart Association']",[],"['Behavioral', 'Dietary Supplement', 'Behavioral']",['No'],['No'],[],[],[],"['Cardiovascular Disease', 'Mediterranean Diet', 'Nutrition education']"
0,38,['NCT04047316'],[],[],[],[],[],[],[],['Acquire skin images with a new digital dermatoscope'],[],[],['Digital dermoscopy'],[],['Device'],['Yes'],['No'],[],['No'],['Yes'],[]
0,39,['NCT03952364'],[],[],[],[],[],[],[],['To evaluate a test called PredictSURE IBD™ in the US population'],[],[],['PredictSURE IBD™'],[],['Other'],['No'],['No'],[],[],[],"[""Crohn's Disease"", 'Ulcerative Colitis', 'IBD', 'Inflammatory Bowel Disease', 'Precious']"
0,40,['NCT04021030'],['Cognitive Behavioral Therapy (CBT)'],[],[],[],[],[],[],"['The therapeutic intervention consists of 8, one-hour individual therapy sessions delivered over the course of 2 to 4 weeks with a trained CBT therapist. These sessions are designed to provide beneficial coping strategies that are helpful in dealing with both chronic pain and substance use.']",[],[],['Cognitive Behavioral Therapy (CBT)'],[],['Behavioral'],['No'],['No'],[],[],[],['Cognitive Behavioral Therapy']
0,41,['NCT02959827'],['Iodinated contrast agents'],"['Micro', 'Infe', 'All']","['Micronutrients', 'Anti-Infective Agents', 'All Drugs and Chemicals']",[],"['M9071', 'M237459']","['Iodine', 'Cadexomer iodine']","['low', 'low']",['Use of iodine contrast agents and doses following the decision of the treating physician.'],[],[],['Iodinated contrast agents'],[],['Drug'],['No'],['Yes'],[],[],[],"['Hypothyroidism,', 'children,', 'iodinated contrast agents,', 'retrospective cohort,', 'database']"
0,42,['NCT02395536'],"['In office Outside walls of hospital', 'Traditional Hospital Setting']",[],[],[],[],[],[],"['An office setting was defined as a procedure or office room with controlled entry and hard floors outside the walls of the hospital and not including ambulatory surgical centers', 'A hospital setting was defined as an operating room or electrophysiology lab inside the walls of a hospital.']",[],[],"['office setting', 'hosptial setting']",[],"['Other', 'Other']",[],[],[],[],[],[]
0,43,['NCT03628235'],"['Companions of early stage HDGECs', 'Companions of late stage HDGECs', 'Companions of middle stage HDGECs', 'Early stage HDGECs', 'Late stage HDGECs', 'Middle stage HDGECs']",[],[],[],[],[],[],"[""Online survey to capture indirect and out of pocket costs of Huntington's Disease in HDGECs and companions""]",[],[],['Online survey'],[],['Behavioral'],['No'],['No'],[],[],[],"['online survey', 'indirect costs', 'out-of-pocket costs', 'HD', ""Huntington's disease"", 'companions', 'Enroll-HD']"
0,44,['NCT02787538'],"['US-ANSWER-2 decision aid', 'Control group (Online medication guide)']",[],[],[],[],[],[],"['US-ANSWER-2 will consist of: 1) an Information Module that presents effectiveness and side effects of each treatment option, and 2) an interactive Value Clarification Module that guides patients to consider what matter to them the most, and the pros and cons of each treatment option. Within the Information Module, the decision support information (i.e., the benefits and harms of treatment options) will be presented in narrated text, graphics, and a series of animated patient stories demonstrating attributes required for effective communication with doctors and significant others.', 'Standard online medication guide.']",[],[],"['US-ANSWER-2 decision aid', 'Control group (Online medication guide)']",[],"['Behavioral', 'Behavioral']",[],[],[],[],[],"['Rheumatoid Arthritis', 'Decision Aids', 'Biologics']"
0,45,['NCT01290393'],"['Exposed vaccinated cohort', 'Non-exposed vaccinated cohort']",['All'],['All Drugs and Chemicals'],[],['M15943'],['Vaccines'],['low'],['Data collection from hard copy interview forms routinely used by the Organization of Teratology Information Specialists (OTIS).'],[],[],['Data collection'],[],['Other'],[],[],[],[],[],"['vaccine', 'Spontaneous abortions', 'Human papillomavirus', 'HPV', 'Cervarix', 'pregnancy']"
0,46,['NCT04263311'],['Community Health Workers (CHW) treatment group'],[],[],[],[],[],[],"['Participants will undergo 5 group-based health education sessions on hypertension and diabetes management and provide culturally and linguistically tailored health information and resources There will be 2 one-on-one in-person meetings and up to 7 follow-up calls/meetings to engage in goal-setting activities regarding changes to health behaviors, medication adherence, or other issues related to diabetes prevention as identified jointly by patient and CHW. Participants will develop with the CHW and receive a copy of their long-term and short-term Participant Action Plan. Referrals to other services available in the community (i.e. exercise classes, social services, mental health, tobacco cessation, etc.']",[],[],['CHW'],[],['Behavioral'],['No'],['No'],[],[],[],[]
0,47,['NCT00875641'],"['Concurrent Control cohort', 'HRV cohort', 'Recent Historical Control cohort']",['All'],['All Drugs and Chemicals'],[],['M15943'],['Vaccines'],['low'],['Review of two health insurance databases in the US to determine the safety outcomes among infants who have received Rotarix or IPV vaccination.'],[],[],['Health Insurance Database'],[],['Other'],['No'],['No'],[],[],[],[]
0,48,['NCT03199846'],"['Dabrafenib + trametinib combination therapy', 'Ipi + nivo combination therapy', 'Ipi monotherapy', 'Nivo monotherapy', 'Pembro monotherapy', 'advanced melanoma patients']","['ANeo', 'All']","['Antineoplastic Agents', 'All Drugs and Chemicals']",[],"['M225737', 'M224868']","['Trametinib', 'Dabrafenib']","['low', 'low']",['Non-Interventional'],[],[],['Non-Interventional'],[],['Other'],[],[],[],[],[],[]
0,49,['NCT04587245'],['Physicians'],[],[],[],[],[],[],"['Online questionnaire, financial statements (one month per quarter in 2020) submitted electronically, interview with professional accounting firm and review of data and exit Interview']",[],[],['Online questionnaire and interviews'],[],['Other'],['No'],['No'],[],[],[],"['Healthcare providers', 'Covid19', 'Financial impact', 'Income']"
0,50,['NCT02773979'],"['Group 1: PfSPZ 51200 sporozoites/Placebo', 'Group 2: PfSPZ 102400 sporozoites/Placebo', 'Group 3: PfSPZ 102400 sporozoites', 'Group 1: PfSPZ 51200 sporozoites/Placebo', 'Group 2: PfSPZ 102400 sporozoites/Placebo', 'Group 3: PfSPZ 102400 sporozoites', 'Group 1: PfSPZ 51200 sporozoites/Placebo', 'Group 2: PfSPZ 102400 sporozoites/Placebo']","['All', 'Infe', 'ARhu', 'Infl', 'Analg']","['All Drugs and Chemicals', 'Anti-Infective Agents', 'Antirheumatic Agents', 'Anti-Inflammatory Agents', 'Analgesics']",['Echocardiography'],"['M15943', 'M4562', 'M151035', 'M2861', 'M2485', 'M2879', 'M2875', 'M2795', 'M19188']","['Vaccines', 'Chloroquine', 'Chloroquine diphosphate', 'Antimalarials', 'Amebicides', 'Antiprotozoal Agents', 'Antiparasitic Agents', 'Anti-Infective Agents', 'Antirheumatic Agents']","['low', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low']","['Administered as 600mg PO, day 1, 300mg PO days 8, 15, 22.', 'Cryopreserved Plasmodium falciparum (Pf) fully infectious sporozoites (SPZ) that have been developed to be used to infect volunteers in controlled human malaria infection (CHMI) to assess the efficacy of antimalarial drugs and vaccines. The PfSPZ (NF54) Challenge contains a laboratory malaria strain isolated from a Dutch traveler to Africa.', 'Placebo']",['D000002738'],['Chloroquine'],"['Chloroquine', 'PfSPZ (NF54) Challenge', 'Placebo']",[],"['Drug', 'Biological', 'Other']",['No'],['Yes'],[],['No'],[],"['challenge', 'malaria', 'P. falciparum', 'PfSPZ', 'sporozoites', 'vaccine']"
0,51,['NCT03274726'],[],"['Micro', 'All']","['Micronutrients', 'All Drugs and Chemicals']",[],['M9116'],['Iron'],['low'],[],[],[],[],[],[],['No'],['No'],[],[],[],[]
0,52,['NCT01283828'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,53,['NCT04191824'],"['Delayed Return of Results', 'Immediate Return of Results']",[],[],[],[],[],[],['Participants will be randomized to immediate versus delayed return of results for positive or negative APOL1 status.'],[],[],['APOL1 status'],[],['Diagnostic Test'],['No'],['No'],[],[],[],[]
0,54,['NCT03197688'],['Notapplicable'],['All'],['All Drugs and Chemicals'],[],['M267028'],['Macitentan'],['low'],['Not applicable as non-interventional study'],[],[],['Notapplicable'],[],['Other'],['No'],['Yes'],[],['No'],[],[]
0,55,['NCT02813577'],['Lutonix® 035 Drug Coated Balloon PTA Catheter'],[],[],[],[],[],[],['Female subjects will receive the Lutonix® 035 Drug Coated Balloon PTA Catheter.'],[],[],['Lutonix® 035 Drug Coated Balloon PTA Catheter'],[],['Device'],['Yes'],['No'],[],['No'],[],"['Legs', 'Drug Coated Angioplasty Balloon', 'Experimental', 'Standard Angioplasty Balloon']"
0,56,['NCT00666380'],"['10 ug of FMP010 antigen in 0.5 mL AS01B adjuvant', '50 ug of FMP010 antigen in 0.5 mL AS01B adjuvant']",['All'],['All Drugs and Chemicals'],[],['M15943'],['Vaccines'],['low'],"['Vaccine antigen is a recombinant protein based on merozoite surface protein-1 (MSP-1) of FVO strain of Plasmodium falciparum, and adjuvant AS01B is a proprietary adjuvant of GSK']",[],[],['Plasmodium falciparum Malaria Protein 010 (FMP010)'],[],['Biological'],[],[],[],[],[],"['Malaria', 'Vaccine', 'MSP-1 (merozoite surface protein-1)', 'Phase 1']"
