,Rank,NCTId,AgreementOtherDetails,AgreementPISponsorEmployee,AgreementRestrictionType,AgreementRestrictiveAgreement,ArmGroupDescription,ArmGroupInterventionName,ArmGroupLabel,ArmGroupType,AvailIPDComment,AvailIPDId,AvailIPDType,AvailIPDURL,BaselineCategoryTitle,BaselineClassDenomCountGroupId,BaselineClassDenomCountValue,BaselineClassDenomUnits,BaselineClassTitle,BaselineDenomCountGroupId,BaselineDenomCountValue
0,41,['NCT02959827'],[],['No'],['OTHER'],['Yes'],"['Children under age 4 in the Kaiser Permanente Northern California database, who had a diagnostic procedure with an iodinated contrast agent']",['Drug: Iodinated contrast agents'],['Iodinated contrast agents'],[],[],[],[],[],"['<1 month', '1 to 3 months', '3 to 6 months', '6 months to 1 year', '1 to 4 years', 'Female', 'Male', 'White', 'African American', 'Hispanic', 'Asian/Pacific islander', 'Other or missing']",[],[],[],[],['BG000'],['2320']
0,42,['NCT02395536'],[],['No'],[],['Yes'],"['Reveal LINQ insertions will be performed in office setting. The in office setting was defined as a procedure or office room with controlled entry and hard floors outside the walls of the hospital and not an ambulatory surgery center.', 'Reveal LINQ insertions will be performed in a traditional setting. The traditional hospital setting includes an operating room or electrophysiology laboratory.']","['Other: office setting', 'Other: hosptial setting']","['In office Outside walls of hospital', 'Traditional Hospital Setting']","['Experimental', 'Other']",[],[],[],[],"['Female', 'Male']","['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']","['251', '231', '482', '251', '231', '482', '0', '0', '0', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482', '251', '231', '482']","['Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants']",['United States'],"['BG000', 'BG001', 'BG002']","['251', '231', '482']"
0,43,['NCT03628235'],[],[],[],[],"['CAG length ≥ 40; DCL = 4, TFC ≥ 11', 'CAG length ≥ 40; DCL = 4, 7 ≤ TFC ≤ 10', 'CAG length ≥ 40; DCL = 4, 0 ≤ TFC ≤ 6']","['Behavioral: Online survey', 'Behavioral: Online survey', 'Behavioral: Online survey', 'Behavioral: Online survey', 'Behavioral: Online survey', 'Behavioral: Online survey']","['Early stage HDGECs', 'Middle stage HDGECs', 'Late stage HDGECs', 'Companions of early stage HDGECs', 'Companions of middle stage HDGECs', 'Companions of late stage HDGECs']",[],[],[],[],[],[],[],[],[],[],[],[]
0,44,['NCT02787538'],[],[],[],[],"[""The intervention group will receive simple instructions to access the US-ANSWER-2 decision aid and complete the program on their own computers within two days. At the end of the session, US-ANSWER-2 will produce a one-page summary with the participant's questions, concerns, and preferred medication option."", 'The control group will receive the online medication guide, reflective of usual practice. The online medication guide contains standard information about biologics, including an introduction about biologic options, dosages, and effects.']","['Behavioral: US-ANSWER-2 decision aid', 'Behavioral: Control group (Online medication guide)']","['US-ANSWER-2 decision aid', 'Control group (Online medication guide)']","['Experimental', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,45,['NCT01290393'],[],[],[],[],"['Women with last menstrual period between 30 days before and 90 days after any CERVARIX dose. The target sample size of the Exposed vaccinated cohort is 150 subjects.', 'Women with last menstrual period between 120 days and 18 months after the last CERVARIX or GARDASIL dose. The target sample size of the Non-exposed vaccinated cohort is 300 subjects.']","['Other: Data collection', 'Other: Data collection']","['Exposed vaccinated cohort', 'Non-exposed vaccinated cohort']",[],[],[],[],[],[],[],[],[],[],[],[]
0,46,['NCT04263311'],[],[],[],[],"['There will be 81 treatment participants who will receive the Community Health Workers (CHW) intervention. Once recruited and consented, surveys will be administered and collected at baseline and 6 months in person or by a study coordinator within two weeks of completion of the CHW coaching component of the intervention. Participants enrolled in the intervention will receive monthly text and phone call reminders. in addition, multiple sessions will be hosted at varying times/days of the week to accommodate schedules of both working individuals and at-home caretakers. Finally, small incentives will be provided at each session to encourage ongoing attendance, and a cash raffle prize will be distributed at program completion for individuals who attend all five sessions.', 'There will be 81 control participants who will be offered the health education sessions as a point of service and not for research purposes']",['Behavioral: CHW'],"['Community Health Workers (CHW) treatment group', 'Control group']","['Experimental', 'No Intervention']",[],[],[],[],[],[],[],[],[],[],[]
0,47,['NCT00875641'],"['GSK agreements may vary with individual investigators, but will not prohibit any investigator from publishing. GSK supports the publication of results from all centers of a multi-center trial but requests that reports based on single-site data not precede the primary publication of the entire clinical trial.']",['No'],['OTHER'],['Yes'],"['HRV (Human Rotavirus) cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans within 30 days of birth and who received at least one dose of Rotarix vaccination as part of their normal health care (with no previous dose of RotaTeq prior to or concurrent with the first Rotarix vaccination).', 'Concurrent control cohort consisted of infants aged less than 1 year, enrolled in the participating health insurance plans, who were contemporaneous with the Rotarix vaccinees and who received at least one dose of IPV (Inactivated Poliovirus vaccine) with or without RotaTeq vaccination (with no previous dose of Rotarix prior to or concurrent with the first IPV vaccination).', 'Recent historical control cohort consisted of infants aged less than 1 year of age, enrolled in participating health insurance plans, vaccinated with at least one dose of IPV (Inactivated Poliovirus vaccine) between 1 January 2004 (OptumInsight) or 1 January 2006 (HealthCore) and 31 July 2008 and who did not receive any dose of rotavirus vaccination during the study period.']","['Other: Health Insurance Database', 'Other: Health Insurance Database', 'Other: Health Insurance Database']","['HRV cohort', 'Concurrent Control cohort', 'Recent Historical Control cohort']",[],[],[],[],[],"['Female', 'Male', 'Northeast', 'South/Southeast', 'Midwest', 'West']",[],[],[],['US Geographic Region'],"['BG000', 'BG001', 'BG002', 'BG003']","['57931', '173384', '159344', '390659']"
0,48,['NCT03199846'],[],[],[],[],"['Part 1 will consist of a representative sample of advanced melanoma patients, irrespective of date of diagnosis of stage III unresectable and metastatic/stage IV, to address information objectives on treatment patterns, clinical outcomes, and resource use after the start of treatment post-launch of new drugs, ie, since 2011 for ipi and 2015 for ipi + nivo in advanced melanoma', 'Part 2: patients must have been prescribed Ipi monotherapy during the index period between 01-Jan-2015 and 31-May-2016.', 'Part 2: patients must have been prescribed Ipi + nivo combination therapy during the index period between 01-Jan-2015 and 31-May-2016.', 'Part 2: patients must have been prescribed Dabrafenib + trametinib combination therapy during the index period between 01-Jan-2015 and 31-May-2016.', 'Part 2: patients must have been prescribed Pembro monotherapy during the index period between 01-Jan-2015 and 31-May-2016', 'Part 2: patients must have been prescribed Nivo monotherapy during the index period between 01-Jan-2015 and 31-May-2016']","['Other: Non-Interventional', 'Other: Non-Interventional', 'Other: Non-Interventional', 'Other: Non-Interventional', 'Other: Non-Interventional', 'Other: Non-Interventional']","['advanced melanoma patients', 'Ipi monotherapy', 'Ipi + nivo combination therapy', 'Dabrafenib + trametinib combination therapy', 'Pembro monotherapy', 'Nivo monotherapy']",[],[],[],[],[],[],[],[],[],[],[],[]
0,49,['NCT04587245'],[],[],[],[],['Physician or healthcare Provider based anywhere in the United States who is eligible to submit claims to an insurance company on behalf of patients'],['Other: Online questionnaire and interviews'],['Physicians'],[],[],[],[],[],[],[],[],[],[],[],[]
0,50,['NCT02773979'],[],[],[],[],"['Chloroquine (CQ)/PfSPZ Challenge 51200 sporozoites or CQ/normal saline (NS). N=12, randomized 3:1', 'CQ/PfSPZ Challenge 102400 sporozoites or CQ/NS. N=4, randomized 3:1', 'CQ/PfSPZ Challenge 102400 sporozoites N=9']","['Drug: Chloroquine', 'Biological: PfSPZ (NF54) Challenge', 'Other: Placebo', 'Drug: Chloroquine', 'Biological: PfSPZ (NF54) Challenge', 'Other: Placebo', 'Drug: Chloroquine', 'Biological: PfSPZ (NF54) Challenge']","['Group 1: PfSPZ 51200 sporozoites/Placebo', 'Group 2: PfSPZ 102400 sporozoites/Placebo', 'Group 3: PfSPZ 102400 sporozoites']","['Active Comparator', 'Active Comparator', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,51,['NCT03274726'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,52,['NCT01283828'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,53,['NCT04191824'],[],[],[],[],"['Immediate return of results to inform participant of APOL1 status (either positive or negative).', 'Delayed return of results of APOL1 status (either positive or negative) after the completion of the 6 month final study visit.']","['Diagnostic Test: APOL1 status', 'Diagnostic Test: APOL1 status']","['Immediate Return of Results', 'Delayed Return of Results']","['Active Comparator', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,54,['NCT03197688'],[],[],[],[],['Not applicable as non-interventional study'],['Other: Notapplicable'],['Notapplicable'],[],[],[],[],[],[],[],[],[],[],[],[]
0,55,['NCT02813577'],"['Prior to PI publication of site results, sponsor requires publication of multi-centers results.']",['No'],['OTHER'],['Yes'],['This is a single-arm study. Female subjects will receive the Lutonix® 035 Drug Coated Balloon PTA Catheter.'],['Device: Lutonix® 035 Drug Coated Balloon PTA Catheter'],['Lutonix® 035 Drug Coated Balloon PTA Catheter'],['Other'],[],[],[],[],"['Female', 'Male', 'American Indian or Alaska Native', 'Asian', 'Native Hawaiian or Other Pacific Islander', 'Black or African American', 'White', 'More than one race', 'Unknown or Not Reported']",[],[],[],"['≥18 years of age', 'United States']",['BG000'],['4']
