,NCTId,HealthyVolunteers
5035,NCT03349775,No
5033,NCT01573494,No
5032,NCT02056535,No
5031,NCT04540003,No
5030,NCT04313296,No
5029,NCT02801747,No
5028,NCT00167648,No
7641,NCT00667810,No
4873,NCT00342524,No
7728,NCT03916796,No
7700,NCT04055181,No
4726,NCT01715740,No
4725,NCT00062556,No
7696,NCT02170246,No
4722,NCT02094898,No
7698,NCT00399529,No
4720,NCT04049045,No
4719,NCT03274713,No
4718,NCT02679092,No
4717,NCT00736554,No
7699,NCT02721147,No
4714,NCT00850824,No
4728,NCT04119206,No
7701,NCT01145443,No
4712,NCT03259178,No
4711,NCT01527838,No
4710,NCT02829918,No
4709,NCT01336452,No
4708,NCT01810731,No
4707,NCT01596023,No
7702,NCT03371225,No
4705,NCT00006162,No
4704,NCT02244957,No
4727,NCT03247803,No
4729,NCT04266210,No
4872,NCT00739024,No
7692,NCT00162435,No
4754,NCT01435954,No
4753,NCT02419885,No
4752,NCT01191411,No
7690,NCT00571038,No
4750,NCT03245879,No
7691,NCT02052037,No
4748,NCT04108702,No
4747,NCT04236271,No
4746,NCT02181556,No
4745,NCT04516252,No
4743,NCT02036060,No
4730,NCT03366363,No
7693,NCT03406013,No
4741,NCT04092400,No
4738,NCT03634852,No
4737,NCT01859026,No
4736,NCT04431661,No
4735,NCT04450914,No
4734,NCT03914781,No
4733,NCT03280979,No
4732,NCT01556191,No
4731,NCT02812030,No
7703,NCT02272959,No
4702,NCT02045290,No
4701,NCT04246528,No
7722,NCT04115813,No
4669,NCT01710943,No
7715,NCT03555435,No
4665,NCT03711981,No
7718,NCT00775866,No
4662,NCT01427400,No
4661,NCT04579120,No
7719,NCT00201929,No
4658,NCT03437837,No
4657,NCT04171180,No
4656,NCT00795561,No
4654,NCT04516824,No
4700,NCT02274012,No
4653,NCT01786109,No
4651,NCT03486093,No
4650,NCT01547013,No
7724,NCT00829114,No
4648,NCT02453646,No
4647,NCT02602730,No
4646,NCT04384263,No
7725,NCT00138047,No
7727,NCT01672840,No
4642,NCT01084239,No
4670,NCT01332500,No
4671,NCT01077596,No
4672,NCT00486811,No
4673,NCT01107379,No
7704,NCT02088671,No
4698,NCT03639025,No
4697,NCT03168490,No
4696,NCT01968993,No
4694,NCT00816426,No
4693,NCT02258256,No
4691,NCT00836147,No
4690,NCT02545010,No
4689,NCT02880527,No
4688,NCT01867905,No
7707,NCT03198754,No
4686,NCT01241383,No
4685,NCT04075903,No
4683,NCT02561390,No
7709,NCT02764528,No
7710,NCT04379414,No
4679,NCT00914745,No
4678,NCT00364234,No
4676,NCT04598399,No
4675,NCT02746900,No
7713,NCT01569191,No
4755,NCT04171336,No
4756,NCT00672594,No
4759,NCT01428154,No
4833,NCT00536445,No
4844,NCT02811666,No
4843,NCT01581307,No
7656,NCT03272074,No
4840,NCT03940209,No
7657,NCT00978497,No
7658,NCT02512445,No
7659,NCT01999868,No
7660,NCT00681694,No
4835,NCT00535444,No
4834,NCT01881828,No
4832,NCT02859831,No
4819,NCT01033188,No
4831,NCT02599454,No
4830,NCT02511041,No
4829,NCT02698371,No
7661,NCT04230967,No
4827,NCT03040791,No
7662,NCT03755401,No
7663,NCT03059082,No
4824,NCT03290963,No
4823,NCT02485145,No
4822,NCT03961555,No
7654,NCT02268292,No
4846,NCT00603174,No
4847,NCT01859039,No
7653,NCT04113135,No
7642,NCT00676143,No
4870,NCT02777112,No
7643,NCT00386100,No
4868,NCT03800394,No
4867,NCT03975400,No
4866,NCT04048707,No
7644,NCT02887235,No
7645,NCT00744991,No
7646,NCT03643978,No
4862,NCT01578499,No
4861,NCT03083431,No
7647,NCT00785577,No
4859,NCT01761734,No
7648,NCT00790790,No
7649,NCT01390220,No
7650,NCT03850509,No
4855,NCT04159454,No
4853,NCT04525326,No
4852,NCT03277846,No
4850,NCT02095249,No
4849,NCT01016860,No
7665,NCT01989273,No
4818,NCT03068117,No
4760,NCT03251911,No
7684,NCT03502096,No
4783,NCT01054833,No
7681,NCT03753360,No
7682,NCT00732173,No
4780,NCT02278237,No
4779,NCT02751203,No
4778,NCT02021838,No
4777,NCT04287257,No
4776,NCT03046069,No
4775,NCT02650154,No
7683,NCT03935282,No
4772,NCT00624585,No
4817,NCT03086395,No
4771,NCT04509622,No
4770,NCT00915681,No
4769,NCT03971305,No
4767,NCT00255229,No
4766,NCT02972138,No
7686,NCT01067287,No
4764,NCT01843751,No
4763,NCT00820378,No
4762,NCT00372983,No
7687,NCT04053842,No
4784,NCT01594190,No
7680,NCT03000374,No
4786,NCT02023151,No
4787,NCT00858403,No
4815,NCT01068522,No
7667,NCT01212848,No
7668,NCT04178538,No
4810,NCT04499495,No
7671,NCT03865901,No
4808,NCT00279617,No
4806,NCT03065647,No
4805,NCT03845985,No
4803,NCT01712282,No
4802,NCT01560520,No
4801,NCT02350231,No
4800,NCT00131586,No
4798,NCT03953794,No
7675,NCT00731887,No
4794,NCT01557400,No
4793,NCT00561054,No
4792,NCT02956174,No
7678,NCT01968590,No
4790,NCT03971318,No
4789,NCT02856217,No
4788,NCT04334824,No
7925,NCT01107626,No
4172,NCT02564042,No
3279,NCT01661764,No
8090,NCT02036905,No
3594,NCT02026297,No
3593,NCT00001162,No
3592,NCT03361800,No
3590,NCT00773279,No
3589,NCT01299064,No
3587,NCT00486902,No
3586,NCT00396032,No
3585,NCT01586858,No
3584,NCT01506544,No
3582,NCT01256203,No
3580,NCT01866722,No
3596,NCT00443313,No
8091,NCT02337296,No
8094,NCT02825771,No
3574,NCT04598295,No
3573,NCT01045707,No
3572,NCT02404012,No
3570,NCT00999154,No
3569,NCT00847288,No
3568,NCT00657826,No
3567,NCT00492596,No
3566,NCT02021604,No
3595,NCT02021344,No
8086,NCT00936390,No
8122,NCT00004409,No
3611,NCT04371887,No
3622,NCT04141605,No
3621,NCT03814798,No
3620,NCT00440648,No
3619,NCT00007579,No
3618,NCT02234557,No
3617,NCT03148496,No
3616,NCT02720497,No
3615,NCT02239328,No
3614,NCT01707524,No
3613,NCT02602691,No
3610,NCT00035100,No
8085,NCT01052220,No
3609,NCT03966053,No
8080,NCT01713972,No
3606,NCT04002830,No
3605,NCT02847728,No
3604,NCT04306445,No
3603,NCT00727636,No
8081,NCT02371317,No
8082,NCT00397735,No
8083,NCT00395499,No
8084,NCT02858778,No
3565,NCT01566500,No
3564,NCT02190253,No
3563,NCT03786471,No
3519,NCT03981835,No
3532,NCT01388439,No
3531,NCT01072123,No
3529,NCT01588158,No
3528,NCT00266461,No
8116,NCT02424526,No
8117,NCT03730259,No
3523,NCT00280826,No
3522,NCT00278928,No
3521,NCT01212289,No
3520,NCT03818737,No
3518,NCT03219359,No
3562,NCT01178320,No
3517,NCT00982228,No
3516,NCT00396253,No
8118,NCT03637296,No
3514,NCT00451022,No
3513,NCT03560271,No
3512,NCT01704573,No
3511,NCT01082237,No
8119,NCT03769740,No
3508,NCT00119574,No
8121,NCT04007913,No
3533,NCT01965756,No
3534,NCT00115973,No
8112,NCT02981160,No
8111,NCT02759172,No
3561,NCT03251989,No
3560,NCT01117168,No
3559,NCT04069832,No
3558,NCT02795624,No
8099,NCT00876226,No
3554,NCT01410669,No
8100,NCT00336089,No
8102,NCT02219399,No
3550,NCT01941277,No
3549,NCT00156520,No
3548,NCT02158884,No
3547,NCT02969369,No
8103,NCT01537068,No
8105,NCT02088177,No
8106,NCT00302055,No
8107,NCT04043936,No
8108,NCT03694418,No
3540,NCT00268957,No
8109,NCT03312387,No
8110,NCT01858311,No
3537,NCT00005766,No
3623,NCT00114010,No
8077,NCT00124943,No
8076,NCT02967016,No
3696,NCT00335790,No
3706,NCT02824276,No
8052,NCT02864160,No
3704,NCT00102388,No
3703,NCT00395876,No
8053,NCT02144649,No
3701,NCT01742117,No
3700,NCT00729937,No
3699,NCT00110240,No
3698,NCT01696721,No
8054,NCT01147614,No
3695,NCT03107468,No
3683,NCT02060799,No
3694,NCT04285489,No
3693,NCT03218787,No
3692,NCT02469532,No
8055,NCT01818739,No
3690,NCT04468776,No
3689,NCT03812263,No
8057,NCT01530321,No
3687,NCT00347412,No
3686,NCT03650556,No
3685,NCT03571893,No
3707,NCT02673229,No
8051,NCT02251743,No
3709,NCT00762060,No
3710,NCT00312845,No
3735,NCT00101673,No
3734,NCT02814552,No
3733,NCT00353574,No
3732,NCT03059004,No
3731,NCT01786993,No
3730,NCT00459316,No
3729,NCT02191137,No
3728,NCT00249405,No
3727,NCT00528606,No
8045,NCT00061906,No
3724,NCT04240288,No
3723,NCT02057705,No
3721,NCT01444911,No
3719,NCT00528840,No
3717,NCT00736775,No
3716,NCT00307580,No
3715,NCT00539175,No
3714,NCT00294723,No
8050,NCT03389750,No
3712,NCT01272232,No
3711,NCT01733394,No
3684,NCT00684021,No
3682,NCT00389675,No
8075,NCT03874793,No
3641,NCT00459615,No
8064,NCT01155830,No
3651,NCT04135404,No
3650,NCT03739021,No
3649,NCT02600936,No
8065,NCT00599599,No
3647,NCT01070056,No
3646,NCT00258869,No
3645,NCT00318422,No
3644,NCT00518882,No
3643,NCT00936897,No
8067,NCT04332172,No
3681,NCT01411891,No
3639,NCT04274894,No
3638,NCT00608426,No
8068,NCT04083690,No
3635,NCT02271139,No
8070,NCT03555331,No
3632,NCT00978627,No
8072,NCT03015896,No
3629,NCT00396318,No
3628,NCT00733096,No
8074,NCT00167921,No
3653,NCT01917994,No
3654,NCT00491842,No
3655,NCT03992469,No
3656,NCT01668667,No
3680,NCT01182311,No
3679,NCT00084136,No
3676,NCT03790137,No
3675,NCT01925794,No
3674,NCT00613730,No
3673,NCT01463410,No
3672,NCT00321295,No
3671,NCT01512095,No
3669,NCT01951417,No
3668,NCT02794181,No
8061,NCT02272998,No
3666,NCT00078208,No
3665,NCT04009070,No
3664,NCT01261325,No
3663,NCT03676023,No
3662,NCT00787566,No
8062,NCT01959217,No
3660,NCT03224819,No
8063,NCT00604214,No
3658,NCT00260156,No
3657,NCT00718588,No
3506,NCT02352389,No
3504,NCT02989701,No
3738,NCT03256344,No
3352,NCT00805246,No
3362,NCT00459992,No
3361,NCT00319332,No
8165,NCT00320749,No
8166,NCT02303392,No
3358,NCT02460991,No
8167,NCT03523507,No
3356,NCT01917812,No
3355,NCT01445327,No
3354,NCT00918996,No
3353,NCT04022434,No
3351,NCT00394329,No
3365,NCT00319839,No
3350,NCT01096771,No
3349,NCT01620489,No
3347,NCT00345475,No
3346,NCT04608188,No
3345,NCT01116323,No
3344,NCT01323114,No
8169,NCT01535924,No
8170,NCT00417976,No
3341,NCT00990262,No
3340,NCT00988169,No
3363,NCT00005112,No
3366,NCT03519074,No
3503,NCT00579150,No
3380,NCT00592046,No
3390,NCT02774317,No
3389,NCT01611402,No
8158,NCT00045903,No
3387,NCT03267914,No
3386,NCT01392573,No
3385,NCT02405039,No
3384,NCT00672009,No
8159,NCT02256085,No
8160,NCT01401023,No
8161,NCT03569059,No
3379,NCT03523780,No
3367,NCT00811057,No
3378,NCT01998802,No
3377,NCT01212003,No
3376,NCT00730704,No
3375,NCT00464971,No
8162,NCT04390243,No
3373,NCT03221192,No
3372,NCT00459446,No
3371,NCT01320150,No
3369,NCT02213068,No
3368,NCT00112047,No
8171,NCT01856049,No
3338,NCT02290106,No
3337,NCT00454467,No
3294,NCT01416467,No
8181,NCT00917085,No
3305,NCT04398628,No
3304,NCT00556842,No
3303,NCT03196297,No
3302,NCT01117571,No
3301,NCT02610465,No
8182,NCT02422940,No
3299,NCT03889418,No
3298,NCT00813605,No
3295,NCT03287765,No
3293,NCT00341835,No
3336,NCT00005924,No
3291,NCT01516801,No
8186,NCT01343056,No
8187,NCT02025439,No
8189,NCT01996865,No
8190,NCT04501536,No
3285,NCT00375960,No
3284,NCT01310179,No
3283,NCT01751620,No
3282,NCT01253811,No
3281,NCT00411762,No
3307,NCT01837498,No
3308,NCT00001908,No
3309,NCT03399370,No
3310,NCT01391858,No
3335,NCT00454506,No
3334,NCT01789814,No
3332,NCT02974764,No
3331,NCT03767231,No
3330,NCT01027611,No
3329,NCT00114621,No
3327,NCT00763698,No
3326,NCT03520387,No
8174,NCT02992522,No
3324,NCT00469339,No
3322,NCT03543735,No
3321,NCT04046055,No
3320,NCT00585689,No
3319,NCT03173950,No
8176,NCT01814501,No
8177,NCT02077959,No
3316,NCT04312165,No
8178,NCT02049541,No
3314,NCT01856907,No
8179,NCT03446833,No
3312,NCT01678625,No
8156,NCT00427128,No
3393,NCT02116712,No
8155,NCT00389493,No
3462,NCT00581061,No
3473,NCT01766102,No
3471,NCT02985801,No
3470,NCT00572039,No
3469,NCT00324155,No
3468,NCT00366587,No
3467,NCT02775565,No
3466,NCT01997723,No
3465,NCT00542581,No
3464,NCT00311506,No
3463,NCT00493051,No
3461,NCT01586767,No
8134,NCT00000273,No
3460,NCT00465192,No
3459,NCT03161470,No
3458,NCT00566995,No
3457,NCT03282669,No
3456,NCT00307398,No
3455,NCT01284127,No
8132,NCT03599193,No
3453,NCT01045447,No
8133,NCT01447602,No
3451,NCT01780129,No
3474,NCT00050856,No
8130,NCT00148031,No
3476,NCT01831765,No
6955,NCT01815554,No
3502,NCT01276782,No
3501,NCT01230021,No
3498,NCT03686618,No
3497,NCT01502592,No
3495,NCT02122445,No
3494,NCT00581269,No
3493,NCT03231592,No
3492,NCT01509690,No
