,NCTId,Phase
4098,NCT02887183,Phase 4
4090,NCT00000411,Phase 4
8908,NCT00323635,Phase 4
2911,NCT03438227,Phase 4
2908,NCT01153490,Phase 4
1904,NCT02392364,Phase 4
8374,NCT02973594,Phase 4
2864,NCT00736190,Phase 4
2874,NCT00311519,Phase 4
6794,NCT02855294,Phase 4
4273,NCT02889809,Phase 4
1890,NCT00366301,Phase 4
6807,NCT01665781,Phase 4
9048,NCT04551677,Phase 4
4262,NCT04213508,Phase 4
9040,NCT04558567,Phase 4
6820,NCT04215445,Phase 4
1887,NCT00668447,Phase 4
4245,NCT01300325,Phase 4
8357,NCT01196169,Phase 4
8358,NCT00007527,Phase 4
2894,NCT01309217,Phase 4
2896,NCT03252223,Phase 4
6834,NCT03417388,Phase 4
2897,NCT04434664,Phase 4
4218,NCT04315311,Phase 4
2903,NCT00826839,Phase 4
9008,NCT04582617,Phase 4
6581,NCT01684748,Phase 4
4599,NCT03859362,Phase 4
4603,NCT02208050,Phase 4
9510,NCT04124939,Phase 4
7825,NCT00744679,Phase 4
4931,NCT04158830,Phase 4
2063,NCT02323399,Phase 4
2661,NCT00537303,Phase 4
8240,NCT01658228,Phase 4
4914,NCT00688298,Phase 4
4913,NCT02136628,Phase 4
2055,NCT02859142,Phase 4
6325,NCT04510844,Phase 4
4890,NCT01390649,Phase 4
2675,NCT00451308,Phase 4
9480,NCT04153188,Phase 4
6339,NCT03831321,Phase 4
9478,NCT04160000,Phase 4
4879,NCT02111512,Phase 4
6345,NCT01065064,Phase 4
9470,NCT04170738,Phase 4
9468,NCT04171817,Phase 4
2679,NCT01521117,Phase 4
2045,NCT00827632,Phase 4
8250,NCT01742338,Phase 4
9504,NCT04128995,Phase 4
6286,NCT02156271,Phase 4
9452,NCT04188873,Phase 4
9523,NCT04115644,Phase 4
5024,NCT00430196,Phase 4
2617,NCT02932579,Phase 4
7851,NCT00956631,Phase 4
2106,NCT02167386,Phase 4
5005,NCT00237367,Phase 4
9573,NCT04080531,Phase 4
8214,NCT03557294,Phase 4
2097,NCT03327831,Phase 4
9563,NCT04087096,Phase 4
4987,NCT00659087,Phase 4
9556,NCT04090359,Phase 4
2635,NCT00924898,Phase 4
2636,NCT03791814,Phase 4
2092,NCT00307957,Phase 4
2090,NCT03722589,Phase 4
8219,NCT00968773,Phase 4
8222,NCT00220714,Phase 4
4973,NCT02800642,Phase 4
2081,NCT03963375,Phase 4
8228,NCT00879996,Phase 4
9530,NCT04109222,Phase 4
2683,NCT03004443,Phase 4
7812,NCT01102972,Phase 4
4605,NCT02357277,Phase 4
2727,NCT03029702,Phase 4
6468,NCT01824082,Phase 4
6473,NCT00847912,Phase 4
9364,NCT04259645,Phase 4
2005,NCT01750294,Phase 4
8276,NCT02929485,Phase 4
8279,NCT00458042,Phase 4
2735,NCT04559191,Phase 4
6506,NCT00742222,Phase 4
8286,NCT03817931,Phase 4
4675,NCT02746900,Phase 4
4662,NCT01427400,Phase 4
4657,NCT04171180,Phase 4
6530,NCT04041284,Phase 4
8292,NCT01709110,Phase 4
9310,NCT04305743,Phase 4
2745,NCT00620750,Phase 4
4639,NCT01353352,Phase 4
4638,NCT02410278,Phase 4
6553,NCT04392557,Phase 4
9282,NCT04330183,Phase 4
4614,NCT01191229,Phase 4
9370,NCT04254692,Phase 4
2723,NCT03822182,Phase 4
6374,NCT02394600,Phase 4
4738,NCT03634852,Phase 4
9443,NCT04203225,Phase 4
2695,NCT01008280,Phase 4
2028,NCT03973489,Phase 4
9431,NCT04210427,Phase 4
6387,NCT03516838,Phase 4
9426,NCT04214301,Phase 4
9423,NCT04218799,Phase 4
6396,NCT02658877,Phase 4
6398,NCT03953300,Phase 4
6406,NCT00168090,Phase 4
6407,NCT00108862,Phase 4
2023,NCT02161458,Phase 4
6412,NCT03783702,Phase 4
4786,NCT02023151,Phase 4
7801,NCT03461120,Phase 4
2713,NCT00634842,Phase 4
2018,NCT01011634,Phase 4
6446,NCT00481689,Phase 4
4760,NCT03251911,Phase 4
6455,NCT04219540,Phase 4
6461,NCT00856999,Phase 4
1013,NCT01241513,Phase 4
2963,NCT00758628,Phase 4
1015,NCT00689260,Phase 4
1410,NCT02156336,Phase 4
3569,NCT00847288,Phase 4
1421,NCT02394457,Phase 4
7221,NCT00244777,Phase 4
7222,NCT00222547,Phase 4
7223,NCT00216333,Phase 4
3549,NCT00156520,Phase 4
1432,NCT03140488,Phase 4
7226,NCT00140361,Phase 4
7228,NCT01147900,Phase 4
8502,NCT01174290,Phase 4
7233,NCT01524133,Phase 4
8506,NCT01490697,Phase 4
3529,NCT01588158,Phase 4
7246,NCT01750268,Phase 4
7247,NCT01749215,Phase 4
3511,NCT01082237,Phase 4
7256,NCT00248300,Phase 4
1678,NCT03921294,Phase 4
3502,NCT01276782,Phase 4
1465,NCT00694174,Phase 4
7259,NCT03992001,Phase 4
3574,NCT04598295,Phase 4
1405,NCT02496221,Phase 4
7269,NCT03052010,Phase 4
1404,NCT00655811,Phase 4
1342,NCT03734237,Phase 4
3681,NCT01411891,Phase 4
3679,NCT00084136,Phase 4
3669,NCT01951417,Phase 4
8486,NCT03055598,Phase 4
1360,NCT00191282,Phase 4
8699,NCT02746263,Phase 4
1366,NCT02478788,Phase 4
7144,NCT03992274,Phase 4
3656,NCT01668667,Phase 4
1704,NCT00384371,Phase 4
1703,NCT00384579,Phase 4
3639,NCT04274894,Phase 4
3160,NCT00746109,Phase 4
7163,NCT00643188,Phase 4
1390,NCT00539357,Phase 4
1697,NCT01605773,Phase 4
8496,NCT02508935,Phase 4
3606,NCT04002830,Phase 4
3602,NCT01533480,Phase 4
7186,NCT04370977,Phase 4
7474,NCT01175707,Phase 4
1480,NCT00916695,Phase 4
8716,NCT03602014,Phase 4
8605,NCT00046813,Phase 4
1646,NCT01596998,Phase 4
8593,NCT03317795,Phase 4
8590,NCT00245453,Phase 4
7353,NCT03385304,Phase 4
8539,NCT03745040,Phase 4
3334,NCT01789814,Phase 4
1574,NCT01557868,Phase 4
1575,NCT03068949,Phase 4
3265,NCT04273191,Phase 4
7376,NCT00756600,Phase 4
3314,NCT01856907,Phase 4
7379,NCT02504931,Phase 4
8577,NCT00749944,Phase 4
8547,NCT01588457,Phase 4
1594,NCT04274153,Phase 4
7389,NCT00130312,Phase 4
8566,NCT02187055,Phase 4
1629,NCT01809639,Phase 4
3271,NCT00796705,Phase 4
1612,NCT00715026,Phase 4
8553,NCT03135249,Phase 4
3369,NCT02213068,Phase 4
8606,NCT00407615,Phase 4
3473,NCT01766102,Phase 4
8607,NCT00228046,Phase 4
7464,NCT01976780,Phase 4
3468,NCT00366587,Phase 4
3457,NCT03282669,Phase 4
3448,NCT00238472,Phase 4
8522,NCT03581877,Phase 4
1659,NCT01966718,Phase 4
1657,NCT04550455,Phase 4
3421,NCT02433769,Phase 4
1517,NCT01538745,Phase 4
3414,NCT00485251,Phase 4
3411,NCT03187080,Phase 4
3401,NCT00646451,Phase 4
8530,NCT00511901,Phase 4
3396,NCT01597596,Phase 4
3390,NCT02774317,Phase 4
7439,NCT04302649,Phase 4
1536,NCT02279836,Phase 4
1539,NCT00629330,Phase 4
3382,NCT01901276,Phase 4
7334,NCT02734238,Phase 4
1544,NCT04382625,Phase 4
8713,NCT04221997,Phase 4
3690,NCT04468776,Phase 4
1018,NCT02098499,Phase 4
7616,NCT04075513,Phase 4
1088,NCT01815268,Phase 4
3003,NCT01419652,Phase 4
3980,NCT00644332,Phase 4
1095,NCT00620867,Phase 4
8429,NCT00224419,Phase 4
1109,NCT01873417,Phase 4
6988,NCT00205491,Phase 4
1789,NCT01932996,Phase 4
1138,NCT02627001,Phase 4
1139,NCT00154323,Phase 4
1778,NCT00101751,Phase 4
3922,NCT00926796,Phase 4
3919,NCT03343795,Phase 4
1156,NCT00154362,Phase 4
8442,NCT01135095,Phase 4
7573,NCT01824589,Phase 4
3055,NCT01084941,Phase 4
3893,NCT04589819,Phase 4
7566,NCT04072211,Phase 4
1762,NCT02995915,Phase 4
3870,NCT01486264,Phase 4
1084,NCT01720277,Phase 4
4019,NCT02293655,Phase 4
1191,NCT01498640,Phase 4
4021,NCT04567511,Phase 4
4079,NCT00837434,Phase 4
2970,NCT01341275,Phase 4
6920,NCT04537689,Phase 4
8901,NCT00570440,Phase 4
1026,NCT03326596,Phase 4
4072,NCT01127282,Phase 4
2974,NCT02662023,Phase 4
1037,NCT01478061,Phase 4
4061,NCT00835120,Phase 4
6928,NCT04120363,Phase 4
8889,NCT00178048,Phase 4
6930,NCT03073798,Phase 4
6931,NCT03890666,Phase 4
2979,NCT03710161,Phase 4
1046,NCT02419443,Phase 4
1049,NCT02899247,Phase 4
4039,NCT01192178,Phase 4
6942,NCT01491763,Phase 4
1812,NCT03973177,Phase 4
4030,NCT03603496,Phase 4
1065,NCT01589978,Phase 4
3864,NCT03924414,Phase 4
1757,NCT00264901,Phase 4
3701,NCT01742117,Phase 4
3784,NCT01713777,Phase 4
7526,NCT01299116,Phase 4
1268,NCT00328926,Phase 4
3772,NCT00422643,Phase 4
7081,NCT00367770,Phase 4
7523,NCT00164281,Phase 4
7094,NCT04023084,Phase 4
1285,NCT00139581,Phase 4
7521,NCT00379158,Phase 4
1295,NCT00150059,Phase 4
1301,NCT00847483,Phase 4
3729,NCT02191137,Phase 4
8734,NCT02958969,Phase 4
3135,NCT02461758,Phase 4
3136,NCT02922985,Phase 4
3716,NCT00307580,Phase 4
3711,NCT01733394,Phase 4
1320,NCT03088111,Phase 4
1322,NCT00121316,Phase 4
3708,NCT00233337,Phase 4
1324,NCT01808352,Phase 4
3707,NCT02673229,Phase 4
1263,NCT00143221,Phase 4
1253,NCT01663558,Phase 4
1197,NCT04507204,Phase 4
1247,NCT02383979,Phase 4
3844,NCT00324571,Phase 4
1203,NCT00644631,Phase 4
1756,NCT00095446,Phase 4
3840,NCT02750930,Phase 4
7052,NCT01517711,Phase 4
8797,NCT03158038,Phase 4
3834,NCT02519777,Phase 4
8454,NCT01001429,Phase 4
1215,NCT00143026,Phase 4
7058,NCT01227005,Phase 4
3079,NCT00909480,Phase 4
7062,NCT00862095,Phase 4
1220,NCT00130364,Phase 4
3083,NCT03978442,Phase 4
3822,NCT02445989,Phase 4
3820,NCT00481143,Phase 4
7065,NCT00691067,Phase 4
3814,NCT03407625,Phase 4
3093,NCT01295879,Phase 4
3805,NCT02378740,Phase 4
3803,NCT03553576,Phase 4
7852,NCT01313208,Phase 4
8555,NCT03560232,Phase 4
83,NCT02128542,Phase 4
9739,NCT03948386,Phase 4
2273,NCT03798691,Phase 4
9704,NCT03982069,Phase 4
9703,NCT03982160,Phase 4
8021,NCT04387734,Phase 4
2509,NCT01329406,Phase 4
9637,NCT04033081,Phase 4
5417,NCT03431831,Phase 4
8012,NCT02912078,Phase 4
2379,NCT03623633,Phase 4
2183,NCT02638168,Phase 4
5479,NCT02192931,Phase 4
5090,NCT00313144,Phase 4
5092,NCT04590521,Phase 4
5433,NCT01480167,Phase 4
8188,NCT01632202,Phase 4
7900,NCT01665690,Phase 4
2442,NCT00004727,Phase 4
5489,NCT01333865,Phase 4
5879,NCT03486561,Phase 4
108,NCT01965561,Phase 4
5177,NCT00230477,Phase 4
9846,NCT03867539,Phase 4
5759,NCT03848221,Phase 4
9907,NCT03823911,Phase 4
2364,NCT03020875,Phase 4
138,NCT03965195,Phase 4
2180,NCT03420638,Phase 4
2130,NCT01286870,Phase 4
5488,NCT00595504,Phase 4
2564,NCT03451071,Phase 4
5885,NCT01988402,Phase 4
9633,NCT04038125,Phase 4
5894,NCT02253654,Phase 4
6088,NCT01673594,Phase 4
2139,NCT04155047,Phase 4
2418,NCT02435771,Phase 4
5545,NCT02408159,Phase 4
5788,NCT04603794,Phase 4
2198,NCT02079701,Phase 4
9860,NCT03862053,Phase 4
5804,NCT02175030,Phase 4
5423,NCT02182115,Phase 4
9656,NCT04017390,Phase 4
5622,NCT01006824,Phase 4
8156,NCT00427128,Phase 4
5598,NCT00821236,Phase 4
5470,NCT01063153,Phase 4
5839,NCT02412982,Phase 4
5116,NCT00798538,Phase 4
89,NCT02882100,Phase 4
2452,NCT02861131,Phase 4
5471,NCT02635334,Phase 4
5125,NCT01155869,Phase 4
5552,NCT01448291,Phase 4
2200,NCT00121355,Phase 4
5185,NCT01467050,Phase 4
5896,NCT01845636,Phase 4
9918,NCT03818191,Phase 4
2201,NCT00456248,Phase 4
96,NCT02569632,Phase 4
8148,NCT03168529,Phase 4
6010,NCT03621085,Phase 4
5307,NCT04570293,Phase 4
9692,NCT03991169,Phase 4
5837,NCT01601847,Phase 4
5620,NCT01291277,Phase 4
2579,NCT00108797,Phase 4
6040,NCT02922894,Phase 4
6147,NCT00763009,Phase 4
5435,NCT00753012,Phase 4
5221,NCT02257372,Phase 4
5452,NCT00788944,Phase 4
116,NCT00730964,Phase 4
7914,NCT00223509,Phase 4
8060,NCT02103660,Phase 4
5205,NCT00120302,Phase 4
2486,NCT00203996,Phase 4
9823,NCT03881449,Phase 4
5340,NCT03811847,Phase 4
5730,NCT03080493,Phase 4
2312,NCT02069379,Phase 4
6074,NCT01857128,Phase 4
6200,NCT02666742,Phase 4
73,NCT00601835,Phase 4
5375,NCT02771925,Phase 4
7858,NCT01632241,Phase 4
5989,NCT04136548,Phase 4
5724,NCT00655967,Phase 4
5715,NCT02000739,Phase 4
6207,NCT00046475,Phase 4
5363,NCT03756454,Phase 4
5355,NCT02141113,Phase 4
5566,NCT00473642,Phase 4
74,NCT01087905,Phase 4
2482,NCT02703909,Phase 4
9997,NCT03767738,Phase 4
5214,NCT04275180,Phase 4
2283,NCT01327105,Phase 4
5870,NCT01105091,Phase 4
9934,NCT03805438,Phase 4
2318,NCT03112993,Phase 4
9679,NCT04000555,Phase 4
9903,NCT03828682,Phase 4
2225,NCT03236155,Phase 4
5155,NCT04168203,Phase 4
9988,NCT03771638,Phase 4
9727,NCT03962725,Phase 4
9711,NCT03978598,Phase 4
5573,NCT01034579,Phase 4
8103,NCT01537068,Phase 4
2522,NCT00646204,Phase 4
5328,NCT01038323,Phase 4
7918,NCT01256294,Phase 4
115,NCT00054743,Phase 4
5448,NCT01698177,Phase 4
5139,NCT00230568,Phase 4
5752,NCT03881020,Phase 4
5382,NCT00741091,Phase 4
2228,NCT00572052,Phase 4
8130,NCT00148031,Phase 4
8191,NCT01889758,Phase 4
2557,NCT03597620,Phase 4
5276,NCT00124358,Phase 4
5680,NCT03350217,Phase 4
8104,NCT04106882,Phase 4
9931,NCT03810417,Phase 4
5200,NCT01007630,Phase 4
5231,NCT03018106,Phase 4
2406,NCT00000455,Phase 4
2529,NCT00781586,Phase 4
2454,NCT03333109,Phase 3
8063,NCT00604214,Phase 3
3873,NCT00171990,Phase 3
7024,NCT02089594,Phase 3
3041,NCT00399711,Phase 3
3900,NCT03305016,Phase 3
1164,NCT01427673,Phase 3
3896,NCT00523978,Phase 3
7025,NCT02558829,Phase 3
5913,NCT01458561,Phase 3
3905,NCT01206166,Phase 3
7972,NCT00087399,Phase 3
7027,NCT01500434,Phase 3
3909,NCT00384397,Phase 3
3887,NCT02957799,Phase 3
3890,NCT03789591,Phase 3
7022,NCT00647569,Phase 3
2113,NCT03597516,Phase 3
3842,NCT02207517,Phase 3
3066,NCT01724125,Phase 3
7980,NCT00775645,Phase 3
3812,NCT01264887,Phase 3
1745,NCT01569841,Phase 3
3098,NCT01475617,Phase 3
3806,NCT00578812,Phase 3
5503,NCT03532776,Phase 3
7070,NCT00196781,Phase 3
3799,NCT00332852,Phase 3
1244,NCT02418702,Phase 3
1245,NCT02415309,Phase 3
7534,NCT00675974,Phase 3
5875,NCT03406104,Phase 3
1740,NCT04349072,Phase 3
3795,NCT01899976,Phase 3
1249,NCT02130323,Phase 3
8774,NCT01127633,Phase 3
3790,NCT00351832,Phase 3
7983,NCT00113399,Phase 3
3788,NCT00325429,Phase 3
1737,NCT01262339,Phase 3
3786,NCT00097071,Phase 3
3109,NCT04371536,Phase 3
2261,NCT00360204,Phase 3
1226,NCT00713739,Phase 3
1185,NCT00761631,Phase 3
3821,NCT00796419,Phase 3
8807,NCT02535572,Phase 3
3866,NCT04504734,Phase 3
5898,NCT00951171,Phase 3
3858,NCT02595073,Phase 3
1195,NCT01308437,Phase 3
1196,NCT00996164,Phase 3
1198,NCT00277498,Phase 3
1199,NCT00444457,Phase 3
3847,NCT00000172,Phase 3
3846,NCT00078598,Phase 3
5891,NCT00811954,Phase 3
1155,NCT00996372,Phase 3
1755,NCT00620282,Phase 3
7976,NCT00880191,Phase 3
1208,NCT04074928,Phase 3
8113,NCT00679666,Phase 3
7558,NCT03207750,Phase 3
1212,NCT00373958,Phase 3
2446,NCT00115830,Phase 3
3825,NCT04408794,Phase 3
1222,NCT04349176,Phase 3
7970,NCT01385137,Phase 3
1786,NCT02015546,Phase 3
3914,NCT00325117,Phase 3
7956,NCT01099449,Phase 3
5385,NCT01607541,Phase 3
5386,NCT01846793,Phase 3
1027,NCT00701259,Phase 3
5387,NCT01438775,Phase 3
6923,NCT03370991,Phase 3
6926,NCT01510327,Phase 3
4063,NCT00180479,Phase 3
8895,NCT04233918,Phase 3
4062,NCT02230332,Phase 3
2231,NCT01737762,Phase 3
4060,NCT02842866,Phase 3
5397,NCT02475850,Phase 3
2474,NCT01599923,Phase 3
1043,NCT02030990,Phase 3
8904,NCT00120770,Phase 3
5954,NCT00506389,Phase 3
4053,NCT00031447,Phase 3
5953,NCT01537081,Phase 3
4050,NCT02914275,Phase 3
4048,NCT00235729,Phase 3
4045,NCT00300287,Phase 3
8421,NCT00553319,Phase 3
8126,NCT01017523,Phase 3
2469,NCT02298192,Phase 3
4037,NCT00039741,Phase 3
4035,NCT00555217,Phase 3
4034,NCT00799617,Phase 3
7960,NCT00075686,Phase 3
7951,NCT00531817,Phase 3
5965,NCT01078909,Phase 3
4027,NCT01890798,Phase 3
2958,NCT03740490,Phase 3
4129,NCT00385697,Phase 3
2948,NCT01713530,Phase 3
7949,NCT00489411,Phase 3
7950,NCT00081250,Phase 3
7642,NCT00676143,Phase 3
8405,NCT03781154,Phase 3
7641,NCT00667810,Phase 3
8408,NCT01324999,Phase 3
2954,NCT03408483,Phase 3
8924,NCT03808675,Phase 3
6908,NCT04589676,Phase 3
2955,NCT03633708,Phase 3
4102,NCT03892889,Phase 3
4096,NCT00000720,Phase 3
4080,NCT03077438,Phase 3
6911,NCT00909857,Phase 3
2960,NCT02307565,Phase 3
8133,NCT01447602,Phase 3
8911,NCT00248612,Phase 3
4088,NCT03702920,Phase 3
1009,NCT00243243,Phase 3
4087,NCT00472303,Phase 3
2478,NCT00135109,Phase 3
4085,NCT00945906,Phase 3
5968,NCT02367521,Phase 3
1016,NCT00978484,Phase 3
2967,NCT00322257,Phase 3
4082,NCT00071266,Phase 3
4029,NCT00101712,Phase 3
4024,NCT00356915,Phase 3
3915,NCT00972283,Phase 3
3932,NCT00250575,Phase 3
3016,NCT00109668,Phase 3
6990,NCT00062972,Phase 3
3959,NCT00005014,Phase 3
3956,NCT00982644,Phase 3
3954,NCT00007631,Phase 3
3952,NCT00102466,Phase 3
1119,NCT00004986,Phase 3
3782,NCT03969329,Phase 3
8835,NCT00624520,Phase 3
1128,NCT01605864,Phase 3
1129,NCT03243305,Phase 3
3936,NCT00039962,Phase 3
7593,NCT01582711,Phase 3
1135,NCT01782014,Phase 3
3966,NCT03344458,Phase 3
3928,NCT00617851,Phase 3
5919,NCT01086475,Phase 3
5447,NCT02194088,Phase 3
3925,NCT04387305,Phase 3
7011,NCT01464307,Phase 3
3038,NCT02191748,Phase 3
3920,NCT00389779,Phase 3
2246,NCT00277654,Phase 3
1147,NCT01538459,Phase 3
1148,NCT02064413,Phase 3
3918,NCT00040027,Phase 3
1150,NCT00232947,Phase 3
1151,NCT00170742,Phase 3
5933,NCT00628498,Phase 3
3967,NCT00032890,Phase 3
1064,NCT00130676,Phase 3
2242,NCT01063179,Phase 3
2464,NCT00071448,Phase 3
4023,NCT00138593,Phase 3
4010,NCT02781727,Phase 3
1074,NCT00208156,Phase 3
1075,NCT00618956,Phase 3
6962,NCT01429077,Phase 3
7962,NCT00016406,Phase 3
1078,NCT01120509,Phase 3
1079,NCT00128479,Phase 3
1807,NCT00333203,Phase 3
1806,NCT00333268,Phase 3
3995,NCT02262806,Phase 3
1083,NCT00799058,Phase 3
3990,NCT03460743,Phase 3
1794,NCT00065130,Phase 3
3989,NCT01953588,Phase 3
2997,NCT00097877,Phase 3
1091,NCT02817841,Phase 3
8425,NCT01495858,Phase 3
5422,NCT03782480,Phase 3
8427,NCT01280591,Phase 3
1799,NCT00995410,Phase 3
7610,NCT02032277,Phase 3
6981,NCT00265447,Phase 3
7608,NCT00263341,Phase 3
3013,NCT01326026,Phase 3
1103,NCT04001803,Phase 3
1104,NCT00000157,Phase 3
5871,NCT03250338,Phase 3
7986,NCT00748098,Phase 3
3778,NCT00485836,Phase 3
7451,NCT03334396,Phase 3
7272,NCT01338701,Phase 3
3474,NCT00050856,Phase 3
8635,NCT00833898,Phase 3
3470,NCT00572039,Phase 3
3469,NCT00324155,Phase 3
1489,NCT00197288,Phase 3
1668,NCT01913353,Phase 3
3460,NCT00465192,Phase 3
7454,NCT03733301,Phase 3
3456,NCT00307398,Phase 3
3453,NCT01045447,Phase 3
7452,NCT03334422,Phase 3
3450,NCT00675584,Phase 3
5770,NCT02484248,Phase 3
9901,NCT03829566,Phase 3
8621,NCT04563520,Phase 3
7285,NCT03227861,Phase 3
1506,NCT01651533,Phase 3
3437,NCT03723655,Phase 3
7292,NCT01529034,Phase 3
1511,NCT03535272,Phase 3
7443,NCT00675714,Phase 3
9968,NCT03785366,Phase 3
8617,NCT03219307,Phase 3
9969,NCT03785288,Phase 3
7312,NCT04590963,Phase 3
5763,NCT00100399,Phase 3
3227,NCT00578877,Phase 3
3476,NCT01831765,Phase 3
5779,NCT00721149,Phase 3
3205,NCT00047515,Phase 3
2383,NCT01376778,Phase 3
2393,NCT02219321,Phase 3
1444,NCT00809445,Phase 3
1445,NCT00271999,Phase 3
8660,NCT00828100,Phase 3
3186,NCT01618162,Phase 3
1448,NCT00509444,Phase 3
3520,NCT03818737,Phase 3
3187,NCT01553318,Phase 3
3517,NCT00982228,Phase 3
3516,NCT00396253,Phase 3
3515,NCT01491607,Phase 3
5594,NCT02600819,Phase 3
3509,NCT00380380,Phase 3
7248,NCT01549899,Phase 3
8651,NCT03229057,Phase 3
8648,NCT01468987,Phase 3
2294,NCT01431742,Phase 3
3501,NCT01230021,Phase 3
1466,NCT00880035,Phase 3
8644,NCT01257802,Phase 3
3197,NCT00180284,Phase 3
3492,NCT01509690,Phase 3
3199,NCT02384460,Phase 3
3201,NCT01570751,Phase 3
3487,NCT01482962,Phase 3
3485,NCT02880540,Phase 3
7267,NCT02938975,Phase 3
3399,NCT01740596,Phase 3
5757,NCT00254176,Phase 3
3229,NCT00395304,Phase 3
3256,NCT01131312,Phase 3
3260,NCT00323570,Phase 3
8584,NCT01481779,Phase 3
9987,NCT03771963,Phase 3
13,NCT00121108,Phase 3
3330,NCT01027611,Phase 3
7414,NCT02374060,Phase 3
8581,NCT00266864,Phase 3
3310,NCT01391858,Phase 3
3309,NCT03399370,Phase 3
7380,NCT03521154,Phase 3
7382,NCT00970944,Phase 3
7385,NCT00048932,Phase 3
8569,NCT02247765,Phase 3
7387,NCT01312922,Phase 3
1599,NCT00116428,Phase 3
1603,NCT02963935,Phase 3
7390,NCT00130208,Phase 3
7391,NCT04094298,Phase 3
1628,NCT00722124,Phase 3
1627,NCT00065988,Phase 3
8549,NCT01721057,Phase 3
7402,NCT00795821,Phase 3
8551,NCT01711359,Phase 3
3282,NCT01253811,Phase 3
8552,NCT01710358,Phase 3
2326,NCT04018417,Phase 3
3277,NCT02263326,Phase 3
7417,NCT01426555,Phase 3
16,NCT00724867,Phase 3
1528,NCT00264758,Phase 3
7355,NCT03386539,Phase 3
1529,NCT03912194,Phase 3
1530,NCT00844532,Phase 3
3391,NCT04070573,Phase 3
7332,NCT02587351,Phase 3
5755,NCT01191788,Phase 3
3386,NCT01392573,Phase 3
3385,NCT02405039,Phase 3
7437,NCT00823212,Phase 3
7333,NCT01902810,Phase 3
5664,NCT01744782,Phase 3
3378,NCT01998802,Phase 3
5748,NCT00000362,Phase 3
2348,NCT00248196,Phase 3
5670,NCT02262832,Phase 3
3375,NCT00464971,Phase 3
3368,NCT00112047,Phase 3
5740,NCT04418518,Phase 3
7431,NCT02706873,Phase 3
3363,NCT00005112,Phase 3
3361,NCT00319332,Phase 3
3358,NCT02460991,Phase 3
8597,NCT00200096,Phase 3
3243,NCT01166386,Phase 3
3351,NCT00394329,Phase 3
1562,NCT02016482,Phase 3
5679,NCT00722761,Phase 3
3349,NCT01620489,Phase 3
2290,NCT00946088,Phase 3
7479,NCT02169882,Phase 3
3539,NCT00150046,Phase 3
3731,NCT01786993,Phase 3
7989,NCT04032106,Phase 3
7514,NCT01572532,Phase 3
3727,NCT00528606,Phase 3
7109,NCT00349622,Phase 3
3719,NCT00528840,Phase 3
3718,NCT00232076,Phase 3
7992,NCT00369785,Phase 3
1315,NCT01954251,Phase 3
3714,NCT00294723,Phase 3
3712,NCT01272232,Phase 3
8727,NCT00085124,Phase 3
5855,NCT03293524,Phase 3
5533,NCT00223080,Phase 3
3710,NCT00312845,Phase 3
100,NCT00328380,Phase 3
1326,NCT00232011,Phase 3
1327,NCT00231998,Phase 3
