,NCTId,DesignPrimaryPurpose
2804,NCT01048632,Treatment
7854,NCT03014414,Treatment
2819,NCT03418649,Treatment
2820,NCT00104182,Treatment
7853,NCT02006719,Treatment
2822,NCT00097084,Treatment
2823,NCT00095082,Treatment
2824,NCT00627185,Treatment
2825,NCT01002118,Treatment
2826,NCT01511198,Treatment
2827,NCT00791895,Treatment
7852,NCT01313208,Treatment
7851,NCT00956631,Treatment
2830,NCT01484717,Treatment
2831,NCT02776917,Treatment
6683,NCT02987543,Treatment
2833,NCT02970968,Treatment
2834,NCT02305381,Treatment
7833,NCT01775995,Treatment
5113,NCT01119521,Treatment
7803,NCT03250364,Treatment
7812,NCT01102972,Treatment
7809,NCT01495923,Treatment
7810,NCT03136484,Treatment
2921,NCT03405129,Treatment
2920,NCT00169754,Treatment
7811,NCT04243265,Treatment
6691,NCT03880487,Treatment
7813,NCT02216123,Treatment
2908,NCT01153490,Treatment
2915,NCT01680341,Treatment
7814,NCT00002090,Treatment
2913,NCT01625923,Treatment
7815,NCT02849080,Treatment
2911,NCT03438227,Treatment
2910,NCT02120560,Treatment
7808,NCT01412541,Treatment
7806,NCT00706394,Treatment
2926,NCT03987581,Treatment
2927,NCT03600103,Treatment
2928,NCT00106366,Treatment
2929,NCT01127490,Treatment
2930,NCT03399500,Treatment
2931,NCT00256217,Treatment
2932,NCT00502788,Treatment
6693,NCT03833674,Treatment
2934,NCT01047709,Treatment
2935,NCT00283751,Treatment
2936,NCT01529138,Treatment
2937,NCT01128374,Treatment
6694,NCT03529487,Treatment
2939,NCT04011748,Treatment
2940,NCT02834624,Treatment
7816,NCT02431208,Treatment
7817,NCT03376633,Treatment
2874,NCT00311519,Treatment
7827,NCT02607865,Treatment
2888,NCT03405792,Treatment
2887,NCT00097279,Treatment
2886,NCT04216342,Treatment
6688,NCT04212650,Treatment
2884,NCT03721835,Treatment
2883,NCT02817009,Treatment
7828,NCT01374906,Treatment
2906,NCT02988245,Treatment
2880,NCT01795586,Treatment
7830,NCT00415168,Treatment
2878,NCT01676116,Treatment
7831,NCT01619930,Treatment
7832,NCT01504308,Treatment
2875,NCT01625546,Treatment
2889,NCT00981266,Treatment
6689,NCT04210986,Treatment
2891,NCT00000408,Treatment
7826,NCT00841126,Treatment
2893,NCT01288534,Treatment
7824,NCT01299272,Treatment
2895,NCT03845283,Treatment
7823,NCT01085136,Treatment
2897,NCT04434664,Treatment
7822,NCT00094302,Treatment
7821,NCT00857324,Treatment
6690,NCT04205656,Treatment
7820,NCT01352637,Treatment
7819,NCT00742859,Treatment
2903,NCT00826839,Treatment
5109,NCT02839785,Treatment
2905,NCT02002182,Treatment
5053,NCT00790478,Treatment
3086,NCT02153814,Treatment
6718,NCT01158001,Treatment
3271,NCT00796705,Treatment
3277,NCT02263326,Treatment
3276,NCT02118012,Treatment
3275,NCT01390233,Treatment
6774,NCT03342482,Treatment
3273,NCT03233724,Treatment
3272,NCT00469079,Treatment
4971,NCT02694978,Treatment
7638,NCT01169428,Treatment
4972,NCT03305393,Treatment
3268,NCT00837161,Treatment
3267,NCT00911820,Treatment
7635,NCT02096653,Treatment
7636,NCT01207687,Treatment
3264,NCT00883350,Treatment
7633,NCT03580538,Treatment
4969,NCT00433173,Treatment
7631,NCT00622401,Treatment
3281,NCT00411762,Treatment
3282,NCT01253811,Treatment
6775,NCT03040687,Treatment
3284,NCT01310179,Treatment
3285,NCT00375960,Treatment
4966,NCT02091323,Treatment
7629,NCT03193398,Treatment
4965,NCT04424823,Treatment
4964,NCT00672204,Treatment
7624,NCT02756689,Treatment
6777,NCT02377089,Treatment
4962,NCT03168698,Treatment
7622,NCT02202031,Treatment
7621,NCT02114229,Treatment
7637,NCT00073853,Treatment
3261,NCT01864460,Treatment
7619,NCT01339689,Treatment
7654,NCT02268292,Treatment
7649,NCT01390220,Treatment
4980,NCT02093091,Treatment
3240,NCT01099384,Treatment
7651,NCT01802723,Treatment
7652,NCT03672461,Treatment
7653,NCT04113135,Treatment
3235,NCT00906984,Treatment
3260,NCT00323570,Treatment
6766,NCT04329065,Treatment
6765,NCT04387227,Treatment
7657,NCT00978497,Treatment
4983,NCT02720484,Treatment
7658,NCT02512445,Treatment
3229,NCT00395304,Treatment
3243,NCT01166386,Treatment
7648,NCT00790790,Treatment
7647,NCT00785577,Treatment
6767,NCT04255498,Treatment
3247,NCT01943682,Treatment
6768,NCT03996876,Treatment
7646,NCT03643978,Treatment
7645,NCT00744991,Treatment
6769,NCT03678766,Treatment
7643,NCT00386100,Treatment
3253,NCT03671746,Treatment
3254,NCT01826448,Treatment
7642,NCT00676143,Treatment
6770,NCT03564795,Treatment
7641,NCT00667810,Treatment
4974,NCT02747732,Treatment
4973,NCT02800642,Treatment
7620,NCT02990793,Treatment
7618,NCT03005418,Treatment
3088,NCT03308721,Treatment
7597,NCT01984801,Treatment
4948,NCT03426891,Treatment
3346,NCT04608188,Treatment
7595,NCT04545424,Treatment
3344,NCT01323114,Treatment
4949,NCT01479582,Treatment
7596,NCT01661283,Treatment
3340,NCT00988169,Treatment
7603,NCT01287104,Treatment
6781,NCT02115646,Treatment
3338,NCT02290106,Treatment
7599,NCT04320576,Treatment
7600,NCT04271150,Treatment
7601,NCT02420353,Treatment
3334,NCT01789814,Treatment
7591,NCT03844061,Treatment
3349,NCT01620489,Treatment
3350,NCT01096771,Treatment
3351,NCT00394329,Treatment
3353,NCT04022434,Treatment
3354,NCT00918996,Treatment
4946,NCT04040504,Treatment
7588,NCT01673178,Treatment
3358,NCT02460991,Treatment
7587,NCT02755636,Treatment
6782,NCT01614444,Treatment
3361,NCT00319332,Treatment
3362,NCT00459992,Treatment
3363,NCT00005112,Treatment
7586,NCT03077919,Treatment
3365,NCT00319839,Treatment
7585,NCT04035382,Treatment
7602,NCT04011176,Treatment
7604,NCT03357224,Treatment
3298,NCT00813605,Treatment
4960,NCT02941601,Treatment
7610,NCT02032277,Treatment
7611,NCT04599296,Treatment
6780,NCT02204098,Treatment
3309,NCT03399370,Treatment
4959,NCT01584596,Treatment
7613,NCT03464409,Treatment
7614,NCT01851629,Treatment
3330,NCT01027611,Treatment
3304,NCT00556842,Treatment
3303,NCT03196297,Treatment
7615,NCT01360736,Treatment
7616,NCT04075513,Treatment
6778,NCT02334384,Treatment
7617,NCT00140140,Treatment
4956,NCT01762995,Treatment
3314,NCT01856907,Treatment
4955,NCT03230669,Treatment
3316,NCT04312165,Treatment
4954,NCT02299115,Treatment
4953,NCT00817947,Treatment
3319,NCT03173950,Treatment
3320,NCT00585689,Treatment
3321,NCT04046055,Treatment
3322,NCT03543735,Treatment
4952,NCT03030599,Treatment
7606,NCT04049305,Treatment
7605,NCT04037852,Treatment
3326,NCT03520387,Treatment
3327,NCT00763698,Treatment
3328,NCT01714102,Treatment
3329,NCT00114621,Treatment
7659,NCT01999868,Treatment
4984,NCT03693313,Treatment
4985,NCT03785678,Treatment
7712,NCT01910493,Treatment
5032,NCT02056535,Treatment
3136,NCT02922985,Treatment
6734,NCT03211819,Treatment
5034,NCT03372018,Treatment
6733,NCT00234806,Treatment
3132,NCT02148445,Treatment
3130,NCT00001729,Treatment
3122,NCT01450462,Treatment
3129,NCT00380016,Treatment
7713,NCT01569191,Treatment
6732,NCT02046109,Treatment
6731,NCT01182883,Treatment
3125,NCT00713427,Treatment
7720,NCT04244799,Treatment
6736,NCT02205385,Treatment
5030,NCT04313296,Treatment
5029,NCT02801747,Treatment
3141,NCT00585013,Treatment
5028,NCT00167648,Treatment
5027,NCT03779191,Treatment
3144,NCT01581463,Treatment
3145,NCT00308620,Treatment
5026,NCT02233517,Treatment
7703,NCT02272959,Treatment
3148,NCT00943501,Treatment
3149,NCT00399880,Treatment
3150,NCT01673789,Treatment
5025,NCT04026399,Treatment
3152,NCT03249584,Treatment
5024,NCT00430196,Treatment
7700,NCT04055181,Treatment
5038,NCT02036502,Treatment
6730,NCT01043718,Treatment
6762,NCT04601532,Treatment
7733,NCT03413709,Treatment
7729,NCT04248088,Treatment
7730,NCT03541941,Treatment
7731,NCT00901979,Treatment
7732,NCT03158558,Treatment
5047,NCT01500083,Treatment
3097,NCT00247377,Treatment
7734,NCT02847962,Treatment
3120,NCT02124044,Treatment
6721,NCT00640445,Treatment
3093,NCT01295879,Treatment
3092,NCT00006332,Treatment
7738,NCT00707785,Treatment
6719,NCT01087736,Treatment
3089,NCT00775515,Treatment
5046,NCT00617825,Treatment
3104,NCT03778060,Treatment
6724,NCT00410189,Treatment
3106,NCT00287521,Treatment
7727,NCT01672840,Treatment
6725,NCT00402896,Treatment
3109,NCT04371536,Treatment
3110,NCT00001909,Treatment
3111,NCT00937963,Treatment
5043,NCT00901459,Treatment
7725,NCT00138047,Treatment
6728,NCT00310791,Treatment
3115,NCT02630563,Treatment
5041,NCT03914365,Treatment
3117,NCT02241824,Treatment
3118,NCT01785615,Treatment
5040,NCT03102580,Treatment
3155,NCT04476251,Treatment
3156,NCT00328744,Treatment
5021,NCT01633567,Treatment
3201,NCT01570751,Treatment
3207,NCT00065455,Treatment
4998,NCT01874951,Treatment
3205,NCT00047515,Treatment
6752,NCT03762291,Treatment
3203,NCT01968785,Treatment
3202,NCT03040466,Treatment
5001,NCT00489151,Treatment
5019,NCT00324675,Treatment
3199,NCT02384460,Treatment
3198,NCT01005732,Treatment
3197,NCT00180284,Treatment
7680,NCT03000374,Treatment
6745,NCT01233609,Treatment
3194,NCT01379287,Treatment
3208,NCT03992378,Treatment
3209,NCT01719367,Treatment
3210,NCT01428713,Treatment
4994,NCT04043689,Treatment
7668,NCT04178538,Treatment
4993,NCT02154555,Treatment
4991,NCT01174173,Treatment
3215,NCT02261974,Treatment
6756,NCT03029507,Treatment
7667,NCT01212848,Treatment
6757,NCT00074633,Treatment
7664,NCT03393637,Treatment
7662,NCT03755401,Treatment
3221,NCT03044821,Treatment
3222,NCT01775865,Treatment
3223,NCT01440803,Treatment
4987,NCT00659087,Treatment
5005,NCT00237367,Treatment
7684,NCT03502096,Treatment
3191,NCT02133872,Treatment
3173,NCT00995488,Treatment
3159,NCT00251290,Treatment
3160,NCT00746109,Treatment
3161,NCT04037033,Treatment
5018,NCT01221506,Treatment
3163,NCT03452579,Treatment
3164,NCT01661686,Treatment
3165,NCT02144051,Treatment
3166,NCT03003728,Treatment
3167,NCT00323414,Treatment
7698,NCT00399529,Treatment
3169,NCT00711490,Treatment
5016,NCT01466998,Treatment
3171,NCT00654615,Treatment
3172,NCT02176213,Treatment
3174,NCT01309828,Treatment
3190,NCT04327518,Treatment
6740,NCT03680456,Treatment
3176,NCT00087997,Treatment
7697,NCT04016909,Treatment
6742,NCT03415412,Treatment
7695,NCT00208572,Treatment
3180,NCT04287868,Treatment
7693,NCT03406013,Treatment
3182,NCT03462966,Treatment
7692,NCT00162435,Treatment
6744,NCT02991690,Treatment
3186,NCT01618162,Treatment
5006,NCT02383303,Treatment
7686,NCT01067287,Treatment
3189,NCT01884740,Treatment
2803,NCT01570309,Treatment
7861,NCT03862963,Treatment
8133,NCT01447602,Treatment
2423,NCT00461162,Treatment
2429,NCT01689025,Treatment
2428,NCT03737370,Treatment
8034,NCT01048619,Treatment
5257,NCT01972464,Treatment
6607,NCT00290186,Treatment
5260,NCT02796352,Treatment
6604,NCT00984698,Treatment
2414,NCT00436865,Treatment
8037,NCT02077907,Treatment
2420,NCT00123578,Treatment
2419,NCT00102817,Treatment
2418,NCT02435771,Treatment
5262,NCT00361010,Treatment
5263,NCT04555239,Treatment
8033,NCT03625570,Treatment
6608,NCT00202449,Treatment
8032,NCT04080128,Treatment
8031,NCT02255474,Treatment
8030,NCT02593474,Treatment
8027,NCT01515072,Treatment
6610,NCT01543997,Treatment
5253,NCT00010504,Treatment
5252,NCT04015778,Treatment
2439,NCT02517996,Treatment
5251,NCT01996384,Treatment
5250,NCT02075151,Treatment
5249,NCT00473317,Treatment
8024,NCT03343106,Treatment
2445,NCT01862536,Treatment
2446,NCT00115830,Treatment
5247,NCT04421755,Treatment
5264,NCT01072019,Treatment
6602,NCT01480804,Treatment
2449,NCT00274417,Treatment
8054,NCT01147614,Treatment
2393,NCT02219321,Treatment
8051,NCT02251743,Treatment
5272,NCT02343263,Treatment
2390,NCT00680706,Treatment
8052,NCT02864160,Treatment
8053,NCT02144649,Treatment
8057,NCT01530321,Treatment
2412,NCT02277314,Treatment
2385,NCT02714413,Treatment
2384,NCT00224913,Treatment
5273,NCT00130377,Treatment
6594,NCT01326481,Treatment
2381,NCT00012883,Treatment
5275,NCT04073667,Treatment
2394,NCT02828111,Treatment
8049,NCT01408147,Treatment
5271,NCT01609348,Treatment
8046,NCT01898299,Treatment
8045,NCT00061906,Treatment
2399,NCT02840097,Treatment
8043,NCT01337232,Treatment
6597,NCT04531579,Treatment
2402,NCT02141178,Treatment
2404,NCT00675506,Treatment
5268,NCT03780413,Treatment
2406,NCT00000455,Treatment
6600,NCT02383472,Treatment
2408,NCT01770184,Treatment
2409,NCT01364805,Treatment
8040,NCT02994654,Treatment
2411,NCT00682669,Treatment
2448,NCT00734344,Treatment
2450,NCT03664765,Treatment
5276,NCT00124358,Treatment
8003,NCT00483028,Treatment
6622,NCT04261738,Treatment
6621,NCT04026802,Treatment
2499,NCT04063670,Treatment
7999,NCT01177137,Treatment
8001,NCT02949128,Treatment
2496,NCT04521595,Treatment
8004,NCT01437852,Treatment
2486,NCT00203996,Treatment
2493,NCT02413125,Treatment
2492,NCT01751152,Treatment
2491,NCT03702283,Treatment
8005,NCT01431573,Treatment
2489,NCT01514279,Treatment
6620,NCT00342355,Treatment
2502,NCT02404896,Treatment
7997,NCT02132650,Treatment
5227,NCT01968694,Treatment
7996,NCT01058395,Treatment
2506,NCT01349088,Treatment
2507,NCT03120585,Treatment
2508,NCT02129608,Treatment
2509,NCT01329406,Treatment
5226,NCT01252251,Treatment
7995,NCT01686087,Treatment
2512,NCT04574167,Treatment
5225,NCT00203710,Treatment
2514,NCT00636454,Treatment
2515,NCT01910454,Treatment
7993,NCT00121186,Treatment
5224,NCT04047251,Treatment
2518,NCT04129567,Treatment
5231,NCT03018106,Treatment
5232,NCT00187928,Treatment
8022,NCT02160847,Treatment
2460,NCT04016584,Treatment
2466,NCT00186862,Treatment
8012,NCT02912078,Treatment
2464,NCT00071448,Treatment
2463,NCT03742258,Treatment
5242,NCT02540512,Treatment
6614,NCT02693444,Treatment
8015,NCT00004048,Treatment
2484,NCT01985763,Treatment
8017,NCT01695291,Treatment
8018,NCT04075877,Treatment
6613,NCT03598816,Treatment
8020,NCT02162927,Treatment
5245,NCT02534376,Treatment
8021,NCT04387734,Treatment
2467,NCT03426137,Treatment
6615,NCT04130984,Treatment
2469,NCT02298192,Treatment
2470,NCT00018876,Treatment
2471,NCT00590161,Treatment
5238,NCT04267978,Treatment
6617,NCT04044326,Treatment
2474,NCT01599923,Treatment
2475,NCT01871896,Treatment
8010,NCT03736382,Treatment
2477,NCT03702270,Treatment
2478,NCT00135109,Treatment
2479,NCT02941809,Treatment
2480,NCT00907959,Treatment
5233,NCT01520298,Treatment
8009,NCT04026295,Treatment
2483,NCT03337113,Treatment
2379,NCT03623633,Treatment
8061,NCT02272998,Treatment
7862,NCT03828201,Treatment
2281,NCT01878786,Treatment
6558,NCT00424294,Treatment
2286,NCT03640286,Treatment
5312,NCT02723825,Treatment
8111,NCT02759172,Treatment
2283,NCT01327105,Treatment
8113,NCT00679666,Treatment
8114,NCT01683227,Treatment
5318,NCT00341250,Treatment
6557,NCT02349945,Treatment
2278,NCT04587115,Treatment
8116,NCT02424526,Treatment
5315,NCT00588692,Treatment
5316,NCT02429934,Treatment
5317,NCT01308814,Treatment
2288,NCT00930995,Treatment
6561,NCT04200352,Treatment
2290,NCT00946088,Treatment
2291,NCT00779142,Treatment
6562,NCT04562779,Treatment
5307,NCT04570293,Treatment
2294,NCT01431742,Treatment
2295,NCT00111176,Treatment
2296,NCT02747433,Treatment
8105,NCT02088177,Treatment
2298,NCT00048555,Treatment
8103,NCT01537068,Treatment
8098,NCT03582566,Treatment
6566,NCT04306549,Treatment
8094,NCT02825771,Treatment
6569,NCT00525837,Treatment
2304,NCT02539576,Treatment
8118,NCT03637296,Treatment
8121,NCT04007913,Treatment
2306,NCT02070029,Treatment
8131,NCT00481182,Treatment
2251,NCT00587990,Treatment
5322,NCT03152409,Treatment
8129,NCT00537043,Treatment
2248,NCT03242655,Treatment
8130,NCT00148031,Treatment
2246,NCT00277654,Treatment
2244,NCT00607620,Treatment
6553,NCT04392557,Treatment
2243,NCT04310527,Treatment
2242,NCT01063179,Treatment
5323,NCT02132715,Treatment
8132,NCT03599193,Treatment
2239,NCT01109602,Treatment
2238,NCT01050907,Treatment
2252,NCT02063178,Treatment
8128,NCT01460940,Treatment
7028,NCT00010309,Treatment
2255,NCT02217345,Treatment
8126,NCT01017523,Treatment
8124,NCT02213029,Treatment
2258,NCT01671397,Treatment
2259,NCT01857245,Treatment
5320,NCT00016653,Treatment
2262,NCT01654315,Treatment
2263,NCT00547716,Treatment
8122,NCT00004409,Treatment
2265,NCT02692417,Treatment
2266,NCT00586300,Treatment
2267,NCT02950337,Treatment
2268,NCT02054624,Treatment
2269,NCT03416738,Treatment
2305,NCT04030117,Treatment
6571,NCT02049151,Treatment
8062,NCT01959217,Treatment
6588,NCT04134273,Treatment
2357,NCT03678870,Treatment
2356,NCT01173276,Treatment
2355,NCT01854229,Treatment
5282,NCT01444378,Treatment
8077,NCT00124943,Treatment
2352,NCT00856830,Treatment
5284,NCT02429375,Treatment
8080,NCT01713972,Treatment
5285,NCT03207711,Treatment
2348,NCT00248196,Treatment
6585,NCT01403233,Treatment
2346,NCT03340051,Treatment
6584,NCT01175291,Treatment
2344,NCT04323267,Treatment
2358,NCT04481373,Treatment
6591,NCT03798184,Treatment
8075,NCT03874793,Treatment
8073,NCT02184494,Treatment
8072,NCT03015896,Treatment
8071,NCT03665675,Treatment
2364,NCT03020875,Treatment
8068,NCT04083690,Treatment
2366,NCT04033432,Treatment
6592,NCT02848469,Treatment
2368,NCT02221726,Treatment
5279,NCT02624674,Treatment
2370,NCT00271011,Treatment
5278,NCT03806257,Treatment
8065,NCT00599599,Treatment
8063,NCT00604214,Treatment
2375,NCT01652573,Treatment
5289,NCT04171921,Treatment
5290,NCT00237952,Treatment
6572,NCT00813943,Treatment
8090,NCT02036905,Treatment
8087,NCT02571478,Treatment
6576,NCT00689221,Treatment
2320,NCT04502290,Treatment
6575,NCT02083679,Treatment
2318,NCT03112993,Treatment
2317,NCT04450316,Treatment
2315,NCT02781844,Treatment
5291,NCT03050814,Treatment
6574,NCT00777296,Treatment
2313,NCT00127686,Treatment
8092,NCT03481049,Treatment
2311,NCT04357587,Treatment
2310,NCT00976443,Treatment
2309,NCT01753115,Treatment
6577,NCT03828019,Treatment
2324,NCT02509377,Treatment
2325,NCT00127257,Treatment
5296,NCT00298155,Treatment
8086,NCT00936390,Treatment
8085,NCT01052220,Treatment
2329,NCT00548639,Treatment
5295,NCT03615469,Treatment
2331,NCT00420550,Treatment
8082,NCT00397735,Treatment
5294,NCT03808740,Treatment
6583,NCT03905642,Treatment
2335,NCT02968381,Treatment
2336,NCT03984838,Treatment
2337,NCT04374552,Treatment
2338,NCT03240068,Treatment
2339,NCT02365116,Treatment
2519,NCT03194854,Treatment
7991,NCT00872989,Treatment
2521,NCT04163614,Treatment
7899,NCT00272779,Treatment
2711,NCT02110381,Treatment
7896,NCT03124277,Treatment
7897,NCT02415595,Treatment
2708,NCT01502124,Treatment
6661,NCT00107991,Treatment
2706,NCT01624194,Treatment
6660,NCT02403232,Treatment
2696,NCT03307356,Treatment
2703,NCT03826290,Treatment
2702,NCT01217840,Treatment
2701,NCT01564563,Treatment
2700,NCT00880256,Treatment
2699,NCT00706576,Treatment
5159,NCT03710356,Treatment
2712,NCT02484950,Treatment
2713,NCT00634842,Treatment
2714,NCT01569607,Treatment
7895,NCT00002306,Treatment
5156,NCT01324102,Treatment
2717,NCT03127358,Treatment
7894,NCT00002074,Treatment
5155,NCT04168203,Treatment
7893,NCT00002305,Treatment
2721,NCT00753922,Treatment
5154,NCT02166294,Treatment
2723,NCT03822182,Treatment
6663,NCT04380038,Treatment
2725,NCT00812097,Treatment
2726,NCT03577990,Treatment
2727,NCT03029702,Treatment
2728,NCT03557775,Treatment
2697,NCT01863719,Treatment
2695,NCT01008280,Treatment
2730,NCT01013870,Treatment
5167,NCT03808545,Treatment
2676,NCT00835289,Treatment
2675,NCT00451308,Treatment
2674,NCT02080429,Treatment
2673,NCT00808210,Treatment
2672,NCT03294538,Treatment
7914,NCT00223509,Treatment
5169,NCT01856205,Treatment
2694,NCT01386528,Treatment
7918,NCT01256294,Treatment
2667,NCT02135302,Treatment
7922,NCT00072046,Treatment
2665,NCT03199313,Treatment
7923,NCT02348645,Treatment
2663,NCT01924273,Treatment
5166,NCT03555370,Treatment
2678,NCT00868309,Treatment
2679,NCT01521117,Treatment
2680,NCT00927862,Treatment
5165,NCT04536350,Treatment
2682,NCT01285362,Treatment
2683,NCT03004443,Treatment
2684,NCT01681862,Treatment
7912,NCT00537654,Treatment
5164,NCT01781936,Treatment
2687,NCT01300078,Treatment
2688,NCT04105166,Treatment
2689,NCT01322997,Treatment
5162,NCT04500626,Treatment
7907,NCT03455127,Treatment
2692,NCT02443142,Treatment
7904,NCT04119375,Treatment
7888,NCT03135366,Treatment
2731,NCT00440596,Treatment
2522,NCT00646204,Treatment
2775,NCT02161913,Treatment
2782,NCT01158508,Treatment
2781,NCT02925481,Treatment
2780,NCT03076216,Treatment
6672,NCT00411671,Treatment
5139,NCT00230568,Treatment
6671,NCT04466423,Treatment
2774,NCT00612040,Treatment
2766,NCT00769262,Treatment
2773,NCT01723059,Treatment
5144,NCT03041077,Treatment
2771,NCT01193777,Treatment
2770,NCT02034513,Treatment
5145,NCT01263418,Treatment
2768,NCT00658476,Treatment
5137,NCT02698891,Treatment
2784,NCT04187092,Treatment
2785,NCT02746874,Treatment
5136,NCT01286038,Treatment
7868,NCT00337467,Treatment
