,NCTId,ArmGroupLabel,,,,,,NCTId,ArmGroupLabel
1089,NCT02882100,aTIV,,,,,,NCT03867409,"['Concordant virtual human', 'Dis-concordant virtual human', 'Concordant text', 'Dis-concordant text']"
1026,NCT04004260,Weekly check-in control group,,,,,,NCT04004260,"['Experimental group', 'Weekly check-in control group']"
26,NCT04004260,Weekly check-in control group,,,,,,NCT04205877,Registry Group
154,NCT01112917,VenaTech Convertible Vena Cava Filter,,,,,,NCT01262079,"['Group 1: 6-15 years old', 'Group 2: 16-25 years old', 'Group 3: 26-35 years old', 'Group 4: 36-45 years old', 'Group 5: 46-55 years old', 'Group 6: 56-65 years old', 'Group 7: 66-75 years old', 'Group 8: 76-85 years old', 'Group 9: > 85 years old']"
1154,NCT01112917,VenaTech Convertible Vena Cava Filter,,,,,,NCT00646438,"['1', '2']"
0,NCT04371159,Velieve U.S.,,,,,,NCT00341588,"['Cases', 'Controls']"
1000,NCT04371159,Velieve U.S.,,,,,,NCT04562636,"['Environment-focused Meatless Monday messages', 'Health-focused Meatless Monday messages', 'Neutral Message']"
97,NCT02069925,Usual Detection,,,,,,NCT03924505,"['Implementation Manual and External Facilitation', 'Implementation Manual - only']"
1097,NCT02069925,Usual Detection,,,,,,NCT02334462,"['Group 1- Mali', 'Group 1-U.S', 'Group 2- Mali', 'Group 2-U.S', 'Group 3- Mali', 'Group 3- U.S.', 'Group 4- Mali']"
80,NCT02971709,Unshaded Control,,,,,,NCT03311295,ARTO System
1080,NCT02971709,Unshaded Control,,,,,,NCT03242278,"['NVAF patients receiving 20 mg rivaroxaban', 'NVAF patients receiving 15 mg rivaroxaban']"
1073,NCT00601835,United States Td Vaccine Group,,,,,,NCT03683134,"['Mediterranean diet group', 'American Heart Association group']"
73,NCT00601835,United States Td Vaccine Group,,,,,,NCT04047316,0
132,NCT03488264,United States,,,,,,NCT03952364,0
1132,NCT03488264,United States,,,,,,NCT04021030,Cognitive Behavioral Therapy (CBT)
1081,NCT03801928,Ulcerative Colitis,,,,,,NCT02959827,Iodinated contrast agents
81,NCT03801928,Ulcerative Colitis,,,,,,NCT02395536,"['In office Outside walls of hospital', 'Traditional Hospital Setting']"
43,NCT02787538,US-ANSWER-2 decision aid,,,,,,NCT03628235,"['Early stage HDGECs', 'Middle stage HDGECs', 'Late stage HDGECs', 'Companions of early stage HDGECs', 'Companions of middle stage HDGECs', 'Companions of late stage HDGECs']"
1043,NCT02787538,US-ANSWER-2 decision aid,,,,,,NCT02787538,"['US-ANSWER-2 decision aid', 'Control group (Online medication guide)']"
1015,NCT02911155,US Nuclear Medicine Technologist,,,,,,NCT01290393,"['Exposed vaccinated cohort', 'Non-exposed vaccinated cohort']"
15,NCT02911155,US Nuclear Medicine Technologist,,,,,,NCT04263311,"['Community Health Workers (CHW) treatment group', 'Control group']"
1086,NCT02766647,U.S.-approved Neupogen® followed by Filgrastim Hospira (US),,,,,,NCT00875641,"['HRV cohort', 'Concurrent Control cohort', 'Recent Historical Control cohort']"
1079,NCT02766634,U.S.-approved Neupogen® followed by Filgrastim Hospira (US),,,,,,NCT03199846,"['advanced melanoma patients', 'Ipi monotherapy', 'Ipi + nivo combination therapy', 'Dabrafenib + trametinib combination therapy', 'Pembro monotherapy', 'Nivo monotherapy']"
86,NCT02766647,U.S.-approved Neupogen® followed by Filgrastim Hospira (US),,,,,,NCT04587245,Physicians
79,NCT02766634,U.S.-approved Neupogen® followed by Filgrastim Hospira (US),,,,,,NCT02773979,"['Group 1: PfSPZ 51200 sporozoites/Placebo', 'Group 2: PfSPZ 102400 sporozoites/Placebo', 'Group 3: PfSPZ 102400 sporozoites']"
1144,NCT04423770,U.S. dentists,,,,,,NCT03274726,0
144,NCT04423770,U.S. dentists,,,,,,NCT01283828,0
1058,NCT02987335,Type 2 Diabetes Mellitus Subjects,,,,,,NCT04191824,"['Immediate Return of Results', 'Delayed Return of Results']"
58,NCT02987335,Type 2 Diabetes Mellitus Subjects,,,,,,NCT03197688,Notapplicable
1058,NCT02987335,Type 1 Diabetes Mellitus Subjects,,,,,,NCT02813577,Lutonix® 035 Drug Coated Balloon PTA Catheter
58,NCT02987335,Type 1 Diabetes Mellitus Subjects,,,,,,NCT00666380,"['10 ug of FMP010 antigen in 0.5 mL AS01B adjuvant', '50 ug of FMP010 antigen in 0.5 mL AS01B adjuvant']"
1136,NCT01568424,Treatment Group,,,,,,NCT01287247,"['Cervical Dystonia', 'Blepharospasm']"
136,NCT01568424,Treatment Group,,,,,,NCT04163341,"['CETA protocol', 'Enhanced Usual Care']"
1041,NCT02395536,Traditional Hospital Setting,,,,,,NCT02987335,"['Lean Diabetes Subjects', 'Type 2 Diabetes Mellitus Subjects', 'Type 1 Diabetes Mellitus Subjects', 'Nondiabetic Subjects']"
41,NCT02395536,Traditional Hospital Setting,,,,,,NCT02867722,Daylight PDT
1072,NCT00800267,Timolol - 0.5%,,,,,,NCT03276637,Healthy Active-Duty Airmen Cohort
72,NCT00800267,Timolol - 0.5%,,,,,,NCT03192891,0
89,NCT02882100,TIV,,,,,,NCT03373045,Cohort of US adults with severe asthma
1089,NCT02882100,TIV,,,,,,NCT04229212,"['No drainage', 'Drainage']"
1141,NCT01339546,Study population,,,,,,NCT02848781,"['ICD with Ablation', 'ICD Only', 'Ablation Only (Registry)']"
141,NCT01339546,Study population,,,,,,NCT00385047,"['Group A', 'Group B']"
7,NCT02019732,Study Group,,,,,,NCT02993120,"['Cohort 1', 'Cohort 2', 'Cohort 3']"
1007,NCT02019732,Study Group,,,,,,NCT03045120,"['dasatinib cohort', 'imatinib cohort', 'nilotinib cohort', 'bosutinib cohort']"
1122,NCT03688126,Structured Lifestyle Intervention,,,,,,NCT01154296,"['Rapid HIV Testing w/ Counseling (Group 1)', 'Rapid HIV Testing & Information Only (Group 2)']"
122,NCT03688126,Structured Lifestyle Intervention,,,,,,NCT02857764,"['Sodium-glucose Co-transporter 2 Inhibitors (SGLT2i) New Users', 'Canagliflozin New Users', 'Dapagliflozin New Users', 'Empagliflozin New Users', 'First-time Non-SGLT2i AHA New Users']"
147,NCT01940679,Stored pound cake,,,,,,NCT00412568,1
1147,NCT01940679,Stored pound cake,,,,,,NCT03353480,"['Reference', 'Experimental']"
147,NCT01940679,Stored meat stick,,,,,,NCT00800267,"['Fixed combination of latanoprost 0.005% and timolol 0.5%', 'latanoprost 0.005%', 'Timolol - 0.5%']"
1147,NCT01940679,Stored meat stick,,,,,,NCT00601835,"['Canadian Td Vaccine Group', 'United States Td Vaccine Group']"
1106,NCT01629537,Stellate Ganglion Block (SGB),,,,,,NCT01087905,"['2 Weeks of Nicotine Patch Only, No CMAC', '2 Weeks of Nicotine Patch Only plus CMAC', '2 Wks Nicotine Patch+Nic Gum, No CMAC', '2 Wks Nicotine Patch+Nic Gum plus CMAC', '6 Weeks of Nicotine Patch Only, No CMAC', '6 Weeks of Nicotine Patch Only plus CMAC', '6 Wks Nicotine Patch+Nic Gum, No CMAC', '6 Wks Nicotine Patch+Nic Gum plus CMAC']"
106,NCT01629537,Stellate Ganglion Block (SGB),,,,,,NCT02616198,"['EquiaFil G-coat', 'EquiaFil Fuji Varnish', 'Riva SC G-coat', 'Riva SC Fuji Varnish']"
1009,NCT00948233,Standard Care,,,,,,NCT00007540,0
9,NCT00948233,Standard Care,,,,,,NCT02163525,"['Ablation vs Embolization', 'Ablation vs Myomectomy']"
85,NCT00306007,Spanish prenatal,,,,,,NCT03310112,"['4-week MBAT', '2-week MBAT', 'No training control (NTC)']"
1085,NCT00306007,Spanish prenatal,,,,,,NCT02766634,"['Filgrastim Hospira (US) followed by U.S.-approved Neupogen®', 'U.S.-approved Neupogen® followed by Filgrastim Hospira (US)']"
85,NCT00306007,Spanish abortion clinic,,,,,,NCT02971709,"['Shade Sail', 'Unshaded Control']"
1085,NCT00306007,Spanish abortion clinic,,,,,,NCT03801928,"['Ulcerative Colitis', ""Crohn's Disease""]"
91,NCT02109757,Software intervention and education,,,,,,NCT01641029,pyelonephritis
1091,NCT02109757,Software intervention and education,,,,,,NCT02128542,Sofosbuvir+RBV 12 weeks
1083,NCT02128542,Sofosbuvir+RBV 12 weeks,,,,,,NCT00573976,0
83,NCT02128542,Sofosbuvir+RBV 12 weeks,,,,,,NCT00306007,"['English prenatal', 'Spanish prenatal', 'English abortion clinic', 'Spanish abortion clinic']"
69,NCT02857764,Sodium-glucose Co-transporter 2 Inhibitors (SGLT2i) New Users,,,,,,NCT02766647,"['Filgrastim Hospira (US) followed by U.S.-approved Neupogen®', 'U.S.-approved Neupogen® followed by Filgrastim Hospira (US)']"
1069,NCT02857764,Sodium-glucose Co-transporter 2 Inhibitors (SGLT2i) New Users,,,,,,NCT04460898,Breast Cancer Patients
80,NCT02971709,Shade Sail,,,,,,NCT00413517,0
1080,NCT02971709,Shade Sail,,,,,,NCT02882100,"['aTIV', 'TIV']"
1122,NCT03688126,Self-Guided Lifestyle Intervention,,,,,,NCT00533975,0
122,NCT03688126,Self-Guided Lifestyle Intervention,,,,,,NCT02109757,"['Software intervention and education', 'Education only']"
101,NCT04552535,Second line (2L) chemotherapy,,,,,,NCT00959933,"['1', '2']"
1101,NCT04552535,Second line (2L) chemotherapy,,,,,,NCT00960479,"['1', '2']"
101,NCT04552535,Second line (2L) afatinib,,,,,,NCT03266497,0
1101,NCT04552535,Second line (2L) afatinib,,,,,,NCT02207569,CoreValve Evolut R TAVR system
137,NCT02406599,SOC + Device,,,,,,NCT02569632,Open Label: MenB-FHbp
1137,NCT02406599,SOC + Device,,,,,,NCT02069925,"['Early Detection (ED)', 'Usual Detection']"
1137,NCT02406599,SOC + Additional Inspection,,,,,,NCT03433131,0
137,NCT02406599,SOC + Additional Inspection,,,,,,NCT02746809,CoreValve Evolut 34R TAVR system
1108,NCT01965561,SJT,,,,,,NCT00328380,0
108,NCT01965561,SJT,,,,,,NCT04552535,"['Second line (2L) afatinib', 'Second line (2L) chemotherapy']"
75,NCT02616198,Riva SC G-coat,,,,,,NCT03293875,"['HIV testing promoted by members of the social network', 'Peer network behavioral intervention']"
1075,NCT02616198,Riva SC G-coat,,,,,,NCT01235260,"['001', '002']"
75,NCT02616198,Riva SC Fuji Varnish,,,,,,NCT03390660,birth cohorts
1075,NCT02616198,Riva SC Fuji Varnish,,,,,,NCT00837499,"['Mexican Women from Mexico', 'Mexican-American Women in U.S.', 'African-American Women in U.S.']"
128,NCT03631472,RheOx Treatment,,,,,,NCT01629537,"['Placebo', 'Stellate Ganglion Block (SGB)']"
1128,NCT03631472,RheOx Treatment,,,,,,NCT00351741,"['High Frequency', 'Conventional']"
1027,NCT04205877,Registry Group,,,,,,NCT01965561,"['CRoC', 'AAJT', 'JETT', 'SJT']"
27,NCT04205877,Registry Group,,,,,,NCT01927835,"['Group 1A: Treatment', 'Group 1B: Treatment', 'Group 2A: Treatment', 'Group 2B: Treatment', 'Group 3A: Placebo', 'Group 3B: Placebo']"
1071,NCT03353480,Reference,,,,,,NCT01704235,Primary health care providers
71,NCT03353480,Reference,,,,,,NCT01306266,"['rizatriptan', 'Placebo']"
1046,NCT00875641,Recent Historical Control cohort,,,,,,NCT00796315,Doxylamine Succinate (USP)
46,NCT00875641,Recent Historical Control cohort,,,,,,NCT00005463,0
68,NCT01154296,Rapid HIV Testing w/ Counseling (Group 1),,,,,,NCT03382418,"['Group 1: gp145 C.6980 (high dose)', 'Group 2: gp145 C.6980 (low dose)', 'Group 3: Placebo']"
1068,NCT01154296,Rapid HIV Testing w/ Counseling (Group 1),,,,,,NCT00054743,0
68,NCT01154296,Rapid HIV Testing & Information Only (Group 2),,,,,,NCT00730964,Phase 4
1068,NCT01154296,Rapid HIV Testing & Information Only (Group 2),,,,,,NCT02886689,"['1', '2']"
1138,NCT03965195,RIV4,,,,,,NCT00005455,0
138,NCT03965195,RIV4,,,,,,NCT01150695,"['Group A (DVC-LVS)', 'Group B (USAMRIID-LVS)']"
153,NCT03198793,QGC001,,,,,,NCT00245076,0
1153,NCT03198793,QGC001,,,,,,NCT00935623,"['Cohort 1', 'Cohort 2']"
123,NCT02053506,Probiotics (BB-12),,,,,,NCT03688126,"['Self-Guided Lifestyle Intervention', 'Structured Lifestyle Intervention']"
1123,NCT02053506,Probiotics (BB-12),,,,,,NCT02053506,"['Immune-enhancing nutritional beverage', 'Probiotics (BB-12)']"
150,NCT01028300,ProDisc L,,,,,,NCT03933215,Cladribine Tablets
1150,NCT01028300,ProDisc L,,,,,,NCT03933202,Cladribine Tablets
110,NCT01704235,Primary health care providers,,,,,,NCT00005171,0
1110,NCT01704235,Primary health care providers,,,,,,NCT01256164,"['Fibrocaps + Gelfoam', 'Gelfoam']"
146,NCT02856646,Population with Condition,,,,,,NCT03631472,RheOx Treatment
1146,NCT02856646,Population with Condition,,,,,,NCT03699709,"['Intervention Arm', 'Control Arm']"
134,NCT02829073,Placebo device,,,,,,NCT00237263,0
1134,NCT02829073,Placebo device,,,,,,NCT02939131,"['COMB-R', 'Enhanced Standard of Care']"
1106,NCT01629537,Placebo,,,,,,NCT03488264,"['United States', 'Jamaica']"
111,NCT01306266,Placebo,,,,,,NCT01873482,Movement with rhythm
1111,NCT01306266,Placebo,,,,,,NCT02829073,"['Oasis™ device', 'Placebo device']"
106,NCT01629537,Placebo,,,,,,NCT01369030,Deplin®
1048,NCT04587245,Physicians,,,,,,NCT01568424,Treatment Group
48,NCT04587245,Physicians,,,,,,NCT02406599,"['SOC + Device', 'SOC + Additional Inspection']"
1116,NCT00730964,Phase 4,,,,,,NCT03965195,"['RIV4', 'IV4']"
116,NCT00730964,Phase 4,,,,,,NCT01368549,Metanx®
17,NCT03973905,Pertussis Case Group,,,,,,NCT01370954,CerefolinNAC®
1017,NCT03973905,Pertussis Case Group,,,,,,NCT01339546,Study population
47,NCT03199846,Pembro monotherapy,,,,,,NCT02252159,"['Cohort A', 'Cohort B']"
1047,NCT03199846,Pembro monotherapy,,,,,,NCT04072289,"['Low cylinder (treatment)', 'Low cylinder (no treatment)']"
1102,NCT03293875,Peer network behavioral intervention,,,,,,NCT04423770,U.S. dentists
102,NCT03293875,Peer network behavioral intervention,,,,,,NCT01358552,Néevo®/NéevoDHA®
19,NCT02429284,Patients newly diagnosed with CTEPH,,,,,,NCT02856646,Population with Condition
1019,NCT02429284,Patients newly diagnosed with CTEPH,,,,,,NCT01940679,"['Fresh meat stick', 'Stored meat stick', 'Fresh pound cake', 'Stored pound cake']"
1096,NCT02569632,Open Label: MenB-FHbp,,,,,,NCT02951598,"['MCI (Amyloid Positive)', 'Mild AD Dementia (Amyloid Positive)', 'MCI (Amyloid Negative)', 'Mild Dementia (Amyloid Negative)']"
96,NCT02569632,Open Label: MenB-FHbp,,,,,,NCT02988934,0
1134,NCT02829073,Oasis™ device,,,,,,NCT01028300,ProDisc L
134,NCT02829073,Oasis™ device,,,,,,NCT01034865,"['HCC PTS', 'LD']"
1145,NCT01358552,Néevo®/NéevoDHA®,,,,,,NCT02352532,"['Low Back Pain - Dry Needling', 'Low Back Pain - Sham', 'Asymmptomatic - Dry Needling']"
145,NCT01358552,Néevo®/NéevoDHA®,,,,,,NCT03198793,QGC001
1053,NCT03197688,Notapplicable,,,,,,NCT01112917,VenaTech Convertible Vena Cava Filter
53,NCT03197688,Notapplicable,,,,,,NCT01764269,"['inactivated influenza vaccine (IIV)', 'Live attenuated influenza vaccine (LAIV)']"
1058,NCT02987335,Nondiabetic Subjects,,,,,,NCT03346603,0
58,NCT02987335,Nondiabetic Subjects,,,,,,NCT04281290,Experimental group
44,NCT01290393,Non-exposed vaccinated cohort,,,,,,NCT04601103,0
1044,NCT01290393,Non-exposed vaccinated cohort,,,,,,NCT04600856,0
1078,NCT03310112,No training control (NTC),,,,,,NCT04599907,0
78,NCT03310112,No training control (NTC),,,,,,NCT04593875,0
1002,NCT02801266,No intervention,,,,,,NCT04589507,0
2,NCT02801266,No intervention,,,,,,NCT04586205,0
63,NCT04229212,No drainage,,,,,,NCT04585646,0
1063,NCT04229212,No drainage,,,,,,NCT04584788,0
1047,NCT03199846,Nivo monotherapy,,,,,,NCT04584099,0
47,NCT03199846,Nivo monotherapy,,,,,,NCT04577898,0
31,NCT04562636,Neutral Message,,,,,,NCT04577456,0
1031,NCT04562636,Neutral Message,,,,,,NCT04569253,0
35,NCT03242278,NVAF patients receiving 20 mg rivaroxaban,,,,,,NCT04567186,0
1035,NCT03242278,NVAF patients receiving 20 mg rivaroxaban,,,,,,NCT04562532,0
35,NCT03242278,NVAF patients receiving 15 mg rivaroxaban,,,,,,NCT04558970,0
1035,NCT03242278,NVAF patients receiving 15 mg rivaroxaban,,,,,,NCT04558632,0
1133,NCT01873482,Movement with rhythm,,,,,,NCT04558047,0
133,NCT01873482,Movement with rhythm,,,,,,NCT04557917,0
148,NCT02951598,Mild Dementia (Amyloid Negative),,,,,,NCT04557891,0
1148,NCT02951598,Mild Dementia (Amyloid Negative),,,,,,NCT04556968,0
148,NCT02951598,Mild AD Dementia (Amyloid Positive),,,,,,NCT04556474,0
1148,NCT02951598,Mild AD Dementia (Amyloid Positive),,,,,,NCT04547920,0
1042,NCT03628235,Middle stage HDGECs,,,,,,NCT04547712,0
42,NCT03628235,Middle stage HDGECs,,,,,,NCT04544670,0
1105,NCT00837499,Mexican-American Women in U.S.,,,,,,NCT04542525,0
105,NCT00837499,Mexican-American Women in U.S.,,,,,,NCT04540913,0
1105,NCT00837499,Mexican Women from Mexico,,,,,,NCT04537013,0
105,NCT00837499,Mexican Women from Mexico,,,,,,NCT04536168,0
1139,NCT01368549,Metanx®,,,,,,NCT04534764,0
139,NCT01368549,Metanx®,,,,,,NCT04532099,0
1036,NCT03683134,Mediterranean diet group,,,,,,NCT04529616,0
36,NCT03683134,Mediterranean diet group,,,,,,NCT04529109,0
8,NCT03972358,Medical menstrual regulation,,,,,,NCT04524247,0
1008,NCT03972358,Medical menstrual regulation,,,,,,NCT04523545,0
1,NCT04474496,Marshallese in the U.S.,,,,,,NCT04513574,0
1001,NCT04474496,Marshallese in the U.S.,,,,,,NCT04510857,0
1148,NCT02951598,MCI (Amyloid Positive),,,,,,NCT04508335,0
148,NCT02951598,MCI (Amyloid Positive),,,,,,NCT04502758,0
148,NCT02951598,MCI (Amyloid Negative),,,,,,NCT04501146,0
1148,NCT02951598,MCI (Amyloid Negative),,,,,,NCT04500821,0
54,NCT02813577,Lutonix® 035 Drug Coated Balloon PTA Catheter,,,,,,NCT04499521,0
1054,NCT02813577,Lutonix® 035 Drug Coated Balloon PTA Catheter,,,,,,NCT04496752,0
143,NCT04072289,Low cylinder (treatment),,,,,,NCT04493021,0
1143,NCT04072289,Low cylinder (treatment),,,,,,NCT04488666,0
1143,NCT04072289,Low cylinder (no treatment),,,,,,NCT04483791,0
143,NCT04072289,Low cylinder (no treatment),,,,,,NCT04476784,0
152,NCT02352532,Low Back Pain - Sham,,,,,,NCT04474054,0
1152,NCT02352532,Low Back Pain - Sham,,,,,,NCT04469218,0
152,NCT02352532,Low Back Pain - Dry Needling,,,,,,NCT04466930,0
1152,NCT02352532,Low Back Pain - Dry Needling,,,,,,NCT04455997,0
1155,NCT01764269,Live attenuated influenza vaccine (LAIV),,,,,,NCT04455854,0
155,NCT01764269,Live attenuated influenza vaccine (LAIV),,,,,,NCT04450108,0
1058,NCT02987335,Lean Diabetes Subjects,,,,,,NCT04437615,0
58,NCT02987335,Lean Diabetes Subjects,,,,,,NCT04422990,0
42,NCT03628235,Late stage HDGECs,,,,,,NCT04419714,0
1042,NCT03628235,Late stage HDGECs,,,,,,NCT04409158,0
1151,NCT01034865,LD,,,,,,NCT04403542,0
151,NCT01034865,LD,,,,,,NCT04400643,0
132,NCT03488264,Jamaica,,,,,,NCT04394546,0
1132,NCT03488264,Jamaica,,,,,,NCT04388787,0
1108,NCT01965561,JETT,,,,,,NCT04388722,0
108,NCT01965561,JETT,,,,,,NCT04386785,0
1047,NCT03199846,Ipi monotherapy,,,,,,NCT04378764,0
47,NCT03199846,Ipi monotherapy,,,,,,NCT04377438,0
1047,NCT03199846,Ipi + nivo combination therapy,,,,,,NCT04338971,0
47,NCT03199846,Ipi + nivo combination therapy,,,,,,NCT04335981,0
40,NCT02959827,Iodinated contrast agents,,,,,,NCT04332640,0
1040,NCT02959827,Iodinated contrast agents,,,,,,NCT04330001,0
129,NCT03699709,Intervention Arm,,,,,,NCT04324593,0
1129,NCT03699709,Intervention Arm,,,,,,NCT04320823,0
9,NCT00948233,Intervention,,,,,,NCT04319887,0
2,NCT02801266,Intervention,,,,,,NCT04318132,0
1012,NCT02663219,Intervention,,,,,,NCT04314947,0
1009,NCT00948233,Intervention,,,,,,NCT04314700,0
1002,NCT02801266,Intervention,,,,,,NCT04313725,0
12,NCT02663219,Intervention,,,,,,NCT04310566,0
1003,NCT01599390,Influenza Group,,,,,,NCT04307446,0
3,NCT01599390,Influenza Group,,,,,,NCT04306744,0
1014,NCT01861210,Individudal Counseling and Testing,,,,,,NCT04305119,0
14,NCT01861210,Individudal Counseling and Testing,,,,,,NCT04303273,0
1041,NCT02395536,In office Outside walls of hospital,,,,,,NCT04299386,0
41,NCT02395536,In office Outside walls of hospital,,,,,,NCT04299009,0
1032,NCT03924505,Implementation Manual and External Facilitation,,,,,,NCT04298359,0
32,NCT03924505,Implementation Manual and External Facilitation,,,,,,NCT04296773,0
1032,NCT03924505,Implementation Manual - only,,,,,,NCT04295499,0
32,NCT03924505,Implementation Manual - only,,,,,,NCT04287036,0
123,NCT02053506,Immune-enhancing nutritional beverage,,,,,,NCT04285541,0
1123,NCT02053506,Immune-enhancing nutritional beverage,,,,,,NCT04281940,0
52,NCT04191824,Immediate Return of Results,,,,,,NCT04279522,0
1052,NCT04191824,Immediate Return of Results,,,,,,NCT04277455,0
138,NCT03965195,IV4,,,,,,NCT04263532,0
1138,NCT03965195,IV4,,,,,,NCT04252183,0
64,NCT02848781,ICD with Ablation,,,,,,NCT04247581,0
1064,NCT02848781,ICD with Ablation,,,,,,NCT04244357,0
64,NCT02848781,ICD Only,,,,,,NCT04243369,0
1064,NCT02848781,ICD Only,,,,,,NCT04243239,0
1107,NCT00351741,High Frequency,,,,,,NCT04239885,0
107,NCT00351741,High Frequency,,,,,,NCT04237207,0
60,NCT03276637,Healthy Active-Duty Airmen Cohort,,,,,,NCT04236869,0
1060,NCT03276637,Healthy Active-Duty Airmen Cohort,,,,,,NCT04230486,0
1031,NCT04562636,Health-focused Meatless Monday messages,,,,,,NCT04224155,0
31,NCT04562636,Health-focused Meatless Monday messages,,,,,,NCT04223609,0
46,NCT00875641,HRV cohort,,,,,,NCT04220060,0
1046,NCT00875641,HRV cohort,,,,,,NCT04219891,0
1102,NCT03293875,HIV testing promoted by members of the social network,,,,,,NCT04211441,0
102,NCT03293875,HIV testing promoted by members of the social network,,,,,,NCT04210622,0
151,NCT01034865,HCC PTS,,,,,,NCT04207749,0
1151,NCT01034865,HCC PTS,,,,,,NCT04206839,0
119,NCT01150695,Group B (USAMRIID-LVS),,,,,,NCT04206384,0
1119,NCT01150695,Group B (USAMRIID-LVS),,,,,,NCT04203745,0
1065,NCT00385047,Group B,,,,,,NCT04202419,0
65,NCT00385047,Group B,,,,,,NCT04201340,0
1119,NCT01150695,Group A (DVC-LVS),,,,,,NCT04200898,0
119,NCT01150695,Group A (DVC-LVS),,,,,,NCT04196907,0
1065,NCT00385047,Group A,,,,,,NCT04195581,0
65,NCT00385047,Group A,,,,,,NCT04194307,0
1028,NCT01262079,Group 9: > 85 years old,,,,,,NCT04192630,0
28,NCT01262079,Group 9: > 85 years old,,,,,,NCT04189913,0
28,NCT01262079,Group 8: 76-85 years old,,,,,,NCT04189081,0
1028,NCT01262079,Group 8: 76-85 years old,,,,,,NCT04186806,0
28,NCT01262079,Group 7: 66-75 years old,,,,,,NCT04184973,0
1028,NCT01262079,Group 7: 66-75 years old,,,,,,NCT04178720,0
1028,NCT01262079,Group 6: 56-65 years old,,,,,,NCT04177771,0
28,NCT01262079,Group 6: 56-65 years old,,,,,,NCT04177212,0
28,NCT01262079,Group 5: 46-55 years old,,,,,,NCT04176965,0
1028,NCT01262079,Group 5: 46-55 years old,,,,,,NCT04175340,0
1028,NCT01262079,Group 4: 36-45 years old,,,,,,NCT04166032,0
28,NCT01262079,Group 4: 36-45 years old,,,,,,NCT04162652,0
33,NCT02334462,Group 4- Mali,,,,,,NCT04158466,0
1033,NCT02334462,Group 4- Mali,,,,,,NCT04153292,0
1109,NCT01927835,Group 3B: Placebo,,,,,,NCT04152642,0
109,NCT01927835,Group 3B: Placebo,,,,,,NCT04151992,0
1109,NCT01927835,Group 3A: Placebo,,,,,,NCT04151290,0
109,NCT01927835,Group 3A: Placebo,,,,,,NCT04141007,0
114,NCT03382418,Group 3: Placebo,,,,,,NCT04136158,0
1114,NCT03382418,Group 3: Placebo,,,,,,NCT04134286,0
49,NCT02773979,Group 3: PfSPZ 102400 sporozoites,,,,,,NCT04130490,0
1049,NCT02773979,Group 3: PfSPZ 102400 sporozoites,,,,,,NCT04127188,0
1028,NCT01262079,Group 3: 26-35 years old,,,,,,NCT04121754,0
28,NCT01262079,Group 3: 26-35 years old,,,,,,NCT04119609,0
1033,NCT02334462,Group 3- U.S.,,,,,,NCT04116879,0
33,NCT02334462,Group 3- U.S.,,,,,,NCT04116866,0
1033,NCT02334462,Group 3- Mali,,,,,,NCT04112784,0
