NCTId,Attribute,Value
NCT04236869,0-50,1
NCT04230486,0-50,1
NCT04224155,0-50,1
NCT04223609,0-50,1
NCT04220060,0-50,1
NCT04219891,0-50,1
NCT04211441,0-50,1
NCT04210622,0-50,1
NCT04207749,0-50,1
NCT04206839,0-50,1
NCT04206384,0-50,1
NCT04203745,0-50,1
NCT04202419,0-50,1
NCT04201340,0-50,1
NCT04200898,0-50,1
NCT04196907,0-50,1
NCT04195581,0-50,1
NCT04194307,0-50,1
NCT04192630,0-50,1
NCT04189913,0-50,1
NCT04189081,0-50,1
NCT04186806,0-50,1
NCT04184973,0-50,1
NCT04178720,0-50,1
NCT04177771,0-50,1
NCT04177212,0-50,1
NCT04176965,0-50,1
NCT04175340,0-50,1
NCT04166032,0-50,1
NCT04162652,0-50,1
NCT04158466,0-50,1
NCT04153292,0-50,1
NCT04152642,0-50,1
NCT04151992,0-50,1
NCT04151290,0-50,1
NCT04141007,0-50,1
NCT04136158,0-50,1
NCT04134286,0-50,1
NCT04130490,0-50,1
NCT04127188,0-50,1
NCT04121754,0-50,1
NCT04119609,0-50,1
NCT04116879,0-50,1
NCT04116866,0-50,1
NCT04112784,0-50,1
NCT04112628,0-50,1
NCT04112134,0-50,1
NCT04106934,0-50,1
NCT04096495,0-50,1
NCT04087395,0-50,1
NCT04085328,0-50,1
NCT04083742,0-50,1
NCT04082078,0-50,1
NCT04081727,0-50,1
NCT04079842,0-50,1
NCT04079816,0-50,1
NCT04078490,0-50,1
NCT04073823,0-50,1
NCT04069585,0-50,1
NCT04068818,0-50,1
NCT04065659,0-50,1
NCT04064606,0-50,1
NCT04060524,0-50,1
NCT04057105,0-50,1
NCT04056494,0-50,1
NCT04055519,0-50,1
NCT04055324,0-50,1
NCT04054401,0-50,1
NCT04046627,0-50,1
NCT04043234,0-50,1
NCT04040933,0-50,1
NCT04036747,0-50,1
NCT04035161,0-50,1
NCT04033315,0-50,1
NCT04032977,0-50,1
NCT04031989,0-50,1
NCT04031976,0-50,1
NCT04030702,0-50,1
NCT04011826,0-50,1
NCT04008836,0-50,1
NCT04005586,0-50,1
NCT04003831,0-50,1
NCT03999944,0-50,1
NCT03997357,0-50,1
NCT03996187,0-50,1
NCT03995355,0-50,1
NCT03992768,0-50,1
NCT03991468,0-50,1
NCT03972995,0-50,1
NCT03971721,0-50,1
NCT03969875,0-50,1
NCT03967184,0-50,1
NCT03964831,0-50,1
NCT03953274,0-50,1
NCT03950895,0-50,1
NCT03949335,0-50,1
NCT03944629,0-50,1
NCT03942016,0-50,1
NCT03941912,0-50,1
NCT03934463,0-50,1
NCT03934125,0-50,1
NCT03931213,0-50,1
NCT03925545,0-50,1
NCT03920280,0-50,1
NCT03918928,0-50,1
NCT03912584,0-50,1
NCT03911700,0-50,1
NCT03898778,0-50,1
NCT03897751,0-50,1
NCT03897712,0-50,1
NCT03895034,0-50,1
NCT03888352,0-50,1
NCT03872609,0-50,1
NCT03872466,0-50,1
NCT03871179,0-50,1
NCT03864848,0-50,1
NCT03864081,0-50,1
NCT03862300,0-50,1
NCT03858140,0-50,1
NCT03851510,0-50,1
NCT03839199,0-50,1
NCT03835026,0-50,1
NCT03812679,0-50,1
NCT03805074,0-50,1
NCT03799549,0-50,1
NCT03790046,0-50,1
NCT03789669,0-50,1
NCT03788551,0-50,1
NCT03782116,0-50,1
NCT03779984,0-50,1
NCT03771521,0-50,1
NCT03771352,0-50,1
NCT03764254,0-50,1
NCT03748823,0-50,1
NCT03748771,0-50,1
NCT03748316,0-50,1
NCT03748264,0-50,1
NCT03736798,0-50,1
NCT03730480,0-50,1
NCT03729024,0-50,1
NCT03728309,0-50,1
NCT03716492,0-50,1
NCT03713281,0-50,1
NCT03708393,0-50,1
NCT03706430,0-50,1
NCT03704636,0-50,1
NCT03700372,0-50,1
NCT03700047,0-50,1
NCT03696316,0-50,1
NCT03692741,0-50,1
NCT03685136,0-50,1
NCT03682432,0-50,1
NCT03681886,0-50,1
NCT03681496,0-50,1
NCT03678103,0-50,1
NCT03677388,0-50,1
NCT03670277,0-50,1
NCT03663010,0-50,1
NCT03642431,0-50,1
NCT03641937,0-50,1
NCT03631550,0-50,1
NCT03628898,0-50,1
NCT03617822,0-50,1
NCT03614130,0-50,1
NCT03613363,0-50,1
NCT03611101,0-50,1
NCT03604900,0-50,1
NCT03604562,0-50,1
NCT03604432,0-50,1
NCT03601182,0-50,1
NCT03600194,0-50,1
NCT03599271,0-50,1
NCT03589911,0-50,1
NCT03586167,0-50,1
NCT03578302,0-50,1
NCT03574259,0-50,1
NCT03564366,0-50,1
NCT03560141,0-50,1
NCT03550807,0-50,1
NCT03540576,0-50,1
NCT03538561,0-50,1
NCT03525704,0-50,1
NCT03523208,0-50,1
NCT03508778,0-50,1
NCT03502200,0-50,1
NCT03500341,0-50,1
NCT03497910,0-50,1
NCT03488849,0-50,1
NCT03488238,0-50,1
NCT03482297,0-50,1
NCT03477370,0-50,1
NCT03467204,0-50,1
NCT03465514,0-50,1
NCT03462576,0-50,1
NCT03451786,0-50,1
NCT03442842,0-50,1
NCT03441971,0-50,1
NCT03441880,0-50,1
NCT03441477,0-50,1
NCT03439189,0-50,1
NCT03435224,0-50,1
NCT03435211,0-50,1
NCT03431883,0-50,1
NCT03423251,0-50,1
NCT03421145,0-50,1
NCT03418545,0-50,1
NCT03408444,0-50,1
NCT03388138,0-50,1
NCT03384381,0-50,1
NCT03372434,0-50,1
NCT03372343,0-50,1
NCT03371160,0-50,1
NCT03366194,0-50,1
NCT03351192,0-50,1
NCT03345121,0-50,1
NCT03345017,0-50,1
NCT03339388,0-50,1
NCT03336944,0-50,1
NCT03329794,0-50,1
NCT03323515,0-50,1
NCT03315117,0-50,1
NCT03299933,0-50,1
NCT03275532,0-50,1
NCT03272308,0-50,1
NCT03269097,0-50,1
NCT03268356,0-50,1
NCT03268265,0-50,1
NCT03267134,0-50,1
NCT03257410,0-50,1
NCT03251079,0-50,1
NCT03246503,0-50,1
NCT03242148,0-50,1
NCT03239574,0-50,1
NCT03236519,0-50,1
NCT03235791,0-50,1
NCT03233945,0-50,1
NCT03230877,0-50,1
NCT03230747,0-50,1
NCT03219567,0-50,1
NCT03198988,0-50,1
NCT03190564,0-50,1
NCT03182660,0-50,1
NCT03172949,0-50,1
NCT03150407,0-50,1
NCT03148613,0-50,1
NCT03147820,0-50,1
NCT03147482,0-50,1
NCT03147417,0-50,1
NCT03143127,0-50,1
NCT03142594,0-50,1
NCT03142581,0-50,1
NCT03138369,0-50,1
NCT03138343,0-50,1
NCT03134989,0-50,1
NCT03132363,0-50,1
NCT03132350,0-50,1
NCT03129152,0-50,1
NCT03128840,0-50,1
NCT03128632,0-50,1
NCT03127566,0-50,1
NCT03127540,0-50,1
NCT03127527,0-50,1
NCT03127501,0-50,1
NCT03127488,0-50,1
NCT03125135,0-50,1
NCT03125122,0-50,1
NCT03125109,0-50,1
NCT03125096,0-50,1
NCT03125044,0-50,1
NCT03124992,0-50,1
NCT03124953,0-50,1
NCT03124940,0-50,1
NCT03124888,0-50,1
NCT03124849,0-50,1
NCT03124810,0-50,1
NCT03124745,0-50,1
NCT03124732,0-50,1
NCT03124719,0-50,1
NCT03124706,0-50,1
NCT03124264,0-50,1
NCT03124251,0-50,1
NCT03123380,0-50,1
NCT03123341,0-50,1
NCT03122379,0-50,1
NCT03120702,0-50,1
NCT03100760,0-50,1
NCT03098602,0-50,1
NCT03073148,0-50,1
NCT03072186,0-50,1
NCT03066063,0-50,1
NCT03038074,0-50,1
NCT03035318,0-50,1
NCT03034902,0-50,1
NCT03021707,0-50,1
NCT03021473,0-50,1
NCT03019107,0-50,1
NCT03017742,0-50,1
NCT03003767,0-50,1
NCT02995421,0-50,1
NCT02986789,0-50,1
NCT02972892,0-50,1
NCT02970799,0-50,1
NCT02966210,0-50,1
NCT02957071,0-50,1
NCT02956928,0-50,1
NCT02948751,0-50,1
NCT02938637,0-50,1
NCT02922621,0-50,1
NCT02919566,0-50,1
NCT02918942,0-50,1
NCT02916823,0-50,1
NCT02913560,0-50,1
NCT02911376,0-50,1
NCT02910674,0-50,1
NCT02907203,0-50,1
NCT02904382,0-50,1
NCT02888626,0-50,1
NCT02872844,0-50,1
NCT02870959,0-50,1
NCT02870881,0-50,1
NCT02863796,0-50,1
NCT02863432,0-50,1
NCT02862080,0-50,1
NCT02858089,0-50,1
NCT02856490,0-50,1
NCT02849847,0-50,1
NCT02842970,0-50,1
NCT02841397,0-50,1
NCT02833571,0-50,1
NCT02811328,0-50,1
NCT02810080,0-50,1
NCT02805933,0-50,1
NCT02805777,0-50,1
NCT02800057,0-50,1
NCT02799342,0-50,1
NCT02799329,0-50,1
NCT02795689,0-50,1
NCT02787343,0-50,1
NCT02784431,0-50,1
NCT02771119,0-50,1
NCT02764580,0-50,1
NCT02761759,0-50,1
NCT02756260,0-50,1
NCT02746289,0-50,1
NCT02746120,0-50,1
NCT02719444,0-50,1
NCT02716155,0-50,1
NCT02712931,0-50,1
NCT02711254,0-50,1
NCT02699021,0-50,1
NCT02698787,0-50,1
NCT02698397,0-50,1
NCT02697604,0-50,1
NCT02686450,0-50,1
NCT02684110,0-50,1
NCT02680964,0-50,1
NCT02680860,0-50,1
NCT02662049,0-50,1
NCT02638883,0-50,1
NCT02634996,0-50,1
NCT02634554,0-50,1
NCT02634125,0-50,1
NCT02631213,0-50,1
NCT02626624,0-50,1
NCT02624739,0-50,1
NCT02622919,0-50,1
NCT02599519,0-50,1
NCT02597296,0-50,1
NCT02596464,0-50,1
NCT02579486,0-50,1
NCT02576210,0-50,1
NCT02561052,0-50,1
NCT02553395,0-50,1
NCT02548429,0-50,1
NCT02543814,0-50,1
NCT02540577,0-50,1
NCT02540564,0-50,1
NCT02535234,0-50,1
NCT02525783,0-50,1
NCT02517645,0-50,1
NCT02506400,0-50,1
NCT02495116,0-50,1
NCT02480829,0-50,1
NCT02474784,0-50,1
NCT02474771,0-50,1
NCT02474758,0-50,1
NCT02458378,0-50,1
NCT02455063,0-50,1
NCT02441634,0-50,1
NCT02436005,0-50,1
NCT02430441,0-50,1
NCT02405871,0-50,1
NCT02403167,0-50,1
NCT02396914,0-50,1
NCT02388425,0-50,1
NCT02383082,0-50,1
NCT02380716,0-50,1
NCT02380014,0-50,1
NCT02365545,0-50,1
NCT02365467,0-50,1
NCT02364375,0-50,1
NCT02353377,0-50,1
NCT02343068,0-50,1
NCT02340832,0-50,1
NCT02327598,0-50,1
NCT02325609,0-50,1
NCT02322840,0-50,1
NCT02312141,0-50,1
NCT02300974,0-50,1
NCT02289534,0-50,1
NCT02284321,0-50,1
NCT02283125,0-50,1
NCT02280577,0-50,1
NCT02275624,0-50,1
NCT02272114,0-50,1
NCT02271087,0-50,1
NCT02268227,0-50,1
NCT02255539,0-50,1
NCT02239263,0-50,1
NCT02231034,0-50,1
NCT02223663,0-50,1
NCT02218450,0-50,1
NCT02195362,0-50,1
NCT02195128,0-50,1
NCT02191800,0-50,1
NCT02187458,0-50,1
NCT02167880,0-50,1
NCT02166073,0-50,1
NCT02142465,0-50,1
NCT02142374,0-50,1
NCT02142023,0-50,1
NCT02141334,0-50,1
NCT02134236,0-50,1
NCT02124538,0-50,1
NCT02108275,0-50,1
NCT02089646,0-50,1
NCT02086812,0-50,1
NCT02085174,0-50,1
NCT02082847,0-50,1
NCT02070601,0-50,1
NCT02036385,0-50,1
NCT02020447,0-50,1
NCT02006251,0-50,1
NCT02004249,0-50,1
NCT02003105,0-50,1
NCT01989390,0-50,1
NCT01989377,0-50,1
NCT01988727,0-50,1
NCT01988025,0-50,1
NCT01984151,0-50,1
NCT01973621,0-50,1
NCT01966211,0-50,1
NCT01957982,0-50,1
NCT01951131,0-50,1
NCT01950767,0-50,1
NCT01940458,0-50,1
NCT01940211,0-50,1
NCT01937000,0-50,1
NCT01936987,0-50,1
NCT01916083,0-50,1
NCT01906736,0-50,1
NCT01905241,0-50,1
NCT01896141,0-50,1
NCT01894698,0-50,1
NCT01883557,0-50,1
NCT01882309,0-50,1
NCT01877369,0-50,1
NCT01874925,0-50,1
NCT01867008,0-50,1
NCT01859975,0-50,1
NCT01854879,0-50,1
NCT01847846,0-50,1
NCT01835769,0-50,1
NCT01835366,0-50,1
NCT01827488,0-50,1
NCT01820741,0-50,1
NCT01801995,0-50,1
NCT01801241,0-50,1
NCT01795807,0-50,1
NCT01795118,0-50,1
NCT01792869,0-50,1
NCT01790867,0-50,1
NCT01787981,0-50,1
NCT01777880,0-50,1
NCT01773941,0-50,1
NCT01773265,0-50,1
NCT01747265,0-50,1
NCT01738230,0-50,1
NCT01738165,0-50,1
NCT01733264,0-50,1
NCT01733251,0-50,1
NCT01724541,0-50,1
NCT01721122,0-50,1
NCT01715454,0-50,1
NCT01700764,0-50,1
NCT01697813,0-50,1
NCT01697774,0-50,1
NCT01674400,0-50,1
NCT01670006,0-50,1
NCT01662479,0-50,1
NCT01660113,0-50,1
NCT01658189,0-50,1
NCT01652846,0-50,1
NCT01643200,0-50,1
NCT01640795,0-50,1
NCT01630707,0-50,1
NCT01629836,0-50,1
NCT01627405,0-50,1
NCT01614925,0-50,1
NCT01613742,0-50,1
NCT01610505,0-50,1
NCT01610349,0-50,1
NCT01607606,0-50,1
NCT01604967,0-50,1
NCT01597271,0-50,1
NCT01591369,0-50,1
NCT01582386,0-50,1
NCT01575210,0-50,1
NCT01564589,0-50,1
NCT01560156,0-50,1
NCT01558609,0-50,1
NCT01556750,0-50,1
NCT01546831,0-50,1
NCT01546584,0-50,1
NCT01533831,0-50,1
NCT01533103,0-50,1
NCT01532752,0-50,1
NCT01532440,0-50,1
NCT01524263,0-50,1
NCT01515618,0-50,1
NCT01513512,0-50,1
NCT01499030,0-50,1
NCT01494376,0-50,1
NCT01480570,0-50,1
NCT01476826,0-50,1
NCT01473134,0-50,1
NCT01470079,0-50,1
NCT01464580,0-50,1
NCT01463618,0-50,1
NCT01462955,0-50,1
NCT01450540,0-50,1
NCT01443299,0-50,1
NCT01443286,0-50,1
NCT01442389,0-50,1
NCT01436669,0-50,1
NCT01436461,0-50,1
NCT01414491,0-50,1
NCT01414270,0-50,1
NCT01412112,0-50,1
NCT01408017,0-50,1
NCT01403584,0-50,1
NCT01392261,0-50,1
NCT01379794,0-50,1
NCT01374243,0-50,1
NCT01370785,0-50,1
NCT01367171,0-50,1
NCT01365689,0-50,1
NCT01358682,0-50,1
NCT01336868,0-50,1
NCT01313351,0-50,1
NCT01313195,0-50,1
NCT01311726,0-50,1
NCT01307709,0-50,1
NCT01297751,0-50,1
NCT01286792,0-50,1
NCT01258400,0-50,1
NCT01246115,0-50,1
NCT01240733,0-50,1
NCT01239576,0-50,1
NCT01234480,0-50,1
NCT01230398,0-50,1
NCT01201889,0-50,1
NCT01194752,0-50,1
NCT01194739,0-50,1
NCT01194726,0-50,1
NCT01183195,0-50,1
NCT01180257,0-50,1
NCT01171066,0-50,1
NCT01166607,0-50,1
NCT01164527,0-50,1
NCT01158963,0-50,1
NCT01150227,0-50,1
NCT01148251,0-50,1
NCT01147094,0-50,1
NCT01145651,0-50,1
NCT01145378,0-50,1
NCT01143116,0-50,1
NCT01140919,0-50,1
NCT01127347,0-50,1
NCT01112475,0-50,1
NCT01108822,0-50,1
NCT01106222,0-50,1
NCT01103869,0-50,1
NCT01100983,0-50,1
NCT01098682,0-50,1
NCT01097824,0-50,1
NCT01092871,0-50,1
NCT01077141,0-50,1
NCT01070992,0-50,1
NCT01067040,0-50,1
NCT01062464,0-50,1
NCT01062412,0-50,1
NCT01062217,0-50,1
NCT01057134,0-50,1
NCT01043497,0-50,1
NCT01039064,0-50,1
NCT01037439,0-50,1
NCT01030588,0-50,1
NCT01029028,0-50,1
NCT01022554,0-50,1
NCT01016236,0-50,1
NCT01008202,0-50,1
NCT01000454,0-50,1
NCT00993772,0-50,1
NCT00990483,0-50,1
NCT00990210,0-50,1
NCT00986908,0-50,1
NCT00981188,0-50,1
NCT00979498,0-50,1
NCT00979030,0-50,1
NCT00969748,0-50,1
NCT00968474,0-50,1
NCT00961519,0-50,1
NCT00960947,0-50,1
NCT00957632,0-50,1
NCT00957138,0-50,1
NCT00956618,0-50,1
NCT00955331,0-50,1
NCT00946075,0-50,1
NCT00944411,0-50,1
NCT00942942,0-50,1
NCT00935974,0-50,1
NCT00932789,0-50,1
NCT00924716,0-50,1
NCT00911040,0-50,1
NCT00906958,0-50,1
NCT00906815,0-50,1
NCT00906009,0-50,1
NCT00905749,0-50,1
NCT00903058,0-50,1
NCT00901667,0-50,1
NCT00900705,0-50,1
NCT00889746,0-50,1
NCT00878982,0-50,1
NCT00877916,0-50,1
NCT00865930,0-50,1
NCT00865735,0-50,1
NCT00863486,0-50,1
NCT00863447,0-50,1
NCT00858091,0-50,1
NCT00850434,0-50,1
NCT00850109,0-50,1
NCT00846820,0-50,1
NCT00843752,0-50,1
NCT00840619,0-50,1
NCT00824018,0-50,1
NCT00821769,0-50,1
NCT00820040,0-50,1
NCT00819130,0-50,1
NCT00818922,0-50,1
NCT00810498,0-50,1
NCT00810459,0-50,1
NCT00809406,0-50,1
NCT00806052,0-50,1
NCT00802750,0-50,1
NCT00800891,0-50,1
NCT00799981,0-50,1
NCT00794534,0-50,1
NCT00791414,0-50,1
NCT00790621,0-50,1
NCT00789334,0-50,1
NCT00788450,0-50,1
NCT00788437,0-50,1
NCT00782119,0-50,1
NCT00781651,0-50,1
NCT00781222,0-50,1
NCT00780065,0-50,1
NCT00779623,0-50,1
NCT00777283,0-50,1
NCT00776893,0-50,1
NCT00776815,0-50,1
NCT00776152,0-50,1
NCT00773903,0-50,1
NCT00773721,0-50,1
NCT00769340,0-50,1
NCT00767910,0-50,1
NCT00766727,0-50,1
NCT00764491,0-50,1
NCT00764452,0-50,1
NCT00760643,0-50,1
NCT00759694,0-50,1
NCT00758979,0-50,1
NCT00758875,0-50,1
NCT00758095,0-50,1
NCT00756496,0-50,1
NCT00754598,0-50,1
NCT00748917,0-50,1
NCT00748033,0-50,1
NCT00747266,0-50,1
NCT00739245,0-50,1
NCT00732264,0-50,1
NCT00732134,0-50,1
NCT00728702,0-50,1
NCT00727805,0-50,1
NCT00727688,0-50,1
NCT00726297,0-50,1
NCT00726024,0-50,1
NCT00725816,0-50,1
NCT00725699,0-50,1
NCT00716313,0-50,1
NCT00690742,0-50,1
NCT00681057,0-50,1
NCT00680251,0-50,1
NCT00678808,0-50,1
NCT00676546,0-50,1
NCT00676078,0-50,1
NCT00670137,0-50,1
NCT00660556,0-50,1
NCT00659139,0-50,1
NCT00653211,0-50,1
NCT00639340,0-50,1
NCT00630526,0-50,1
NCT00617630,0-50,1
NCT00617162,0-50,1
NCT00616226,0-50,1
NCT00615342,0-50,1
NCT00608647,0-50,1
NCT00597571,0-50,1
NCT00591513,0-50,1
NCT00589069,0-50,1
NCT00588601,0-50,1
NCT00587613,0-50,1
NCT00587509,0-50,1
NCT00586456,0-50,1
NCT00579176,0-50,1
NCT00578513,0-50,1
NCT00578487,0-50,1
NCT00576953,0-50,1
NCT00561847,0-50,1
NCT00542477,0-50,1
NCT00529685,0-50,1
NCT00506220,0-50,1
NCT00448812,0-50,1
NCT00350259,0-50,1
NCT00208481,0-50,1
NCT01865032,101-200,1
NCT01686282,0-50,1
NCT03363464,10000plus,1
NCT02472067,101-200,1
NCT01261871,51-100,1
NCT02876575,0-50,1
NCT03463577,0-50,1
NCT00350077,0-50,1
NCT00243243,0-50,1
NCT02641158,201-500,1
NCT03293901,0-50,1
NCT02581748,101-200,1
NCT01241513,0-50,1
NCT01599624,51-100,1
NCT00689260,0-50,1
NCT00978484,101-200,1
NCT02200055,51-100,1
NCT02098499,51-100,1
NCT01317667,0-50,1
NCT00589589,0-50,1
NCT02874131,51-100,1
NCT02857751,51-100,1
NCT02755831,101-200,1
NCT02123225,51-100,1
NCT01771575,0-50,1
NCT03326596,501-1000,1
NCT00701259,501-1000,1
NCT00809627,0-50,1
NCT03771196,0-50,1
NCT04004715,0-50,1
NCT01823276,51-100,1
NCT01031160,1001-10000,1
NCT02155478,0-50,1
NCT03719391,51-100,1
NCT00936845,0-50,1
NCT02719964,101-200,1
NCT01478061,101-200,1
NCT03525184,0-50,1
NCT03306602,0-50,1
NCT03364361,0-50,1
NCT00124319,1001-10000,1
NCT02373189,0-50,1
NCT02030990,201-500,1
NCT00341510,10000plus,1
NCT04607356,101-200,1
NCT02419443,51-100,1
NCT00947245,0-50,1
NCT03369730,51-100,1
NCT02899247,0-50,1
NCT03021824,1001-10000,1
NCT02027155,0-50,1
NCT03598114,201-500,1
NCT02420041,0-50,1
NCT00935337,0-50,1
NCT03056534,101-200,1
NCT00904878,1001-10000,1
NCT03421561,201-500,1
NCT02825602,10000plus,1
NCT04031365,51-100,1
NCT01844804,101-200,1
NCT01870986,201-500,1
NCT01078246,1001-10000,1
NCT01603264,101-200,1
NCT00130676,201-500,1
NCT01589978,1001-10000,1
NCT03975790,201-500,1
