NCTId,Attribute,Value
NCT00003440,Other,1
NCT00003440,Procedure,1
NCT00003441,Drug,1
NCT00003451,Biological,1
NCT00003452,Drug,1
NCT00003453,Drug,1
NCT00003454,Drug,1
NCT00003456,Drug,1
NCT00003457,Drug,1
NCT00003458,Drug,1
NCT00003459,Drug,1
NCT00003460,Drug,1
NCT00003468,Drug,1
NCT00003469,Drug,1
NCT00003470,Drug,1
NCT00003471,Drug,1
NCT00003472,Drug,1
NCT00003473,Drug,1
NCT00003474,Drug,1
NCT00003475,Drug,1
NCT00003476,Drug,1
NCT00003477,Drug,1
NCT00003479,Drug,1
NCT00003483,Drug,1
NCT00003485,Drug,1
NCT00003489,Drug,1
NCT00003491,Drug,1
NCT00003492,Drug,1
NCT00003494,Drug,1
NCT00003495,Drug,1
NCT00003496,Drug,1
NCT00003497,Drug,1
NCT00003498,Drug,1
NCT00003499,Drug,1
NCT00003500,Drug,1
NCT00003501,Drug,1
NCT00003509,Drug,1
NCT00003511,Drug,1
NCT00003512,Drug,1
NCT00003513,Drug,1
NCT00003515,Drug,1
NCT00003516,Drug,1
NCT00003520,Drug,1
NCT00003521,Drug,1
NCT00003522,Drug,1
NCT00003524,Drug,1
NCT00003525,Drug,1
NCT00003526,Drug,1
NCT00003530,Drug,1
NCT00003531,Drug,1
NCT00003532,Drug,1
NCT00003533,Drug,1
NCT00003534,Drug,1
NCT00003535,Drug,1
NCT00003537,Drug,1
NCT00003545,Drug,1
NCT00003546,Drug,1
NCT00003546,Radiation,1
NCT00003553,Other,1
NCT00003556,Biological,1
NCT00003557,Drug,1
NCT00003563,Drug,1
NCT00003563,Radiation,1
NCT00003565,Drug,1
NCT00003566,Procedure,1
NCT00003571,Genetic,1
NCT00003573,Biological,1
NCT00003573,Drug,1
NCT00003573,Radiation,1
NCT00003575,Biological,1
NCT00003575,Drug,1
NCT00003587,Drug,1
NCT00003588,Biological,1
NCT00003588,Procedure,1
NCT00003590,Drug,1
NCT00003591,Drug,1
NCT00003591,Radiation,1
NCT00003593,Drug,1
NCT00003594,Drug,1
NCT00003595,Biological,1
NCT00003595,Drug,1
NCT00003597,Biological,1
NCT00003597,Drug,1
NCT00003600,Biological,1
NCT00003600,Other,1
NCT00003610,DietarySupplement,1
NCT00003610,Other,1
NCT00003610,Radiation,1
NCT00003611,Drug,1
NCT00003611,Other,1
NCT00003612,Biological,1
NCT00003612,Drug,1
NCT00003613,Drug,1
NCT00003613,Other,1
NCT00003620,Drug,1
NCT00003620,Other,1
NCT00003621,Drug,1
NCT00003621,Radiation,1
NCT00003622,Drug,1
NCT00003623,DietarySupplement,1
NCT00003623,Other,1
NCT00003625,Drug,1
NCT00003625,Radiation,1
NCT00003631,Biological,1
NCT00003631,Drug,1
NCT00003631,Procedure,1
NCT00003631,Radiation,1
NCT00003641,Biological,1
NCT00003641,Other,1
NCT00003644,Drug,1
NCT00003645,Drug,1
NCT00003648,Genetic,1
NCT00003656,Biological,1
NCT00003656,Drug,1
NCT00003657,Biological,1
NCT00003657,Drug,1
NCT00003657,Procedure,1
NCT00003659,Biological,1
NCT00003659,Drug,1
NCT00003665,Biological,1
NCT00003666,Drug,1
NCT00003671,Drug,1
NCT00003674,Drug,1
NCT00003675,Drug,1
NCT00003677,Drug,1
NCT00003692,Procedure,1
NCT00003693,Drug,1
NCT00003694,Drug,1
NCT00003694,Other,1
NCT00003700,Biological,1
NCT00003700,Drug,1
NCT00003702,Biological,1
NCT00003702,Drug,1
NCT00003704,Drug,1
NCT00003704,Radiation,1
NCT00003723,Drug,1
NCT00003724,Procedure,1
NCT00003726,Biological,1
NCT00003735,Drug,1
NCT00003744,Drug,1
NCT00003745,Drug,1
NCT00003748,Drug,1
NCT00003750,Biological,1
NCT00003761,Biological,1
NCT00003762,Drug,1
NCT00003765,Drug,1
NCT00003766,Drug,1
NCT00003778,Drug,1
NCT00003782,Drug,1
NCT00003783,Biological,1
NCT00003783,Drug,1
NCT00003783,Radiation,1
NCT00003786,Drug,1
NCT00003787,Behavioral,1
NCT00003789,Biological,1
NCT00003789,Drug,1
NCT00003789,Other,1
NCT00003793,Genetic,1
NCT00003796,Drug,1
NCT00003799,Drug,1
NCT00003799,Procedure,1
NCT00003799,Radiation,1
NCT00003800,Other,1
NCT00003800,Procedure,1
NCT00003812,Biological,1
NCT00003812,Drug,1
NCT00003812,Radiation,1
NCT00003816,Biological,1
NCT00003816,Drug,1
NCT00003816,Radiation,1
NCT00003819,Biological,1
NCT00003820,Drug,1
NCT00003824,Drug,1
NCT00003824,Procedure,1
NCT00003828,Drug,1
NCT00003829,Drug,1
NCT00003830,Procedure,1
NCT00003831,Procedure,1
NCT00003832,Drug,1
NCT00003832,Other,1
NCT00003832,Procedure,1
NCT00003833,Genetic,1
NCT00003834,Drug,1
NCT00003835,Drug,1
NCT00003835,Other,1
NCT00003838,Other,1
NCT00003846,Biological,1
NCT00003846,Drug,1
NCT00003846,Procedure,1
NCT00003846,Radiation,1
NCT00003847,Drug,1
NCT00003849,Biological,1
NCT00003850,Drug,1
NCT00003851,Biological,1
NCT00003851,Drug,1
NCT00003851,Procedure,1
NCT00003854,Other,1
NCT00003854,Procedure,1
NCT00003854,Radiation,1
NCT00003855,Procedure,1
NCT00003855,Radiation,1
NCT00003857,Drug,1
NCT00003857,Procedure,1
NCT00003857,Radiation,1
NCT00003861,Other,1
NCT00003863,Genetic,1
NCT00003865,Drug,1
NCT00003869,Drug,1
NCT00003869,Other,1
NCT00003869,Procedure,1
NCT00003873,Drug,1
NCT00003875,Biological,1
NCT00003875,Drug,1
NCT00003875,Procedure,1
NCT00003892,Drug,1
NCT00003895,Biological,1
NCT00003895,Other,1
NCT00003896,Drug,1
NCT00003900,Drug,1
NCT00003901,Other,1
NCT00003901,Procedure,1
NCT00003906,Drug,1
NCT00003907,Drug,1
NCT00003907,Procedure,1
NCT00003909,Drug,1
NCT00003909,Other,1
NCT00003909,Radiation,1
NCT00003910,Drug,1
NCT00003926,Drug,1
NCT00003926,Procedure,1
NCT00003927,Biological,1
NCT00003927,Drug,1
NCT00003927,Procedure,1
NCT00003930,Drug,1
NCT00003930,Procedure,1
NCT00003930,Radiation,1
NCT00003931,Genetic,1
NCT00003934,Drug,1
NCT00003935,Drug,1
NCT00003935,Radiation,1
NCT00003937,Drug,1
NCT00003937,Procedure,1
NCT00003950,Drug,1
NCT00003953,Biological,1
NCT00003953,Drug,1
NCT00003953,Procedure,1
NCT00003953,Radiation,1
NCT00003954,Biological,1
NCT00003954,Drug,1
NCT00003954,Procedure,1
NCT00003954,Radiation,1
NCT00003958,Biological,1
NCT00003958,Drug,1
NCT00003958,Other,1
NCT00003958,Procedure,1
NCT00003958,Radiation,1
NCT00003963,Biological,1
NCT00003963,Drug,1
NCT00003966,Drug,1
NCT00003968,Drug,1
NCT00003970,Drug,1
NCT00003992,Biological,1
NCT00003992,Drug,1
NCT00003994,Drug,1
NCT00003994,Procedure,1
NCT00003995,Biological,1
NCT00003995,Drug,1
NCT00003996,Drug,1
NCT00003996,Radiation,1
NCT00003997,Drug,1
NCT00004001,Drug,1
NCT00004010,Biological,1
NCT00004010,Drug,1
NCT00004010,Radiation,1
NCT00004011,Drug,1
NCT00004011,Procedure,1
NCT00004029,Biological,1
NCT00004032,Biological,1
NCT00004032,Other,1
NCT00004038,Biological,1
NCT00004038,Drug,1
NCT00004050,Biological,1
NCT00004054,Drug,1
NCT00004054,Radiation,1
NCT00004055,Biological,1
NCT00004055,Drug,1
NCT00004056,Biological,1
NCT00004056,Drug,1
NCT00004056,Procedure,1
NCT00004067,Biological,1
NCT00004067,Drug,1
NCT00004070,Biological,1
NCT00004074,Biological,1
NCT00004078,Drug,1
NCT00004079,Drug,1
NCT00004079,Other,1
NCT00004088,Biological,1
NCT00004088,Drug,1
NCT00004088,Procedure,1
NCT00004092,Biological,1
NCT00004092,Drug,1
NCT00004092,Procedure,1
NCT00004095,Drug,1
NCT00004101,Biological,1
NCT00004109,Drug,1
NCT00004109,Radiation,1
NCT00004123,Drug,1
NCT00004123,Procedure,1
NCT00004123,Radiation,1
NCT00004124,Drug,1
NCT00004126,Drug,1
NCT00004127,Drug,1
NCT00004135,Biological,1
NCT00004135,Drug,1
NCT00004135,Procedure,1
NCT00004136,Procedure,1
NCT00004138,Procedure,1
NCT00004138,Radiation,1
NCT00004139,Drug,1
NCT00004141,Drug,1
NCT00004142,Drug,1
NCT00004142,Procedure,1
NCT00004143,Drug,1
NCT00004144,Drug,1
NCT00004145,Biological,1
NCT00004145,Drug,1
NCT00004145,Procedure,1
NCT00004146,Drug,1
NCT00004146,Other,1
NCT00004146,Radiation,1
NCT00004148,Biological,1
NCT00004154,Drug,1
NCT00004154,Other,1
NCT00004156,Biological,1
NCT00004160,Drug,1
NCT00004160,Radiation,1
NCT00004161,Drug,1
NCT00004162,Biological,1
NCT00004162,Drug,1
NCT00004163,Drug,1
NCT00004180,Drug,1
NCT00004183,Drug,1
NCT00004188,Biological,1
NCT00004188,Drug,1
NCT00004188,Procedure,1
NCT00004188,Radiation,1
NCT00004189,Biological,1
NCT00004189,Drug,1
NCT00004190,Drug,1
NCT00004193,Drug,1
NCT00004196,Biological,1
NCT00004196,Drug,1
NCT00004196,Procedure,1
NCT00004203,Drug,1
NCT00004221,Biological,1
NCT00004221,Drug,1
NCT00004221,Procedure,1
NCT00004227,Biological,1
NCT00004227,Procedure,1
NCT00004227,Radiation,1
NCT00004228,Drug,1
NCT00004228,Radiation,1
NCT00004229,Biological,1
NCT00004233,Drug,1
NCT00004235,Drug,1
NCT00004239,Drug,1
NCT00004241,Drug,1
NCT00004241,Other,1
NCT00004242,Drug,1
NCT00004244,Biological,1
NCT00004246,Drug,1
NCT00004246,Radiation,1
NCT00004259,Drug,1
NCT00004259,Radiation,1
NCT00004262,Drug,1
NCT00004262,Procedure,1
NCT00004262,Radiation,1
NCT00004263,Drug,1
NCT00004266,Drug,1
NCT00004285,Device,1
NCT00004317,Drug,1
NCT00004412,Drug,1
NCT00004412,Other,1
NCT00004418,Drug,1
NCT00004445,Device,1
NCT00004445,Procedure,1
NCT00004465,Drug,1
NCT00004466,Drug,1
NCT00004467,Drug,1
NCT00004474,Drug,1
NCT00004474,Procedure,1
NCT00004500,Drug,1
NCT00004500,Other,1
NCT00004547,Drug,1
NCT00004547,Procedure,1
NCT00004554,Drug,1
NCT00004562,Drug,1
NCT00004562,Procedure,1
NCT00004578,Drug,1
NCT00004604,Biological,1
NCT00004635,Drug,1
NCT00004635,Other,1
NCT00004660,Radiation,1
NCT00004732,Device,1
NCT00004732,Procedure,1
NCT00004842,Drug,1
NCT00004847,Drug,1
NCT00004853,Biological,1
NCT00004856,Biological,1
NCT00004857,Biological,1
NCT00004857,Drug,1
NCT00004859,Drug,1
NCT00004859,Radiation,1
NCT00004862,Biological,1
NCT00004862,Drug,1
NCT00004867,Drug,1
NCT00004867,Procedure,1
NCT00004867,Radiation,1
NCT00004875,Drug,1
NCT00004883,Biological,1
NCT00004883,Other,1
NCT00004888,Biological,1
NCT00004888,Drug,1
NCT00004888,Other,1
NCT00004889,Biological,1
NCT00004891,Drug,1
NCT00004891,Procedure,1
NCT00004891,Radiation,1
NCT00004893,Biological,1
NCT00004918,Biological,1
NCT00004918,Drug,1
NCT00004918,Other,1
NCT00004919,Drug,1
NCT00004919,Other,1
NCT00004929,Biological,1
NCT00004931,Drug,1
NCT00004931,Other,1
NCT00004932,Drug,1
NCT00004933,Drug,1
NCT00004978,Drug,1
NCT00004980,Device,1
NCT00004984,Drug,1
NCT00004984,Other,1
NCT00004992,Behavioral,1
NCT00004992,Drug,1
NCT00005005,Drug,1
NCT00005006,Drug,1
NCT00005009,Biological,1
NCT00005022,Drug,1
NCT00005022,Radiation,1
NCT00005028,Drug,1
NCT00005032,Biological,1
NCT00005032,Drug,1
NCT00005036,Drug,1
NCT00005036,Procedure,1
NCT00005037,Drug,1
NCT00005039,Biological,1
NCT00005039,Other,1
NCT00005044,Drug,1
NCT00005044,Radiation,1
NCT00005047,Drug,1
